Summary_file = g2_00_w0.sum
Title = Ghab2_W0_9900
           year            day            das tt_since_emerg          stage            lai     biomass_wt       grain_wt        leaf_wt        stem_wt      biomass_n        grain_n     root_depth         stem_n            cep    sw(1-10)(1)    sw(1-10)(2)    sw(1-10)(3)    sw(1-10)(4)    sw(1-10)(5)    sw(1-10)(6)    sw(1-10)(7)    sw(1-10)(8)    sw(1-10)(9)   sw(1-10)(10) no3ppm(1-6)(1) no3ppm(1-6)(2) no3ppm(1-6)(3) no3ppm(1-6)(4) no3ppm(1-6)(5) no3ppm(1-6)(6) nh4ppm(1-6)(1) nh4ppm(1-6)(2) nh4ppm(1-6)(3) nh4ppm(1-6)(4) nh4ppm(1-6)(5) nh4ppm(1-6)(6)    n_conc_leaf    n_conc_stem   n_conc_grain
         (year)          (day)            (d)            (?)             ()      (m^2/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)           (mm)        (g/m^2)           (mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mg/kg)        (mg/kg)        (mg/kg)        (mg/kg)        (mg/kg)        (mg/kg)        (mg/kg)        (mg/kg)        (mg/kg)        (mg/kg)        (mg/kg)        (mg/kg)            (%)            (%)            (%)
           1999            354              0          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.080          0.086          0.138          0.195          0.236          0.265          0.273          0.290          0.303          0.302          4.260          3.560          2.764          3.065          3.095          3.299          5.115          4.260          3.270          2.865          2.305          2.389          0.000          0.000          0.000
           1999            355              0          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.080          0.086          0.138          0.195          0.236          0.265          0.273          0.290          0.302          0.302          4.260          3.560          2.767          3.193          3.400          3.637          5.115          4.260          3.270          2.736          2.000          2.048          0.000          0.000          0.000
           1999            356              1          0.000          1.999          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.080          0.086          0.139          0.195          0.236          0.265          0.273          0.290          0.302          0.302          4.260          3.560          2.771          3.316          3.674          3.934          5.115          4.260          3.270          2.613          1.727          1.748          0.000          0.000          0.000
           1999            357              2          0.000          1.999          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.080          0.086          0.139          0.195          0.236          0.264          0.274          0.290          0.302          0.302          4.260          3.560          2.775          3.433          3.921          4.196          5.115          4.260          3.270          2.495          1.481          1.483          0.000          0.000          0.000
           1999            358              3          0.000          1.999          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.080          0.086          0.139          0.195          0.236          0.264          0.274          0.290          0.302          0.302          4.260          3.560          2.780          3.545          4.138          4.423          5.115          4.260          3.270          2.383          1.264          1.252          0.000          0.000          0.000
           1999            359              4          0.000          1.999          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.080          0.086          0.139          0.195          0.236          0.264          0.274          0.290          0.301          0.302          4.260          3.560          2.784          3.652          4.323          4.613          5.115          4.260          3.270          2.277          1.080          1.059          0.000          0.000          0.000
           1999            360              5          0.000          1.999          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.080          0.086          0.140          0.195          0.236          0.264          0.274          0.290          0.301          0.302          4.260          3.560          2.788          3.754          4.477          4.771          5.115          4.260          3.270          2.174          0.926          0.898          0.000          0.000          0.000
           1999            361              6          0.000          1.999          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.094          0.086          0.140          0.195          0.236          0.264          0.274          0.290          0.301          0.303          4.260          3.560          2.793          3.852          4.607          4.903          5.115          4.260          3.270          2.077          0.796          0.763          0.000          0.000          0.000
           1999            362              7          0.000          1.999          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.086          0.086          0.140          0.195          0.236          0.264          0.274          0.290          0.301          0.303          4.260          3.560          2.797          3.946          4.721          5.016          5.115          4.260          3.270          1.984          0.683          0.647          0.000          0.000          0.000
           1999            363              8          0.000          1.999          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.080          0.086          0.140          0.195          0.236          0.264          0.274          0.290          0.301          0.303          4.260          3.560          2.802          4.035          4.819          5.112          5.115          4.260          3.270          1.895          0.584          0.548          0.000          0.000          0.000
           1999            364              9          0.000          1.999          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.080          0.086          0.140          0.195          0.236          0.263          0.274          0.289          0.300          0.303          4.260          3.560          2.807          4.120          4.905          5.194          5.115          4.260          3.270          1.810          0.499          0.462          0.000          0.000          0.000
           1999            365             10          0.000          1.999          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.080          0.086          0.141          0.195          0.236          0.263          0.274          0.289          0.300          0.303          4.260          3.560          2.812          4.202          4.980          5.265          5.115          4.260          3.270          1.728          0.424          0.389          0.000          0.000          0.000
           2000              1             11          0.000          1.999          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.080          0.086          0.141          0.195          0.236          0.263          0.275          0.289          0.300          0.303          4.260          3.560          2.816          4.280          5.045          5.324          5.115          4.260          3.270          1.651          0.359          0.326          0.000          0.000          0.000
           2000              2             12          0.000          1.999          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.080          0.086          0.141          0.195          0.236          0.263          0.275          0.289          0.300          0.303          4.260          3.560          2.821          4.355          5.099          5.373          5.115          4.260          3.270          1.577          0.305          0.274          0.000          0.000          0.000
