Summary_file = surfaceOM.sum
Title = SurfaceOM Sample Simulation
       day      year   surfaceom_wt
     (day)    (year)        (kg/ha)
         1      1988       5909.404
         2      1988       5842.025
         3      1988       5797.429
         4      1988       5691.345
         5      1988       5590.591
         6      1988       5510.606
         7      1988       5450.812
         8      1988       5413.987
         9      1988       5401.633
        10      1988       5401.633
        11      1988       5401.633
        12      1988       5401.633
        13      1988       5401.633
        14      1988       5401.633
        15      1988       5401.633
        16      1988       2891.801
        17      1988       2784.214
        18      1988       2714.491
        19      1988       2664.997
        20      1988       2560.815
        21      1988       2488.680
        22      1988       2388.089
        23      1988       2316.469
        24      1988       2275.112
        25      1988       2258.415
        26      1988       2258.415
        27      1988       2258.415
        28      1988       2258.415
        29      1988       2258.415
        30      1988       2258.415
