ApsimVersion = 6.1
Title = Sample Simulation
           Date      m_biomass        m_yield   m_root_depth          m_lai       m_sw_dmd           m_ep  m_swdef_photo    m_biomass_n  m_nfact_photo      c_biomass        c_yield   c_root_depth          c_lai       c_sw_dmd           c_ep  c_swdef_photo    c_biomass_n  c_nfact_photo             es         runoff          drain       sw_dep()          no3()           br()
             ()        (kg/ha)        (kg/ha)           (mm)      (m^2/m^2)           (mm)           (mm)             ()        (g/m^2)             ()        (kg/ha)        (kg/ha)           (mm)      (m^2/m^2)           (mm)           (mm)             ()        (g/m^2)             ()           (mm)           (mm)           (mm)           (mm)        (kg/ha)        (kg/ha)
     01/09/1988            0.0            0.0          0.000          0.000          0.000          0.000          0.000           0.00          0.000            0.0            0.0          0.000          0.000          0.000          0.000          1.000           0.00          1.000          1.244          0.000          0.050        908.464           45.7          180.0
     02/09/1988            0.0            0.0          0.000          0.000          0.000          0.000          0.000           0.00          0.000            0.0            0.0          0.000          0.000          0.000          0.000          1.000           0.00          1.000          2.072          0.000          0.050        906.342           45.9          180.0
     03/09/1988            0.0            0.0          0.000          0.000          0.000          0.000          0.000           0.00          0.000            0.0            0.0          0.000          0.000          0.000          0.000          1.000           0.00          1.000          2.673          0.000          0.050        903.620           46.1          180.0
     04/09/1988            0.0            0.0          0.000          0.000          0.000          0.000          0.000           0.00          0.000            0.0            0.0          0.000          0.000          0.000          0.000          1.000           0.00          1.000          2.301          0.000          0.050        902.469           46.3          180.0
     05/09/1988            0.0            0.0          0.000          0.000          0.000          0.000          0.000           0.00          0.000            0.0            0.0          0.000          0.000          0.000          0.000          1.000           0.00          1.000          1.457          0.000          0.050        901.562           46.7          179.9
     06/09/1988            0.0            0.0          0.000          0.000          0.000          0.000          0.000           0.00          0.000            0.0            0.0          0.000          0.000          0.000          0.000          1.000           0.00          1.000          1.918          0.000          0.050        899.593           47.1          179.9
     07/09/1988            0.0            0.0          0.000          0.000          0.000          0.000          0.000           0.00          0.000            0.0            0.0          0.000          0.000          0.000          0.000          1.000           0.00          1.000          1.678          0.000          0.050        905.865           46.9          179.9
     08/09/1988            0.0            0.0          0.000          0.000          0.000          0.000          0.000           0.00          0.000            0.0            0.0          0.000          0.000          0.000          0.000          1.000           0.00          1.000          2.832          0.000          0.050        902.983           46.9          179.9
     09/09/1988            0.0            0.0          0.000          0.000          0.000          0.000          0.000           0.00          0.000            0.0            0.0          0.000          0.000          0.000          0.000          1.000           0.00          1.000          2.545          0.000          0.050        900.387           47.0          179.9
     10/09/1988            0.0            0.0          0.000          0.000          0.000          0.000          0.000           0.00          0.000            0.0            0.0          0.000          0.000          0.000          0.000          1.000           0.00          1.000          2.592          0.000          0.050        897.745           47.0          179.9
     11/09/1988            0.0            0.0          0.000          0.000          0.000          0.000          0.000           0.00          0.000            0.0            0.0          0.000          0.000          0.000          0.000          1.000           0.00          1.000          2.579          0.000          0.051        895.116           46.9          179.9
     12/09/1988            0.0            0.0          0.000          0.000          0.000          0.000          0.000           0.00          0.000            0.0            0.0          0.000          0.000          0.000          0.000          1.000           0.00          1.000          1.929          0.000          0.051        907.136           46.4          179.9
     13/09/1988            0.0            0.0          0.000          0.000          0.000          0.000          0.000           0.00          0.000            0.0            0.0          0.000          0.000          0.000          0.000          1.000           0.00          1.000          3.015          0.000          0.051        917.070           46.1          179.8
     14/09/1988            0.0            0.0          0.000          0.000          0.000          0.000          0.000           0.00          0.000            0.0            0.0          0.000          0.000          0.000          0.000          1.000           0.00          1.000          0.962          0.000          0.052        916.056           46.2          179.8
     15/09/1988            0.0            0.0          0.000          0.000          0.000          0.000          0.000           0.00          0.000            0.0            0.0          0.000          0.000          0.000          0.000          1.000           0.00          1.000          2.656          0.000          0.053        926.747           46.3          179.8
     16/09/1988            0.0            0.0          0.000          0.000          0.000          0.000          0.000           0.00          0.000            0.0            0.0          0.000          0.000          0.000          0.000          1.000           0.00          1.000          2.798          0.000          0.054        925.095           46.4          179.8
     17/09/1988            0.0            0.0          0.000          0.000          0.000          0.000          0.000           0.00          0.000            0.0            0.0          0.000          0.000          0.000          0.000          1.000           0.00          1.000          3.835          0.000          0.055        921.205           46.5          179.8
     18/09/1988            0.0            0.0          0.000          0.000          0.000          0.000          0.000           0.00          0.000            0.0            0.0          0.000          0.000          0.000          0.000          1.000           0.00          1.000          3.793          0.000          0.057        917.355           46.5          179.8
     19/09/1988            0.0            0.0          0.000          0.000          0.000          0.000          0.000           0.00          0.000            0.0            0.0          0.000          0.000          0.000          0.000          1.000           0.00          1.000          3.259          0.000          0.059        914.037           46.6          179.8
