ApsimVersion = 6.1
Title = Sugar Sample Simulation
           Date      soil_evap  pot_soil_evap       pot_evap       drainage      infiltrat            esw          esw()         no3(1)         no3(2)         no3(3)         no3(4)         no3(5)         no3(6)         no3(7)   surfaceom_wt  irrig_applied            lai        biomass  green_biomass av_swdef_photo av_nfact_photo
             ()           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)           (mm)      (m^2/m^2)        (g/m^2)        (g/m^2)             ()             ()
     30/04/1980          4.495          4.495         79.288        127.272        278.707        406.719          0.000            0.0            2.3           13.7           16.1           13.3           11.0            9.4         9082.8          0.000          0.000           0.00           0.00          0.000          0.000
     31/05/1980         10.042         10.071        107.473         99.503         91.525        386.007        386.028           36.1           43.6           39.3           20.2           13.8           10.6            8.8         6185.6          0.000          0.013           3.88           3.88          0.935          0.065
     30/06/1980         22.524         22.666        106.927         67.735         24.000        319.190        319.313           13.2           36.0           40.4           21.0           13.4           10.0            8.4         3688.3          0.000          0.098          15.67          15.67          1.000          1.000
     31/07/1980         24.243         33.078         98.943         10.325         47.594        325.864        326.125            0.9           25.1           42.3           22.2           13.9           10.1            8.3         1831.6          0.000          0.656          92.76          92.76          1.000          1.000
     31/08/1980         33.211         39.736        113.277          5.015         36.000        266.822        269.111            2.3           13.7           26.1           14.2            8.7            9.1            8.3          559.2          0.000          2.436         462.70         461.33          1.000          1.000
     30/09/1980         23.830         38.046        145.262          0.035        131.874        204.366        207.473            2.7            1.5            3.3            2.6            1.1            0.7            4.0          235.2        130.874          4.542        1284.09        1279.46          1.000          1.000
     31/10/1980         31.386         36.962        171.937          0.000        215.638        176.981        185.280            0.7            0.2            0.2            0.1            0.0            0.0            0.0          105.5        200.638          6.567        2450.16        2408.54          1.000          1.000
     30/11/1980         31.213         33.056        166.173          0.000        233.610        151.198        159.563            0.5            0.2            0.2            0.1            0.0            0.0            0.0          294.6        206.810          6.613        3552.47        3325.95          1.000          1.000
     31/12/1980         29.335         30.274        166.894          0.000        207.680        122.090        129.957            0.4            0.1            0.2            0.1            0.0            0.0            0.0          767.3        137.998          6.242        4560.42        4119.11          1.000          1.000
     31/01/1981         17.086         17.086        113.714        403.904        733.979        335.403        347.507            0.2            0.1            0.1            0.0            0.0            0.0            0.0         1689.9          0.000          5.846        5181.59        4633.96          1.000          1.000
