ApsimVersion = 6.1
Title = Canopy Sample Simulation
            day           year       sw_dep()      lai_maize     biom_maize     lai_cowpea    biom_cowpea
          (day)         (year)           (mm)      (m^2/m^2)        (kg/ha)      (m^2/m^2)        (kg/ha)
              1           1988        720.433          0.000            0.0          0.000            0.0
              2           1988        720.268          0.000            0.0          0.000            0.0
              3           1988        720.105          0.000            0.0          0.000            0.0
              4           1988        746.655          0.000            0.0          0.000            0.0
              5           1988        744.691          0.000            0.0          0.000            0.0
              6           1988        743.677          0.000            0.0          0.000            0.0
              7           1988        742.892          0.000            0.0          0.000            0.0
              8           1988        742.228          0.000            0.0          0.000            0.0
              9           1988        741.641          0.000            0.0          0.000            0.0
             10           1988        741.111          0.000            0.0          0.000            0.0
             11           1988        740.622          0.000            0.0          0.000            0.0
             12           1988        740.167          0.004            2.0          0.000            0.0
             13           1988        739.729          0.005            2.6          0.000            0.0
             14           1988        739.309          0.005            3.3          0.000            0.0
             15           1988        738.908          0.006            4.1          0.000            0.0
             16           1988        747.933          0.007            4.7          0.020            7.5
             17           1988        751.392          0.008            5.7          0.024            9.8
             18           1988        749.611          0.010            7.2          0.030           13.2
             19           1988        748.510          0.013            8.5          0.036           16.3
             20           1988        779.220          0.016           10.2          0.043           20.0
             21           1988        777.025          0.020           12.7          0.053           25.4
             22           1988        777.021          0.025           15.2          0.062           30.5
             23           1988        775.702          0.030           18.3          0.073           36.8
             24           1988        774.335          0.038           23.0          0.090           45.9
             25           1988        773.174          0.047           28.6          0.109           56.4
             26           1988        772.085          0.056           35.3          0.132           69.2
             27           1988        770.846          0.065           43.5          0.161           84.9
             28           1988        769.585          0.076           52.1          0.193          102.5
             29           1988        768.437          0.091           61.9          0.230          123.0
             30           1988        766.612          0.107           74.3          0.278          149.5
             31           1988        768.888          0.128           85.7          0.325          175.0
             32           1988        766.473          0.153          101.3          0.387          209.3
             33           1988        764.449          0.182          118.3          0.457          247.4
             34           1988        762.845          0.212          134.1          0.522          283.2
             35           1988        760.102          0.243          158.5          0.622          338.6
             36           1988        756.256          0.278          186.5          0.739          407.0
             37           1988        751.498          0.321          215.8          0.862          483.6
             38           1988        750.449          0.364          233.7          0.938          532.9
             39           1988        784.915          0.404          260.4          1.043          603.8
             40           1988        778.150          0.450          297.1          1.193          706.9
             41           1988        770.419          0.506          335.1          1.356          821.5
             42           1988        763.698          0.573          372.3          1.523          941.0
             43           1988        756.165          0.653          411.7          1.706         1073.8
             44           1988        800.246          0.710          441.5          1.847         1178.7
             45           1988        821.566          0.765          472.4          1.997         1292.3
             46           1988        818.639          0.826          508.5          2.179         1432.2
             47           1988        811.877          0.884          545.0          2.377         1584.2
             48           1988        805.345          0.935          579.9          2.582         1741.9
             49           1988        799.020          0.973          608.8          2.768         1884.8
             50           1988        789.392          1.016          642.8          3.007         2068.7
             51           1988        776.012          1.054          676.3          3.270         2271.2
             52           1988        767.622          1.083          703.3          3.512         2457.2
             53           1988        758.328          1.107          728.7          3.768         2654.5
             54           1988        747.427          1.129          753.3          4.049         2870.5
             55           1988        736.863          1.145          774.0          4.320         3080.2
             56           1988        732.672          1.150          784.8          4.471         3204.9
             57           1988        730.712          1.149          791.8          4.543         3292.6
             58           1988        727.089          1.148          802.8          4.669         3436.5
             59           1988        721.814          1.148          814.4          4.808         3599.2
             60           1988        730.705          1.144          819.3          4.852         3673.4
             61           1988        748.411          1.141          826.5          4.933         3786.6
             62           1988        752.380          1.138          832.0          4.990         3879.1
             63           1988        752.796          1.136          842.5          5.133         4059.9
             64           1988        744.574          1.133          853.2          5.292         4263.3
             65           1988        739.130          1.128          861.4          5.328         4433.1
             66           1988        760.674          1.123          869.7          5.364         4611.3
             67           1988        752.957          1.115          879.2          5.425         4825.2
             68           1988        745.372          1.106          888.0          5.470         5033.9
             69           1988        736.204          1.096          896.9          5.516         5254.0
             70           1988        725.481          1.080          905.7          5.526         5483.5
             71           1988        710.854          1.062          914.5          5.455         5724.7
             72           1988        706.309          1.049          921.6          5.390         5925.5
             73           1988        697.890          1.038          929.9          4.637         6118.3
             74           1988        689.072          1.025          938.7          4.668         6318.5
             75           1988        680.077          1.012          946.7          4.697         6526.8
             76           1988        673.261          0.997          954.0          4.709         6724.2
             77           1988        666.308          0.976          961.4          4.717         6927.2
             78           1988        659.113          0.955          968.6          4.720         7131.8
             79           1988        652.396          0.935          975.4          4.626         7332.8
             80           1988        645.476          0.915          982.2          4.482         7530.9
             81           1988        639.201          0.894          988.9          4.320         7724.7
             82           1988        632.005          0.874          995.7          4.161         7918.5
             83           1988        625.702          0.852         1002.4          3.987         8106.0
             84           1988        619.102          0.831         1009.0          3.822         8289.1
             85           1988        617.386          0.810         1014.5          3.657         8436.3
             86           1988        610.801          0.790         1021.4          3.514         8608.7
             87           1988        604.575          0.771         1028.1          3.366         8779.9
             88           1988        597.575          0.753         1035.1          3.210         8957.1
             89           1988        590.658          0.734         1042.1          3.046         9126.7
             90           1988        584.375          0.714         1048.9          2.870         9193.8
             91           1988        584.101          0.699         1052.1          2.745         9218.4
             92           1988        619.759          0.680         1055.7          2.564         9257.0
             93           1988        635.658          0.659         1059.6          0.000         9297.2
             94           1988        654.252          0.640         1064.2          0.000            0.0
             95           1988        681.227          0.621         1105.5          0.000            0.0
             96           1988        686.523          0.604         1130.1          0.000            0.0
             97           1988        708.839          0.584         1174.3          0.000            0.0
             98           1988        706.421          0.564         1215.2          0.000            0.0
             99           1988        709.907          0.548         1245.0          0.000            0.0
            100           1988        708.615          0.533         1275.5          0.000            0.0
            101           1988        706.669          0.521         1311.5          0.000            0.0
            102           1988        731.235          0.512         1326.4          0.000            0.0
            103           1988        750.708          0.499         1356.1          0.000            0.0
            104           1988        750.390          0.485         1388.3          0.000            0.0
            105           1988        747.809          0.471         1429.0          0.000            0.0
            106           1988        745.718          0.457         1469.1          0.000            0.0
            107           1988        743.511          0.444         1506.6          0.000            0.0
            108           1988        742.181          0.432         1538.7          0.000            0.0
            109           1988        741.040          0.420         1571.7          0.000            0.0
            110           1988        742.224          0.411         1593.1          0.000            0.0
            111           1988        741.071          0.400         1613.2          0.000            0.0
            112           1988        739.531          0.389         1645.8          0.000            0.0
            113           1988        738.465          0.377         1674.7          0.000            0.0
            114           1988        737.336          0.366         1707.3          0.000            0.0
            115           1988        736.441          0.354         1733.1          0.000            0.0
            116           1988        735.514          0.342         1762.9          0.000            0.0
            117           1988        734.624          0.331         1792.1          0.000            0.0
            118           1988        733.717          0.320         1820.2          0.000            0.0
            119           1988        733.195          0.311         1835.8          0.000            0.0
            120           1988        737.301          0.301         1849.2          0.000            0.0
            121           1988        735.553          0.289         1870.2          0.000            0.0
            122           1988        733.538          0.280         1890.2          0.000            0.0
            123           1988        732.962          0.271         1907.0          0.000            0.0
            124           1988        732.272          0.263         1927.9          0.000            0.0
            125           1988        731.538          0.254         1949.4          0.000            0.0
            126           1988        730.764          0.246         1971.3          0.000            0.0
            127           1988        730.076          0.239         1991.6          0.000            0.0
            128           1988        729.371          0.231         2011.8          0.000            0.0
            129           1988        728.779          0.224         2030.7          0.000            0.0
            130           1988        728.196          0.217         2049.1          0.000            0.0
            131           1988        727.650          0.211         2067.0          0.000            0.0
            132           1988        727.112          0.206         2083.3          0.000            0.0
            133           1988        726.565          0.200         2100.4          0.000            0.0
            134           1988        726.072          0.194         2116.1          0.000            0.0
            135           1988        725.565          0.189         2131.0          0.000            0.0
            136           1988        725.120          0.184         2144.8          0.000            0.0
            137           1988        724.645          0.179         2158.0          0.000            0.0
            138           1988        724.337          0.174         2164.9          0.000            0.0
            139           1988        745.839          0.169         2174.1          0.000            0.0
            140           1988        744.039          0.166         2185.7          0.000            0.0
            141           1988        742.788          0.162         2192.8          0.000            0.0
            142           1988        742.025          0.159         2199.2          0.000            0.0
            143           1988        740.448          0.155         2207.7          0.000            0.0
            144           1988        738.935          0.151         2218.4          0.000            0.0
            145           1988        738.093          0.147         2228.0          0.000            0.0
            146           1988        737.357          0.144         2234.6          0.000            0.0
            147           1988        736.632          0.139         2244.9          0.000            0.0
            148           1988        735.976          0.135         2255.0          0.000            0.0
            149           1988        735.413          0.131         2262.5          0.000            0.0
            150           1988        734.892          0.128         2269.6          0.000            0.0
            151           1988        734.391          0.126         2275.1          0.000            0.0
            152           1988        733.893          0.124         2282.2          0.000            0.0
            153           1988        733.465          0.121         2288.5          0.000            0.0
            154           1988        733.039          0.119         2295.4          0.000            0.0
            155           1988        732.608          0.116         2302.0          0.000            0.0
            156           1988        732.257          0.113         2305.2          0.000            0.0
            157           1988        752.486          0.110         2309.6          0.000            0.0
            158           1988        754.281          0.107         2315.2          0.000            0.0
            159           1988        752.739          0.105         2320.9          0.000            0.0
            160           1988        751.250          0.103         2324.6          0.000            0.0
            161           1988        749.707          0.101         2329.4          0.000            0.0
            162           1988        748.088          0.099         2336.5          0.000            0.0
            163           1988        746.814          0.097         2340.9          0.000            0.0
            164           1988        746.125          0.095         2342.9          0.000            0.0
            165           1988        745.501          0.081         2345.5          0.000            0.0
            166           1988        744.928          0.073         2348.3          0.000            0.0
            167           1988        744.385          0.069         2351.4          0.000            0.0
            168           1988        743.898          0.069         2354.6          0.000            0.0
            169           1988        743.429          0.069         2357.9          0.000            0.0
            170           1988        742.980          0.069         2362.1          0.000            0.0
            171           1988        742.594          0.004         2362.1          0.000            0.0
            172           1988        742.225          0.000            0.0          0.000            0.0
            173           1988        741.872          0.000            0.0          0.000            0.0
            174           1988        741.531          0.000            0.0          0.000            0.0
            175           1988        741.203          0.000            0.0          0.000            0.0
            176           1988        740.886          0.000            0.0          0.000            0.0
            177           1988        740.578          0.000            0.0          0.000            0.0
            178           1988        740.279          0.000            0.0          0.000            0.0
            179           1988        739.988          0.000            0.0          0.000            0.0
            180           1988        739.705          0.000            0.0          0.000            0.0
            181           1988        739.429          0.000            0.0          0.000            0.0
            182           1988        739.160          0.000            0.0          0.000            0.0
            183           1988        738.896          0.000            0.0          0.000            0.0
            184           1988        738.638          0.000            0.0          0.000            0.0
            185           1988        738.386          0.000            0.0          0.000            0.0
            186           1988        738.200          0.000            0.0          0.000            0.0
            187           1988        759.232          0.000            0.0          0.000            0.0
            188           1988        776.385          0.000            0.0          0.000            0.0
            189           1988        774.398          0.000            0.0          0.000            0.0
            190           1988        772.417          0.000            0.0          0.000            0.0
            191           1988        771.401          0.000            0.0          0.000            0.0
            192           1988        770.616          0.000            0.0          0.000            0.0
            193           1988        782.049          0.000            0.0          0.000            0.0
