ApsimVersion = 6.1
Title = Canopy Sample Simulation
           Date       sw_dep()     lai_cowpea      lai_maize  cover_tot_sum    biom_cowpea     biom_maize
            (?)           (mm)      (m^2/m^2)      (m^2/m^2)             ()        (kg/ha)        (kg/ha)
     01/01/1988       1202.756          0.000          0.000          0.000            0.0            0.0
     02/01/1988       1202.515          0.000          0.000          0.000            0.0            0.0
     03/01/1988       1202.275          0.000          0.000          0.000            0.0            0.0
     04/01/1988       1231.208          0.000          0.000          0.000            0.0            0.0
     05/01/1988       1229.403          0.000          0.000          0.000            0.0            0.0
     06/01/1988       1226.668          0.000          0.000          0.000            0.0            0.0
     07/01/1988       1225.250          0.000          0.000          0.000            0.0            0.0
     08/01/1988       1224.151          0.000          0.000          0.000            0.0            0.0
     09/01/1988       1223.221          0.000          0.000          0.000            0.0            0.0
     10/01/1988       1222.401          0.000          0.000          0.000            0.0            0.0
     11/01/1988       1221.658          0.000          0.000          0.000            0.0            0.0
     12/01/1988       1220.974          0.000          0.004          0.000            0.0            2.0
     13/01/1988       1220.327          0.000          0.005          0.002            0.0            2.6
     14/01/1988       1219.713          0.000          0.005          0.002            0.0            3.3
     15/01/1988       1219.130          0.000          0.006          0.002            0.0            4.1
     16/01/1988       1228.360          0.020          0.007          0.002            7.5            4.7
     17/01/1988       1231.084          0.024          0.008          0.012            9.8            5.7
     18/01/1988       1227.455          0.030          0.010          0.015           13.2            7.1
     19/01/1988       1225.854          0.036          0.013          0.018           16.3            8.5
     20/01/1988       1290.318          0.043          0.016          0.022           20.0           10.1
     21/01/1988       1285.630          0.053          0.020          0.026           25.4           12.6
     22/01/1988       1285.577          0.062          0.024          0.032           30.5           15.0
     23/01/1988       1283.727          0.073          0.030          0.038           36.8           18.1
     24/01/1988       1282.081          0.090          0.038          0.045           45.9           22.8
     25/01/1988       1280.675          0.109          0.046          0.056           56.4           28.2
     26/01/1988       1279.367          0.132          0.055          0.067           69.2           34.9
     27/01/1988       1277.928          0.161          0.064          0.081           84.9           42.9
     28/01/1988       1276.481          0.193          0.075          0.096          102.5           51.4
     29/01/1988       1275.159          0.230          0.089          0.113          123.0           61.0
     30/01/1988       1273.172          0.278          0.105          0.133          149.5           73.2
     31/01/1988       1275.414          0.325          0.126          0.158          175.0           84.5
     01/02/1988       1271.104          0.387          0.151          0.183          209.3           99.8
     02/02/1988       1269.093          0.457          0.180          0.214          247.4          116.7
     03/02/1988       1267.471          0.522          0.209          0.248          283.2          132.3
     04/02/1988       1264.694          0.622          0.240          0.278          338.6          156.3
     05/02/1988       1260.804          0.739          0.275          0.319          407.0          184.1
     06/02/1988       1255.995          0.862          0.317          0.364          483.6          213.0
     07/02/1988       1254.882          0.938          0.360          0.409          532.9          230.7
     08/02/1988       1299.141          1.043          0.399          0.439          603.8          257.1
     09/02/1988       1292.133          1.193          0.445          0.474          706.9          293.4
     10/02/1988       1284.550          1.356          0.499          0.518          821.5          331.1
     11/02/1988       1277.077          1.509          0.560          0.563          930.5          367.8
     12/02/1988       1269.109          1.665          0.631          0.602         1044.1          404.6
     13/02/1988       1330.077          1.779          0.682          0.640         1128.6          430.9
     14/02/1988       1354.197          1.904          0.730          0.666         1221.9          458.0
     15/02/1988       1352.137          2.056          0.784          0.691         1337.8          489.6
     16/02/1988       1346.589          2.218          0.833          0.718         1461.9          520.5
     17/02/1988       1341.391          2.383          0.873          0.743         1588.8          549.1
     18/02/1988       1336.724          2.531          0.903          0.766         1703.1          572.1
     19/02/1988       1329.528          2.726          0.937          0.784         1852.8          599.1
     20/02/1988       1319.220          2.938          0.966          0.805         2016.0          625.1
     21/02/1988       1312.734          3.131          0.987          0.826         2164.4          646.1
     22/02/1988       1305.375          3.339          1.005          0.842         2324.2          665.9
     23/02/1988       1296.569          3.563          1.021          0.857         2498.9          685.3
     24/02/1988       1288.451          3.757          1.034          0.873         2658.9          701.8
     25/02/1988       1285.116          3.912          1.038          0.885         2777.6          710.7
     26/02/1988       1283.983          3.997          1.035          0.893         2861.5          716.5
     27/02/1988       1281.208          4.136          1.033          0.897         2999.6          725.8
     28/02/1988       1276.647          4.290          1.032          0.904         3156.2          735.7
     29/02/1988       1286.035          4.352          1.027          0.910         3227.9          740.0
     01/03/1988       1304.211          4.450          1.025          0.913         3337.6          746.3
     02/03/1988       1308.522          4.521          1.020          0.917         3427.4          751.3
     03/03/1988       1309.312          4.672          1.018          0.921         3603.2          760.9
     04/03/1988       1301.446          4.834          1.015          0.927         3801.6          770.9
     05/03/1988       1296.246          4.891          1.010          0.933         3967.5          778.6
     06/03/1988       1319.942          4.931          1.005          0.935         4142.0          786.4
     07/03/1988       1312.413          4.999          0.996          0.938         4351.4          795.5
     08/03/1988       1304.974          5.052          0.988          0.941         4556.0          804.1
     09/03/1988       1296.402          5.054          0.978          0.943         4759.3          812.7
     10/03/1988       1288.231          5.005          0.962          0.945         4921.9          821.5
     11/03/1988       1280.391          4.860          0.945          0.945         5038.7          830.7
     12/03/1988       1276.233          4.812          0.932          0.944         5233.8          838.5
     13/03/1988       1269.316          4.124          0.920          0.945         5385.5          847.6
     14/03/1988       1262.769          4.085          0.908          0.939         5525.0          857.4
     15/03/1988       1256.662          4.020          0.895          0.939         5655.6          866.5
     16/03/1988       1250.973          4.009          0.880          0.939         5812.7          875.2
     17/03/1988       1245.607          3.953          0.859          0.939         5950.3          884.1
     18/03/1988       1240.530          3.881          0.840          0.938         6073.5          893.1
     19/03/1988       1235.782          3.810          0.820          0.937         6193.4          901.9
     20/03/1988       1231.294          3.728          0.800          0.937         6299.3          910.7
     21/03/1988       1227.087          3.650          0.780          0.936         6405.0          919.4
     22/03/1988       1223.074          3.531          0.760          0.935         6489.5          928.2
     23/03/1988       1219.321          3.373          0.739          0.933         6575.8          936.9
     24/03/1988       1215.773          3.224          0.718          0.931         6649.7          945.5
     25/03/1988       1215.286          3.075          0.698          0.930         6746.3          952.5
     26/03/1988       1211.956          2.945          0.679          0.928         6815.9          961.3
     27/03/1988       1208.848          2.815          0.660          0.926         6883.0          969.9
     28/03/1988       1206.020          2.679          0.643          0.925         6937.6          978.7
     29/03/1988       1203.598          2.536          0.627          0.923         6983.5          987.5
     30/03/1988       1201.335          2.382          0.609          0.921         7002.2          996.0
     31/03/1988       1201.068          2.274          0.596          0.919         7024.5          999.9
     01/04/1988       1236.771          2.119          0.578          0.917         7059.4         1004.4
     02/04/1988       1252.773          0.000          0.559          0.915         7095.6         1009.2
     03/04/1988       1272.448          0.000          0.542          0.882            0.0         1014.4
     04/04/1988       1304.013          0.000          0.525          0.340            0.0         1050.1
     05/04/1988       1309.266          0.000          0.510          0.339            0.0         1071.4
     06/04/1988       1334.768          0.000          0.491          0.338            0.0         1109.3
     07/04/1988       1332.311          0.000          0.474          0.337            0.0         1144.4
     08/04/1988       1335.755          0.000          0.460          0.336            0.0         1169.6
     09/04/1988       1334.417          0.000          0.447          0.335            0.0         1195.1
     10/04/1988       1332.409          0.000          0.437          0.334            0.0         1224.4
     11/04/1988       1360.881          0.000          0.428          0.333            0.0         1236.2
     12/04/1988       1382.580          0.000          0.417          0.333            0.0         1259.5
     13/04/1988       1382.227          0.000          0.405          0.332            0.0         1284.5
     14/04/1988       1379.665          0.000          0.393          0.331            0.0         1315.3
     15/04/1988       1376.953          0.000          0.381          0.330            0.0         1344.8
     16/04/1988       1374.411          0.000          0.370          0.330            0.0         1371.7
     17/04/1988       1372.310          0.000          0.359          0.329            0.0         1394.3
     18/04/1988       1370.101          0.000          0.349          0.328            0.0         1417.1
     19/04/1988       1371.282          0.000          0.341          0.327            0.0         1431.6
     20/04/1988       1370.108          0.000          0.332          0.327            0.0         1445.3
     21/04/1988       1368.579          0.000          0.323          0.326            0.0         1467.2
     22/04/1988       1367.424          0.000          0.313          0.326            0.0         1486.6
     23/04/1988       1366.274          0.000          0.304          0.325            0.0         1508.2
     24/04/1988       1365.315          0.000          0.294          0.324            0.0         1525.1
     25/04/1988       1364.363          0.000          0.285          0.324            0.0         1544.6
     26/04/1988       1363.457          0.000          0.276          0.323            0.0         1563.7
     27/04/1988       1362.561          0.000          0.267          0.323            0.0         1581.9
     28/04/1988       1361.930          0.000          0.259          0.322            0.0         1591.9
     29/04/1988       1366.008          0.000          0.251          0.321            0.0         1600.6
     30/04/1988       1364.290          0.000          0.241          0.321            0.0         1614.4
     01/05/1988       1362.268          0.000          0.234          0.320            0.0         1627.6
     02/05/1988       1360.806          0.000          0.227          0.320            0.0         1638.8
     03/05/1988       1360.112          0.000          0.220          0.319            0.0         1652.9
     04/05/1988       1359.394          0.000          0.214          0.319            0.0         1667.5
