APSIM output file, version = 5.4
Title = Sample Simulation with observed evaporation data
           Date      m_biomass        m_yield   m_root_depth          m_lai       m_sw_dmd           m_ep  m_swdef_photo    m_biomass_n  m_nfact_photo      c_biomass        c_yield   c_root_depth          c_lai       c_sw_dmd           c_ep  c_swdef_photo    c_biomass_n  c_nfact_photo             es         runoff          drain       sw_dep()          no3()           br()
             ()        (kg/ha)        (kg/ha)           (mm)      (m^2/m^2)           (mm)           (mm)             ()        (g/m^2)             ()        (kg/ha)        (kg/ha)           (mm)      (m^2/m^2)           (mm)           (mm)             ()        (g/m^2)             ()           (mm)           (mm)           (mm)           (mm)        (kg/ha)        (kg/ha)
     01/09/1988            0.0            0.0          0.000          0.000          0.000          0.000          0.000           0.00          0.000            0.0            0.0          0.000          0.000          0.000          0.000          1.000           0.00          1.000          3.009          0.000          0.050        906.699           45.8          180.0
     02/09/1988            0.0            0.0          0.000          0.000          0.000          0.000          0.000           0.00          0.000            0.0            0.0          0.000          0.000          0.000          0.000          1.000           0.00          1.000          3.262          0.000          0.050        903.387           46.2          180.0
     03/09/1988            0.0            0.0          0.000          0.000          0.000          0.000          0.000           0.00          0.000            0.0            0.0          0.000          0.000          0.000          0.000          1.000           0.00          1.000          3.295          0.000          0.050        900.042           46.6          180.0
     04/09/1988            0.0            0.0          0.000          0.000          0.000          0.000          0.000           0.00          0.000            0.0            0.0          0.000          0.000          0.000          0.000          1.000           0.00          1.000          3.325          0.000          0.050        897.867           47.1          180.0
     05/09/1988            0.0            0.0          0.000          0.000          0.000          0.000          0.000           0.00          0.000            0.0            0.0          0.000          0.000          0.000          0.000          1.000           0.00          1.000          3.335          0.000          0.050        895.082           47.8          179.9
     06/09/1988            0.0            0.0          0.000          0.000          0.000          0.000          0.000           0.00          0.000            0.0            0.0          0.000          0.000          0.000          0.000          1.000           0.00          1.000          2.917          0.000          0.050        892.115           48.5          179.9
     07/09/1988            0.0            0.0          0.000          0.000          0.000          0.000          0.000           0.00          0.000            0.0            0.0          0.000          0.000          0.000          0.000          1.000           0.00          1.000          3.375          0.000          0.050        896.690           48.4          179.9
     08/09/1988            0.0            0.0          0.000          0.000          0.000          0.000          0.000           0.00          0.000            0.0            0.0          0.000          0.000          0.000          0.000          1.000           0.00          1.000          3.410          0.000          0.050        893.230           48.3          179.9
     09/09/1988            0.0            0.0          0.000          0.000          0.000          0.000          0.000           0.00          0.000            0.0            0.0          0.000          0.000          0.000          0.000          1.000           0.00          1.000          3.055          0.000          0.050        890.124           48.4          179.9
     10/09/1988            0.0            0.0          0.000          0.000          0.000          0.000          0.000           0.00          0.000            0.0            0.0          0.000          0.000          0.000          0.000          1.000           0.00          1.000          1.712          0.000          0.050        888.362           48.5          179.9
     11/09/1988            0.0            0.0          0.000          0.000          0.000          0.000          0.000           0.00          0.000            0.0            0.0          0.000          0.000          0.000          0.000          1.000           0.00          1.000          1.241          0.000          0.051        887.071           48.6          179.9
     12/09/1988            0.0            0.0          0.000          0.000          0.000          0.000          0.000           0.00          0.000            0.0            0.0          0.000          0.000          0.000          0.000          1.000           0.00          1.000          3.749          0.000          0.051        897.271           48.0          179.9
     13/09/1988            0.0            0.0          0.000          0.000          0.000          0.000          0.000           0.00          0.000            0.0            0.0          0.000          0.000          0.000          0.000          1.000           0.00          1.000          3.798          0.000          0.051        906.421           47.6          179.8
     14/09/1988            0.0            0.0          0.000          0.000          0.000          0.000          0.000           0.00          0.000            0.0            0.0          0.000          0.000          0.000          0.000          1.000           0.00          1.000          3.838          0.000          0.052        902.532           47.8          179.8
     15/09/1988            0.0            0.0          0.000          0.000          0.000          0.000          0.000           0.00          0.000            0.0            0.0          0.000          0.000          0.000          0.000          1.000           0.00          1.000          3.850          0.000          0.052        912.029           47.4          179.8
     16/09/1988            0.0            0.0          0.000          0.000          0.000          0.000          0.000           0.00          0.000            0.0            0.0          0.000          0.000          0.000          0.000          1.000           0.00          1.000          4.139          0.000          0.053        909.037           47.1          179.8
