ApsimVersion = 6.0
Title = canola Sample Simulation
            day           year            lai        biomass  green_biomass            pai     oilGreenWt
          (day)         (year)      (m^2/m^2)        (kg/ha)        (kg/ha)      (m^2/m^2)        (g/m^2)
            130           1988          0.000            0.0            0.0          0.000           0.00
            131           1988          0.000            0.0            0.0          0.000           0.00
            132           1988          0.000            0.0            0.0          0.000           0.00
            133           1988          0.000            0.0            0.0          0.000           0.00
            134           1988          0.000            0.0            0.0          0.000           0.00
            135           1988          0.000            0.0            0.0          0.000           0.00
            136           1988          0.000            0.0            0.0          0.000           0.00
            137           1988          0.000            0.0            0.0          0.000           0.00
            138           1988          0.004           12.0           12.0          0.000           0.00
            139           1988          0.005           12.3           12.3          0.000           0.00
            140           1988          0.007           12.9           12.9          0.000           0.00
            141           1988          0.009           13.5           13.5          0.000           0.00
            142           1988          0.011           14.1           14.1          0.000           0.00
            143           1988          0.014           15.3           15.3          0.000           0.00
            144           1988          0.019           16.7           16.7          0.000           0.00
            145           1988          0.024           18.5           18.5          0.000           0.00
            146           1988          0.028           20.9           20.9          0.000           0.00
            147           1988          0.032           23.9           23.9          0.000           0.00
            148           1988          0.036           27.2           27.2          0.000           0.00
            149           1988          0.040           30.8           30.8          0.000           0.00
            150           1988          0.043           34.9           34.9          0.000           0.00
            151           1988          0.047           39.7           39.7          0.000           0.00
            152           1988          0.051           44.3           44.3          0.000           0.00
            153           1988          0.056           48.1           48.1          0.000           0.00
            154           1988          0.061           52.7           52.7          0.000           0.00
            155           1988          0.067           57.7           57.7          0.000           0.00
            156           1988          0.074           60.3           60.3          0.000           0.00
            157           1988          0.082           64.5           64.5          0.000           0.00
            158           1988          0.090           70.5           70.5          0.000           0.00
            159           1988          0.096           79.6           79.6          0.000           0.00
            160           1988          0.101           89.7           89.7          0.000           0.00
            161           1988          0.107           99.9           99.9          0.000           0.00
            162           1988          0.114          110.6          110.6          0.000           0.00
            163           1988          0.120          122.1          122.1          0.000           0.00
            164           1988          0.125          134.2          134.2          0.000           0.00
            165           1988          0.132          148.0          148.0          0.000           0.00
            166           1988          0.139          162.6          162.6          0.000           0.00
            167           1988          0.148          177.6          177.6          0.000           0.00
            168           1988          0.158          190.8          190.8          0.000           0.00
            169           1988          0.170          205.2          205.2          0.000           0.00
            170           1988          0.185          221.6          221.6          0.000           0.00
            171           1988          0.199          240.5          240.5          0.000           0.00
            172           1988          0.214          260.8          260.8          0.000           0.00
            173           1988          0.232          282.5          282.5          0.000           0.00
            174           1988          0.249          305.5          305.5          0.000           0.00
            175           1988          0.267          330.7          330.7          0.000           0.00
            176           1988          0.288          356.0          356.0          0.000           0.00
            177           1988          0.313          382.0          382.0          0.000           0.00
            178           1988          0.341          409.1          409.1          0.000           0.00
            179           1988          0.371          443.3          443.3          0.000           0.00
            180           1988          0.400          480.5          480.5          0.000           0.00
            181           1988          0.427          519.0          519.0          0.000           0.00
            182           1988          0.453          561.8          561.8          0.000           0.00
            183           1988          0.485          604.7          604.7          0.000           0.00
            184           1988          0.520          637.6          637.6          0.000           0.00
            185           1988          0.566          658.2          658.2          0.000           0.00
            186           1988          0.617          682.2          682.2          0.000           0.00
            187           1988          0.683          712.0          712.0          0.000           0.00
            188           1988          0.744          767.0          767.0          0.000           0.00
            189           1988          0.794          824.3          824.3          0.000           0.00
            190           1988          0.847          887.5          887.5          0.000           0.00
            191           1988          0.902          958.8          958.8          0.000           0.00
            192           1988          0.965         1015.9         1015.9          0.000           0.00
            193           1988          1.018         1053.7         1053.7          0.000           0.00
            194           1988          1.085         1101.8         1101.8          0.000           0.00
            195           1988          1.189         1176.1         1176.1          0.000           0.00
            196           1988          1.307         1260.4         1260.4          0.000           0.00
            197           1988          1.439         1354.2         1354.2          0.000           0.00
            198           1988          1.572         1449.7         1449.7          0.000           0.00
            199           1988          1.723         1557.3         1557.3          0.000           0.00
            200           1988          1.892         1678.2         1678.2          0.000           0.00
            201           1988          2.083         1814.1         1814.1          0.000           0.00
            202           1988          2.263         1943.3         1943.3          0.000           0.00
            203           1988          2.409         2047.6         2047.6          0.000           0.00
            204           1988          2.534         2136.5         2136.5          0.000           0.00
            205           1988          2.734         2279.7         2279.7          0.000           0.00
            206           1988          2.939         2425.7         2425.7          0.000           0.00
            207           1988          3.171         2591.7         2591.7          0.000           0.00
            208           1988          3.422         2770.8         2770.8          0.000           0.00
            209           1988          3.655         2937.2         2937.2          0.000           0.00
            210           1988          3.914         3122.1         3122.1          0.000           0.00
            211           1988          4.137         3281.8         3281.8          0.000           0.00
            212           1988          4.133         3451.9         3450.2          0.102           0.00
            213           1988          4.128         3644.4         3640.9          0.218           0.00
            214           1988          4.124         3831.4         3826.2          0.330           0.00
            215           1988          4.120         4003.2         3996.5          0.433           0.00
            216           1988          4.116         4198.7         4190.4          0.550           0.00
            217           1988          4.112         4388.4         4378.5          0.664           0.00
            218           1988          4.104         4567.7         4554.9          0.772           0.00
            219           1988          4.097         4727.1         4711.3          0.867           0.00
            220           1988          4.092         4896.2         4878.5          0.969           0.00
            221           1988          4.088         5056.8         5037.5          1.065           0.00
            222           1988          4.084         5221.7         5200.8          1.164           0.00
            223           1988          4.078         5424.1         5401.1          1.285           0.00
            224           1988          4.070         5640.1         5613.8          1.415           0.00
            225           1988          4.061         5847.2         5817.4          1.539           0.00
            226           1988          4.052         6059.5         6026.4          1.667           0.00
            227           1988          4.042         6271.0         6234.0          1.794           0.00
            228           1988          4.031         6445.4         6404.1          1.806           2.90
            229           1988          4.019         6631.8         6586.0          1.820           5.97
            230           1988          4.005         6817.0         6765.7          1.834           9.20
            231           1988          3.986         6979.8         6920.8          1.849          12.56
            232           1988          3.965         7143.5         7076.6          1.865          16.07
            233           1988          3.911         7307.9         7219.7          1.881          19.73
            234           1988          3.904         7479.0         7388.1          1.898          23.56
            235           1988          3.886         7571.9         7474.1          1.914          27.26
            236           1988          3.852         7688.3         7577.4          1.931          31.14
            237           1988          3.821         7815.1         7691.9          1.949          35.17
            238           1988          3.789         7983.9         7848.2          1.968          39.52
            239           1988          3.750         8139.0         7988.4          1.988          43.95
            240           1988          3.707         8227.9         8060.3          2.004          48.13
            241           1988          3.657         8330.5         8143.7          2.022          52.48
            242           1988          3.614         8484.7         8281.0          2.043          57.27
            243           1988          3.567         8626.6         8404.7          2.065          62.11
            244           1988          3.513         8680.8         8437.7          2.077          66.41
            245           1988          3.453         8724.9         8458.7          2.087          70.67
            246           1988          3.385         8812.5         8519.6          2.104          75.35
            247           1988          3.319         8918.9         8600.3          2.123          80.27
            248           1988          3.253         8994.1         8649.8          2.138          84.99
            249           1988          3.178         9025.8         8652.6          2.147          89.36
            250           1988          3.117         9074.4         8677.3          2.159          93.92
            251           1988          3.091         9107.7         8700.6          2.168          98.36
            252           1988          3.069         9182.0         8766.3          2.184         103.30
            253           1988          3.046         9237.2         8812.7          2.196         108.07
            254           1988          3.023         9282.1         8848.5          2.208         112.78
            255           1988          2.994         9318.4         8873.7          2.218         117.41
            256           1988          2.957         9329.3         8870.1          2.225         121.75
            257           1988          2.929         9361.2         8891.0          2.235         126.38
            258           1988          2.907         9385.2         8906.3          2.236         126.70
            259           1988          2.876         9441.0         8950.2          2.240         127.45
            260           1988          2.845         9497.5         8994.6          2.243         128.22
            261           1988          2.814         9567.6         9052.8          2.247         129.16
            262           1988          2.784         9634.9         9108.1          2.251         130.07
            263           1988          2.752         9694.8         9155.7          2.255         130.88
            264           1988          2.723         9749.5         9199.1          2.258         131.62
            265           1988          2.693         9806.1         9243.9          2.261         132.38
            266           1988          2.662         9860.1         9285.8          2.265         133.11
            267           1988          2.628         9909.8         9322.3          2.268         133.78
            268           1988          2.592         9956.6         9355.2          2.270         134.41
            269           1988          2.558        10003.4         9388.8          2.273         135.05
            270           1988          2.524        10046.7         9418.7          2.276         135.63
            271           1988          2.487        10078.3         9436.0          2.278         136.06
            272           1988          2.448        10116.2         9459.0          2.280         136.57
            273           1988          2.410        10160.7         9488.5          2.283         137.17
            274           1988          2.377        10204.2         9519.3          2.285         137.76
            275           1988          2.330        10238.9         9535.6          2.287         138.23
            276           1988          2.286        10278.9         9558.6          2.287         138.76
            277           1988          2.163        10402.4         9634.1          2.287         138.76
            278           1988          0.000        10402.4         8792.4          2.287         138.76
            279           1988          0.000            0.0            0.0          0.000           0.00
            280           1988          0.000            0.0            0.0          0.000           0.00
            281           1988          0.000            0.0            0.0          0.000           0.00
