ApsimVersion = 6.1
Title = Lettuce Sample Simulation
           Date DaysAfterSowing          stage            lai        biomass             ep         tt_tot    LeafGreenWt    StemGreenWt  FloretGreenWt        node_no
             ()             (?)             ()      (m^2/m^2)        (kg/ha)           (mm)            (?)        (g/m^2)        (g/m^2)        (g/m^2)       (/plant)
    01/Apr/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    02/Apr/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    03/Apr/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    04/Apr/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    05/Apr/1998               ?          1.021          0.001            1.8          0.000              ?           0.18           0.00           0.00          0.000
    06/Apr/1998               ?          1.043          0.001            2.0          0.005              ?           0.19           0.01           0.00          0.000
    07/Apr/1998               ?          1.064          0.002            2.2          0.005              ?           0.20           0.02           0.00          0.000
    08/Apr/1998               ?          1.087          0.002            2.4          0.006              ?           0.22           0.03           0.00          0.000
    09/Apr/1998               ?          1.111          0.002            2.6          0.006              ?           0.23           0.03           0.00          0.000
    10/Apr/1998               ?          1.135          0.002            2.8          0.006              ?           0.24           0.04           0.00          0.000
    11/Apr/1998               ?          1.158          0.002            3.1          0.009              ?           0.26           0.05           0.00          0.000
    12/Apr/1998               ?          1.183          0.002            3.3          0.006              ?           0.26           0.07           0.00          0.000
    13/Apr/1998               ?          1.210          0.002            3.4          0.003              ?           0.26           0.08           0.00          0.000
    14/Apr/1998               ?          1.233          0.002            3.5          0.002              ?           0.26           0.09           0.00          0.000
    15/Apr/1998               ?          1.252          0.002            3.6          0.001              ?           0.26           0.11           0.00          0.000
    16/Apr/1998               ?          1.272          0.002            3.8          0.002              ?           0.26           0.12           0.00          0.000
    17/Apr/1998               ?          1.293          0.002            4.1          0.004              ?           0.26           0.15           0.00          0.000
    18/Apr/1998               ?          1.313          0.002            4.4          0.006              ?           0.26           0.18           0.00          0.000
    19/Apr/1998               ?          1.332          0.002            4.8          0.009              ?           0.26           0.22           0.00          0.000
    20/Apr/1998               ?          1.351          0.002            5.0          0.005              ?           0.26           0.24           0.00          0.000
    21/Apr/1998               ?          1.371          0.002            5.3          0.005              ?           0.26           0.27           0.00          0.000
    22/Apr/1998               ?          1.393          0.002            5.5          0.005              ?           0.26           0.29           0.00          0.000
    23/Apr/1998               ?          1.414          0.002            5.6          0.000              ?           0.26           0.31           0.00          0.000
    24/Apr/1998               ?          1.434          0.002            6.0          0.003              ?           0.26           0.34           0.00          0.000
    25/Apr/1998               ?          1.455          0.002            6.3          0.005              ?           0.26           0.37           0.00          0.000
    26/Apr/1998               ?          1.473          0.002            6.7          0.009              ?           0.26           0.41           0.00          0.000
    27/Apr/1998               ?          1.491          0.002            7.1          0.008              ?           0.26           0.45           0.00          0.000
    28/Apr/1998               ?          1.506          0.002            7.4          0.005              ?           0.26           0.48           0.00          0.000
    29/Apr/1998               ?          1.526          0.002            7.6          0.005              ?           0.26           0.51           0.00          0.000
    30/Apr/1998               ?          1.545          0.002            8.0          0.008              ?           0.26           0.54           0.00          0.000
    01/May/1998               ?          1.565          0.002            8.3          0.007              ?           0.26           0.57           0.00          0.000
    02/May/1998               ?          1.583          0.002            8.4          0.000              ?           0.26           0.58           0.00          0.000
    03/May/1998               ?          1.601          0.002            8.7          0.001              ?           0.26           0.61           0.00          0.000
    04/May/1998               ?          1.623          0.002            8.9          0.004              ?           0.26           0.63           0.00          0.000
    05/May/1998               ?          1.642          0.002            9.0          0.001              ?           0.26           0.65           0.00          0.000
    06/May/1998               ?          1.661          0.002            9.3          0.004              ?           0.26           0.68           0.00          0.000
    07/May/1998               ?          1.680          0.002            9.7          0.006              ?           0.26           0.71           0.00          0.000
    08/May/1998               ?          1.697          0.002            9.9          0.005              ?           0.25           0.73           0.00          0.000
    09/May/1998               ?          1.713          0.002           10.3          0.007              ?           0.25           0.77           0.00          0.000
    10/May/1998               ?          1.728          0.002           10.6          0.007              ?           0.25           0.80           0.00          0.000
    11/May/1998               ?          1.742          0.002           10.9          0.006              ?           0.25           0.83           0.00          0.000
    12/May/1998               ?          1.760          0.002           11.2          0.007              ?           0.24           0.86           0.00          0.000
