Summary_file = Gunnedah750.sum
Title = Gunnedah 750mm wet soil
           date       day      year   in_crop_rain eff_in_crop_rain            lai        biomass          yield             hi            nhi         sum_ep   n_conc_grain        grain_n          no3()            esw
             ()     (day)    (year)             ()               ()      (m^2/m^2)        (kg/ha)        (kg/ha)             ()             ()           (mm)            (%)        (g/m^2)        (kg/ha)           (mm)
     03/11/1957       307      1957         85.200           85.200          0.001       6795.673       1409.182          0.207          0.401        104.241          3.247          4.576         64.288          2.403
     03/11/1958       307      1958        283.500          268.076          0.000      13766.576       5386.937          0.391          0.786        199.725          2.048         11.032         43.364         53.192
     03/11/1959       307      1959        178.900          178.900          0.000       8920.135       2844.911          0.319          0.530        139.389          2.307          6.564         50.534         17.786
     06/11/1960       311      1960        211.300          211.300          0.000       9932.532       2912.394          0.293          0.593        154.067          2.541          7.402         50.540         24.314
     29/10/1961       302      1961        187.800          187.800          0.000       8906.593       2229.786          0.250          0.463        135.299          2.578          5.749         49.885         21.074
     04/11/1962       308      1962        265.300          265.300          0.001       9804.879       3819.079          0.390          0.719        165.386          2.602          9.936         51.066         60.905
     04/11/1963       308      1963        215.300          215.071          0.000       9563.898       2820.242          0.295          0.552        153.141          2.370          6.684         50.834         17.264
     08/11/1964       313      1964        276.400          273.865          0.001      11582.206       4950.889          0.427          0.812        183.721          2.196         10.870         46.886         46.471
     21/10/1965       294      1965        140.800          140.800          0.000       5524.468       1886.891          0.342          0.572         97.118          2.426          4.577        127.918         27.682
     01/11/1966       305      1966        269.000          267.904          0.000      12091.435       4319.651          0.357          0.787        165.478          2.408         10.402         49.125         69.549
     23/10/1967       296      1967        198.500          198.112          0.000       9150.733       2356.251          0.257          0.506        124.140          2.555          6.021         57.819         42.253
     05/11/1968       310      1968        217.600          217.600          0.001      13901.248       4169.917          0.300          0.733        186.236          2.407         10.037         42.464         14.480
     29/10/1969       302      1969        367.300          358.589          0.001      14647.952       5803.243          0.396          0.775        199.176          1.882         10.919         34.274        125.200
     29/10/1970       302      1970        206.200          206.189          0.000       8197.868       3442.444          0.420          0.608        126.239          2.288          7.875         70.349         48.073
     26/10/1971       299      1971        178.800          178.386          0.000      11268.540       4479.411          0.398          0.770        164.495          2.334         10.454         50.658         20.502
     17/10/1972       291      1972         80.700           80.700          0.001       4300.752       1145.823          0.266          0.605         73.429          1.454          1.667        180.875         17.922
     17/10/1973       290      1973        266.000          265.909          0.000      11129.502       4898.474          0.440          0.749        157.353          2.207         10.813         52.055         73.577
     31/10/1974       304      1974        163.200          162.710          0.000       9671.589       2928.950          0.303          0.590        129.409          2.472          7.242         50.129         15.122
     21/10/1975       294      1975        207.200          204.450          0.000      12209.238       4296.864          0.352          0.760        170.313          2.361         10.145         42.395         30.670
     30/10/1976       304      1976        246.800          246.800          0.001      13115.692       4164.707          0.318          0.759        177.103          2.459         10.240         43.078         52.694
     26/10/1977       299      1977        199.400          192.682          0.000      10682.852       2668.389          0.250          0.604        162.734          2.674          7.136         45.941          8.196
     31/10/1978       304      1978        306.600          298.441          0.001      14250.636       5829.954          0.409          0.786        188.094          1.877         10.943         35.624         64.500
     23/10/1979       296      1979        185.600          185.600          0.000       8755.766       2953.261          0.337          0.592        129.594          2.422          7.154         63.383         38.895
     18/10/1980       292      1980        128.600          128.245          0.000       7989.893       1890.137          0.237          0.441        119.343          2.764          5.224         57.907          4.361
     26/10/1981       299      1981        291.200          272.454          0.001      11920.154       4092.004          0.343          0.795        168.629          2.593         10.610         41.167         59.722
     23/10/1982       296      1982         75.400           75.400          0.001       5647.374       1339.154          0.237          0.434         93.604          2.684          3.595        100.330          2.936
     25/10/1983       298      1983        302.400          297.967          0.001      14530.145       5379.193          0.370          0.778        203.796          2.071         11.141         36.972         66.603
     25/10/1984       299      1984        180.000          176.382          0.001      11107.129       4831.095          0.435          0.789        155.848          2.224         10.745         51.729         26.012
     26/10/1985       299      1985        254.200          254.084          0.000       8424.781       3176.479          0.377          0.639        128.285          2.519          8.001         71.974         83.798
     29/10/1986       302      1986        322.000          296.641          0.001      15173.876       5568.573          0.367          0.771        209.100          2.014         11.213         34.142         77.855
     24/10/1987       297      1987        211.600          211.600          0.000       8799.411       3233.930          0.368          0.641        134.404          2.391          7.731         73.220         53.714
     18/10/1988       292      1988        264.400          257.276          0.001      12935.390       5137.846          0.397          0.796        188.641          2.109         10.837         44.633         37.462
     26/10/1989       299      1989        220.800          207.574          0.001      12629.433       4210.496          0.333          0.752        189.027          2.357          9.924         39.733         22.438
     29/10/1990       302      1990        296.200          288.951          0.001      13736.461       5439.213          0.396          0.784        179.416          1.956         10.641         35.418         76.291
     18/10/1991       291      1991        279.200          242.228          0.001      12243.089       4722.303          0.386          0.781        188.655          2.159         10.195         41.845         41.233
     27/10/1992       301      1992        105.200          105.200          0.000       6577.873       1975.118          0.300          0.638        100.196          2.357          4.656        118.676          4.844
     21/10/1993       294      1993        333.200          323.700          0.001      13149.019       5749.415          0.437          0.814        180.959          1.973         11.346         41.623        110.116
     20/10/1994       293      1994         65.200           65.200          0.001       6372.413       1428.298          0.224          0.606         97.234          2.776          3.965        117.788          2.484
     17/10/1995       290      1995        183.100          178.123          0.001       9568.450       3417.500          0.357          0.626        147.671          2.408          8.230         48.246         16.699
     22/10/1996       296      1996        289.100          279.491          0.000      12897.044       4923.036          0.382          0.799        181.367          2.219         10.925         47.095         77.667
     22/10/1997       295      1997        278.400          266.613          0.000       9830.908       4186.174          0.426          0.688        151.658          2.410         10.087         47.339         95.474
     19/10/1998       292      1998        513.900          472.115          0.001      12254.077       5276.305          0.431          0.784        162.603          2.184         11.524         29.515        287.764
     15/10/1999       288      1999        220.400          220.210          0.001      10257.889       3904.421          0.381          0.774        149.133          2.658         10.379         53.072         46.511
     20/10/2000       294      2000        206.700          206.700          0.000       8945.780       2256.773          0.252          0.466        131.545          2.606          5.882         50.729         57.897
     22/10/2001       295      2001        189.000          187.731          0.000      10070.641       3005.489          0.298          0.561        148.433          2.312          6.949         55.136         13.908
     15/10/2002       288      2002         75.200           75.200          0.000       4982.911       1603.061          0.322          0.672         86.015          2.299          3.686        153.369          6.504
