date,income,expenditure,balance,comment
01/May/1941,,53.02,41946.98,fuel & oil costs of t1 + p2
01/May/1941,,80.0,41866.98,Repairs & maintenance of t1
01/May/1941,,32.0,41834.98,Repairs & maintenance of p2
02/May/1941,,13.255,41821.725,fuel & oil costs of t1 + p2
02/May/1941,,20.0,41801.725,Repairs & maintenance of t1
02/May/1941,,8.0,41793.725,Repairs & maintenance of p2
30/Jun/1941,,136000.0,-94206.275,Farm Overheads
30/Jun/1941,,94958.5601725,-189164.835173,Loan repayments for initial capital outlay
01/May/1942,,53.02,-189217.855173,fuel & oil costs of t1 + p2
01/May/1942,,80.0,-189297.855173,Repairs & maintenance of t1
01/May/1942,,32.0,-189329.855173,Repairs & maintenance of p2
02/May/1942,,13.255,-189343.110173,fuel & oil costs of t1 + p2
02/May/1942,,20.0,-189363.110173,Repairs & maintenance of t1
02/May/1942,,8.0,-189371.110173,Repairs & maintenance of p2
28/May/1942,,17520.0,-206891.110173,seedcost (wheat)
28/May/1942,,15000.0,-221891.110173,fertilisercost (urea)
28/May/1942,,106.04,-221997.150173,fuel & oil costs of t1 + p1
28/May/1942,,80.0,-222077.150173,Repairs & maintenance of t1
28/May/1942,,32.0,-222109.150173,Repairs & maintenance of p1
29/May/1942,,106.04,-222215.190173,fuel & oil costs of t1 + p1
29/May/1942,,80.0,-222295.190173,Repairs & maintenance of t1
29/May/1942,,32.0,-222327.190173,Repairs & maintenance of p1
30/May/1942,,53.02,-222380.210173,fuel & oil costs of t1 + p1
30/May/1942,,40.0,-222420.210173,Repairs & maintenance of t1
30/May/1942,,16.0,-222436.210173,Repairs & maintenance of p1
30/Jun/1942,,136000.0,-358436.210173,Farm Overheads
30/Jun/1942,,94958.5601725,-453394.770345,Loan repayments for initial capital outlay
10/Oct/1942,,50000,-503394.770345,contract (broadacre_harvesting)
10/Oct/1942,147657.312837,,-355737.457508,cropprice (wheat)
