,Year 1941,Year 1942,Year 1943
Crop income
Other farm income,,,147657
Interest Earned,,,
Total income,0,0,295315

Variable expenses
Overhead expenses,231165,264230,50000
Interest Paid,94959,94959,
Total expenses,326330,392460,100000

Annual Surplus/Deficit,-326330,-392460,195315

Cumulative Cash Flow,-284330,-676790,-481475

