Summary_file = pigeonp.sum
Title = pigeonp Sample Simulation
       day      year            lai        biomass  green_biomass
     (day)    (year)      (m^2/m^2)        (kg/ha)        (kg/ha)
        67      1989          4.104      10418.131       8346.638
        68      1989          4.046      10513.988       8388.137
        69      1989          3.924      10585.886       8391.576
        70      1989          3.804      10654.941       8393.493
        71      1989          3.691      10725.634       8400.504
        72      1989          3.563      10781.264       8384.738
        73      1989          3.448      10838.896       8377.495
        74      1989          3.323      10884.900       8353.486
        75      1989          3.323      10968.023       8436.610
        76      1989          3.323      11018.245       8486.831
        77      1989          3.323      11083.933       8552.520
        78      1989          3.323      11200.730       8669.316
        79      1989          3.269      11294.388       8732.637
        80      1989          3.172      11356.422       8740.100
        81      1989          3.066      11408.550       8732.800
        82      1989          2.950      11448.002       8707.155
        83      1989          2.839      11486.150       8682.869
        84      1989          2.827      11576.628       8766.851
        85      1989          2.827      11621.794       8812.017
        86      1989          2.827      11690.559       8880.781
        87      1989          2.827      11771.141       8961.363
        88      1989          2.827      11853.020       9043.242
        89      1989          2.827      11918.866       9109.090
        90      1989          2.827      11976.836       9167.060
        91      1989          2.827      12038.657       9228.880
        92      1989          2.827      12065.893       9256.115
        93      1989          2.827      12100.406       9290.629
        94      1989          2.827      12160.168       9350.391
        95      1989          2.827      12252.313       9442.537
        96      1989          2.827      12339.307       9529.529
        97      1989          2.827      12415.636       9605.859
        98      1989          2.827      12508.031       9698.254
        99      1989          2.827      12588.681       9778.903
       100      1989          2.827      12674.356       9864.579
       101      1989          2.827      12722.546       9912.770
       102      1989          2.827      12802.755       9992.978
       103      1989          2.827      12875.101      10065.323
       104      1989          2.827      12942.098      10132.320
       105      1989          2.827      13001.032      10191.255
       106      1989          2.827      13060.497      10250.720
       107      1989          2.827      13094.946      10285.170
       108      1989          2.827      13094.946      10285.169
       109      1989          2.827      13094.946      10285.169
       110      1989          2.827      13094.946      10285.170
       111      1989          0.000      13094.946       8698.621
       112      1989          0.000          0.000          0.000
       113      1989          0.000          0.000          0.000
       114      1989          0.000          0.000          0.000
       115      1989          0.000          0.000          0.000
       116      1989          0.000          0.000          0.000
       117      1989          0.000          0.000          0.000
       118      1989          0.000          0.000          0.000
       119      1989          0.000          0.000          0.000
       120      1989          0.000          0.000          0.000
