Summary_file = Emerald600early.sum
Title = Emerald 600mm wet soil Early sowing
           date       day      year   in_crop_rain eff_in_crop_rain            lai        biomass          yield             hi            nhi         sum_ep   n_conc_grain        grain_n          no3()            esw flowering_date
             ()     (day)    (year)             ()               ()      (m^2/m^2)        (kg/ha)        (kg/ha)             ()             ()           (mm)            (%)        (g/m^2)        (kg/ha)           (mm)          (doy)
     14/09/1957       257      1957        178.000          177.977          0.001       6856.018       1923.566          0.281          0.704        137.176          2.159          4.153         41.545         13.727            215
     04/09/1958       247      1958         66.700           66.688          0.001       4184.935        859.029          0.205          0.618         89.534          3.239          2.782         45.275          0.206            209
     12/09/1959       255      1959         91.600           89.256          0.001       5471.506       1168.905          0.214          0.678         98.194          3.189          3.727         41.464          0.510            212
     19/09/1960       263      1960         48.400           48.400          0.001       3087.529        579.335          0.188          0.590         58.765          3.415          1.979         54.109          0.087            221
     18/09/1961       261      1961         53.000           53.000          0.001       3175.425        544.705          0.172          0.491         64.791          3.358          1.829         49.901          0.080            218
     11/09/1962       254      1962         69.100           68.819          0.001       4283.653        827.505          0.193          0.635         82.064          3.469          2.871         42.370          0.235            211
     17/09/1963       260      1963         69.100           69.100          0.001       3498.233       1458.753          0.417          0.737         77.490          2.407          3.512         58.012          3.496            219
     10/09/1964       254      1964         65.400           65.400          0.001       4152.780        829.146          0.200          0.595         81.553          3.256          2.699         45.302          0.099            211
     15/09/1965       258      1965         16.300           16.300          0.001       2722.473        498.468          0.183          0.634         58.456          3.575          1.782         68.097          0.082            219
     17/09/1966       260      1966        178.600          177.233          0.001       4089.809       1374.191          0.336          0.741         79.661          2.950          4.054         37.014         63.205            218
     17/09/1967       260      1967        172.200          170.849          0.001       8082.954       2135.466          0.264          0.685        149.069          2.105          4.495         31.824          2.302            214
     19/09/1968       263      1968        219.000          185.767          0.001       6708.135       1733.787          0.258          0.702        122.400          2.385          4.135         33.301         30.464            222
     04/09/1969       247      1969         49.500           49.500          0.001       3290.332        607.248          0.185          0.538         68.470          3.399          2.064         53.580          0.148            208
     13/09/1970       256      1970         18.500           18.500          0.001       2237.051        438.484          0.196          0.656         54.738          3.344          1.466         77.444          0.114            215
     14/09/1971       257      1971        133.000          132.474          0.001       3338.607       1082.271          0.324          0.703         68.386          3.416          3.697         47.050         40.984            219
     11/09/1972       255      1972         32.900           32.900          0.001       2803.502        496.168          0.177          0.526         61.628          3.640          1.806         61.761          0.069            214
     30/08/1973       242      1973        179.900          178.559          0.001       6758.910       2407.605          0.356          0.755        137.640          1.990          4.792         40.054          9.095            203
     17/09/1974       260      1974         85.300           85.296          0.001       3165.443        626.273          0.198          0.507         70.360          3.081          1.929         51.983          3.680            218
     07/09/1975       250      1975        114.500          114.500          0.001       3696.624        863.624          0.234          0.620         81.483          3.200          2.764         49.284         15.376            210
     13/09/1976       257      1976         73.500           73.430          0.001       3474.693        645.872          0.186          0.570         74.398          3.415          2.206         50.042          0.274            213
     11/09/1977       254      1977        206.100          130.289          0.001       5380.821       1377.266          0.256          0.715        113.351          2.671          3.679         37.298         21.869            214
     13/09/1978       256      1978        256.600          252.005          0.001       8198.812       2323.856          0.283          0.692        154.410          1.956          4.545         36.179         49.178            214
     07/09/1979       250      1979         33.200           33.200          0.001       2816.984        586.257          0.208          0.624         62.928          3.590          2.105         62.429          0.153            209
     06/09/1980       250      1980        179.200          162.537          0.001       6735.037       2402.402          0.357          0.743        144.428          1.918          4.608         34.867          6.960            210
     12/09/1981       255      1981        178.700          161.149          0.001       6867.173       1744.635          0.254          0.708        138.609          2.551          4.450         33.243          7.061            213
     15/09/1982       258      1982         44.600           44.553          0.001       3053.844        540.193          0.177          0.556         67.655          3.521          1.902         58.693          0.225            219
     09/09/1983       252      1983        322.300          182.275          0.001       7098.366       1917.825          0.270          0.679        128.209          1.956          3.751         33.782         25.195            212
     09/09/1984       253      1984        187.600          182.348          0.001       5053.098       2029.409          0.402          0.695        105.317          2.341          4.752         39.274         64.929            211
     11/09/1985       254      1985        173.200          159.660          0.001       7077.768       1743.394          0.246          0.697        137.003          2.492          4.345         33.914          5.468            214
     08/09/1986       251      1986        173.100          163.538          0.001       6929.285       1882.613          0.272          0.722        135.403          2.456          4.623         34.425          5.456            208
     07/09/1987       250      1987         92.500           92.500          0.001       4570.737        988.654          0.216          0.722         81.525          3.622          3.581         43.342          0.139            209
     04/09/1988       248      1988        243.300          237.920          0.001       7449.548       2097.132          0.282          0.708        149.475          2.188          4.589         38.281         59.055            207
     14/09/1989       257      1989        234.900          182.603          0.001       7598.996       2103.328          0.277          0.699        131.504          2.071          4.356         33.263         24.608            214
     13/09/1990       256      1990        138.200          117.289          0.001       6201.717       1501.389          0.242          0.709        118.626          2.774          4.165         35.380          4.989            212
     05/09/1991       248      1991         79.700           79.441          0.001       3713.059        720.428          0.194          0.570         86.286          3.423          2.466         49.625          0.168            208
     05/09/1992       249      1992         80.000           79.359          0.001       3509.013        703.579          0.201          0.588         72.463          3.177          2.235         56.723          3.018            209
     01/09/1993       244      1993        100.900          100.900          0.001       3064.369        732.371          0.239          0.624         62.427          3.067          2.246         63.971         46.202            204
     11/09/1994       254      1994         21.800           21.698          0.001       2995.506        550.363          0.184          0.565         68.780          3.209          1.766         63.138          0.330            213
     06/09/1995       249      1995         67.500           67.500          0.001       2863.481        651.251          0.227          0.622         60.234          3.035          1.977         64.813          0.196            208
     06/09/1996       250      1996         85.800           83.176          0.001       4360.901       1147.333          0.263          0.678         93.021          2.908          3.336         44.038          0.907            208
     08/09/1997       251      1997         66.300           66.300          0.001       2904.150        523.400          0.180          0.548         60.866          3.459          1.810         58.549          0.103            211
     03/09/1998       246      1998        222.400          214.057          0.001       5799.642       1712.986          0.295          0.751        118.694          2.606          4.463         39.669         78.867            207
     04/09/1999       247      1999         29.800           29.800          0.001       2564.675        556.063          0.217          0.688         54.383          2.967          1.650         78.196          0.208            207
     08/09/2000       252      2000        127.600          127.006          0.001       5329.415       1482.252          0.278          0.736        104.464          2.665          3.951         40.693          0.699            213
     06/09/2001       249      2001         29.500           29.500          0.001       2504.117        526.673          0.210          0.607         57.147          3.274          1.724         71.292          0.170            207
     06/09/2002       249      2002         80.500           80.500          0.001       3849.809        750.191          0.195          0.632         79.879          3.638          2.729         44.258          0.145            209
