Summary_file = sunflower.sum
Title = sunflower SAMPLE SIMULATION
      year       day       das          stage     zadok            lai     biomass_wt          grain      biomass_n        grain_n        tillers     root_depth            cep       ws_pheno       ws_photo       ws_expan      ws_tiller       Ns_pheno       Ns_photo       Ns_expan      Ns_tiller            esw           sw()             es         runoff          drain          no3()          nh4()
    (year)     (day)    (days)             ()        ()      (m^2/m^2)         (g/m2)        (g/m^2)         (g/m2)        (g/m^2)             ()           (mm)           (mm)             ()             ()             ()             ()             ()             ()             ()             ()           (mm)        (mm/mm)           (mm)           (mm)           (mm)        (kg/ha)        (kg/ha)
      1988        50         1          1.999         5          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          1.000          0.000          1.000          1.000          1.000          1.000          1.000          1.000        356.478          3.176          0.597          0.000          1.397        105.510          1.699
      1988        51         2          2.000         5          0.000          0.000          0.000          0.000          0.000          0.000         88.000          0.000          1.000          0.000          1.000          1.000          1.000          1.000          1.000          1.000        354.370          3.169          0.539          0.000          1.570        105.740          1.732
      1988        52         3          2.404         7          0.000          0.000          0.000          0.000          0.000          0.000        126.000          0.000          1.000          1.000          1.000          1.000          1.000          1.000          1.000          1.000        352.153          3.160          0.495          0.000          1.722        106.017          1.761
      1988        53         4          2.613         8          0.000          0.000          0.000          0.000          0.000          0.000        164.000          0.000          1.000          1.000          1.000          1.000          1.000          1.000          1.000          1.000        349.845          3.151          0.460          0.000          1.848        106.335          1.791
      1988        54         5          2.816         9          0.000          0.000          0.000          0.000          0.000          0.000        186.800          0.000          1.000          1.000          1.000          1.000          1.000          1.000          1.000          1.000        347.468          3.142          0.432          0.000          1.945        106.683          1.842
      1988        55         6          3.000        10          0.002          1.000          0.000          0.050          0.000          0.000        209.600          0.000          1.000          1.000          1.000          1.000          1.000          1.000          1.000          1.000        345.048          3.133          0.408          0.000          2.012        107.062          1.890
      1988        56         7          3.105        10          0.016          1.028          0.000          0.051          0.000          0.000        232.400          0.007          1.000          1.000          1.000          1.000          1.000          1.000          1.000          1.000        342.603          3.124          0.388          0.000          2.050        107.454          1.893
      1988        57         8          3.197        11          0.018          1.173          0.000          0.055          0.000          0.000        255.200          0.027          1.000          1.000          1.000          1.000          1.000          1.000          0.962          1.000        340.153          3.114          0.770          0.000          2.060        107.797          1.884
      1988        58         9          3.296        11          0.021          1.454          0.000          0.065          0.000          0.000        278.000          0.114          1.000          1.000          1.000          1.000          1.000          1.000          0.739          1.000        337.667          3.105          2.355          0.000          2.044        108.076          1.876
      1988        59        10          3.399        12          0.023          1.813          0.000          0.078          0.000          0.000        300.800          0.205          1.000          1.000          1.000          1.000          1.000          1.000          0.597          1.000        335.229          3.096          0.342          0.000          2.005        108.298          1.866
      1988        60        11          3.488        13          0.026          1.985          0.000          0.088          0.000          0.000        317.900          0.217          1.000          1.000          1.000          1.000          1.000          0.950          0.573          1.000        341.388          3.143          1.714          0.368          1.947        108.285          1.750
      1988        61        12          3.573        13          0.029          2.266          0.000          0.100          0.000          0.000        335.000          0.275          1.000          1.000          1.000          1.000          1.000          1.000          0.687          1.000        352.465          3.196          2.597          5.192          1.876        108.003          1.647
      1988        62        13          3.659        14          0.033          2.527          0.000          0.111          0.000          0.000        352.100          0.302          1.000          1.000          1.000          1.000          1.000          1.000          0.702          1.000        354.144          3.203          2.095          0.000          1.799        107.664          1.581
      1988        63        14          3.757        14          0.039          3.156          0.000          0.133          0.000          0.000        369.200          0.484          1.000          1.000          1.000          1.000          1.000          1.000          0.736          1.000        354.432          3.196          4.191          0.016          1.722        107.228          1.533
