Summary_file = p12-97.sum
Title = south plots
      year     month       day day_month              sw(1)              sw(2)              sw(3)              sw(4)              sw(5)              sw(6)              sw(7)              sw(8)              sw(9)             sw(10)             sw(11)             sw(12)             sw(13)             sw(14)             sw(15)             sw(16)             sw(17)             sw(18)             sw(19)             sw(20)             sw(21)             sw(22)             sw(23)             sw(24)             sw(25)             sw(26)             sw(27)             sw(28)             psi(1)             psi(2)             psi(3)             psi(4)             psi(5)             psi(6)             psi(7)             psi(8)             psi(9)            psi(10)            psi(11)            psi(12)            psi(13)            psi(14)            psi(15)            psi(16)            psi(17)            psi(18)            psi(19)            psi(20)            psi(21)            psi(22)            psi(23)            psi(24)            psi(25)            psi(26)            psi(27)            psi(28)     sw_dep_025    sw_dep_2590   sw_dep_90180       sw_dep()
    (year)   (month)     (day)     (day)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)               (??)               (??)               (??)               (??)               (??)               (??)               (??)               (??)               (??)               (??)               (??)               (??)               (??)               (??)               (??)               (??)               (??)               (??)               (??)               (??)               (??)               (??)               (??)               (??)               (??)               (??)               (??)               (??)             ()             ()             ()           (mm)
      1998         8       238        26              0.290              0.290              0.291              0.293              0.283              0.262              0.261              0.283              0.290              0.316              0.322              0.326              0.338              0.348              0.348              0.349              0.348              0.338              0.324              0.311              0.311              0.310              0.302              0.312              0.316              0.311              0.310              0.310            -94.752            -93.750            -92.745            -89.706            -84.753            -73.764            -76.003            -93.940            -99.387            -68.287            -54.332            -40.887            -34.218            -28.617            -27.138            -25.962            -27.793            -33.430            -38.985            -41.228            -39.024            -37.247            -28.499            -23.747            -21.925            -51.946            -65.701            -65.411         69.358        193.339        304.174       1893.885
      1998         9       267        24              0.320              0.321              0.322              0.325              0.312              0.282              0.282              0.306              0.305              0.320              0.324              0.317              0.329              0.339              0.341              0.341              0.341              0.331              0.318              0.306              0.307              0.306              0.300              0.310              0.315              0.316              0.316              0.316            -55.979            -54.980            -53.981            -51.023            -46.139            -36.926            -37.379            -44.527            -57.531            -55.028            -49.667            -80.957            -74.101            -61.162            -54.371            -51.226            -54.353            -60.770            -65.077            -63.186            -56.658            -53.004            -39.635            -32.630            -23.702            -22.993            -22.365            -22.073         75.886        201.118        297.513       1896.743
      1998        10       288        15              0.066              0.107              0.150              0.151              0.169              0.199              0.201              0.225              0.251              0.281              0.300              0.313              0.329              0.340              0.341              0.341              0.340              0.329              0.316              0.304              0.305              0.305              0.298              0.309              0.314              0.315              0.315              0.315        -240517.587         -18355.055          -3097.505          -3012.705          -2037.104           -922.889           -844.550           -848.281           -482.582           -337.984           -219.492           -116.083            -69.722            -56.735            -51.991            -51.978            -58.844            -69.040            -74.559            -71.907            -63.972            -59.482            -46.913            -38.537            -28.845            -27.877            -27.023            -26.630         43.047        166.495        294.668       1821.726
      1998        11       308         4              0.057              0.062              0.082              0.119              0.139              0.174              0.182              0.203              0.214              0.229              0.262              0.297              0.323              0.336              0.338              0.339              0.338              0.328              0.315              0.303              0.305              0.304              0.298              0.308              0.314              0.314              0.314              0.314        -503313.197        -318358.107         -73894.827         -10412.200          -6932.321          -3179.444          -2160.104          -2270.055          -2678.424          -5815.966          -2944.785           -466.814           -119.638            -82.569            -68.771            -64.113            -67.830            -75.459            -79.386            -75.931            -67.693            -63.124            -50.542            -41.946            -32.245            -31.383            -30.547            -30.145         35.235        142.621        284.954       1777.101
      1998        12       344        10              0.058              0.067              0.133              0.189              0.209              0.222              0.235              0.261              0.263              0.236              0.265              0.300              0.318              0.332              0.334              0.335              0.335              0.326              0.313              0.302              0.303              0.303              0.297              0.308              0.313              0.313              0.313              0.314        -441281.818        -210069.500          -5878.943           -893.093           -546.178           -339.490           -204.553           -204.524           -290.864          -3778.848          -2406.478           -372.112           -176.696           -121.748            -97.759            -88.290            -88.983            -93.217            -93.433            -87.067            -77.109            -71.958            -56.438            -46.600            -36.456            -35.531            -34.719            -34.341         49.083        162.750        283.204       1804.234
      1999         2        35         4              0.221              0.224              0.229              0.238              0.243              0.247              0.255              0.280              0.283              0.302              0.310              0.308              0.317              0.329              0.331              0.332              0.332              0.323              0.311              0.300              0.301              0.301              0.296              0.307              0.312              0.312              0.313              0.313           -399.628           -365.360           -327.529           -266.830           -216.411           -126.628            -93.569           -107.315           -132.312           -125.635           -118.715           -185.648           -203.243           -157.938           -129.822           -117.148           -115.088           -115.860           -112.523           -103.568            -92.029            -86.288            -67.561            -53.881            -43.555            -41.981            -40.685            -40.101         60.394        187.241        287.762       1838.477
      1999         3        83        24              0.240              0.241              0.241              0.244              0.243              0.215              0.221              0.255              0.271              0.294              0.305              0.311              0.321              0.330              0.330              0.331              0.331              0.322              0.310              0.299              0.300              0.299              0.295              0.306              0.312              0.312              0.312              0.312           -255.094           -253.268           -250.084           -236.521           -218.587           -454.676           -361.763           -255.525           -207.943           -181.261           -160.020           -141.305           -136.202           -136.940           -136.496           -131.909           -130.934           -130.324           -125.231           -115.020           -102.654            -96.564            -75.878            -59.090            -49.308            -47.475            -45.877            -45.140         57.890        177.557        289.052       1823.864
      1999         7       210        29              0.081              0.147              0.194              0.216              0.231              0.240              0.250              0.279              0.289              0.312              0.319              0.322              0.334              0.344              0.344              0.344              0.343              0.333              0.319              0.306              0.307              0.306              0.298              0.308              0.314              0.314              0.314              0.314         -80604.482          -3438.448           -776.893           -451.335           -296.689           -168.000           -114.859           -111.246           -105.220            -79.673            -64.341            -53.715            -46.785            -41.096            -39.326            -38.483            -42.352            -51.246            -58.141            -59.811            -56.227            -53.672            -46.836            -42.075            -34.033            -33.892            -33.369            -33.066         55.663        190.496        300.798       1866.119
      1999         8       237        25              0.064              0.106              0.184              0.210              0.228              0.240              0.247              0.275              0.286              0.309              0.317              0.320              0.332              0.341              0.342              0.342              0.340              0.330              0.317              0.305              0.306              0.305              0.299              0.309              0.315              0.315              0.314              0.314        -265040.521         -19464.687          -1030.156           -519.339           -321.549           -167.451           -128.893           -123.540           -116.583            -93.156            -76.830            -64.698            -56.579            -51.052            -49.350            -49.363            -54.724            -63.088            -68.472            -66.824            -60.032            -56.092            -43.942            -36.711            -27.940            -28.138            -29.011            -29.664         54.525        188.484        298.596       1860.438
