Summary_file = soilwat2.sum
Title = Soilwat2 Sample Simulation
            day           year           rain         runoff          drain             eo             es      sw_dep(1)      sw_dep(2)      sw_dep(3)      sw_dep(4)      sw_dep(5)      sw_dep(6)      sw_dep(7)
          (day)         (year)           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)
              1           1988          0.200          0.000          0.000          5.475          0.366         42.861         56.610        126.100        127.678        121.186        122.998        123.000
              2           1988          0.000          0.000          0.000          6.487          0.165         44.273         57.209        124.142        126.564        122.082        123.000        123.000
              3           1988          0.000          0.000          0.000          6.409          0.164         45.987         57.128        122.613        125.627        122.750        123.000        123.000
              4           1988         34.000          2.840          0.000          5.017          4.610         65.083         63.411        123.788        125.103        123.269        123.000        123.000
              5           1988          2.000          0.000          0.000          4.342          3.963         63.049         62.811        124.330        124.813        123.687        123.000        123.000
              6           1988          0.000          0.000          0.000          5.757          1.014         62.180         62.318        124.494        124.653        124.033        123.000        123.000
              7           1988          0.000          0.000          0.000          5.656          0.785         61.605         61.949        124.453        124.562        124.324        123.000        123.000
              8           1988          0.000          0.000          0.000          6.505          0.664         61.189         61.657        124.304        124.507        124.572        123.000        123.000
              9           1988          0.000          0.000          0.000          6.981          0.586         60.871         61.414        124.103        124.469        124.784        123.000        123.000
             10           1988          0.000          0.000          0.000          6.998          0.531         60.618         61.208        123.881        124.439        124.966        123.000        123.000
             11           1988          0.000          0.000          0.000          6.085          0.488         60.409         61.028        123.654        124.410        125.121        123.000        123.000
             12           1988          0.000          0.000          0.000          5.672          0.455         60.231         60.870        123.432        124.380        125.254        123.000        123.000
             13           1988          0.000          0.000          0.000          6.266          0.427         60.078         60.728        123.220        124.349        125.365        123.000        123.000
             14           1988          0.000          0.000          0.000          6.531          0.404         59.942         60.600        123.020        124.314        125.459        123.000        123.000
             15           1988          0.000          0.000          0.000          6.197          0.385         59.821         60.484        122.833        124.277        125.536        123.000        123.000
             16           1988         13.000          0.250          0.000          3.742          3.742         64.807         63.390        123.785        124.362        125.614        123.000        123.000
             17           1988          9.000          0.117          0.000          6.296          5.378         65.787         64.523        124.886        124.559        125.708        123.000        123.000
             18           1988          0.000          0.000          0.000          8.301          1.477         64.205         63.781        125.403        124.781        125.817        123.000        123.000
             19           1988          1.000          0.000          0.000          5.689          1.940         63.294         63.241        125.588        124.986        125.938        123.000        123.000
             20           1988         99.000         64.704          0.000          5.417          4.850         68.650         74.850        135.938        127.055        126.000        123.000        123.000
             21           1988          0.000          0.000          0.000          7.047          1.790         67.500         72.963        135.519        128.720        126.000        123.000        123.000
             22           1988          5.200          0.000          0.000          5.244          5.244         67.500         71.889        135.239        130.031        126.000        123.000        123.000
             23           1988          0.000          0.000          0.000          5.537          0.984         67.500         70.297        134.869        131.009        126.000        123.000        123.000
             24           1988          0.000          0.000          0.000          6.985          0.771         67.500         69.237        134.472        131.694        126.000        123.000        123.000
             25           1988          0.000          0.000          0.000          6.330          0.656         67.500         68.054        134.694        132.000        126.000        123.000        123.000
             26           1988          0.000          0.000          0.000          6.105          0.580         67.224         67.444        135.000        132.000        126.000        123.000        123.000
             27           1988          0.000          0.000          0.000          6.055          0.526         66.829         67.312        135.000        132.000        126.000        123.000        123.000
             28           1988          0.000          0.000          0.000          5.673          0.485         66.575         67.082        135.000        132.000        126.000        123.000        123.000
             29           1988          0.000          0.000          0.000          5.688          0.452         66.349         66.856        135.000        132.000        126.000        123.000        123.000
             30           1988          0.000          0.000          0.000          6.237          0.425         66.138         66.696        134.946        132.000        126.000        123.000        123.000
