"month","maxt.m10","maxt.m50","maxt.m90","maxtTrend","mint.m10","mint.m50","mint.m90","mintTrend","maxtProp"
1,0,0,0,-0.00826273536709958,0,0,0,-0.00172004086994584,0.5
2,0,0,0,0.0149490225798542,0,0,0,0.0113169092570718,0.569141147272683
3,-0.0210045248868778,0,0,0.00190045248868798,0,0,0,-0.00480367829513879,0.5
4,0,0,0,-0.00315414781297146,0,0,0,-0.00146907993966782,0.5
5,0,0.0233031674208143,0,0.0141237775507224,0,0,0,0.00290410159100847,0.829450187728237
6,0,-0.0284343891402713,0,-0.0192509803921567,0,0,0,0.0156446455505282,0.5
7,-0.0202171945701357,0,0,-0.0124586191796817,0,0,0,0.00474178951977828,0.5
8,0,0,0,0.000389687636841462,0,-0.0256696832579186,0,-0.0171401255291198,0.5
9,0,0,0,0.0181018007202880,0,0,0,0.00107947178871536,0.943722618600581
10,0,0,0,-0.0114377105680984,0,0,0,-0.0141114510320258,0.5
11,0,0,0,0.00430828331332531,0,0,0,0.00389851940776310,0.52496489311905
12,0.0243793517406963,0,0,0.0190780312124849,0,0,0,0.00823668822367633,0.698452395129784
