"month","maxt.m10","maxt.m50","maxt.m90","maxtTrend","mint.m10","mint.m50","mint.m90","mintTrend","maxtProp"
1,0.0587239819004523,0.0502714932126694,0.0386425339366514,0.0478835206539189,0,0.0235746606334841,0.0285520361990950,0.0255378776820901,0.652173913043478
2,0,0,0,0.0148241981142590,0,0,0,0.0190820497960457,0.437211399901127
3,0.0511855203619908,0.0374570135746605,0,0.0399611735513062,0,0,0,0.00878411910669966,0.819795540703212
4,0.0330361990950225,0,0,0.0186443438914028,0,0,0,0.0141058823529410,0.569289010472799
5,0,0.0282714932126694,0.0339728506787327,0.030591154575974,0,0,0,0.0281173551306376,0.521068491243423
6,0,0,0.0326733031674206,0.0164594268476621,0,0.0351945701357462,0.0458434389140267,0.0290265460030162,0.361857201596968
7,0.0246063348416288,0,0.0325339366515835,0.0222633192234709,0.031574660633484,0,0,0.0285905707196030,0.437789896670493
8,0.0262081447963799,0.0403031674208144,0,0.0316906899236120,0,0,0,0.0124889918746654,0.717313675284272
9,0.0319097238895559,0.0737334933973592,0.0601512605042017,0.0552480192076831,0,0.0551524609843937,0.0402617046818728,0.0412139255702281,0.572744198086439
10,0.0315534213685475,0.0608835534213687,0.05858343337335,0.0517705921078111,0.0363505402160865,0.0369459783913566,0.0313613445378153,0.0340186655307285,0.603462409313983
11,0,0,0,0.00432541016406571,0.0377944777911165,0,0,0.0205712685074031,0.173734425428504
12,0,0.0273469387755103,0.0352268907563026,0.0277180807806996,0,0.0250804321728692,0.0290756302521008,0.0247117685783992,0.52866985351903
