ApsimVersion = 6.1
Title = Canopy Sample Simulation
            day           year stage_sunflower  lai_sunflower biom_sunflower   stage_cowpea     lai_cowpea    biom_cowpea       sw_dep()
          (day)         (year)              ()      (m^2/m^2)        (kg/ha)             ()      (m^2/m^2)        (kg/ha)           (mm)
             10           1988           1.000          0.000            0.0          1.000          0.000            0.0        744.024
             11           1988           1.999          0.000            0.0          1.999          0.000            0.0        743.471
             12           1988           2.000          0.000            0.0          2.000          0.000            0.0        742.966
             13           1988           2.438          0.000            0.0          2.410          0.000            0.0        742.497
             14           1988           2.650          0.000            0.0          2.598          0.000            0.0        742.058
             15           1988           2.850          0.000            0.0          2.776          0.000            0.0        741.644
             16           1988           3.000          0.002           10.0          2.954          0.000            0.0        741.251
             17           1988           3.117          0.016           10.3          3.000          0.020            7.5        750.901
             18           1988           3.204          0.018           14.2          3.046          0.024            9.8        754.710
             19           1988           3.281          0.020           19.4          3.075          0.030           13.2        752.351
             20           1988           3.375          0.023           23.7          3.107          0.036           16.3        751.050
             21           1988           3.466          0.026           28.5          3.136          0.042           19.8        787.690
             22           1988           3.554          0.029           35.2          3.168          0.052           25.0        784.963
             23           1988           3.647          0.033           40.9          3.198          0.061           29.9        785.257
             24           1988           3.747          0.039           48.0          3.227          0.072           36.0        783.553
             25           1988           3.834          0.044           57.9          3.259          0.088           44.6        781.716
             26           1988           3.930          0.052           68.6          3.289          0.105           54.4        780.187
             27           1988           4.000          0.061           81.0          3.314          0.127           66.1        778.732
             28           1988           4.061          0.071           95.6          3.335          0.152           80.3        777.027
             29           1988           4.108          0.082          110.8          3.358          0.181           95.8        775.270
             30           1988           4.159          0.098          128.2          3.385          0.213          113.6        773.649
             31           1988           4.205          0.114          150.4          3.410          0.254          136.0        771.046
             32           1988           4.253          0.134          171.1          3.440          0.292          156.9        773.153
             33           1988           4.303          0.159          199.7          3.469          0.342          184.3        769.346
             34           1988           4.355          0.189          230.9          3.499          0.395          213.5        766.560
             35           1988           4.406          0.224          260.5          3.524          0.443          239.9        764.328
             36           1988           4.454          0.264          308.9          3.546          0.514          278.7        760.534
             37           1988           4.500          0.306          365.9          3.570          0.595          323.9        755.416
             38           1988           4.543          0.351          427.9          3.596          0.678          371.5        749.278
             39           1988           4.593          0.410          467.8          3.621          0.726          400.2        747.810
             40           1988           4.636          0.471          524.9          3.639          0.789          438.8        785.710
             41           1988           4.681          0.543          613.0          3.658          0.870          490.8        777.980
             42           1988           4.727          0.616          717.6          3.681          0.950          543.3        769.553
             43           1988           4.773          0.689          824.5          3.707          1.024          592.8        760.863
             44           1988           4.820          0.730          944.5          3.737          1.096          642.7        751.718
             45           1988           4.872          0.854         1038.4          3.763          1.149          679.6        801.594
             46           1988           4.925          0.993         1147.7          3.788          1.199          714.3        822.935
             47           1988           4.973          1.129         1281.8          3.810          1.251          750.9        819.386
             48           1988           5.000          1.219         1421.5          3.831          1.299          784.8        812.194
             49           1988           5.051          1.295         1543.7          3.852          1.343          815.7        805.877
             50           1988           5.081          1.352         1637.7          3.872          1.378          840.9        800.466
             51           1988           5.109          1.400         1744.2          3.896          1.420          871.1        792.758
             52           1988           5.132          1.433         1844.2          3.923          1.463          902.1        783.169
             53           1988           5.157          1.466         1923.5          3.950          1.501          929.1        776.920
             54           1988           5.182          1.496         2000.0          3.975          1.538          956.5        770.322
             55           1988           5.206          1.522         2076.4          4.000          1.578          985.1        763.584
             56           1988           5.230          1.546         2145.6          4.797          1.614         1012.0        757.319
             57           1988           5.255          1.571         2184.4          5.000          1.635         1027.5        754.103
             58           1988           5.280          1.595         2212.3          6.000          1.643         1038.0        752.134
             59           1988           5.306          1.621         2260.3          6.175          1.656         1054.9        750.078
             60           1988           5.333          1.648         2315.5          6.324          1.671         1073.3        746.158
             61           1988           5.356          1.670         2340.9          6.441          1.677         1081.5        754.610
             62           1988           5.379          1.692         2381.6          6.551          1.686         1093.6        772.691
             63           1988           5.401          1.713         2415.6          6.663          1.688         1103.3        776.441
             64           1988           5.427          1.738         2484.0          6.801          1.695         1121.7        778.612
             65           1988           5.452          1.760         2559.9          6.950          1.703         1141.7        773.301
             66           1988           5.478          1.782         2622.4          7.000          1.690         1157.9        769.766
             67           1988           5.502          1.800         2688.3          7.077          1.679         1174.4        792.650
             68           1988           5.526          1.817         2767.5          7.119          1.665         1193.7        787.838
             69           1988           5.548          1.833         2844.2          7.159          1.651         1211.9        783.189
             70           1988           5.572          1.848         2925.4          7.205          1.634         1230.7        777.778
             71           1988           5.596          1.862         3010.3          7.254          1.615         1249.7        771.846
             72           1988           5.617          1.875         3100.3          7.309          1.595         1269.1        763.795
