Summary_file = soiltemp.sum
Title = sample simulation
           Date   ave_soil_temp(1)   ave_soil_temp(2)   ave_soil_temp(3)   ave_soil_temp(4)   ave_soil_temp(5)   ave_soil_temp(6)   ave_soil_temp(7) ave_soil_temp_surface maxt_soil_surface mint_soil_surface           maxt           mint
             ()               (oC)               (oC)               (oC)               (oC)               (oC)               (oC)               (oC)                  (oC)              (oC)              (oC)           (oC)           (oC)
     07/01/1988             28.148             26.205             24.096             22.206             20.901             20.093             19.595                29.200            32.305            26.071         28.400         17.800
     14/01/1988             30.834             29.489             27.329             24.665             22.569             20.992             19.743                31.490            35.767            27.164         30.600         16.000
     21/01/1988             30.952             28.739             27.128             25.098             23.236             21.552             19.995                33.248            37.739            29.738         35.000         21.200
     28/01/1988             29.681             29.183             28.035             25.928             23.845             21.969             20.270                29.908            33.788            26.028         29.400         16.000
     04/02/1988             29.572             29.053             27.936             26.003             24.096             22.284             20.563                29.981            33.513            26.374         29.000         16.200
     11/02/1988             29.356             27.581             26.212             25.194             23.945             22.430             20.847                30.584            34.709            26.447         31.500         16.800
     18/02/1988             26.426             26.187             25.528             24.678             23.637             22.393             21.086                26.385            30.360            22.588         27.800         14.800
     25/02/1988             29.043             28.841             27.531             25.554             23.900             22.514             21.284                28.553            33.792            25.922         27.700         19.600
     04/03/1988             26.175             24.661             24.257             24.178             23.589             22.619             21.517                27.801            31.548            24.731         30.800         19.000
     11/03/1988             30.341             27.941             25.754             24.242             23.280             22.453             21.661                32.015            37.265            26.895         34.600         16.200
     18/03/1988             26.851             26.513             25.755             24.681             23.672             22.711             21.797                26.960            31.170            22.803         27.500         13.200
     25/03/1988             24.760             25.743             25.545             24.642             23.712             22.809             21.939                23.461            29.691            19.934         26.400         15.400
     01/04/1988             22.748             23.889             24.687             24.327             23.592             22.820             22.066                22.274            24.976            19.551         27.000         17.000
     08/04/1988             23.775             23.467             23.102             23.049             22.929             22.603             22.160                23.738            26.815            21.576         27.200         20.000
     15/04/1988             23.539             22.509             22.044             22.221             22.381             22.348             22.198                24.382            27.839            20.970         27.000         14.800
     22/04/1988             23.108             22.647             22.211             22.219             22.273             22.254             22.198                23.259            27.293            19.323         27.000         13.500
     29/04/1988             20.337             21.914             22.724             22.692             22.477             22.312             22.195                19.034            22.647            16.962         21.000         14.500
     06/05/1988             23.710             23.735             23.293             22.762             22.464             22.306             22.200                23.424            28.703            19.006         25.800         11.000
     13/05/1988             20.024             20.755             21.610             22.241             22.414             22.355             22.214                19.561            24.141            15.320         22.200          7.800
     20/05/1988             16.398             18.604             20.582             21.592             21.950             22.109             22.201                14.954            19.503            11.272         19.400          7.000
     27/05/1988             19.443             19.110             19.426             20.274             21.042             21.651             22.139                19.809            23.244            16.266         22.800         10.400
     03/06/1988             18.713             18.755             19.126             19.909             20.702             21.407             22.030                18.841            22.131            15.490         22.200         10.400
     10/06/1988             16.948             16.936             18.026             19.506             20.519             21.268             21.910                17.344            20.888            13.884         21.200          8.800
     17/06/1988             16.352             16.722             17.477             18.708             19.875             20.884             21.767                16.270            20.019            12.354         20.200          6.500
     24/06/1988             16.041             16.611             17.609             18.742             19.743             20.693             21.599                15.817            20.148            11.460         19.900          4.900
     01/07/1988             15.284             16.145             17.443             18.699             19.677             20.577             21.437                14.934            19.954             9.805         20.100          2.400
     08/07/1988             14.583             15.694             17.063             18.329             19.386             20.362             21.276                14.043            17.419            10.592         18.900          6.800
     15/07/1988             15.798             16.041             16.863             18.042             19.136             20.154             21.107                15.930            19.505            12.343         20.200          7.400
     22/07/1988             17.363             17.940             17.967             18.396             19.168             20.051             20.939                16.316            21.758            14.533         17.400         12.600
     30/07/1988             16.963             16.491             16.998             18.036             19.013             19.920             20.768                17.652            20.736            14.780         20.000          9.600
     06/08/1988             19.695             19.426             18.967             18.864             19.257             19.903             20.623                19.470            23.620            17.836         18.100         13.300
     13/08/1988             16.822             16.968             17.316             18.188             19.098             19.865             20.513                16.751            21.207            12.267         20.100          4.700
     20/08/1988             21.922             20.949             19.811             19.217             19.346             19.817             20.395                22.669            28.254            17.068         27.800          8.000
     27/08/1988             18.104             17.979             18.583             19.519             19.975             20.182             20.335                18.274            21.152            15.642         20.700         11.600
     03/09/1988             21.288             19.421             18.502             18.785             19.359             19.866             20.284                22.852            27.016            19.142         26.100         12.400
     10/09/1988             20.906             20.053             19.658             19.658             19.785             19.980             20.219                21.658            25.224            18.167         24.100         11.600
     17/09/1988             20.645             18.989             18.773             19.417             19.856             20.067             20.190                22.542            28.451            17.412         28.700          9.400
     24/09/1988             23.864             21.985             20.571             20.030             19.972             20.048             20.161                25.117            29.002            21.202         26.800         13.000
     01/10/1988             29.122             26.852             23.974             21.983             21.010             20.488             20.169                29.665            36.351            27.013         27.200         19.400
     08/10/1988             29.595             29.047             27.116             24.421             22.514             21.233             20.274                29.453            35.038            25.105         29.400         15.000
