ApsimVersion = 6.1
Title = Pasture PI SAMPLE Simulation
           Date           rain   assimilation         growth       green_dm       shoot_dm        shoot_n        senc_dm        seed_dm          rtdep         rlv(1)         rlv(2)         rlv(3)         rlv(4)         rlv(5)         rlv(6)         rlv(7)    sw_uptake()       sw_dep()             es          no3()          nh4()        fom_c()   sw_uptake(1)   sw_uptake(2)   sw_uptake(3)   sw_uptake(4)   sw_uptake(5)   sw_uptake(6)   sw_uptake(7)      sw_dep(1)      sw_dep(2)      sw_dep(3)      sw_dep(4)      sw_dep(5)      sw_dep(6)      sw_dep(7)         no3(1)         no3(2)         no3(3)         no3(4)         no3(5)         no3(6)         no3(7)         nh4(1)         nh4(2)         nh4(3)         nh4(4)         nh4(5)         nh4(6)         nh4(7)      cover_tot  residue_cover        senc_dm      litter_dm  uptake_no3(1)  uptake_no3(2)  uptake_no3(3)  uptake_no3(4)  uptake_no3(5)  uptake_no3(6)  uptake_no3(7)  uptake_nh4(1)  uptake_nh4(2)  uptake_nh4(3)  uptake_nh4(4)  uptake_nh4(5)  uptake_nh4(6)  uptake_nh4(7)        glf_gai       glf_nitr       glf_nutr       glf_phos         glf_sm       glf_sulf        glf_tmp        glf_vpd         glf_wl
             ()           (mm)      (kg/ha/d)      (kg/ha/d)        (kg/ha)        (kg/ha)          (g/g)        (kg/ha)        (kg/ha)           (mm)      (mm/mm^3)      (mm/mm^3)      (mm/mm^3)      (mm/mm^3)      (mm/mm^3)      (mm/mm^3)      (mm/mm^3)           (mm)           (mm)           (mm)        (kg/ha)        (kg/ha)        (kg/ha)           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)      (m^2/m^2)      (m^2/m^2)        (kg/ha)        (kg/ha)      (kg/ha/d)      (kg/ha/d)      (kg/ha/d)      (kg/ha/d)      (kg/ha/d)      (kg/ha/d)      (kg/ha/d)      (kg/ha/d)      (kg/ha/d)      (kg/ha/d)      (kg/ha/d)      (kg/ha/d)      (kg/ha/d)      (kg/ha/d)            (-)            (-)            (-)            (-)            (-)            (-)            (-)            (-)            (-)
     30/04/2002          0.000         20.184          0.000         4100.0         4933.0          0.043            0.0            0.0        200.000     365179.281       8154.042          0.000          0.000          0.000          0.000          0.000          0.737        653.142          2.208          433.6            7.9          394.2          0.733          0.004          0.000          0.000          0.000          0.000          0.000         59.721         44.357         75.209        103.664        124.191        123.000        123.000          177.0          206.6           19.4           10.8            6.1            7.6            6.0            0.6            0.5            1.1            1.0            1.1            1.8            1.8          0.250          0.041            0.0          233.0          7.452          1.123          0.000          0.000          0.000          0.000          0.000          0.025          0.003          0.000          0.000          0.000          0.000          0.000          0.218          1.000          1.000          1.000          1.000          1.000          0.996          1.000          0.476
     01/05/2002          0.000         41.512          0.000         4016.4         4846.6          0.043            0.0            0.0        200.000     361904.875       8080.930          0.000          0.000          0.000          0.000          0.000          0.764        650.279          2.126          426.1            6.9          387.2          0.752          0.012          0.000          0.000          0.000          0.000          0.000         54.961         46.155         75.478        105.008        122.676        123.000        123.000          164.0          210.7           20.0           11.0            6.2            7.9            6.2            0.6            0.5            1.0            0.9            0.9            1.5            1.5          0.246          0.041            0.0          232.1          5.176          1.156          0.000          0.000          0.000          0.000          0.000          0.019          0.003          0.000          0.000          0.000          0.000          0.000          0.214          1.000          1.000          1.000          1.000          1.000          0.998          1.000          1.000
     02/05/2002          0.000         37.859          0.000         4016.2         4841.9          0.043            0.0            0.0        200.000     351433.438       7847.115          0.000          0.000          0.000          0.000          0.000          0.607        647.650          1.865          420.9            6.0          378.9          0.595          0.012          0.000          0.000          0.000          0.000          0.000         51.637         46.738         75.787        106.084        121.404        123.000        123.000          156.8          211.3           20.7           11.3            6.3            8.1            6.5            0.6            0.4            0.9            0.8            0.8            1.3            1.3          0.246          0.041            0.0          229.4          4.820          1.196          0.000          0.000          0.000          0.000          0.000          0.018          0.003          0.000          0.000          0.000          0.000          0.000          0.214          1.000          1.000          1.000          1.000          1.000          0.999          1.000          1.000
     03/05/2002          0.000         39.580          0.000         3991.4         4811.7          0.042            0.0            0.0        200.000     340583.656       7604.850          0.000          0.000          0.000          0.000          0.000          0.735        645.691          1.352          416.0            5.2          369.6          0.720          0.015          0.000          0.000          0.000          0.000          0.000         49.406         46.893         76.123        106.940        120.426        122.903        123.000          151.3          210.5           21.3           11.4            6.4            8.4            6.7            0.6            0.4            0.8            0.7            0.6            1.0            1.1          0.245          0.041            0.0          225.9          4.388          1.117          0.000          0.000          0.000          0.000          0.000          0.017          0.002          0.000          0.000          0.000          0.000          0.000          0.213          1.000          1.000          1.000          1.000          1.000          1.000          1.000          1.000
     04/05/2002          0.000         30.585          4.516         2739.4         4044.8          0.042            0.0            0.0        200.000     329516.969       7357.743          0.000          0.000          0.000          0.000          0.000          0.505        644.164          0.792          411.5            4.4          359.6          0.494          0.010          0.000          0.000          0.000          0.000          0.000         47.793         46.862         76.478        107.626        119.679        122.725        123.000          146.7          209.3           22.0           11.6            6.5            8.6            6.8            0.6            0.4            0.7            0.6            0.5            0.8            0.9          0.207          0.066            0.0          894.2          2.557          0.646          0.000          0.000          0.000          0.000          0.000          0.010          0.001          0.000          0.000          0.000          0.000          0.000          0.152          1.000          1.000          1.000          1.000          1.000          1.000          1.000          1.000
     05/05/2002          0.000         28.900          3.184         2743.8         4035.4          0.042            0.0            0.0        200.000     319361.812       7130.990          0.000          0.000          0.000          0.000          0.000          0.406        642.991          0.668          409.2            3.8          349.8          0.398          0.008          0.000          0.000          0.000          0.000          0.000         46.617         46.751         76.849        108.181        119.096        122.497        123.000          144.3          208.3           22.6           11.7            6.6            8.7            7.0            0.5            0.3            0.6            0.5            0.4            0.6            0.8          0.212          0.065            0.0          881.6          2.491          0.614          0.000          0.000          0.000          0.000          0.000          0.009          0.001          0.000          0.000          0.000          0.000          0.000          0.156          1.000          1.000          1.000          1.000          1.000          1.000          1.000          1.000
     06/05/2002          0.000          5.535         26.072          549.4          976.0          0.041            0.0            0.0        200.000     309508.375       6910.975          0.000          0.000          0.000          0.000          0.000          0.118        641.996          0.589          407.0            3.2          340.5          0.115          0.002          0.000          0.000          0.000          0.000          0.000         45.665         46.599         77.232        108.630        118.632        122.238        123.000          142.2          207.1           23.2           11.8            6.7            8.9            7.1            0.5            0.3            0.5            0.4            0.3            0.5            0.7          0.056          0.022            0.0          344.8          0.325          0.077          0.000          0.000          0.000          0.000          0.000          0.001          0.000          0.000          0.000          0.000          0.000          0.000          0.034          1.000          0.760          0.760          1.000          1.000          1.000          1.000          1.000
     07/05/2002          0.000          8.523         22.839          575.5          991.8          0.041            0.0            0.0        200.000     300734.188       6715.056          0.000          0.000          0.000          0.000          0.000          0.182        641.346          0.533          407.3            2.8          331.8          0.178          0.004          0.000          0.000          0.000          0.000          0.000         45.070         46.437         77.625        108.995        118.252        121.965        123.000          142.3          206.4           23.8           11.9            6.8            9.0            7.2            0.5            0.3            0.5            0.4            0.2            0.4            0.6          0.086          0.022            0.0          334.9          0.507          0.116          0.000          0.000          0.000          0.000          0.000          0.002          0.000          0.000          0.000          0.000          0.000          0.000          0.065          1.000          0.701          0.701          1.000          1.000          1.000          1.000          1.000
     08/05/2002          0.000          7.114         11.454          299.1         1004.8          0.041            0.0            0.0        200.000     146421.422       3269.426          0.000          0.000          0.000          0.000          0.000          0.127        640.674          0.490          407.3            2.4          323.7          0.124          0.003          0.000          0.000          0.000          0.000          0.000         44.471         46.263         78.027        109.291        117.936        121.687        123.000          142.3          205.6           24.3           12.0            6.8            9.0            7.3            0.4            0.3            0.4            0.4            0.2            0.3            0.5          0.082          0.036            0.0          325.2          0.280          0.028          0.000          0.000          0.000          0.000          0.000          0.001          0.000          0.000          0.000          0.000          0.000          0.000          0.047          1.000          0.738          0.738          1.000          1.000          1.000          1.000          1.000
     09/05/2002          4.600          6.328          8.205          310.6         1006.4          0.041            0.0            0.0        200.000     142420.328       3180.085          0.000          0.000          0.000          0.000          0.000          0.118        643.227          1.920          407.6            2.2          315.8          0.116          0.003          0.000          0.000          0.000          0.000          0.000         46.957         46.230         78.440        109.527        117.663        121.411        123.000          141.9          205.4           24.9           12.0            6.8            9.1            7.3            0.4            0.3            0.3            0.3            0.2            0.2            0.4          0.095          0.036            0.0          316.7          0.324          0.031          0.000          0.000          0.000          0.000          0.000          0.001          0.000          0.000          0.000          0.000          0.000          0.000          0.061          1.000          0.555          0.555          1.000          1.000          1.000          1.000          1.000
     10/05/2002          1.000          7.562          6.819          390.2         1076.5          0.040            0.0            0.0        200.000     142072.812       3112.782          0.000          0.000          0.000          0.000          0.000          0.496        641.939          2.170          407.7            2.0          309.1          0.487          0.009          0.000          0.000          0.000          0.000          0.000         45.676         46.124         78.859        109.714        117.417        121.154        122.995          141.8          205.0           25.4           12.1            6.9            9.1            7.4            0.4            0.3            0.3            0.3            0.1            0.2            0.4          0.194          0.036            0.0          321.8          1.223          0.027          0.000          0.000          0.000          0.000          0.000          0.004          0.000          0.000          0.000          0.000          0.000          0.000          0.164          1.000          0.407          0.407          1.000          1.000          1.000          1.000          1.000
