ApsimVersion = 6.1
Title = Constant CO2 levels
           Date          yield            co2
             ()        (kg/ha)            (?)
     15/10/1940         4709.7        350.000
     20/10/1941         2569.7        350.000
     14/10/1942         2349.3        350.000
     25/10/1943         2737.5        350.000
     19/10/1944         2821.5        350.000
     21/10/1945         1965.1        350.000
     22/10/1946         3480.4        350.000
     24/10/1947         1519.5        350.000
     24/10/1948         1526.6        350.000
     23/10/1949         2748.2        350.000
     16/10/1950         2399.1        350.000
     24/10/1951         2816.2        350.000
     23/10/1952         1751.9        350.000
     24/10/1953         2183.5        350.000
     15/10/1954         2265.7        350.000
     20/10/1955         1926.9        350.000
     29/10/1956         1765.7        350.000
     21/10/1957         2600.5        350.000
     23/10/1958         1717.6        350.000
     23/10/1959         2182.5        350.000
     25/10/1960         1950.1        350.000
     22/10/1961         1939.2        350.000
     21/10/1962         1344.9        350.000
     24/10/1963         2185.1        350.000
     23/10/1964         1534.3        350.000
     19/10/1965         2475.0        350.000
     28/10/1966         1127.4        350.000
     19/10/1967         1802.3        350.000
     25/10/1968         1415.7        350.000
     23/10/1969         2072.0        350.000
     24/10/1970         1312.3        350.000
     24/10/1971         1133.3        350.000
     18/10/1972         2209.5        350.000
     10/10/1973         1499.1        350.000
     25/10/1974         2629.0        350.000
     18/10/1975         1043.3        350.000
     26/10/1976         1339.3        350.000
     20/10/1977         2054.9        350.000
     30/10/1978         1067.2        350.000
     19/10/1979         1340.7        350.000
     13/10/1980         1643.5        350.000
     21/10/1981         1073.3        350.000
     23/10/1982         1321.7        350.000
     19/10/1983         1096.8        350.000
     26/10/1984         1561.1        350.000
     23/10/1985          861.6        350.000
     22/10/1986         1603.8        350.000
     21/10/1987         1298.9        350.000
     15/10/1988         1363.8        350.000
     25/10/1989         1518.1        350.000
