ApsimVersion = 6.0
Title = Winter dicot fallow Simulation
            day           year       weed_lai   weed_biomass weed_grn_biomass
          (day)         (year)      (m^2/m^2)        (kg/ha)          (kg/ha)
            262           1988          0.000            0.0              0.0
            263           1988          0.000            0.0              0.0
            264           1988          0.000            0.0              0.0
            265           1988          0.000            0.0              0.0
            266           1988          0.000            0.0              0.0
            267           1988          0.000            0.0              0.0
            268           1988          0.000            0.0              0.0
            269           1988          0.000            0.0              0.0
            270           1988          0.000            0.0              0.0
            271           1988          0.000            0.0              0.0
            272           1988          0.000            0.0              0.0
            273           1988          0.000            0.0              0.0
            274           1988          0.000            0.0              0.0
            275           1988          0.000            0.0              0.0
            276           1988          0.000            0.0              0.0
            277           1988          0.000            0.0              0.0
            278           1988          0.000            0.0              0.0
            279           1988          0.000            0.0              0.0
            280           1988          0.000            0.0              0.0
            281           1988          0.000            0.0              0.0
            282           1988          0.000            0.0              0.0
            283           1988          0.000            0.0              0.0
            284           1988          0.000            0.0              0.0
            285           1988          0.000            0.0              0.0
            286           1988          0.000            0.0              0.0
            287           1988          0.000            0.0              0.0
            288           1988          0.000            0.0              0.0
            289           1988          0.000            0.0              0.0
            290           1988          0.000            0.0              0.0
            291           1988          0.000            0.0              0.0
            292           1988          0.000            0.0              0.0
            293           1988          0.000            0.0              0.0
            294           1988          0.000            0.0              0.0
            295           1988          0.000            0.0              0.0
            296           1988          0.000            0.0              0.0
            297           1988          0.000            0.0              0.0
            298           1988          0.000            0.0              0.0
            299           1988          0.000            0.0              0.0
            300           1988          0.000            0.0              0.0
            301           1988          0.000            0.0              0.0
            302           1988          0.000            0.0              0.0
            303           1988          0.000            0.0              0.0
            304           1988          0.000            0.0              0.0
            305           1988          0.000            0.0              0.0
            306           1988          0.000            0.0              0.0
            307           1988          0.000            0.0              0.0
            308           1988          0.000            0.0              0.0
            309           1988          0.000            0.0              0.0
            310           1988          0.000            0.0              0.0
            311           1988          0.000            0.0              0.0
            312           1988          0.000            0.0              0.0
            313           1988          0.000            0.0              0.0
            314           1988          0.000            0.0              0.0
            315           1988          0.000            0.0              0.0
            316           1988          0.000            0.0              0.0
            317           1988          0.000            0.0              0.0
            318           1988          0.000            0.0              0.0
            319           1988          0.000            0.0              0.0
            320           1988          0.000            0.0              0.0
            321           1988          0.000            0.0              0.0
            322           1988          0.000            0.0              0.0
            323           1988          0.000            0.0              0.0
            324           1988          0.000            0.0              0.0
            325           1988          0.000            0.0              0.0
            326           1988          0.000            0.0              0.0
            327           1988          0.000            0.0              0.0
            328           1988          0.000            0.0              0.0
            329           1988          0.000            0.0              0.0
            330           1988          0.000            0.0              0.0
            331           1988          0.000            0.0              0.0
            332           1988          0.000            0.0              0.0
            333           1988          0.000            0.0              0.0
            334           1988          0.000            0.0              0.0
            335           1988          0.000            0.0              0.0
            336           1988          0.000            0.0              0.0
            337           1988          0.000            0.0              0.0
            338           1988          0.000            0.0              0.0
            339           1988          0.000            0.0              0.0
            340           1988          0.000            0.0              0.0
            341           1988          0.000            0.0              0.0
            342           1988          0.000            0.0              0.0
            343           1988          0.000            0.0              0.0
            344           1988          0.000            0.0              0.0
            345           1988          0.000            0.0              0.0
            346           1988          0.000            0.0              0.0
            347           1988          0.000            0.0              0.0
            348           1988          0.000            0.0              0.0
            349           1988          0.000            0.0              0.0
            350           1988          0.000            0.0              0.0
            351           1988          0.000            0.0              0.0
            352           1988          0.000            0.0              0.0
            353           1988          0.000            0.0              0.0
            354           1988          0.000            0.0              0.0
            355           1988          0.000            0.0              0.0
            356           1988          0.000            0.0              0.0
            357           1988          0.000            0.0              0.0
            358           1988          0.000            0.0              0.0
            359           1988          0.000            0.0              0.0
            360           1988          0.000            0.0              0.0
            361           1988          0.000            0.0              0.0
            362           1988          0.000            0.0              0.0
            363           1988          0.000            0.0              0.0
            364           1988          0.000            0.0              0.0
            365           1988          0.000            0.0              0.0
            366           1988          0.000            0.0              0.0
              1           1989          0.000            0.0              0.0
              2           1989          0.000            0.0              0.0
              3           1989          0.000            0.0              0.0
              4           1989          0.000            0.0              0.0
              5           1989          0.000            0.0              0.0
              6           1989          0.000            0.0              0.0
              7           1989          0.000            0.0              0.0
              8           1989          0.000            0.0              0.0
              9           1989          0.000            0.0              0.0
             10           1989          0.000            0.0              0.0
             11           1989          0.000            0.0              0.0
             12           1989          0.000            0.0              0.0
             13           1989          0.000            0.0              0.0
             14           1989          0.000            0.0              0.0
             15           1989          0.000            0.0              0.0
             16           1989          0.000            0.0              0.0
             17           1989          0.000            0.0              0.0
             18           1989          0.000            0.0              0.0
             19           1989          0.000            0.0              0.0
             20           1989          0.000            0.0              0.0
             21           1989          0.000            0.0              0.0
             22           1989          0.000            0.0              0.0
             23           1989          0.000            0.0              0.0
             24           1989          0.000            0.0              0.0
             25           1989          0.000            0.0              0.0
             26           1989          0.000            0.0              0.0
             27           1989          0.000            0.0              0.0
             28           1989          0.000            0.0              0.0
             29           1989          0.000            0.0              0.0
             30           1989          0.000            0.0              0.0
             31           1989          0.000            0.0              0.0
             32           1989          0.000            0.0              0.0
             33           1989          0.000            0.0              0.0
             34           1989          0.000            0.0              0.0
             35           1989          0.000            0.0              0.0
             36           1989          0.000            0.0              0.0
             37           1989          0.000            0.0              0.0
             38           1989          0.000            0.0              0.0
             39           1989          0.000            0.0              0.0
             40           1989          0.000            0.0              0.0
             41           1989          0.000            0.0              0.0
             42           1989          0.000            0.0              0.0
