APSIM output file, version = 5.3
Title = oats SAMPLE Simulation
           Date           rain            das          stage            lai        biomass          yield     root_depth             ep
             ()           (mm)            (d)             ()      (m^2/m^2)        (kg/ha)        (kg/ha)           (mm)           (mm)
     02/09/1988          0.000             78          5.116          3.664       2501.115          0.000       1278.450          0.952
     03/09/1988          0.000             79          5.151          3.727       2584.379          0.000       1301.550          2.020
     04/09/1988          1.200             80          5.186          3.774       2659.152          0.000       1325.250          1.807
     05/09/1988          0.600             81          5.218          3.800       2712.753          0.000       1346.250          0.630
     06/09/1988          0.000             82          5.250          3.829       2788.052          0.000       1367.550          0.933
     07/09/1988          8.000             83          5.281          3.850       2859.307          0.000       1388.190          0.711
     08/09/1988          0.000             84          5.311          3.866       2986.271          0.000       1408.290          2.769
     09/09/1988          0.000             85          5.340          3.861       3109.029          0.000       1427.430          2.260
     10/09/1988          0.000             86          5.372          3.841       3236.344          0.000       1448.850          2.603
     11/09/1988          0.000             87          5.409          3.807       3371.798          0.000       1473.390          2.874
     12/09/1988         14.000             88          5.443          3.773       3481.020          0.000       1496.010          0.949
     13/09/1988         13.000             89          5.474          3.741       3665.029          0.000       1516.770          3.953
     14/09/1988          0.000             90          5.493          3.721       3739.459          0.000       1529.790          0.460
     15/09/1988         13.400             91          5.523          3.691       3918.562          0.000       1549.890          3.423
     16/09/1988          1.200             92          5.554          3.660       4105.667          0.000       1569.930          3.585
     17/09/1988          0.000             93          5.588          3.608       4346.609          0.000       1592.790          4.890
     18/09/1988          0.000             94          5.620          3.555       4588.910          0.000       1614.210          4.803
     19/09/1988          0.000             95          5.646          3.512       4814.288          0.000       1631.430          4.115
     20/09/1988          0.000             96          5.668          3.475       5028.827          0.000       1646.430          3.746
     21/09/1988          0.000             97          5.694          3.433       5259.189          0.000       1663.350          4.205
     22/09/1988          0.000             98          5.722          3.386       5487.772          0.000       1682.250          4.334
     23/09/1988          0.000             99          5.755          3.332       5706.601          0.000       1704.150          4.356
     24/09/1988          0.000            100          5.791          3.272       5919.606          0.000       1728.030          4.362
     25/09/1988          0.000            101          5.827          3.212       6139.465          0.000       1752.210          4.545
     26/09/1988          0.000            102          5.865          3.133       6349.621          0.000       1777.110          4.394
     27/09/1988          0.000            103          5.903          3.042       6507.313          0.000       1800.000          3.322
