ApsimVersion = 6.1
Title = WHEAT SAMPLE Simulation
           Date           rain            das          stage            lai        biomass          yield     root_depth             ep
             ()           (mm)            (d)             ()      (m^2/m^2)        (kg/ha)        (kg/ha)           (mm)           (mm)
     02/09/1988          0.000             78          5.489          2.801         3443.6            0.0       1278.450          2.021
     03/09/1988          0.000             79          5.524          2.769         3607.8            0.0       1301.550          3.986
     04/09/1988          1.200             80          5.560          2.736         3745.5            0.0       1325.250          3.327
     05/09/1988          0.600             81          5.591          2.706         3836.3            0.0       1346.250          1.067
     06/09/1988          0.000             82          5.623          2.676         3953.7            0.0       1367.550          1.455
     07/09/1988          8.000             83          5.654          2.648         4056.5            0.0       1388.190          1.026
     08/09/1988          0.000             84          5.684          2.606         4226.0            0.0       1408.290          3.697
     09/09/1988          0.000             85          5.713          2.559         4379.0            0.0       1427.430          2.816
     10/09/1988          0.000             86          5.745          2.507         4526.7            0.0       1448.850          3.019
     11/09/1988          0.000             87          5.782          2.447         4671.0            0.0       1473.390          3.062
     12/09/1988         14.000             88          5.816          2.392         4776.2            0.0       1496.010          0.914
     13/09/1988         13.000             89          5.847          2.341         4937.7            0.0       1516.770          4.131
     14/09/1988          0.000             90          5.867          2.309         4997.8            0.0       1529.790          0.371
     15/09/1988         13.400             91          5.897          2.260         5138.5            0.0       1549.890          2.932
     16/09/1988          1.200             92          5.927          2.211         5284.2            0.0       1569.930          3.381
     17/09/1988          0.000             93          5.961          2.155         5470.2            0.0       1592.790          4.962
     18/09/1988          0.000             94          5.993          2.103         5655.6            0.0       1614.210          4.833
     19/09/1988          0.000             95          6.000          2.061         5826.5           45.4       1631.430          3.650
     20/09/1988          0.000             96          6.193          2.025         5988.1           84.9       1646.430          2.836
     21/09/1988          0.000             97          6.311          1.983         6160.5          129.5       1663.350          4.145
     22/09/1988          0.000             98          6.442          1.937         6330.3          179.3       1682.250          4.243
     23/09/1988          0.000             99          6.594          1.883         6491.5          237.0       1704.150          4.229
     24/09/1988          0.000            100          6.760          1.815         6646.7          299.9       1728.030          3.930
     25/09/1988          0.000            101          6.928          1.746         6804.4          363.6       1752.210          4.305
     26/09/1988          0.000            102          7.000          1.675         6952.7          494.9       1777.110          4.096
     27/09/1988          0.000            103          7.062          1.601         7062.2          630.5       1800.000          2.496
     28/09/1988          6.400            104          7.103          1.524         7192.8          773.1       1800.000          3.609
     29/09/1988          0.000            105          7.141          1.453         7345.6          904.7       1800.000          4.288
     30/09/1988          0.000            106          7.188          1.365         7488.8         1066.0       1800.000          4.792
     01/10/1988          0.000            107          7.231          1.286         7608.3         1213.3       1800.000          2.023
     02/10/1988          0.000            108          7.266          1.219         7744.0         1335.7       1800.000          3.696
     03/10/1988          0.000            109          7.303          1.151         7877.9         1462.2       1800.000          3.739
     04/10/1988          0.000            110          7.348          1.067         8000.4         1617.4       1800.000          3.710
     05/10/1988          0.000            111          7.383          1.004         8080.1         1781.9       1800.000          3.499
     06/10/1988          0.000            112          7.424          0.949         8169.3         1946.3       1800.000          3.422
     07/10/1988          0.000            113          7.467          0.890         8277.5         2095.5       1800.000          3.227
     08/10/1988          0.000            114          7.508          0.834         8370.5         2235.9       1800.000          2.702
     09/10/1988          0.000            115          7.552          0.773         8459.8         2384.8       1800.000          2.485
     10/10/1988          0.000            116          7.591          0.720         8536.1         2505.1       1800.000          1.780
     11/10/1988          0.000            117          7.626          0.673         8604.0         2607.6       1800.000          2.065
     12/10/1988          0.000            118          7.669          0.615         8666.5         2728.4       1800.000          2.342
     13/10/1988          0.000            119          7.715          0.551         8719.9         2856.0       1800.000          2.321
     14/10/1988          0.000            120          7.763          0.487         8761.2         2981.2       1800.000          1.739
