Summary_file = gmtb0c.sum
Title = Greenmount B0_SOILWAT
           date       dlayer()      soil_loss  erosion_cover cover_surface_runoff
             ()           (mm)         (t/ha)             ()                   ()
     01/11/1976       1500.000         13.164          0.029                0.029
     22/11/1976       1500.000          0.035          0.022                0.022
     17/01/1977       1500.000          7.137          0.019                0.019
     11/03/1977       1500.000          7.756          0.028                0.028
     12/03/1977       1500.000          0.163          0.028                0.028
     23/04/1977       1500.000          0.027          0.043                0.043
     11/05/1977       1500.000          0.599          0.050                0.050
     16/05/1977       1500.000          7.907          0.052                0.052
     04/11/1977       1500.000          0.242          0.025                0.025
     08/11/1977       1500.000          0.743          0.023                0.023
     21/11/1977       1500.000          1.619          0.020                0.020
     07/01/1978       1500.000         10.673          0.024                0.024
     21/01/1978       1500.000          0.167          0.025                0.025
     31/01/1978       1500.000          0.285          0.028                0.028
     01/02/1978       1500.000          0.068          0.028                0.028
     18/03/1978       1500.000          0.039          0.039                0.039
     29/03/1978       1500.000          0.185          0.042                0.042
     01/04/1978       1500.000          0.242          0.043                0.043
     02/04/1978       1500.000          0.439          0.043                0.043
     03/04/1978       1500.000          0.424          0.043                0.043
     03/07/1978       1500.000          2.995          0.026                0.026
     10/07/1978       1500.000          0.082          0.026                0.026
     09/08/1978       1500.000          0.012          0.026                0.026
     01/09/1978       1500.000          0.793          0.026                0.026
     06/09/1978       1500.000          0.001          0.025                0.025
     07/09/1978       1500.000          1.163          0.025                0.025
     06/11/1978       1500.000          0.973          0.024                0.024
     11/11/1978       1500.000          2.798          0.023                0.023
     18/12/1978       1500.000          0.082          0.023                0.023
     23/12/1978       1500.000          3.440          0.023                0.023
     27/12/1978       1500.000          1.954          0.023                0.023
     30/12/1978       1500.000         12.336          0.023                0.023
     19/01/1979       1500.000          1.713          0.026                0.026
     06/02/1979       1500.000          0.996          0.029                0.029
     10/02/1979       1500.000          0.877          0.030                0.030
     04/03/1979       1500.000          7.804          0.035                0.035
     05/03/1979       1500.000          0.338          0.035                0.035
     16/03/1979       1500.000         11.597          0.039                0.039
     05/05/1979       1500.000          0.030          0.053                0.053
     21/06/1979       1500.000          7.456          0.030                0.030
     30/07/1979       1500.000          0.091          0.032                0.032
     29/10/1979       1500.000          0.366          0.030                0.030
     09/11/1979       1500.000          0.031          0.028                0.028
     13/11/1979       1500.000          0.051          0.027                0.027
     17/12/1979       1500.000          0.025          0.028                0.028
     22/12/1979       1500.000          1.901          0.028                0.028
     26/01/1980       1500.000          0.106          0.032                0.032
     27/01/1980       1500.000          7.644          0.031                0.031
     05/02/1980       1500.000          0.030          0.033                0.033
     06/02/1980       1500.000         35.455          0.033                0.033
