Summary_file = CL-142.sum
Title = Continous Lucerne plots
day,year,month,day_of_month,event,rain,W_ep,L_ep,C_ep,P_ep,weed_ep,sw_dep,es,runoff,drain,transp,ET,sw(1),sw(2),sw(3),sw(4),sw(5),sw(6),sw(7),sw(8),sw(9),sw(10),sw(11),sw(12),sw(13),sw(14),sw(15),sw(16),sw(17),sw(18),sw(19),sw(20),sw(21),sw(22),sw(23),sw(24),sw(25),sw(26),sw(27),drain_120,drain_180,cum_rain,cum_es,cum_T,cum_ET,sw_dep_10120,sw_dep_120180,sw_dep_10180,sw_dep_0180,sw_dep_180300,nit_020,nit_20100,cum_n_min_020,fom_n_020,biom_n_020,hum_n_020,nit_tot,biom_n,fom_n,hum_n,no3(),nh4(),urea,dlt_n_min,surfaceom_n,surfaceom_wt,surfaceom_cover,W_topbiom,W_dleaf_wt,W_rootwt,W_leafwt,W_stemwt,W_grainwt,W_stage,W_antdat,W_matdat,W_rlv(1),W_rlv(2),W_rlv(3),W_rlv(4),W_rlv(5),W_rlv(6),W_rlv(7),W_rlv(8),W_rlv(9),W_rlv(10),W_rlv(11),W_rlv(12),W_rlv(13),W_rlv(14),W_lai,W_WatStrF,W_NitStrF,W_GrainN,W_TopsN,C_grain,C_biom,C_gbiom,C_lai,C_rlv(1),C_rlv(2),C_rlv(3),C_rlv(4),C_rlv(5),C_rlv(6),C_rlv(7),C_rlv(8),C_rlv(9),C_rlv(10),C_rlv(11),C_rlv(12),C_rlv(13),C_rlv(14),C_biomass_n,C_grain_n,C_rootdepth,C_swdefphoto,C_nfactphoto,L_lai,L_biomass,L_gbiomass,L_rlv(1),L_rlv(2),L_rlv(3),L_rlv(4),L_rlv(5),L_rlv(6),L_rlv(7),L_rlv(8),L_rlv(9),L_rlv(10),L_rlv(11),L_rlv(12),L_rlv(13),L_rlv(14),L_rlv(15),L_rlv(16),L_rlv(17),L_rlv(18),L_rlv(19),L_rlv(20),L_rlv(21),L_rlv(22),L_rlv(23),L_rlv(24),L_rlv(25),L_rlv(26),L_rlv(27),L_biomass_n,L_stage,L_rootdepth,L_swdefphoto,L_nfactphoto,L_n_fixed,L_cover_gr,L_cover_tot,P_grain,P_biom,P_gbiom,P_lai,P_rlv(1),P_rlv(2),P_rlv(3),P_rlv(4),P_rlv(5),P_rlv(6),P_rlv(7),P_rlv(8),P_rlv(9),P_rlv(10),P_rlv(11),P_rlv(12),P_rlv(13),P_rlv(14),P_biomass_n,P_grain_n,P_rootdepth,P_swdefphoto,P_nfactphoto,P_n_fixed,no3ppm(1),no3ppm(2),no3ppm(3),no3ppm(4),no3ppm(5),no3ppm(6),no3ppm(7),no3ppm(8),no3ppm(9),no3ppm(10),no3ppm(11),no3ppm(12),no3ppm(13),no3ppm(14),no3ppm(15),no3ppm(16),no3ppm(17),nh4ppm(1),nh4ppm(2),nh4ppm(3),nh4ppm(4),nh4ppm(5),nh4ppm(6),nh4ppm(7),nh4ppm(8),nh4ppm(9),nh4ppm(10),nh4ppm(11),nh4ppm(12),nh4ppm(13),nh4ppm(14),nh4ppm(15),nh4ppm(16),nh4ppm(17),Weed_rlv(1),Weed_rlv(2),Weed_rlv(3),Weed_rlv(4),Weed_rlv(5),Weed_rlv(6),Weed_biomass,weed_gbiomass,weed_lai,weed_biomass_n,cumnetdrain180,netdrain180,period_sw,period_drain
297,1996,10,23,0.000000,2.400000,0.000000,22.700275,0.000000,0.000000,0.000000,1259.863403,5.305178,0.000000,0.000031,18.822977,24.155411,0.117007,0.154986,0.174702,0.207988,0.234729,0.246372,0.264338,0.286770,0.295883,0.294685,0.270114,0.220642,0.232461,0.240918,0.237607,0.233526,0.228344,0.226050,0.227932,0.238805,0.265633,0.279771,0.287396,0.290000,0.290000,0.290000,0.290000,45.212833,1.885389,619.100159,286.506012,280.598206,567.104187,260.209564,172.136215,432.345764,444.046448,278.699524,3.557875,0.894115,70.877686,5.668131,264.776764,2474.656738,9910.083984,376.618256,25.700523,9503.253906,0.973746,3.535406,0.000000,2.686464,5.063510,235.326889,0.045975,0.000000,?,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,2.346315,5666.460938,5614.316895,0.003372,0.099973,0.083257,0.003700,0.002029,0.001618,0.001659,0.001677,0.002264,0.003454,0.003535,0.003480,0.003467,0.003152,0.003443,0.003367,0.002438,0.002210,0.002464,0.003352,0.003408,0.003388,0.003244,0.003086,0.002942,0.002877,0.002790,15.044307,6.174870,5000.000000,1.000000,1.000000,1.331618,0.846959,0.847723,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.381274,0.059592,0.035424,0.048320,0.018339,0.011109,0.006333,0.005347,0.001688,0.000277,0.000212,0.000203,0.000199,0.000135,0.000158,0.000145,0.000075,1.622564,0.279131,0.144698,0.089178,0.033759,0.019889,0.009706,0.003307,0.000680,0.000350,0.000328,0.000185,0.000041,0.000022,0.000051,0.000035,0.000010,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-31.173046,-0.354013,503.345123,0.000000
298,1996,10,24,0.000000,0.000000,0.000000,0.078815,0.000000,0.000000,0.000000,1257.327515,2.456948,0.000000,0.000006,8.003736,9.158484,0.093583,0.154307,0.174708,0.207486,0.234568,0.246342,0.264299,0.286689,0.295823,0.294580,0.270069,0.220806,0.232453,0.240901,0.237604,0.233524,0.228348,0.226054,0.227943,0.238836,0.265617,0.279756,0.287385,0.290000,0.290000,0.290000,0.290000,45.209267,1.916396,619.100159,288.962952,280.677032,569.639954,260.029633,172.094299,432.123932,441.482208,278.727020,4.164580,0.915087,71.305702,6.615166,266.079224,2474.718018,9915.028320,377.942352,28.671175,9503.277344,1.169212,3.967796,0.000000,0.539781,48.280441,1848.571289,0.309068,0.000000,?,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000982,847.452026,839.449219,0.003371,0.099935,0.083261,0.003698,0.002030,0.001619,0.001660,0.001678,0.002265,0.003452,0.003534,0.003478,0.003465,0.003149,0.003442,0.003365,0.002435,0.002207,0.002462,0.003351,0.003406,0.003387,0.003243,0.003085,0.002941,0.002877,0.002789,3.379649,4.033023,5000.000000,1.000000,0.636354,1.302725,0.000785,0.000785,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.494455,0.064424,0.039666,0.051704,0.019436,0.011591,0.006459,0.005114,0.001549,0.000278,0.000217,0.000205,0.000200,0.000135,0.000159,0.000146,0.000075,1.906456,0.281106,0.145486,0.089207,0.033802,0.019925,0.009764,0.003387,0.000721,0.000409,0.000372,0.000213,0.000057,0.000031,0.000063,0.000045,0.000014,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-31.144569,-0.208838,503.345123,0.000000
304,1996,10,30,0.000000,0.000000,0.000000,0.292185,0.000000,0.000000,0.000000,1250.060059,6.975278,0.000000,0.000037,0.242324,8.944626,0.032045,0.149782,0.174259,0.204889,0.233725,0.246267,0.264155,0.286270,0.295504,0.293978,0.269816,0.221783,0.232412,0.240801,0.237589,0.233515,0.228370,0.226083,0.228012,0.239023,0.265523,0.279667,0.287318,0.290000,0.290000,0.290000,0.290000,45.187710,2.100568,619.100159,295.938232,280.969238,576.907410,258.976471,171.859741,430.836212,434.040741,278.894165,5.036602,1.333228,72.625488,6.348558,267.270874,2474.611328,9916.987305,379.486664,28.160975,9502.905273,3.576499,2.855451,0.000000,2.015152,45.755394,1752.387451,0.295648,0.000000,?,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.037763,860.584778,854.701965,0.003321,0.098521,0.082095,0.003645,0.002002,0.001597,0.001637,0.001655,0.002233,0.003403,0.003484,0.003429,0.003416,0.003104,0.003393,0.003318,0.002400,0.002175,0.002426,0.003304,0.003358,0.003339,0.003197,0.003042,0.002900,0.002836,0.002750,4.961682,4.238622,5000.000000,1.000000,1.000000,1.445690,0.029759,0.029759,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,1.603340,0.233417,0.139189,0.125211,0.045424,0.025484,0.012623,0.006633,0.001509,0.000501,0.000408,0.000321,0.000237,0.000156,0.000193,0.000170,0.000084,1.190067,0.285904,0.128094,0.087391,0.032601,0.019206,0.009405,0.003307,0.000411,0.000238,0.000221,0.000132,0.000027,0.000014,0.000036,0.000025,0.000007,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-30.970566,0.176499,434.040741,80.634209
319,1996,11,14,0.000000,20.000000,0.000000,21.006010,0.000000,0.000000,0.000000,1230.749268,18.304939,0.000000,0.000092,19.438557,37.447876,0.036089,0.133887,0.151577,0.185886,0.215764,0.231174,0.251269,0.277010,0.288915,0.290309,0.267108,0.222940,0.232015,0.240276,0.237086,0.233137,0.228202,0.225994,0.227972,0.238966,0.265294,0.279446,0.287150,0.290000,0.290000,0.290000,0.290000,45.127033,2.540865,639.100220,314.243164,301.975311,616.218384,242.178207,169.266327,411.444550,415.053436,278.731354,3.663236,1.028675,76.611061,5.948970,270.731995,2474.468262,9917.936523,383.487000,27.518492,9502.185547,2.023563,2.721505,0.000000,5.592662,37.262291,1427.781616,0.248404,0.000000,?,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.732940,1944.996338,1942.270996,0.003303,0.099701,0.083875,0.003677,0.002063,0.001665,0.001705,0.001723,0.002290,0.003440,0.003519,0.003465,0.003448,0.003099,0.003428,0.003338,0.002379,0.002151,0.002413,0.003342,0.003395,0.003376,0.003237,0.003084,0.002945,0.002883,0.002798,9.279599,4.763922,5000.000000,1.000000,1.000000,3.368083,0.443647,0.443647,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.967634,0.072247,0.046709,0.084145,0.030659,0.017047,0.008859,0.004845,0.000730,0.000303,0.000245,0.000236,0.000210,0.000138,0.000167,0.000151,0.000076,1.096346,0.275769,0.142471,0.081013,0.033305,0.019767,0.009784,0.003684,0.000637,0.000351,0.000313,0.000180,0.000023,0.000010,0.000036,0.000023,0.000005,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-31.294216,-0.256537,434.040741,0.000000
324,1996,11,19,0.000000,10.000000,0.000000,16.559782,0.000000,0.000000,0.000000,1218.670532,5.518812,0.000000,0.000031,12.965381,17.482908,0.077967,0.112551,0.132753,0.173874,0.202912,0.219215,0.240896,0.269795,0.283575,0.287770,0.264972,0.222549,0.231694,0.239937,0.236643,0.232798,0.228011,0.225865,0.227826,0.238636,0.265218,0.279373,0.287093,0.290000,0.290000,0.290000,0.290000,45.101822,2.676766,649.100220,319.761963,318.535065,638.296997,228.481476,167.263428,395.744904,403.541626,278.326416,3.753345,1.027473,77.928131,5.843110,271.969940,2474.419434,9919.028320,384.856995,27.382891,9501.950195,1.633076,3.202581,0.000000,1.866071,34.301441,1314.466431,0.231176,0.000000,?,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.022476,2755.858154,2753.749268,0.003331,0.102027,0.086402,0.003756,0.002139,0.001740,0.001780,0.001798,0.002366,0.003518,0.003597,0.003543,0.003520,0.003138,0.003502,0.003399,0.002398,0.002165,0.002439,0.003420,0.003473,0.003454,0.003315,0.003162,0.003022,0.002960,0.002875,12.333418,4.931189,5000.000000,1.000000,1.000000,3.040592,0.558678,0.558678,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.692781,0.076738,0.055034,0.082650,0.031088,0.017430,0.008952,0.004765,0.000720,0.000318,0.000255,0.000238,0.000207,0.000135,0.000164,0.000148,0.000078,1.406572,0.294007,0.147913,0.070825,0.030921,0.019788,0.009941,0.003827,0.000767,0.000401,0.000355,0.000213,0.000039,0.000019,0.000048,0.000033,0.000008,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-31.861000,-0.406061,403.541626,10.439305
339,1996,12,4,0.000000,1.800000,0.000000,53.318928,0.000000,0.000000,0.000000,1160.534424,6.617243,0.000000,0.000092,56.090054,64.719826,0.030128,0.055234,0.077866,0.141233,0.166371,0.181775,0.205995,0.244066,0.261514,0.276149,0.254826,0.218757,0.230106,0.238422,0.234469,0.231123,0.227016,0.225166,0.226959,0.236680,0.264968,0.279155,0.286923,0.290000,0.290000,0.290000,0.290000,45.019943,3.026417,650.900208,326.379211,371.853943,698.233215,187.074860,158.497787,345.572662,348.585480,275.978394,4.475846,0.856796,79.243324,5.932603,275.613861,2474.355469,9923.771484,388.868958,27.966730,9501.541016,2.044952,3.349696,0.000000,2.376425,29.588129,1146.343384,0.204885,0.000000,?,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.415869,4575.514648,4402.884766,0.003255,0.109756,0.094617,0.003932,0.002360,0.001997,0.002052,0.002072,0.002646,0.003809,0.003889,0.003835,0.003760,0.003266,0.003749,0.003606,0.002463,0.002212,0.002528,0.003707,0.003764,0.003745,0.003604,0.003450,0.003309,0.003246,0.003160,16.239580,5.687360,5000.000000,0.621799,1.000000,5.184231,0.677836,0.682804,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.855898,0.098770,0.072674,0.098211,0.039804,0.023707,0.012532,0.006471,0.001250,0.000408,0.000322,0.000263,0.000207,0.000131,0.000163,0.000145,0.000080,1.809668,0.194172,0.082442,0.028904,0.013007,0.010343,0.006378,0.002962,0.001091,0.000413,0.000367,0.000196,0.000028,0.000012,0.000038,0.000025,0.000002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-35.041027,-3.162662,403.541626,0.000000
342,1996,12,7,0.000000,7.800000,0.000000,6.471395,0.000000,0.000000,0.000000,1160.348145,1.514838,0.000000,0.000018,6.674502,6.713118,0.088460,0.050748,0.072959,0.138269,0.163073,0.178015,0.202134,0.240927,0.258306,0.274095,0.253058,0.218066,0.229821,0.238153,0.234090,0.230829,0.226841,0.225043,0.226806,0.236349,0.264914,0.279112,0.286888,0.290000,0.290000,0.290000,0.290000,45.005177,3.086161,658.700195,327.894043,378.325317,706.219482,183.027588,157.091797,340.119385,348.965424,275.560028,5.344312,0.927146,79.862190,6.007336,276.791656,2474.408691,9926.235352,390.127350,28.212439,9501.557617,2.850655,3.488811,0.000000,0.741650,27.813303,1083.984131,0.194906,0.000000,?,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.571606,4828.675293,4655.485352,0.003281,0.110458,0.095427,0.003926,0.002375,0.002029,0.002099,0.002132,0.002710,0.003876,0.003956,0.003902,0.003807,0.003290,0.003798,0.003646,0.002476,0.002221,0.002546,0.003769,0.003831,0.003812,0.003671,0.003516,0.003374,0.003311,0.003225,16.179523,5.866579,5000.000000,0.768651,1.000000,0.026952,0.715575,0.719823,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,1.238975,0.164273,0.106061,0.106033,0.045647,0.028180,0.015132,0.007632,0.001697,0.000562,0.000449,0.000327,0.000218,0.000135,0.000175,0.000153,0.000081,1.964738,0.166243,0.069686,0.026504,0.010308,0.008414,0.005398,0.002591,0.001096,0.000367,0.000327,0.000174,0.000029,0.000013,0.000036,0.000024,0.000002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-35.607201,-0.601821,403.541626,0.000000
343,1996,12,8,0.000000,0.000000,0.000000,2.415310,0.000000,0.000000,0.000000,1156.419189,1.513631,0.000000,0.000006,2.316298,3.806811,0.069692,0.049370,0.071336,0.137349,0.162006,0.176768,0.200828,0.239852,0.257163,0.273349,0.252407,0.217793,0.229716,0.238056,0.233950,0.230720,0.226775,0.224997,0.226748,0.236222,0.264896,0.279098,0.286877,0.290000,0.290000,0.290000,0.290000,45.000431,3.105474,658.700195,329.407684,380.740631,710.148438,181.696426,156.583801,338.280243,345.249451,275.402161,5.223700,0.909359,80.229156,6.034620,277.275116,2474.438232,9926.717773,390.638947,28.303219,9501.575195,2.909117,3.290951,0.000000,0.399726,26.856678,1048.783203,0.189218,0.000000,?,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.581148,4891.809570,4699.910645,0.003297,0.110545,0.095547,0.003921,0.002377,0.002035,0.002109,0.002146,0.002725,0.003892,0.003972,0.003918,0.003817,0.003295,0.003808,0.003655,0.002478,0.002222,0.002549,0.003783,0.003847,0.003828,0.003687,0.003532,0.003390,0.003327,0.003241,16.160641,5.914447,5000.000000,0.397404,1.000000,0.068608,0.717738,0.722450,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,1.287850,0.157578,0.102722,0.105815,0.045817,0.028388,0.015273,0.007736,0.001746,0.000548,0.000437,0.000321,0.000216,0.000134,0.000173,0.000152,0.000081,1.853233,0.156578,0.065190,0.025945,0.009711,0.007900,0.005123,0.002481,0.001092,0.000312,0.000282,0.000146,0.000019,0.000007,0.000028,0.000018,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-35.820168,-0.183569,403.541626,0.000000
344,1996,12,9,0.000000,0.000000,0.000000,2.161497,0.000000,0.000000,0.000000,1152.748535,1.509163,0.000000,0.000006,2.415310,3.928941,0.052591,0.047973,0.069844,0.136504,0.161025,0.175608,0.199601,0.238831,0.256054,0.272612,0.251763,0.217522,0.229612,0.237959,0.233811,0.230613,0.226711,0.224952,0.226691,0.236096,0.264877,0.279083,0.286865,0.290000,0.290000,0.290000,0.290000,44.995792,3.124459,658.700195,330.916840,382.902130,713.819092,180.445038,156.085907,336.530945,341.790009,275.245544,5.446073,0.917126,80.430740,6.066950,277.849335,2474.471191,9927.673828,391.239258,28.404448,9501.599609,3.389336,3.041723,0.000000,0.229781,26.011944,1018.088318,0.184226,0.000000,?,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.593738,4957.434570,4749.124512,0.003304,0.110637,0.095674,0.003916,0.002379,0.002041,0.002119,0.002161,0.002743,0.003911,0.003991,0.003936,0.003829,0.003300,0.003821,0.003665,0.002480,0.002223,0.002553,0.003799,0.003865,0.003846,0.003705,0.003550,0.003408,0.003345,0.003259,16.139698,5.962700,5000.000000,0.429440,1.000000,0.015442,0.720566,0.725651,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,1.578912,0.170217,0.109178,0.107000,0.046787,0.029233,0.015797,0.007990,0.001861,0.000569,0.000456,0.000330,0.000216,0.000134,0.000174,0.000152,0.000077,1.708050,0.146120,0.060325,0.025375,0.009192,0.007454,0.004882,0.002382,0.001086,0.000279,0.000257,0.000126,0.000008,0.000001,0.000019,0.000011,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-36.031387,-0.212968,341.790009,-24.230322
345,1996,12,10,0.000000,0.000000,0.000000,1.915431,0.000000,0.000000,0.000000,1149.185791,1.647452,0.000000,0.000006,2.161497,3.670660,0.035675,0.046596,0.068471,0.135728,0.160122,0.174529,0.198447,0.237861,0.254980,0.271883,0.251126,0.217252,0.229508,0.237863,0.233674,0.230506,0.226647,0.224906,0.226634,0.235972,0.264859,0.279069,0.286854,0.290000,0.290000,0.290000,0.290000,44.991264,3.143122,658.700195,332.564301,384.817566,717.381958,179.271317,155.597839,334.869141,338.436676,275.090179,5.469285,0.888897,80.494354,6.102989,278.539429,2474.508789,9928.523438,391.955505,28.512478,9501.629883,3.304282,3.119949,0.000000,0.087974,25.205826,989.007935,0.179467,0.000000,?,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.597064,5001.183594,4770.956543,0.003300,0.110748,0.095822,0.003911,0.002381,0.002048,0.002130,0.002177,0.002764,0.003933,0.004013,0.003959,0.003844,0.003307,0.003836,0.003678,0.002484,0.002226,0.002558,0.003819,0.003888,0.003868,0.003727,0.003572,0.003430,0.003367,0.003281,16.116953,6.000000,5000.000000,0.300063,1.000000,0.112322,0.721309,0.726944,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,1.550014,0.154466,0.102500,0.106192,0.046422,0.029003,0.015673,0.007980,0.001862,0.000531,0.000424,0.000313,0.000211,0.000128,0.000170,0.000149,0.000075,1.780992,0.135580,0.055500,0.024860,0.008758,0.007047,0.004658,0.002288,0.001078,0.000235,0.000220,0.000103,0.000000,0.000000,0.000012,0.000006,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-36.240936,-0.211218,341.790009,0.000000
