Summary_file=soi.sum
Title =* insur chin sorg 15 oct
           date    soi
             ()     ()
      1/01/1982      1
      2/01/1982      1
      3/01/1982      1
      4/01/1982      1
      5/01/1982      1
      6/01/1982      1
      7/01/1982      1
      8/01/1982      1
      9/01/1982      1
     10/01/1982      1
     11/01/1982      1
     12/01/1982      1
     13/01/1982      1
     14/01/1982      1
     15/01/1982      1
     16/01/1982      1
     17/01/1982      1
     18/01/1982      1
     19/01/1982      1
     20/01/1982      1
     21/01/1982      1
     22/01/1982      1
     23/01/1982      1
     24/01/1982      1
     25/01/1982      1
     26/01/1982      1
     27/01/1982      1
     28/01/1982      1
     29/01/1982      1
     30/01/1982      1
     31/01/1982      1
      1/02/1982      1
      2/02/1982      1
      3/02/1982      1
      4/02/1982      1
      5/02/1982      1
      6/02/1982      1
      7/02/1982      1
      8/02/1982      1
      9/02/1982      1
     10/02/1982      1
     11/02/1982      1
     12/02/1982      1
     13/02/1982      1
     14/02/1982      1
     15/02/1982      1
     16/02/1982      1
     17/02/1982      1
     18/02/1982      1
     19/02/1982      1
     20/02/1982      1
     21/02/1982      1
     22/02/1982      1
     23/02/1982      1
     24/02/1982      1
     25/02/1982      1
     26/02/1982      1
     27/02/1982      1
     28/02/1982      1
      1/03/1982      1
      2/03/1982      1
      3/03/1982      1
      4/03/1982      1
      5/03/1982      1
      6/03/1982      1
      7/03/1982      1
      8/03/1982      1
      9/03/1982      1
     10/03/1982      1
     11/03/1982      1
     12/03/1982      1
     13/03/1982      1
     14/03/1982      1
     15/03/1982      1
     16/03/1982      1
     17/03/1982      1
     18/03/1982      1
     19/03/1982      1
     20/03/1982      1
     21/03/1982      1
     22/03/1982      1
     23/03/1982      1
     24/03/1982      1
     25/03/1982      1
     26/03/1982      1
     27/03/1982      1
     28/03/1982      1
     29/03/1982      1
     30/03/1982      1
     31/03/1982      1
      1/04/1982      1
      2/04/1982      1
      3/04/1982      1
      4/04/1982      1
      5/04/1982      1
      6/04/1982      1
      7/04/1982      1
      8/04/1982      1
      9/04/1982      1
     10/04/1982      1
     11/04/1982      1
     12/04/1982      1
     13/04/1982      1
     14/04/1982      1
     15/04/1982      1
     16/04/1982      1
     17/04/1982      1
     18/04/1982      1
     19/04/1982      1
     20/04/1982      1
     21/04/1982      1
     22/04/1982      1
     23/04/1982      1
     24/04/1982      1
     25/04/1982      1
     26/04/1982      1
     27/04/1982      1
     28/04/1982      1
     29/04/1982      1
     30/04/1982      1
      1/05/1982      1
      2/05/1982      1
      3/05/1982      1
      4/05/1982      1
      5/05/1982      1
      6/05/1982      1
      7/05/1982      1
      8/05/1982      1
      9/05/1982      1
     10/05/1982      1
     11/05/1982      1
     12/05/1982      1
     13/05/1982      1
     14/05/1982      1
     15/05/1982      1
     16/05/1982      1
     17/05/1982      1
     18/05/1982      1
     19/05/1982      1
     20/05/1982      1
     21/05/1982      1
     22/05/1982      1
     23/05/1982      1
     24/05/1982      1
     25/05/1982      1
     26/05/1982      1
     27/05/1982      1
     28/05/1982      1
     29/05/1982      1
     30/05/1982      1
     31/05/1982      1
      1/06/1982      1
      2/06/1982      1
      3/06/1982      1
      4/06/1982      1
      5/06/1982      1
      6/06/1982      1
      7/06/1982      1
      8/06/1982      1
      9/06/1982      1
     10/06/1982      1
     11/06/1982      1
     12/06/1982      1
     13/06/1982      1
     14/06/1982      1
     15/06/1982      1
     16/06/1982      1
     17/06/1982      1
     18/06/1982      1
     19/06/1982      1
     20/06/1982      1
     21/06/1982      1
     22/06/1982      1
     23/06/1982      1
     24/06/1982      1
     25/06/1982      1
     26/06/1982      1
     27/06/1982      1
     28/06/1982      1
     29/06/1982      1
     30/06/1982      1
      1/07/1982      1
      2/07/1982      1
      3/07/1982      1
      4/07/1982      1
      5/07/1982      1
      6/07/1982      1
      7/07/1982      1
      8/07/1982      1
      9/07/1982      1
     10/07/1982      1
     11/07/1982      1
     12/07/1982      1
     13/07/1982      1
     14/07/1982      1
     15/07/1982      1
     16/07/1982      1
     17/07/1982      1
     18/07/1982      1
     19/07/1982      1
     20/07/1982      1
     21/07/1982      1
     22/07/1982      1
     23/07/1982      1
     24/07/1982      1
     25/07/1982      1
     26/07/1982      1
     27/07/1982      1
     28/07/1982      1
     29/07/1982      1
     30/07/1982      1
     31/07/1982      1
      1/08/1982      1
      2/08/1982      1
      3/08/1982      1
      4/08/1982      1
      5/08/1982      1
      6/08/1982      1
      7/08/1982      1
      8/08/1982      1
      9/08/1982      1
     10/08/1982      1
     11/08/1982      1
     12/08/1982      1
     13/08/1982      1
     14/08/1982      1
     15/08/1982      1
