Summary_file = 
Title = stock lablab SAMPLE Simulation
           Date           rain            das          stage            lai        biomass          yield     root_depth             ep         height         dlt_dm dlt_dm_green(1) dlt_dm_green(2) dlt_dm_green(3) dlt_dm_green(4) dlt_dm_green(5) dlt_dm_green(6)  dm_green_root  dm_green_stem  dm_green_leaf dlt_dm_senesced(1) dlt_dm_senesced(2) dlt_dm_senesced(3) dlt_dm_senesced(4) dlt_dm_senesced(5) dlt_dm_senesced(6)    dm_sen_stem    dm_sen_leaf      dm_dead() dm_feed_on_offer() dm_feed_removed() herbage_trampling
            (?)            (?)            (d)             ()      (m^2/m^2)        (kg/ha)        (kg/ha)           (mm)           (mm)           (mm)        (g/m^2)         (g/m^2)         (g/m^2)         (g/m^2)         (g/m^2)         (g/m^2)         (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)            (g/m^2)            (g/m^2)            (g/m^2)            (g/m^2)            (g/m^2)            (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)                (?)               (?)               (?)
     12/01/1989          0.000             99          3.000          0.035         33.217          0.000       1800.000          0.243          2.550          0.539           0.539           0.431           0.108           0.000           0.000           0.000         33.883          0.319          3.000              0.176              0.000              0.000              0.000              0.000              0.000          0.000          0.003          0.000             38.537            12.253          4336.443
     13/01/1989          0.000            100          3.000          0.035         33.252          0.000       1800.000          0.224          2.582          0.537           0.537           0.430           0.107           0.000           0.000           0.000         33.108          0.323          3.000              0.172              0.000              0.000              0.000              0.000              0.000          0.000          0.002          0.000             38.589            12.460          4309.137
     14/01/1989          0.000            101          3.000          0.035         33.160          0.000       1800.000          0.137          2.513          0.474           0.474           0.379           0.095           0.000           0.000           0.000         32.280          0.314          3.000              0.168              0.000              0.000              0.000              0.000              0.000          0.000          0.002          0.000             37.990            12.510          4282.088
     15/01/1989          0.000            102          3.000          0.035         33.166          0.000       1800.000          0.175          2.521          0.507           0.507           0.406           0.101           0.000           0.000           0.000         31.540          0.315          3.000              0.164              0.000              0.000              0.000              0.000              0.000          0.000          0.001          0.000             38.235            12.322          4255.221
     16/01/1989          0.000            103          3.000          0.035         33.167          0.000       1800.000          0.172          2.524          0.507           0.507           0.406           0.101           0.000           0.000           0.000         30.825          0.315          3.000              0.160              0.000              0.000              0.000              0.000              0.000          0.000          0.001          0.000             38.236            12.350          4228.425
     17/01/1989          0.000            104          3.000          0.035         33.191          0.000       1800.000          0.204          2.545          0.521           0.521           0.417           0.104           0.000           0.000           0.000         30.153          0.318          3.000              0.157              0.000              0.000              0.000              0.000              0.000          0.000          0.001          0.000             38.381            12.377          4201.800
     18/01/1989          0.000            105          3.000          0.035         33.239          0.000       1800.000          0.262          2.585          0.542           0.542           0.434           0.108           0.000           0.000           0.000         29.525          0.323          3.000              0.153              0.000              0.000              0.000              0.000              0.000          0.000          0.001          0.000             38.613            12.469          4175.345
     19/01/1989          0.000            106          3.000          0.035         33.283          0.000       1800.000          0.288          2.622          0.553           0.553           0.443           0.111           0.000           0.000           0.000         28.924          0.328          3.000              0.150              0.000              0.000              0.000              0.000              0.000          0.000          0.001          0.000             38.771            12.611          4149.089
     20/01/1989          5.000            107          3.000          0.035         33.149          0.000       1800.000          0.220          2.515          0.461           0.461           0.369           0.092           0.000           0.000           0.000         28.232          0.314          3.000              0.147              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000             37.892            12.647          4123.055
     21/01/1989          0.000            108          3.000          0.035         33.214          0.000       1800.000          0.279          2.568          0.542           0.542           0.434           0.108           0.000           0.000           0.000         27.683          0.321          3.000              0.144              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000             38.572            12.383          4097.192
     22/01/1989          0.000            109          3.000          0.035         32.981          0.000       1800.000          0.136          2.382          0.385           0.385           0.308           0.077           0.000           0.000           0.000         26.965          0.298          3.000              0.140              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000             37.066            12.411          4071.359
     23/01/1989          2.600            110          3.000          0.035         32.780          0.000       1800.000          0.085          2.222          0.344           0.344           0.275           0.069           0.000           0.000           0.000         26.269          0.278          3.000              0.137              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000             36.420            11.773          4045.695
     24/01/1989          0.400            111          3.000          0.035         32.651          0.000       1800.000          0.061          2.119          0.335           0.335           0.268           0.067           0.000           0.000           0.000         25.627          0.265          3.000              0.133              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000             36.132            11.219          4019.886
     25/01/1989          0.000            112          3.000          0.035         32.857          0.000       1800.000          0.137          2.284          0.497           0.497           0.398           0.099           0.000           0.000           0.000         25.220          0.286          3.000              0.131              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000             37.621            10.899          3993.973
     26/01/1989          0.000            113          3.000          0.035         33.060          0.000       1800.000          0.208          2.447          0.548           0.548           0.438           0.110           0.000           0.000           0.000         24.842          0.306          3.000              0.129              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000             38.333            11.574          3968.059
     27/01/1989          1.600            114          3.000          0.035         32.973          0.000       1800.000          0.137          2.378          0.432           0.432           0.346           0.086           0.000           0.000           0.000         24.312          0.297          3.000              0.126              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000             37.383            12.080          3942.618
     28/01/1989          0.000            115          3.000          0.035         33.056          0.000       1800.000          0.155          2.445          0.510           0.510           0.408           0.102           0.000           0.000           0.000         23.901          0.306          3.000              0.124              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000             38.069            11.926          3917.568
     29/01/1989          0.000            116          3.000          0.035         33.116          0.000       1800.000          0.184          2.492          0.517           0.517           0.414           0.103           0.000           0.000           0.000         23.500          0.312          3.000              0.122              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000             38.229            12.158          3892.596
     30/01/1989          0.000            117          3.000          0.035         33.224          0.000       1800.000          0.294          2.579          0.561           0.561           0.449           0.112           0.000           0.000           0.000         23.154          0.322          3.000              0.120              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000             38.729            12.357          3867.882
     31/01/1989          0.000            118          3.000          0.035         33.299          0.000       1800.000          0.385          2.639          0.571           0.571           0.457           0.114           0.000           0.000           0.000         22.814          0.330          3.000              0.119              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000             38.930            12.650          3843.409
     01/02/1989          0.000            119          3.000          0.035         33.253          0.000       1800.000          0.231          2.602          0.520           0.520           0.416           0.104           0.000           0.000           0.000         22.421          0.325          3.000              0.117              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000             38.499            12.802          3819.220
     02/02/1989          0.000            120          3.000          0.035         33.005          0.000       1800.000          0.092          2.404          0.389           0.389           0.312           0.078           0.000           0.000           0.000         21.906          0.300          3.000              0.114              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000             37.147            12.564          3795.247
     03/02/1989          0.000            121          3.000          0.035         32.828          0.000       1800.000          0.074          2.263          0.367           0.367           0.293           0.073           0.000           0.000           0.000         21.422          0.283          3.000              0.111              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000             36.671            11.900          3771.310
     04/02/1989          1.000            122          3.000          0.035         32.390          0.000       1800.000          0.012          1.912          0.167           0.167           0.133           0.033           0.000           0.000           0.000         20.762          0.239          3.000              0.108              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000             34.497            11.256          3747.208
     05/02/1989          4.000            123          3.000          0.035         32.031          0.000       1800.000          0.006          1.625          0.108           0.108           0.086           0.022           0.000           0.000           0.000         20.136          0.203          3.000              0.104              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000             33.466             9.928          3722.955
     06/02/1989         20.900            124          3.000          0.035         32.161          0.000       1800.000          0.046          1.729          0.314           0.314           0.251           0.063           0.000           0.000           0.000         19.822          0.216          3.000              0.102              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000             35.167             8.886          3698.224
     07/02/1989          0.000            125          3.000          0.035         32.370          0.000       1800.000          0.079          1.896          0.387           0.387           0.309           0.077           0.000           0.000           0.000         19.574          0.237          3.000              0.101              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000             36.027             9.342          3673.142
     08/02/1989          0.000            126          3.000          0.035         32.657          0.000       1800.000          0.163          2.125          0.478           0.478           0.383           0.096           0.000           0.000           0.000         19.398          0.266          3.000              0.100              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000             37.152            10.057          3648.429
     09/02/1989          0.000            127          3.000          0.035         32.883          0.000       1800.000          0.241          2.306          0.513           0.513           0.410           0.103           0.000           0.000           0.000         19.220          0.288          3.000              0.100              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000             37.783            10.984          3624.204
     10/02/1989          0.000            128          3.000          0.035         33.057          0.000       1800.000          0.308          2.445          0.540           0.540           0.432           0.108           0.000           0.000           0.000         19.042          0.306          3.000              0.099              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000             38.286            11.713          3600.564
     11/02/1989          3.400            129          3.000          0.035         32.966          0.000       1800.000          0.150          2.373          0.408           0.408           0.327           0.082           0.000           0.000           0.000         18.729          0.297          3.000              0.097              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000             37.140            11.639          3577.412
     12/02/1989          1.000            130          3.000          0.035         32.899          0.000       1800.000          0.126          2.319          0.399           0.399           0.319           0.080           0.000           0.000           0.000         18.430          0.290          3.000              0.096              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000             36.958            11.368          3393.816
     13/02/1989          0.000            131          3.000          0.035         33.075          0.000       1800.000          0.222          2.460          0.522           0.522           0.417           0.104           0.000           0.000           0.000         18.286          0.308          3.000              0.095              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000             38.117            11.233          3372.104
     14/02/1989          0.000            132          3.000          0.035         33.195          0.000       1800.000          0.251          2.556          0.534           0.534           0.427           0.107           0.000           0.000           0.000         18.135          0.319          3.000              0.094              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000             38.418            11.765          3350.460
     15/02/1989          0.000            133          3.000          0.035         33.257          0.000       1800.000          0.250          2.606          0.533           0.533           0.426           0.107           0.000           0.000           0.000         17.972          0.326          3.000              0.093              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000             38.523            12.111          3329.198
     16/02/1989          0.000            134          3.000          0.035         33.290          0.000       1800.000          0.249          2.632          0.532           0.532           0.425           0.106           0.000           0.000           0.000         17.807          0.329          3.000              0.093              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000             38.575            12.268          3308.229
     17/02/1989          0.000            135          3.000          0.035         33.263          0.000       1800.000          0.194          2.610          0.505           0.505           0.404           0.101           0.000           0.000           0.000         17.616          0.326          3.000              0.092              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000             38.340            12.329          3287.463
     18/02/1989          0.000            136          3.000          0.035         33.230          0.000       1800.000          0.196          2.584          0.495           0.495           0.396           0.099           0.000           0.000           0.000         17.425          0.323          3.000              0.091              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000             38.213            12.254          3266.853
     19/02/1989          0.000            137          3.000          0.035         33.231          0.000       1800.000          0.225          2.585          0.507           0.507           0.405           0.101           0.000           0.000           0.000         17.257          0.323          3.000              0.090              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000             38.298            12.187          3246.336
     20/02/1989          0.000            138          3.000          0.035         33.295          0.000       1800.000          0.247          2.636          0.516           0.516           0.413           0.103           0.000           0.000           0.000         17.130          0.330          3.000              0.089              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000             38.389            11.654          3225.915
     21/02/1989         99.000            139          3.000          0.035         33.122          0.000       1800.000          0.163          2.498          0.396           0.396           0.317           0.079           0.000           0.000           0.000         16.871          0.312          3.000              0.088              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000             37.256            11.761          3052.943
     22/02/1989          0.000            140          3.000          0.035         33.116          0.000       1800.000          0.139          2.493          0.449           0.449           0.359           0.090           0.000           0.000           0.000         16.698          0.312          3.000              0.087              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000             37.611            11.323          3033.842
     23/02/1989          0.000            141          3.000          0.035         33.064          0.000       1800.000          0.117          2.451          0.422           0.422           0.337           0.084           0.000           0.000           0.000         16.503          0.306          3.000              0.086              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000             37.332            11.297          3014.655
     24/02/1989          0.200            142          3.000          0.035         32.947          0.000       1800.000          0.091          2.357          0.346           0.346           0.277           0.069           0.000           0.000           0.000         16.266          0.295          3.000              0.084              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000             36.522            10.562          2995.575
     25/02/1989          0.000            143          3.000          0.035         33.110          0.000       1800.000          0.133          2.488          0.454           0.454           0.364           0.091           0.000           0.000           0.000         16.191          0.311          3.000              0.084              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000             37.492             9.760          2826.820
     26/02/1989          0.000            144          3.000          0.035         33.262          0.000       1800.000          0.150          2.609          0.456           0.456           0.365           0.091           0.000           0.000           0.000         16.129          0.326          3.000              0.083              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000             37.674             9.607          2659.122
     27/02/1989          0.000            145          3.000          0.036         33.401          0.000       1800.000          0.141          2.721          0.453           0.453           0.362           0.091           0.000           0.000           0.000         16.076          0.340          3.000              0.083              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000             37.791             9.371          2492.729
     28/02/1989          0.000            146          3.000          0.035         33.252          0.000       1800.000          0.048          2.602          0.320           0.320           0.256           0.064           0.000           0.000           0.000         15.872          0.325          3.000              0.082              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000             36.598             9.622          2327.520
     01/03/1989          0.000            147          3.000          0.035         33.316          0.000       1800.000          0.097          2.652          0.381           0.381           0.305           0.076           0.000           0.000           0.000         15.778          0.332          3.000              0.081              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000             37.066             8.737          2313.191
     02/03/1989          0.000            148          3.000          0.036         33.493          0.000       1800.000          0.131          2.794          0.427           0.427           0.342           0.085           0.000           0.000           0.000         15.758          0.349          3.000              0.081              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000             37.590             8.287          2149.898
     03/03/1989          0.000            149          3.000          0.035         33.465          0.000       1800.000          0.072          2.772          0.345           0.345           0.276           0.069           0.000           0.000           0.000         15.637          0.346          3.000              0.081              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000             36.940             8.587          1987.500
     04/03/1989          0.000            150          3.000          0.035         33.482          0.000       1800.000          0.094          2.786          0.365           0.365           0.292           0.073           0.000           0.000           0.000         15.543          0.348          3.000              0.080              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000             37.116             8.544          1975.429
     05/03/1989          2.800            151          3.000          0.035         33.507          0.000       1800.000          0.098          2.805          0.342           0.342           0.274           0.068           0.000           0.000           0.000         15.454          0.351          3.000              0.079              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000             36.905             7.945          1963.415
     06/03/1989          0.000            152          3.000          0.037         33.737          0.000       1800.000          0.172          2.990          0.458           0.458           0.367           0.092           0.000           0.000           0.000         15.488          0.374          3.000              0.080              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000             38.091             8.035          1803.813
     07/03/1989          0.000            153          3.000          0.040         33.955          0.000       1800.000          0.180          3.164          0.489           0.489           0.391           0.098           0.000           0.000           0.000         15.536          0.396          3.000              0.080              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000             38.625             8.441          1792.941
     08/03/1989          0.000            154          3.000          0.041         34.119          0.000       1800.000          0.180          3.295          0.495           0.495           0.396           0.099           0.000           0.000           0.000         15.577          0.412          3.000              0.080              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000             38.910             8.814          1782.324
     09/03/1989          0.000            155          3.000          0.043         34.378          0.000       1800.000          0.201          3.503          0.535           0.535           0.428           0.107           0.000           0.000           0.000         15.677          0.438          3.000              0.081              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000             39.472             8.380          1771.948
     10/03/1989          0.000            156          3.000          0.048         34.765          0.000       1800.000          0.279          3.812          0.601           0.601           0.481           0.120           0.000           0.000           0.000         15.861          0.476          3.000              0.081              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000             40.385             8.035          1616.214
     11/03/1989          0.000            157          3.000          0.051         35.121          0.000       1800.000          0.288          4.097          0.642           0.642           0.513           0.128           0.000           0.000           0.000         16.062          0.512          3.000              0.083              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000             41.181             8.576          1460.968
     12/03/1989          0.000            158          3.000          0.054         35.434          0.000       1800.000          0.274          4.348          0.673           0.673           0.539           0.135           0.000           0.000           0.000         16.274          0.543          3.000              0.084              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000             41.854             9.068          1453.096
     13/03/1989          0.000            159          3.000          0.057         35.722          0.000       1800.000          0.340          4.578          0.709           0.709           0.567           0.142           0.000           0.000           0.000         16.502          0.572          3.000              0.085              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000             42.527             9.500          1445.498
     14/03/1989          0.000            160          3.000          0.057         35.861          0.000       1800.000          0.291          4.689          0.678           0.678           0.542           0.136           0.000           0.000           0.000         16.676          0.586          3.000              0.086              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000             42.500             9.871          1438.145
     15/03/1989          0.000            161          3.000          0.059         36.096          0.000       1800.000          0.349          4.876          0.699           0.699           0.559           0.140           0.000           0.000           0.000         16.892          0.610          3.000              0.087              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000             42.852             9.316          1431.006
     16/03/1989         13.000            162          3.000          0.051         35.546          0.000       1800.000          0.053          4.437          0.365           0.365           0.292           0.073           0.000           0.000           0.000         16.714          0.555          3.000              0.086              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000             39.741            10.029          1423.653
     17/03/1989          2.400            163          3.000          0.044         35.050          0.000       1800.000          0.029          4.040          0.253           0.253           0.203           0.051           0.000           0.000           0.000         16.485          0.505          3.000              0.085              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000             38.080             8.551          1416.674
     18/03/1989          0.000            164          3.000          0.041         34.789          0.000       1800.000          0.046          3.832          0.305           0.305           0.244           0.061           0.000           0.000           0.000         16.340          0.479          3.000              0.084              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000             38.104             7.985          1266.848
     19/03/1989          0.000            165          3.000          0.043         34.858          0.000       1800.000          0.088          3.886          0.395           0.395           0.316           0.079           0.000           0.000           0.000         16.342          0.486          3.000              0.084              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000             38.738             6.879          1260.222
     20/03/1989          0.000            166          3.000          0.046         35.080          0.000       1800.000          0.145          4.064          0.484           0.484           0.387           0.097           0.000           0.000           0.000         16.434          0.508          3.000              0.084              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000             39.699             6.983          1110.587
     21/03/1989          0.000            167          3.000          0.050         35.421          0.000       1800.000          0.236          4.337          0.573           0.573           0.459           0.115           0.000           0.000           0.000         16.607          0.542          3.000              0.085              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000             40.813             7.248          1104.780
     22/03/1989          0.000            168          3.000          0.054         35.745          0.000       1800.000          0.271          4.596          0.607           0.607           0.485           0.121           0.000           0.000           0.000         16.797          0.575          3.000              0.086              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000             41.489             7.615          1099.130
     23/03/1989          0.000            169          3.000          0.059         36.111          0.000       1800.000          0.356          4.889          0.670           0.670           0.536           0.134           0.000           0.000           0.000         17.035          0.611          3.000              0.087              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000             42.441             7.972          1093.683
     24/03/1989          0.000            170          3.000          0.063         36.523          0.000       1800.000          0.346          5.219          0.699           0.699           0.559           0.140           0.000           0.000           0.000         17.310          0.652          3.000              0.089              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000             43.102             7.760          1088.432
     25/03/1989          5.000            171          3.000          0.060         36.357          0.000       1800.000          0.114          5.086          0.485           0.485           0.388           0.097           0.000           0.000           0.000         17.319          0.636          3.000              0.089              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000             41.371             8.534          1083.112
     26/03/1989         45.000            172          3.000          0.053         35.842          0.000       1800.000          0.040          4.674          0.294           0.294           0.235           0.059           0.000           0.000           0.000         17.125          0.584          3.000              0.088              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000             39.294             8.470          1078.177
     27/03/1989         28.000            173          3.000          0.050         35.632          0.000       1800.000          0.049          4.506          0.383           0.383           0.306           0.077           0.000           0.000           0.000         17.051          0.563          3.000              0.088              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000             39.669             7.980          1073.246
     28/03/1989          1.200            174          3.000          0.050         35.629          0.000       1800.000          0.103          4.503          0.463           0.463           0.371           0.093           0.000           0.000           0.000         17.072          0.563          3.000              0.088              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000             40.264             7.795          1068.127
     29/03/1989          0.000            175          3.000          0.050         35.605          0.000       1800.000          0.109          4.484          0.452           0.452           0.362           0.090           0.000           0.000           0.000         17.080          0.560          3.000              0.088              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000             40.148             7.789          1062.958
     30/03/1989          0.000            176          3.000          0.047         35.396          0.000       1800.000          0.057          4.316          0.352           0.352           0.282           0.070           0.000           0.000           0.000         16.985          0.540          3.000              0.087              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000             39.128             7.732          1057.818
     31/03/1989          0.000            177          3.000          0.046         35.247          0.000       1800.000          0.041          4.198          0.299           0.299           0.239           0.060           0.000           0.000           0.000         16.888          0.525          3.000              0.086              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000             38.381             6.578          1052.686
     01/04/1989          0.000            178          3.000          0.045         35.130          0.000       1800.000          0.044          4.104          0.299           0.299           0.239           0.060           0.000           0.000           0.000         16.798          0.513          3.000              0.086              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000             38.236             6.448           910.723
     02/04/1989          2.600            179          3.000          0.040         34.747          0.000       1800.000          0.013          3.798          0.147           0.147           0.118           0.029           0.000           0.000           0.000         16.556          0.475          3.000              0.085              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000             36.601             6.294           906.223
