Summary_file = gmtb0e.sum
Title = Greenmount B0_SOILWAT
           date       dlayer()      soil_loss  erosion_cover cover_surface_runoff
             ()           (mm)         (t/ha)             ()                   ()
     01/11/1976       1448.910        510.896          0.049                0.049
     22/11/1976       1448.836          0.744          0.051                0.051
     17/01/1977       1426.831        220.049          0.057                0.057
     11/03/1977       1400.005        268.265          0.070                0.070
     12/03/1977       1399.580          4.246          0.071                0.071
     23/04/1977       1399.542          0.376          0.090                0.090
     11/05/1977       1397.203         23.396          0.097                0.097
     16/05/1977       1360.229        369.735          0.099                0.099
     04/11/1977       1359.715          5.144          0.078                0.078
     08/11/1977       1357.805         19.099          0.078                0.078
     21/11/1977       1353.676         41.285          0.080                0.080
     07/01/1978       1321.444        322.324          0.086                0.086
     21/01/1978       1321.167          2.769          0.089                0.089
     31/01/1978       1320.595          5.725          0.093                0.093
     01/02/1978       1320.496          0.985          0.094                0.094
     18/03/1978       1320.450          0.460          0.107                0.107
     29/03/1978       1320.003          4.469          0.111                0.111
     01/04/1978       1319.305          6.980          0.112                0.112
     02/04/1978       1317.997         13.083          0.113                0.113
     03/04/1978       1316.740         12.567          0.113                0.113
     03/07/1978       1308.380         83.606          0.102                0.102
     10/07/1978       1308.292          0.877          0.103                0.103
     01/09/1978       1306.432         18.595          0.108                0.108
     07/09/1978       1303.707         27.255          0.108                0.108
     06/11/1978       1301.745         19.616          0.114                0.114
     11/11/1978       1295.259         64.862          0.114                0.114
     18/12/1978       1295.212          0.473          0.119                0.119
     23/12/1978       1287.339         78.726          0.120                0.120
     27/12/1978       1283.600         37.390          0.120                0.120
     30/12/1978       1252.059        315.411          0.121                0.121
     19/01/1979       1248.441         36.176          0.124                0.124
     06/02/1979       1246.491         19.504          0.128                0.128
     10/02/1979       1244.553         19.382          0.130                0.130
     04/03/1979       1222.933        216.195          0.136                0.136
     05/03/1979       1222.364          6.265          0.137                0.137
     16/03/1979       1190.544        350.019          0.141                0.141
     05/05/1979       1190.544          0.000          0.156                0.156
     21/06/1979       1173.681        185.494          0.139                0.139
     30/07/1979       1173.607          0.806          0.142                0.142
     29/10/1979       1173.203          4.443          0.152                0.152
     13/11/1979       1173.198          0.066          0.153                0.153
     22/12/1979       1170.006         35.111          0.159                0.159
     26/01/1980       1169.985          0.226          0.165                0.165
     27/01/1980       1153.575        180.506          0.165                0.165
     06/02/1980       1069.199        928.145          0.168                0.168
     29/05/1980       1069.178          0.228          0.201                0.201
     31/07/1980       1068.952          2.486          0.184                0.184
     25/10/1980       1068.365          6.457          0.194                0.194
     26/10/1980       1059.066        102.294          0.194                0.194
     06/12/1980       1057.034         22.346          0.200                0.200
     15/12/1980       1056.903          1.438          0.202                0.202
     16/12/1980       1056.853          0.551          0.202                0.202
     29/12/1980       1050.688         67.821          0.204                0.204
     03/01/1981       1048.745         21.373          0.206                0.206
     04/02/1981       1048.684          0.670          0.213                0.213
     06/02/1981       1008.039        447.085          0.213                0.213
     07/02/1981       1000.739         80.304          0.213                0.213
     08/02/1981        933.022        744.888          0.214                0.214
     10/02/1981        933.015          0.078          0.214                0.214
     14/03/1981        933.014          0.005          0.228                0.228
     02/04/1981        921.510        126.554          0.238                0.238
     06/04/1981        919.997         16.638          0.241                0.241
     08/04/1981        919.746          2.766          0.243                0.243
     22/07/1981        919.557          2.074          0.230                0.230
     21/09/1981        915.777         41.576          0.237                0.237
     01/11/1981        912.361         37.580          0.242                0.242
     02/11/1981        907.747         50.761          0.242                0.242
     03/11/1981        905.805         21.358          0.242                0.242
     04/11/1981        905.803          0.025          0.243                0.243
     03/12/1981        900.911         53.806          0.247                0.247
     04/12/1981        870.043        339.547          0.247                0.247
     21/12/1981        869.794          2.741          0.250                0.250
     24/12/1981        867.649         23.598          0.250                0.250
     19/01/1982        861.742         64.970          0.255                0.255
     21/01/1982        861.690          0.578          0.256                0.256
     25/02/1982        859.864         20.086          0.265                0.265
     01/03/1982        857.817         22.517          0.267                0.267
     08/03/1982        857.643          1.914          0.270                0.270
     11/03/1982        853.390         46.782          0.272                0.272
     28/04/1982        853.109          3.088          0.298                0.298
     09/09/1982        852.415          7.639          0.283                0.283
     11/10/1982        843.824         94.498          0.286                0.286
     01/11/1982        842.723         12.109          0.289                0.289
     03/12/1982        841.119         17.641          0.293                0.293
     20/12/1982        839.515         17.652          0.295                0.295
     04/01/1983        839.504          0.115          0.298                0.298
     05/01/1983        839.484          0.218          0.299                0.299
     20/03/1983        839.482          0.028          0.311                0.311
     21/03/1983        838.871          6.723          0.311                0.311
     26/04/1983        838.838          0.362          0.323                0.323
     28/04/1983        838.037          8.806          0.323                0.323
     01/05/1983        824.501        148.898          0.324                0.324
     02/05/1983        808.236        178.916          0.324                0.324
     03/05/1983        794.091        155.590          0.325                0.325
     28/05/1983        784.802        102.189          0.331                0.331
     22/06/1983        753.602        343.189          0.315                0.315
     23/06/1983        752.724          9.663          0.315                0.315
     29/07/1983        751.931          8.718          0.319                0.319
     06/10/1983        751.351          6.389          0.325                0.325
     20/10/1983        751.039          3.424          0.327                0.327
     16/11/1983        751.012          0.296          0.330                0.330
     15/12/1983        750.983          0.324          0.335                0.335
     11/01/1984        750.980          0.030          0.341                0.341
     14/02/1984        750.862          1.305          0.353                0.353
     16/02/1984        749.205         18.225          0.355                0.355
     10/03/1984        749.099          1.167          0.370                0.370
     07/04/1984        748.901          2.177          0.385                0.385
     08/04/1984        744.898         44.025          0.386                0.386
     09/04/1984        740.826         44.801          0.386                0.386
     27/07/1984        734.644         68.000          0.372                0.372
     05/11/1984        732.500         23.578          0.385                0.385
     12/11/1984        732.057          4.880          0.386                0.386
     19/12/1984        731.193          9.496          0.391                0.391
     09/01/1985        731.141          0.580          0.395                0.395
     04/06/1985        729.544         17.568          0.431                0.431
     31/08/1985        729.531          0.141          0.421                0.421
