Summary_file = fieldS113.sum
Title = south plots field
      year     month       day day_month             brA(1)             brA(2)             brA(3)             brA(4)             brA(5)             brA(6)             brA(7)             brA(8)             brA(9)            brA(10)            brA(11)            brA(12)            brA(13)            brA(14)            brA(15)            brA(16)            brA(17)            brA(18)            brA(19)            brA(20)      leach_brA             brB(1)             brB(2)             brB(3)             brB(4)             brB(5)             brB(6)             brB(7)             brB(8)             brB(9)            brB(10)            brB(11)            brB(12)            brB(13)            brB(14)            brB(15)            brB(16)            brB(17)            brB(18)            brB(19)            brB(20)      leach_brB             brC(1)             brC(2)             brC(3)             brC(4)             brC(5)             brC(6)             brC(7)             brC(8)             brC(9)            brC(10)            brC(11)            brC(12)            brC(13)            brC(14)            brC(15)            brC(16)            brC(17)            brC(18)            brC(19)            brC(20)      leach_brC             brD(1)             brD(2)             brD(3)             brD(4)             brD(5)             brD(6)             brD(7)             brD(8)             brD(9)            brD(10)            brD(11)            brD(12)            brD(13)            brD(14)            brD(15)            brD(16)            brD(17)            brD(18)            brD(19)            brD(20)      leach_brD     uptake_brA     uptake_brB     uptake_brC     uptake_brD
    (year)   (month)     (day)     (day)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)        (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)        (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)        (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)        (kg/ha)             ()             ()             ()             ()
      1993         7       202        21              4.910             17.081             27.015             36.083             81.962             84.470             41.933             17.434              6.516              1.388              0.185              0.021              0.002              0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000              0.770              4.214             21.785            287.008              5.212              0.011              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000          0.000          0.000
      1993         8       238        26              2.495              3.887              6.355             11.706             31.011             68.954             72.412             57.981             42.833             16.489              3.893              0.807              0.150              0.024              0.003              0.000              0.000              0.000              0.000              0.000          0.000              5.338              8.299             13.476             23.913             58.295             90.799             63.003             34.183             16.759              4.125              0.687              0.106              0.015              0.002              0.000              0.000              0.000              0.000              0.000              0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000          0.000          0.000
      1993        10       279         6              0.007              0.012              0.028              0.136              1.072              5.742             14.890             31.201             70.113             92.784             58.854             28.150             11.069              3.622              1.005              0.247              0.055              0.011              0.002              0.000          0.000              0.013              0.023              0.054              0.260              2.013             10.098             23.618             43.301             79.987             86.433             45.953             18.661              6.282              1.769              0.424              0.090              0.017              0.003              0.000              0.000          0.000              1.976              6.035             27.688            276.323              6.958              0.019              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000          0.000          0.000
      1993        11       312         8              0.027              0.045              0.085              0.234              1.076              6.677             15.336             31.708             71.437             90.615             56.232             27.877             11.577              4.225              1.338              0.381              0.100              0.024              0.006              0.001          0.000              0.051              0.084              0.157              0.430              1.950             11.443             23.684             42.789             81.369             84.404             44.144             18.768              6.762              2.164              0.605              0.153              0.035              0.008              0.002              0.000          0.000              9.489             15.463             27.656             60.029            143.669             59.667              2.931              0.092              0.003              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000          0.000          0.000
      1993        12       342         8              0.034              0.061              0.201              0.331              1.004              4.586             13.652             31.658             72.399             92.420             56.613             27.955             11.707              4.378              1.429              0.422              0.114              0.029              0.007              0.002          0.000              0.060              0.108              0.358              0.587              1.753              7.726             21.033             43.015             83.698             86.835             44.775             18.979              6.914              2.274              0.658              0.173              0.042              0.009              0.002              0.000          0.000              4.721              8.441             27.444             37.910             76.924             99.605             47.572             14.035              2.267              0.079              0.001              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000              0.208              0.937             11.541            300.646              5.653              0.015              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000          0.000          0.000
      1994         5       123         3              0.011              0.019              0.051              0.099              0.224              0.749              2.156              6.295             22.292             63.143             74.704             63.246             43.099             24.082             11.359              4.757              1.802              0.621              0.201              0.063          0.000              0.019              0.031              0.083              0.163              0.366              1.188              3.240              8.796             28.906             72.155             76.886             59.088             36.676             18.700              8.061              3.089              1.072              0.340              0.102              0.029          0.000              0.448              0.731              1.975              3.772              7.711             19.950             34.341             49.345             77.017             70.088             34.249             13.317              4.418              1.248              0.305              0.067              0.014              0.003              0.000              0.000          0.000              0.732              1.194              3.224              6.107             12.140             29.413             45.022             56.278             74.576             55.624             23.407              8.058              2.417              0.628              0.143              0.030              0.006              0.001              0.000              0.000          0.000          0.000          0.000          0.000          0.000
      1998        10       296        23              0.993              1.693              3.279              9.671             31.343             47.433             25.351              7.140              1.057              0.039              0.001              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000          0.000          0.000
      1999        12       343         9              0.004              0.013              0.038              0.168              0.848              4.655             10.504             17.368             33.903             31.499             16.851              7.874              2.878              0.997              0.297              0.078              0.019              0.004              0.001              0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000          0.000          0.000
      2000        12       348        13              0.014              0.024              0.071              0.255              1.207              6.427             14.925             25.904             41.346             24.877              9.364              2.772              0.670              0.118              0.023              0.004              0.001              0.000              0.000              0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000          0.000          0.000
