Summary_file = winterfallow.sum
Title = Winter dicot fallow Simulation
    day   year       weed_lai   weed_biomass weed_grn_bioma
  (day) (year)      (m^2/m^2)        (kg/ha)        (kg/ha)
    197   1988          5.147       4647.532       4441.248
    198   1988          5.190       4776.528       4540.427
    199   1988          5.239       4912.242       4644.647
    200   1988          5.268       5052.974       4751.805
    201   1988          5.292       5201.281       4865.114
    202   1988          5.330       5334.207       4961.863
    203   1988          5.386       5436.234       5026.411
    204   1988          5.422       5521.204       5071.969
    205   1988          5.429       5641.614       5151.236
    206   1988          5.428       5753.451       5221.273
    207   1988          5.440       5898.134       5323.701
    208   1988          5.472       6049.476       5431.882
    209   1988          5.471       6173.914       5511.516
    210   1988          5.471       6314.115       5606.826
    211   1988          5.476       6438.230       5686.037
    212   1988          5.498       6568.311       5771.121
    213   1988          5.506       6714.388       5871.272
    214   1988          5.511       6854.303       5965.208
    215   1988          5.509       6981.856       6046.825
    216   1988          5.516       7126.451       6145.809
    217   1988          5.520       7265.991       6239.716
    218   1988          5.520       7397.428       6325.594
    219   1988          5.512       7514.282       6397.104
    220   1988          5.497       7622.942       6460.871
    221   1988          5.479       7725.720       6519.461
    222   1988          5.459       7830.786       6581.119
    223   1988          5.395       7959.225       6666.894
    224   1988          5.335       8113.625       6780.969
    225   1988          5.278       8258.509       6887.700
    226   1988          5.224       8404.188       6997.245
    227   1988          5.173       8546.333       7105.135
    228   1988          5.124       8682.209       7208.509
    229   1988          5.078       8824.817       7320.253
    230   1988          5.035       8965.284       7431.387
    231   1988          4.993       9090.199       7528.404
    232   1988          4.953       9215.190       7626.842
    233   1988          4.895       9359.829       7732.633
    234   1988          4.583       9489.600       7653.174
    235   1988          4.235       9569.462       7500.232
    236   1988          3.926       9665.644       7389.358
    237   1988          3.745       9769.616       7372.549
    238   1988          3.562       9899.866       7379.902
    239   1988          3.334      10021.962       7349.752
    240   1988          3.087      10105.764       7267.762
    241   1988          2.876      10202.319       7223.014
    242   1988          2.715      10338.940       7252.121
    243   1988          2.535      10471.650       7264.218
    244   1988          2.338      10542.633       7203.190
    245   1988          2.131      10607.640       7129.547
    246   1988          1.900      10708.618       7076.144
    247   1988          1.653      10827.021       7029.350
    248   1988          1.409      10921.646       6960.225
    249   1988          1.183      10980.758       6868.311
    250   1988          0.965      11052.600       6793.792
