Summary_file = CC-142.sum
Title = Continous Cropping plots
       day      year     month day_of_month          event           rain           W_ep           L_ep           C_ep           P_ep        weed_ep         sw_dep             es         runoff          drain         Transp             ET              sw(1)              sw(2)              sw(3)              sw(4)              sw(5)              sw(6)              sw(7)              sw(8)              sw(9)             sw(10)             sw(11)             sw(12)             sw(13)             sw(14)             sw(15)             sw(16)             sw(17)             sw(18)             sw(19)             sw(20)             sw(21)             sw(22)             sw(23)             sw(24)             sw(25)             sw(26)             sw(27)      drain_120      drain_180       cum_rain         cum_es          cum_T         cum_ET   sw_dep_10120  sw_dep_120180   sw_dep_10180    sw_dep_0180  sw_dep_180300        nit_020    nit_020_100  cum_n_min_020      fom_n_020     biom_n_020      hum_n_020        nit_tot         biom_n          fom_n          hum_n          no3()          nh4()           urea      dlt_n_min      residue_n     residue_wt  residue_cover      W_topbiom     W_dleaf_wt       W_rootwt       W_leafwt       W_stemwt      W_grainwt   W_stage  W_antdat  W_matdat           W_rlv(1)           W_rlv(2)           W_rlv(3)           W_rlv(4)           W_rlv(5)           W_rlv(6)           W_rlv(7)           W_rlv(8)           W_rlv(9)          W_rlv(10)          W_rlv(11)          W_rlv(12)          W_rlv(13)          W_rlv(14)          W_lai      W_WatStrF      W_NitStrF       W_GrainN        W_TopsN        C_grain         C_biom        C_gbiom          C_lai           C_rlv(1)           C_rlv(2)           C_rlv(3)           C_rlv(4)           C_rlv(5)           C_rlv(6)           C_rlv(7)           C_rlv(8)           C_rlv(9)          C_rlv(10)          C_rlv(11)          C_rlv(12)          C_rlv(13)          C_rlv(14)    C_biomass_n      C_grain_n    C_rootdepth   C_swdefphoto   C_nfactphoto          L_lai      L_biomass     L_gbiomass           L_rlv(1)           L_rlv(2)           L_rlv(3)           L_rlv(4)           L_rlv(5)           L_rlv(6)           L_rlv(7)           L_rlv(8)           L_rlv(9)          L_rlv(10)          L_rlv(11)          L_rlv(12)          L_rlv(13)          L_rlv(14)          L_rlv(15)          L_rlv(16)          L_rlv(17)          L_rlv(18)          L_rlv(19)          L_rlv(20)          L_rlv(21)          L_rlv(22)          L_rlv(23)          L_rlv(24)          L_rlv(25)          L_rlv(26)          L_rlv(27)    L_biomass_n        L_stage    L_rootdepth   L_swdefphoto   L_nfactphoto      L_n_fixed     L_cover_gr    L_cover_tot        P_grain         P_biom        P_gbiom          P_lai           P_rlv(1)           P_rlv(2)           P_rlv(3)           P_rlv(4)           P_rlv(5)           P_rlv(6)           P_rlv(7)           P_rlv(8)           P_rlv(9)          P_rlv(10)          P_rlv(11)          P_rlv(12)          P_rlv(13)          P_rlv(14)    P_biomass_n      P_grain_n    P_rootdepth   P_swdefphoto   P_nfactphoto      P_n_fixed          no3ppm(1)          no3ppm(2)          no3ppm(3)          no3ppm(4)          no3ppm(5)          no3ppm(6)          no3ppm(7)          no3ppm(8)          no3ppm(9)         no3ppm(10)         no3ppm(11)         no3ppm(12)         no3ppm(13)         no3ppm(14)         no3ppm(15)         no3ppm(16)         no3ppm(17)          nh4ppm(1)          nh4ppm(2)          nh4ppm(3)          nh4ppm(4)          nh4ppm(5)          nh4ppm(6)          nh4ppm(7)          nh4ppm(8)          nh4ppm(9)         nh4ppm(10)         nh4ppm(11)         nh4ppm(12)         nh4ppm(13)         nh4ppm(14)         nh4ppm(15)         nh4ppm(16)         nh4ppm(17)        Weed_rlv(1)        Weed_rlv(2)        Weed_rlv(3)        Weed_rlv(4)        Weed_rlv(5)        Weed_rlv(6)   Weed_biomass  weed_gbiomass       weed_lai weed_biomass_n cumnetdrain180    netdrain180      period_sw   period_drain
     (day)    (year)   (month)        (day)             ()           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)            (?)             ()            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()            (?)             ()             ()             ()             ()        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)      (m^2/m^2)         (g/m2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        ()     (doy)     (doy)           (mm/mm3)           (mm/mm3)           (mm/mm3)           (mm/mm3)           (mm/mm3)           (mm/mm3)           (mm/mm3)           (mm/mm3)           (mm/mm3)           (mm/mm3)           (mm/mm3)           (mm/mm3)           (mm/mm3)           (mm/mm3)      (m^2/m^2)             ()             ()        (g/m^2)         (g/m2)        (g/m^2)         (g/m2)         (g/m2)      (m^2/m^2)           (mm/mm3)           (mm/mm3)           (mm/mm3)           (mm/mm3)           (mm/mm3)           (mm/mm3)           (mm/mm3)           (mm/mm3)           (mm/mm3)           (mm/mm3)           (mm/mm3)           (mm/mm3)           (mm/mm3)           (mm/mm3)        (g/m^2)        (g/m^2)           (mm)             ()             ()      (m^2/m^2)        (kg/ha)        (kg/ha)           (mm/mm3)           (mm/mm3)           (mm/mm3)           (mm/mm3)           (mm/mm3)           (mm/mm3)           (mm/mm3)           (mm/mm3)           (mm/mm3)           (mm/mm3)           (mm/mm3)           (mm/mm3)           (mm/mm3)           (mm/mm3)           (mm/mm3)           (mm/mm3)           (mm/mm3)           (mm/mm3)           (mm/mm3)           (mm/mm3)           (mm/mm3)           (mm/mm3)           (mm/mm3)           (mm/mm3)           (mm/mm3)           (mm/mm3)           (mm/mm3)        (g/m^2)             ()           (mm)             ()             ()        (g/m^2)             ()             ()        (g/m^2)         (g/m2)         (g/m2)      (m^2/m^2)           (mm/mm3)           (mm/mm3)           (mm/mm3)           (mm/mm3)           (mm/mm3)           (mm/mm3)           (mm/mm3)           (mm/mm3)           (mm/mm3)           (mm/mm3)           (mm/mm3)           (mm/mm3)           (mm/mm3)           (mm/mm3)        (g/m^2)        (g/m^2)           (mm)             ()             ()        (g/m^2)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)           (mm/mm3)           (mm/mm3)           (mm/mm3)           (mm/mm3)           (mm/mm3)           (mm/mm3)         (g/m2)         (g/m2)      (m^2/m^2)        (g/m^2)             ()             ()             ()             ()
        31      1993         1           31          0.000         72.400          0.000          0.000          0.000          0.000          0.000       1379.155         48.626          0.619          0.000              ?         48.064              0.069              0.188              0.222              0.248              0.228              0.265              0.278              0.283              0.307              0.300              0.290              0.280              0.270              0.290              0.290              0.280              0.290              0.280              0.280              0.290              0.290              0.290              0.290              0.290              0.290              0.290              0.290         -0.526          0.000         72.400         48.627          0.000         48.627        276.783        179.474        456.257        463.155        340.000         35.685              ?         35.616         11.322        228.284       2506.004      10038.989        303.426         17.863       9568.941        140.604          8.155          0.000         46.254          6.420        401.222          0.148          0.000          0.000          0.000          0.000          0.000          0.000         0         0         0              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000         12.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000          0.000          0.000          0.000             10.958              8.092              6.026              3.739              1.886              1.764              0.770              1.030              0.714              1.107              1.107              1.106              1.106              1.105              1.105              1.104              1.103              1.892              1.976              0.697              0.183              0.049              0.031              0.013              0.006              0.002              0.001              0.001              0.001              0.001              0.001              0.002              0.002              0.002              0.000              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000          0.000       -439.382       -439.382          0.000          0.000
        59      1993         2           28          0.000         39.000          0.000          0.000          0.000          0.000          0.000       1380.688         37.468          0.000          0.000              ?         37.369              0.096              0.188              0.220              0.235              0.234              0.263              0.277              0.285              0.305              0.300              0.290              0.280              0.270              0.290              0.290              0.280              0.290              0.280              0.280              0.290              0.290              0.290              0.290              0.290              0.290              0.290              0.290         -0.910          0.000        111.400         86.092          0.000         86.092        275.980        179.091        455.071        464.687        340.000         66.890              ?         69.002          6.065        208.231       2501.276      10041.771        278.594          9.182       9558.402        189.365          6.228          0.000         47.400          3.621        226.299          0.087          0.000          0.000          0.000          0.000          0.000          0.000         0         0         0              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000         12.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000          0.000          0.000          0.000             23.045             17.006             11.223              5.189              2.450              2.121              0.938              1.105              0.732              1.115              1.114              1.113              1.113              1.112              1.112              1.111              1.111              1.512              1.433              0.502              0.170              0.050              0.038              0.018              0.008              0.002              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.000              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000          0.000       -439.379          0.004          0.000          0.000
        90      1993         3           31          0.000         55.200          0.000          0.000          0.000          0.000          0.000       1387.958         47.930          0.000          0.000              ?         47.162              0.091              0.189              0.227              0.271              0.254              0.261              0.276              0.286              0.304              0.300              0.290              0.280              0.270              0.290              0.290              0.280              0.290              0.280              0.280              0.290              0.290              0.290              0.290              0.290              0.290              0.290              0.290         -1.259          0.000        166.600        134.022          0.000        134.022        284.105        178.742        462.847        471.958        340.000         78.347              ?         99.913          3.638        187.190       2496.178      10043.447        252.501          5.579       9548.277        231.555          5.536          0.000         42.165          1.661        103.828          0.041          0.000          0.000          0.000          0.000          0.000          0.000         0         0         0              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000         12.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000          0.000          0.000          0.000             24.365             23.138             18.955             11.281              3.604              2.443              1.100              1.179              0.747              1.122              1.121              1.120              1.120              1.119              1.118              1.117              1.117              1.435              1.184              0.418              0.153              0.050              0.038              0.019              0.008              0.002              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.000              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000          0.000       -439.380         -0.003          0.000          0.000
       121      1993         5            1          0.000          2.600          0.000          0.000          0.000          0.000          0.000       1374.807         15.750          0.000          0.000              ?         16.967              0.032              0.177              0.207              0.233              0.253              0.262              0.275              0.286              0.302              0.300              0.290              0.280              0.270              0.290              0.290              0.280              0.290              0.280              0.280              0.290              0.290              0.290              0.290              0.290              0.290              0.290              0.290         -1.551          0.000        169.200        149.772          0.000        149.772        277.149        178.451        455.600        458.808        340.000         99.606              ?        112.461          3.405        178.114       2493.314      10043.973        239.198          4.966       9540.975        254.648          4.186          0.000         21.750          1.136         70.979          0.028          0.000          0.000          0.000          0.000          0.000          0.000         0         0         0              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000         12.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000          0.000          0.000          0.000             38.130             24.280             18.028             10.450              4.000              2.738              1.244              1.244              0.761              1.129              1.128              1.127              1.126              1.125              1.124              1.124              1.123              0.819              0.985              0.374              0.143              0.047              0.038              0.019              0.009              0.002              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.000              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000          0.000       -439.380          0.001          0.000          0.000
       158      1993         6            7          0.000         24.600          0.000          0.000          0.000          0.000          0.000       1373.292         26.115          0.000          0.000              ?         26.012              0.079              0.161              0.189              0.217              0.249              0.263              0.275              0.287              0.301              0.300              0.290              0.280              0.270              0.290              0.290              0.280              0.290              0.280              0.280              0.290              0.290              0.290              0.290              0.290              0.290              0.290              0.290         -1.843          0.000        193.800        175.888          0.000        175.888        271.198        178.157        449.355        457.292        340.000        114.473              ?        120.378          3.025        172.725       2491.465      10044.227        231.426          4.311       9536.203        267.859          4.425          0.000         13.500          0.883         55.172          0.022          0.940          0.000          1.194          0.620          0.320          0.000        10         0         0              0.001              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.010          0.351          0.351          0.000          0.059          0.000          0.000          0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000         12.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000          0.000          0.000          0.000             49.554             22.729             16.631              9.891              4.135              2.912              1.339              1.288              0.770              1.134              1.133              1.132              1.131              1.130              1.130              1.129              1.128              1.277              0.724              0.341              0.132              0.053              0.042              0.022              0.010              0.003              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.000              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000          0.000       -439.380         -0.000          0.000          0.000
       192      1993         7           11          0.000         78.200          0.394          0.000          0.000          0.000          0.000       1414.990         32.288          3.820          0.000              ?         31.196              0.177              0.190              0.242              0.282              0.297              0.294              0.282              0.287              0.300              0.300              0.290              0.280              0.270              0.290              0.290              0.280              0.290              0.280              0.280              0.290              0.290              0.290              0.290              0.290              0.290              0.290              0.290         -2.075          0.000        272.000        208.178         -0.393        207.785        303.383        177.926        481.309        498.990        340.000         56.478              ?        126.676          2.748        168.458       2490.140      10041.295        225.995          3.931       9533.301        273.269          4.798          0.000          9.142          0.525         32.837          0.013          5.456          0.000          2.810          3.530          1.926          0.000        21         0         0              0.002              0.001              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.092          1.000          1.000          0.000          0.295          0.000          0.000          0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000         12.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000          0.000          0.000          0.000             13.199             20.360             26.144             22.978              9.772              4.119              1.499              1.312              0.775              1.137              1.136              1.135              1.135              1.134              1.133              1.133              1.132              1.549              0.716              0.330              0.128              0.053              0.043              0.022              0.010              0.003              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.000              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000          0.000       -434.775          4.555          0.000          0.000
       205      1993         7           24          0.000          0.200          1.261          0.000          0.000          0.000          0.000       1399.033         14.896          0.000          0.000              ?         14.111              0.056              0.184              0.221              0.256              0.287              0.290              0.300              0.290              0.299              0.300              0.290              0.280              0.270              0.290              0.290              0.280              0.290              0.280              0.280              0.290              0.290              0.290              0.290              0.290              0.290              0.290              0.290         -2.137          0.000        272.200        223.075         -1.653        221.422        299.587        177.863        477.450        483.033        340.000         61.476              ?        129.173          2.651        166.665       2489.587      10035.614        223.733          3.795       9532.128        271.255          4.703          0.000          3.625          0.481         30.067          0.012         16.291          0.000          6.852         10.573          5.718          0.000        22         0         0              0.003              0.002              0.002              0.001              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.296          1.000          1.000          0.000          0.793          0.000          0.000          0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000         12.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000          0.000          0.000          0.000             17.159             19.848             22.979             20.375              9.932              4.394              1.802              1.340              0.776              1.138              1.137              1.136              1.136              1.135              1.135              1.134              1.133              1.484              0.711              0.334              0.130              0.053              0.042              0.022              0.010              0.003              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.000              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000          0.000       -432.255          2.489          0.000          0.000
       213      1993         8            1          0.000         49.800          2.069          0.000          0.000          0.000          0.000       1436.126         10.543          0.096          0.000              ?          7.949              0.173              0.189              0.244              0.281              0.297              0.298              0.307              0.314              0.319              0.308              0.298              0.286              0.275              0.293              0.291              0.280              0.290              0.280              0.280              0.290              0.290              0.290              0.290              0.290              0.290              0.290              0.290          8.182          3.183        322.000        233.616         -3.721        229.895        314.617        184.999        499.616        516.943        343.174         29.889              ?        130.971          2.583        165.415       2489.193      10023.289        222.210          3.707       9531.375        261.320          4.678          0.000          2.452          0.408         25.511          0.010         36.065          0.033         14.378         23.393         12.639          0.000        22         0         0              0.005              0.004              0.003              0.003              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.632          1.000          1.000          0.000          1.774          0.000          0.000          0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000         12.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000          0.000          0.000          0.000              6.066             10.655             18.382             21.842             13.787              6.635              2.806              1.658              0.942              1.135              1.163              1.158              1.154              1.149              1.139              1.136              1.135              1.519              0.703              0.321              0.123              0.050              0.040              0.021              0.009              0.003              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.000              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000          0.000       -424.838          5.625          0.000          0.000
       219      1993         8            7          0.000          3.600          2.167          0.000          0.000          0.000          0.000       1430.789          6.769          0.000          0.000              ?          5.475              0.128              0.186              0.225              0.264              0.290              0.291              0.301              0.312              0.314              0.305              0.300              0.291              0.285              0.306              0.300              0.285              0.292              0.281              0.280              0.290              0.290              0.290              0.290              0.290              0.290              0.290              0.290         15.902         12.065        325.600        240.385         -5.888        234.497        306.064        183.840        489.904        502.727        351.747         28.836              ?        132.175          2.539        164.552       2488.925      10012.938        221.149          3.648       9530.850        252.581          4.708          0.000          1.672          0.384         24.024          0.010         54.935          0.057         21.412         35.635         19.243          0.000        23         0         0              0.006              0.005              0.005              0.004              0.001              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.991          1.000          1.000          0.000          2.641          0.000          0.000          0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000         12.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000          0.000          0.000          0.000              6.109              9.951             15.867             19.199             13.102              7.001              3.151              1.795              1.015              1.098              1.151              1.164              1.180              1.196              1.170              1.151              1.142              1.539              0.702              0.323              0.123              0.050              0.039              0.020              0.009              0.002              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.000              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000          0.000       -411.624         12.943          0.000          0.000
       233      1993         8           21          0.000         15.400          6.843          0.000          0.000          0.000          0.000       1429.166         10.165          0.000          0.015              ?          3.679              0.148              0.184              0.221              0.248              0.282              0.290              0.300              0.310              0.310              0.300              0.290              0.280              0.272              0.297              0.301              0.293              0.298              0.288              0.288              0.298              0.298              0.295              0.292              0.291              0.290              0.290              0.290         16.609         16.593        341.000        250.548        -12.731        237.817        301.772        180.018        481.790        496.590        348.274         24.741              ?        135.378          2.428        162.303       2488.207       9978.081        218.367          3.499       9529.447        222.031          4.738          0.000          4.458          0.280         17.528          0.007        124.737          0.739         47.072         80.324         43.674          0.000        24         0         0              0.012              0.010              0.009              0.008              0.005              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000          2.250          1.000          1.000          0.000          5.644          0.000          0.000          0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000         12.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000          0.000          0.000          0.000              5.441              8.052             12.152             14.261              9.973              7.025              3.166              1.800              1.012              1.075              1.108              1.117              1.108              1.140              1.141              1.147              1.136              1.550              0.693              0.327              0.127              0.052              0.041              0.021              0.009              0.003              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.000              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000          0.000       -393.407         18.750          0.000          0.000
