Summary_file = orobanche.sum
Title = orobanchen Sample Simulation
       day      year   faba_biomass         faba_c    day_at     orob_stage         dlt_tt    host_tt_sum parasite_c_demand        biomass    biomass_pot  biomass_emerg
     (day)    (year)        (kg/ha)         (g/m2)        ()             ()          (oCd)          (oCd)            (g/m2)        (kg/ha)        (kg/ha)         (g/m2)
       198      1988       2823.356          0.000        57          4.031          5.981        777.719             0.000          0.000          0.000          0.000
       199      1988       2956.399          0.000        58          4.076          6.405        792.569             0.000          0.000          0.000          0.000
       200      1988       3099.431          0.000        59          4.117          5.765        804.769             0.086          0.000          0.865          0.000
       201      1988       3252.076          0.086        60          4.153          4.986        816.819             0.181          0.865          2.671          0.000
       202      1988       3389.615          0.181        61          4.193          5.721        831.236             0.353          2.671          6.206          0.000
       203      1988       3494.542          0.353        62          4.247          7.540        848.080             0.629          6.206         12.500          0.000
       204      1988       3578.354          0.629        63          4.301          7.723        863.080             0.824         12.500         20.739          0.000
       205      1988       3697.008          0.824        64          4.340          5.465        873.730             0.997         20.739         30.709          0.000
       206      1988       3805.318          0.997        65          4.368          3.896        883.330             0.938         30.709         40.092          0.000
       207      1988       3949.936          0.938        66          4.396          3.980        895.030             1.485         40.092         54.945          0.000
       208      1988       4101.576          1.485        67          4.437          5.750        909.653             2.388         54.945         78.827          0.000
       209      1988       4210.302          2.388        68          4.473          5.075        920.203             2.136         78.827        100.187          0.000
       210      1988       4339.029          2.136        69          4.501          3.958        931.103             2.294        100.187        123.125          0.000
       211      1988       4454.018          2.294        70          4.532          4.310        942.903             3.022        123.125        153.344          0.000
       212      1988       4571.784          3.022        71          4.571          5.589        957.703             4.642        153.344        199.760          0.000
       213      1988       4692.333          4.642        72          4.610          5.497        970.453             4.737        199.760        247.128          0.000
       214      1988       4806.210          4.737        73          4.647          5.247        983.253             5.490        247.128        302.029          0.000
       215      1988       4898.635          5.490        74          4.690          6.019        997.903             7.348        302.029        375.510          0.000
       216      1988       4992.509          7.348        75          4.740          6.996       1013.129             9.200        375.510        467.512          0.000
       217      1988       5062.066          9.200        76          4.794          7.647       1028.733            11.295        467.512        580.464          0.000
       218      1988       5101.047         11.295        77          4.852          8.139       1044.778            13.238        580.464        712.843          0.000
       219      1988       5102.739         13.238        78          4.909          8.114       1060.478            14.260        712.843        855.443          0.000
       220      1988       5098.610         12.087        79          4.945          5.119       1069.678            10.081        833.716        956.249          0.000
       221      1988       5107.784         10.081        80          4.968          3.186       1078.228            10.354        934.523       1059.785          0.000
       222      1988       5116.666         10.354        81          4.984          2.243       1086.228            10.474       1038.058       1164.528          0.000
       223      1988       5150.367         10.474        82          5.000          2.316       1095.628            12.441       1142.802       1288.943          0.000
       224      1988       5203.832         12.441        83          5.000          4.700       1108.328            18.334       1267.216       1472.279          0.000
       225      1988       5198.054         17.509        84          5.000          4.800       1121.128            20.546       1442.305       1677.740          4.405
       226      1988       5191.700         17.898        85          5.000          4.400       1133.528            22.036       1621.285       1898.102          9.011
       227      1988       5183.808         17.767        86          5.000          4.900       1146.428            23.156       1798.955       2129.658         14.096
       228      1988       5174.402         17.252        87          5.000          5.600       1160.028            26.854       1971.474       2398.202         20.504
       229      1988       5163.267         18.386        88          5.000          7.550       1175.319            33.596       2155.335       2734.166         29.243
       230      1988       5150.125         18.397        89          5.000          8.150       1189.846            35.976       2339.302       3093.930         39.605
       231      1988       5135.175         16.612        90          5.000         10.650       1206.655            53.752       2505.423       3631.446         62.670
       232      1988       5116.143         16.772        91          5.000         10.100       1224.424            64.872       2673.139       4280.170         79.740
       233      1988       5092.458         19.586        92          5.000          9.900       1238.106            54.290       2869.003       4823.066        111.698
       234      1988       5065.857         17.387        93          5.000         12.300       1253.155            67.435       3042.869       5497.411        151.394
       235      1988       5035.774         10.826        94          5.000         12.100       1271.935            84.592       3151.133       6343.333        193.340
       236      1988       5000.582         12.896        95          5.000          9.950       1289.885            81.191       3280.096       7155.247        255.015
       237      1988       4961.635         13.492        96          5.000          3.750       1301.635            53.275       3415.013       7688.000        265.476
       238      1988       4921.693         17.140        97          5.000          3.850       1313.485            53.846       3586.414       8226.463        296.717
       239      1988       4880.904         16.412        98          5.000          6.550       1328.035            66.273       3750.534       8889.193        325.309
       240      1988       4838.294         11.300        99          5.000          8.150       1344.185            73.731       3863.533       9626.507        367.109
       241      1988       4793.247         12.938       100          5.000          7.350       1359.535            70.213       3992.917      10328.638        390.298
       242      1988       4746.170         17.633       101          5.000          3.550       1371.085            52.899       4169.247      10857.625        413.203
       243      1988       4698.166         18.097       102          5.000          4.850       1383.935            58.928       4350.222      11446.904        432.704
       244      1988       4648.528          9.824       103          5.000          6.450       1398.385            66.349       4448.458      12110.397        442.528
