Summary_file = grasp.sum
Title = Grass growth.
           year            day      sw_dep(1)      sw_dep(2)      sw_dep(3)      sw_dep(4)      sw_dep(5)      sw_dep(6)      sw_dep(7)            eos             es  soilwat_cover     green_pool      dead_pool  growth_transp   growth_photo growth_regrowth         growth          death        n_index      rad_index       sw_index     temp_index   growth_index     basal_area      cover_tot   surfaceom_wt surfaceom_cover
         (year)          (day)           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)             ()        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)         (kg/ha)        (kg/ha)        (kg/ha)             ()             ()             ()             ()             ()       (m^2/ha)             ()        (kg/ha)       (m^2/m^2)
           1988              1         42.861         56.610        126.100        127.678        121.186        122.998        123.000          4.592          0.366          0.330          1.351          0.000          0.000          0.000           1.351          1.351          0.000          1.000          0.901          1.000          1.000          0.901          0.500          0.001       1852.330           0.310
           1988              2         44.272         57.206        124.138        126.563        122.082        123.000        123.000          5.503          0.165          0.310          2.739          0.003          0.046          0.263           1.390          1.390          0.003          1.000          0.927          1.000          1.000          0.927          0.500          0.002       1763.782           0.297
           1988              3         45.983         57.120        122.603        125.624        122.750        123.000        123.000          5.469          0.164          0.299          4.127          0.008          0.092          0.541           1.394          1.394          0.005          1.000          0.930          1.000          1.000          0.930          0.500          0.003       1725.102           0.292
           1988              4         66.269         64.375        124.139        125.139        123.274        123.000        123.000          4.288          4.173          0.294          5.442          0.016          0.089          0.656           1.322          1.322          0.008          1.000          0.882          1.000          1.000          0.882          0.500          0.004       1561.889           0.268
           1988              5         64.228         63.682        124.903        124.905        123.703        123.000        123.000          3.759          3.759          0.271          6.670          0.027          0.138          0.750           1.239          1.239          0.011          1.000          0.852          1.000          0.970          0.826          0.500          0.005       1427.116           0.248
           1988              6         63.095         63.037        125.169        124.800        124.065        123.000        123.000          5.036          1.227          0.252          7.954          0.041          0.184          1.182           1.298          1.298          0.013          1.000          0.921          1.000          0.940          0.865          0.500          0.006       1337.972           0.235
           1988              7         62.376         62.580        125.173        124.759        124.377        123.000        123.000          4.978          0.869          0.239          9.192          0.056          0.233          1.349           1.254          1.254          0.016          1.000          0.918          1.000          0.910          0.836          0.500          0.006       1285.905           0.227
           1988              8         61.857         62.223        125.035        124.746        124.648        123.000        123.000          5.743          0.713          0.232         10.583          0.075          0.219          1.921           1.410          1.410          0.018          1.000          0.940          1.000          1.000          0.940          0.500          0.007       1270.801           0.224
           1988              9         61.459         61.927        124.823        124.742        124.886        123.000        123.000          6.161          0.619          0.230         11.981          0.096          0.226          2.294           1.419          1.419          0.021          1.000          0.946          1.000          1.000          0.946          0.500          0.008       1270.801           0.224
           1988             10         61.141         61.673        124.578        124.738        125.093        123.000        123.000          6.166          0.554          0.231         13.372          0.119          0.253          2.555           1.415          1.415          0.024          1.000          0.943          1.000          1.000          0.943          0.500          0.009       1270.801           0.224
           1988             11         60.878         61.454        124.324        124.729        125.273        123.000        123.000          5.352          0.507          0.232         14.728          0.146          0.353          2.532           1.383          1.383          0.027          1.000          0.922          1.000          1.000          0.922          0.500          0.010       1270.801           0.224
           1988             12         60.654         61.259        124.071        124.714        125.428        123.000        123.000          4.981          0.469          0.232         16.068          0.175          0.440          2.670           1.370          1.370          0.029          1.000          0.913          1.000          1.000          0.913          0.500          0.011       1270.801           0.224
           1988             13         60.456         61.081        123.823        124.692        125.562        123.000        123.000          5.492          0.439          0.233         17.437          0.207          0.453          3.240           1.401          1.401          0.032          1.000          0.934          1.000          1.000          0.934          0.500          0.012       1270.801           0.224
           1988             14         60.278         60.918        123.583        124.663        125.675        123.000        123.000          5.716          0.415          0.234         18.717          0.241          0.430          3.440           1.315          1.315          0.035          1.000          0.943          1.000          0.930          0.877          0.500          0.013       1270.801           0.224
           1988             15         60.118         60.769        123.355        124.627        125.770        123.000        123.000          5.415          0.393          0.234         19.996          0.278          0.456          3.538           1.316          1.316          0.037          1.000          0.934          1.000          0.940          0.878          0.500          0.014       1270.802           0.224
           1988             16         65.472         63.891        124.368        124.724        125.865        123.000        123.000          3.265          3.265          0.235         21.018          0.318          0.501          2.163           1.061          1.061          0.040          1.000          0.813          1.000          0.870          0.708          0.500          0.014       1150.570           0.206
           1988             17         66.648         65.175        125.562        124.941        125.975        123.000        123.000          5.544          4.926          0.217         22.365          0.359          0.373          4.058           1.389          1.389          0.042          1.000          0.926          1.000          1.000          0.926          0.500          0.015       1041.714           0.188
           1988             18         64.786         64.283        126.083        125.280        126.000        123.000        123.000          7.367          1.740          0.201         23.750          0.403          0.408          5.080           1.430          1.430          0.045          1.000          0.953          1.000          1.000          0.953          0.500          0.016        979.462           0.178
           1988             19         63.783         63.675        126.265        125.626        126.000        123.000        123.000          5.068          1.989          0.191         25.056          0.450          0.486          4.087           1.353          1.353          0.048          1.000          0.902          1.000          1.000          0.902          0.500          0.017        939.778           0.171
           1988             20         68.970         74.821        141.371        129.639        126.000        123.000        123.000          4.835          4.501          0.186         26.351          0.499          0.449          4.200           1.344          1.344          0.050          1.000          0.896          1.000          1.000          0.896          0.500          0.018        850.865           0.156
           1988             21         67.461         72.950        140.223        131.990        126.000        123.000        123.000          6.329          2.049          0.172         27.710          0.551          0.549          5.527           1.412          1.412          0.053          1.000          0.941          1.000          1.000          0.941          0.500          0.019        795.837           0.147
           1988             22         67.469         72.330        139.969        132.984        126.198        123.040        123.008          4.724          4.724          0.163         28.985          0.605          0.506          4.461           1.330          1.330          0.055          1.000          0.887          1.000          1.000          0.887          0.500          0.020        720.543           0.134
