Summary_file = output\dingxi_w.sum
Title = Continuous spring wheat at Dingxi
       day      year           date          event           flag           rain           w_ep              sw(1)              sw(2)              sw(3)              sw(4)              sw(5)              sw(6)              sw(7)              sw(8)             es         runoff          drain         sw_dep          nh4()        tot_no3             no3(1)             no3(2)             no3(3)             no3(4)             no3(5)             no3(6)             no3(7)             no3(8)           dnit       hum_c(1)      biom_c(1)       fom_c(1)    surfaceom_n   surfaceom_wt          w_lai        w_yield      w_biomass      w_root_wt     w_root_dep       w_biom_n     w_mat       n_stress       w_stress             eo
     (day)    (year)             ()             ()             ()           (mm)           (mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)           (mm)           (mm)           (mm)           (mm)        (kg/ha)        (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)      (m^2/m^2)        (kg/ha)        (kg/ha)        (g/m^2)           (mm)        (g/m^2)     (doy)             ()             ()           (mm)
       209      1978     28/07/1978          2.000          0.000        125.000         31.502              0.250              0.249              0.231              0.142              0.137              0.165              0.185              0.197         42.433          0.592          0.000        368.704          1.555        491.186             17.724             71.470             72.966             99.941            110.204             73.429             32.418             13.034          0.180       9284.844        389.165         71.786          0.023          1.301          0.002       2766.478       6618.520        101.309       1689.844         10.654       207          1.000          1.000        137.841
       212      1978     31/07/1978          0.000          0.000         40.500          0.000              0.270              0.275              0.273              0.184              0.138              0.165              0.185              0.197          9.963          1.997          0.000        397.244          1.623        492.004             10.608             55.435             78.091            118.382            110.745             73.373             32.360             13.011          0.145       9284.801        394.863        146.381          1.776        162.070          0.000          0.000          0.000          0.000          0.000          0.000         0          1.000          1.000         12.575
       243      1978     31/08/1978          0.000          0.000         74.100          0.000              0.316              0.277              0.261              0.232              0.175              0.168              0.184              0.194         44.586          2.019          0.000        424.739          2.062        506.375             12.076             44.005             65.996            132.628            132.781             73.993             31.989             12.906          0.065       9277.791        401.447         81.477          0.781         71.255          0.000          0.000          0.000          0.000          0.000          0.000         0          1.000          1.000        142.504
       273      1978     30/09/1978          0.000          0.000         64.800          0.000              0.231              0.237              0.243              0.242              0.236              0.213              0.191              0.193         44.962          2.896          0.000        441.682          2.350        514.880             13.110             27.944             48.070            116.261            155.188            105.847             35.509             12.951          0.234       9273.247        396.171         65.425          0.458         41.842          0.000          0.000          0.000          0.000          0.000          0.000         0          1.000          1.000         91.230
       304      1978     31/10/1978          0.000          0.000         52.200          0.000              0.218              0.229              0.237              0.238              0.235              0.227              0.212              0.202         44.252          0.473          0.000        449.156          2.502        520.057             14.376             24.354             43.204            107.919            147.472            118.745             49.051             14.936          0.017       9270.816        392.403         59.289          0.342         31.223          0.000          0.000          0.000          0.000          0.000          0.000         0          1.000          1.000         57.730
       334      1978     30/11/1978          0.000          0.000          4.200          0.000              0.200              0.210              0.220              0.226              0.227              0.225              0.220              0.217         12.679          0.000          0.000        440.677          2.564        522.079             18.405             24.031             40.614            102.355            140.251            119.913             57.749             18.762          0.000       9270.022        390.762         57.632          0.342         31.223          0.000          0.000          0.000          0.000          0.000          0.000         0          1.000          1.000         25.980
       365      1978     31/12/1978          0.000          0.000          0.900          0.000              0.177              0.197              0.211              0.218              0.222              0.223              0.224              0.227          8.233          0.000          0.000        433.344          2.585        522.712             21.423             23.416             39.300             99.153            136.134            119.808             62.171             21.306          0.000       9269.890        390.486         57.362          0.342         31.223          0.000          0.000          0.000          0.000          0.000          0.000         0          1.000          1.000         21.028
        31      1979     31/01/1979          0.000          0.000          2.000          0.000              0.178              0.188              0.204              0.213              0.218              0.222              0.226              0.231          5.952          0.000          0.000        429.392          2.587        523.018             23.913             23.192             38.598             96.892            133.821            119.782             64.351             22.469          0.000       9269.819        390.335         57.217          0.342         31.223          0.000          0.000          0.000          0.000          0.000          0.000         0          1.000          1.000         17.679
        59      1979     28/02/1979          0.000          1.000          0.500          0.000              0.151              0.181              0.200              0.210              0.216              0.222              0.227              0.232          6.511          0.000          0.000        423.381          2.522        523.651             26.158             23.117             38.397             95.530            132.622            119.676             65.221             22.931          0.000       9269.552        389.790         56.694          0.342         31.223          0.000          0.000          0.000          0.000          0.000          0.000         0          1.000          1.000         42.379
        90      1979     31/03/1979          0.000          0.000          9.300          0.000              0.159              0.181              0.197              0.207              0.215              0.221              0.227              0.233         10.274          0.000          0.000        422.407         22.896        534.245             36.840             24.380             38.626             94.682            131.677            119.413             65.511             23.116          0.000       9268.922        388.531         56.652          0.305         27.881          0.000          0.000          0.000          0.000        113.170          0.000         0          1.000          1.000         62.709
       120      1979     30/04/1979          0.000          0.000          7.900         13.556              0.117              0.146              0.186              0.205              0.214              0.221              0.227              0.233          8.968          0.000          0.000        407.783        118.350        516.408             37.157             19.788             26.307             94.444            131.009            119.084             65.476             23.142          0.000       9266.822        384.399         56.226          0.296         26.994          1.272          0.000        833.722         57.714        404.560          3.579         0          1.000          0.976        111.606
       151      1979     31/05/1979          0.000          0.000          8.200         31.443              0.085              0.121              0.136              0.168              0.207              0.219              0.226              0.232          8.995          0.000          0.000        375.545         45.053        560.865             94.561             19.331             24.085             89.385            127.298            117.867             65.218             23.120          0.000       9266.263        383.905         68.472          0.241         22.020          1.179          0.000       2772.974        113.105        876.760          5.413         0          1.000          0.550        134.276
       181      1979     30/06/1979          0.000          0.000         77.100         68.134              0.137              0.171              0.135              0.130              0.156              0.197              0.220              0.230         29.464          0.000          0.000        355.047          1.192        582.850             53.647             92.634             28.380             91.659            123.409            107.516             62.726             22.879          0.000       9260.308        376.200         63.146          0.076          6.977          0.731        201.953       5649.549        135.836       1464.280          7.549         0          1.000          0.844        178.246
       212      1979     31/07/1979          0.000          0.000        177.300         37.945              0.296              0.299              0.283              0.255              0.164              0.191              0.209              0.221         35.967          0.415          0.000        458.019          1.642        543.202              4.249             39.545             63.128            134.755            125.567             97.465             56.563             21.931          0.642       9251.896        363.110         55.669          0.014          1.241          0.377       3193.663       7582.320        116.287       2000.000         12.303         0          1.000          1.000        123.202
       217      1979     05/08/1979          2.000          0.000         37.400          0.537              0.270              0.280              0.292              0.270              0.251              0.197              0.209              0.220          4.118          5.153          0.000        485.611          1.662        541.143              2.679             24.857             49.613            120.014            164.695            101.164             56.280             21.842          0.361       9250.979        361.657         55.280          0.010          0.940          0.002       3193.663       7605.185        113.978       2000.000         12.575       215          1.000          1.000         13.976
       243      1979     31/08/1979          0.000          0.000        109.300          0.000              0.259              0.263              0.271              0.265              0.267              0.269              0.269              0.266         50.123          7.145          4.049        533.594          2.073        548.880              3.162             13.778             28.635             83.544            133.685            144.870            100.239             40.968          1.046       9246.665        380.986         84.197          0.989         85.803          0.000          0.000          0.000          0.000          0.000          0.000         0          1.000          1.000        105.491
       273      1979     30/09/1979          0.000          0.000         71.400          0.000              0.250              0.255              0.265              0.260              0.260              0.260              0.260              0.260         55.155          0.942         29.495        519.402          2.326        538.125              5.714             13.215             24.178             73.695            118.482            136.095            108.083             58.661          0.666       9242.147        379.411         65.041          0.484         41.954          0.000          0.000          0.000          0.000          0.000          0.000         0          1.000          1.000         93.633
       304      1979     31/10/1979          0.000          0.000         20.800          0.000              0.233              0.239              0.249              0.256              0.260              0.260              0.260              0.260         25.081          1.411          4.147        509.563          2.454        541.542              9.600             14.740             23.229             71.708            116.607            135.194            109.343             61.121          0.110       9238.603        373.601         56.061          0.437         37.869          0.000          0.000          0.000          0.000          0.000          0.000         0          1.000          1.000         76.951
       334      1979     30/11/1979          0.000          0.000         26.400          0.000              0.233              0.239              0.250              0.257              0.260              0.260              0.260              0.260         20.451          2.502          2.883        510.127          2.476        541.256             10.323             14.957             22.790             70.331            115.109            134.534            110.291             62.921          0.089       9237.676        372.175         54.044          0.410         35.533          0.000          0.000          0.000          0.000          0.000          0.000         0          1.000          1.000         26.119
       365      1979     31/12/1979          0.000          0.000          0.300          0.000              0.224              0.229              0.240              0.249              0.256              0.260              0.260              0.260          8.873          0.000          0.000        501.554          2.499        541.710             12.852             15.261             23.601             68.817            113.348            134.567            110.316             62.948          0.000       9237.580        371.998         53.850          0.410         35.533          0.000          0.000          0.000          0.000          0.000          0.000         0          1.000          1.000         16.522
        31      1980     31/01/1980          0.000          0.000          1.600          0.000              0.224              0.228              0.236              0.244              0.252              0.258              0.260              0.260          5.683          0.000          0.000        497.470          2.501        541.750             14.158             15.855             24.461             68.563            111.645            133.787            110.324             62.958          0.000       9237.580        371.997         53.849          0.410         35.533          0.000          0.000          0.000          0.000          0.000          0.000         0          1.000          1.000         11.721
        60      1980     29/02/1980          0.000          1.000          6.300          0.000              0.221              0.227              0.235              0.242              0.249              0.256              0.260              0.260          8.753          0.000          0.000        495.018          2.507        541.849             14.478             16.731             25.217             68.867            110.801            132.464            110.327             62.963          0.000       9237.521        371.889         53.731          0.410         35.533          0.000          0.000          0.000          0.000          0.000          0.000         0          1.000          1.000         22.732
        91      1980     31/03/1980          0.000          0.000          5.400          0.000              0.213              0.221              0.231              0.240              0.247              0.254              0.260              0.260         10.471          0.000          0.000        489.947         24.195        551.158             24.515             17.325             25.774             68.914            109.984            131.365            110.310             62.971          0.000       9236.737        370.470         53.532          0.369         31.980          0.000          0.000          0.000          0.000        112.040          0.000         0          1.000          1.000         68.466
       121      1980     30/04/1980          0.000          0.000         21.300         23.103              0.193              0.177              0.212              0.236              0.245              0.252              0.258              0.260         15.771          0.000          0.000        472.372        114.889        517.777             15.362              9.708             11.359             69.073            109.268            130.325            109.695             62.987          0.000       9232.979        364.267         53.729          0.318         27.592          2.191          0.000       1490.601        100.004        419.060          5.240         0          1.000          0.979        119.223
       152      1980     31/05/1980          0.000          0.000         48.500         64.773              0.215              0.199              0.144              0.183              0.228              0.244              0.253              0.260         15.841          0.000          0.000        440.259          4.387        563.973             48.237             46.951             14.935             53.774            104.306            125.645            107.214             62.911          0.000       9229.329        361.504         77.762          0.125         10.886          2.332          0.000       5300.674        203.966        895.220          9.505         0          1.000          0.664        137.655
       182      1980     30/06/1980          0.000          0.000         79.600         91.776              0.210              0.217              0.140              0.144              0.175              0.217              0.240              0.250         28.420          0.000          0.000        399.662          1.078        517.555             15.064             67.056             22.151             56.801             92.797            105.375             97.771             60.539          0.000       9223.293        360.417        103.309          0.029          2.535          1.955        209.762      10215.436        245.160       1451.540         13.878         0          1.000          0.942        134.076
       213      1980     31/07/1980          0.000          0.000         43.800         84.672              0.106              0.137              0.134              0.123              0.141              0.179              0.204              0.223         33.020          0.000          0.000        325.771          0.540        428.259             12.482             56.501             26.398             55.566             82.877             79.300             66.614             48.522          0.000       9219.126        361.193        136.438          0.006          0.511          0.502       5945.545      14018.798        209.877       2000.000         23.273         0          1.000          0.958        154.490
       216      1980     03/08/1980          2.000          0.000         11.000          1.411              0.200              0.137              0.134              0.123              0.141              0.178              0.203              0.221          1.307          0.000          0.000        334.053          0.508        428.427             12.375             56.705             26.407             55.629             83.018             79.352             66.620             48.321          0.000       9218.827        361.661        136.381          0.005          0.449          0.002       5945.545      14018.798        207.784       2000.000         23.273       214          1.000          1.000          7.324
       244      1980     31/08/1980          0.000          0.000         39.900          0.000              0.127              0.137              0.133              0.125              0.145              0.181              0.202              0.214         47.170          0.000          0.000        326.783          0.604        429.505             12.622             56.587             26.521             56.571             85.062             79.835             65.616             46.690          0.000       9224.164        425.371        437.959          2.084        186.763          0.000          0.000          0.000          0.000          0.000          0.000         0          1.000          1.000        142.264
       274      1980     30/09/1980          0.000          0.000         28.200          0.000              0.075              0.143              0.134              0.126              0.150              0.182              0.200              0.209         31.716          0.000          0.000        323.266          0.745        432.448             13.549             57.139             27.078             57.719             87.057             79.609             64.433             45.864          0.000       9225.595        452.786        355.504          1.603        143.680          0.000          0.000          0.000          0.000          0.000          0.000         0          1.000          1.000        107.048
       305      1980     31/10/1980          0.000          0.000         25.600          0.000              0.099              0.137              0.134              0.129              0.154              0.182              0.197              0.207         24.450          0.000          0.000        324.416          0.693        433.980             16.285             54.843             27.326             59.034             88.716             79.027             63.469             45.278          0.000       9225.718        455.463        347.713          1.534        137.458          0.000          0.000          0.000          0.000          0.000          0.000         0          1.000          1.000         64.813
       335      1980     30/11/1980          0.000          0.000          0.000          0.000              0.021              0.128              0.133              0.131              0.157              0.181              0.195              0.204          9.540          0.000          0.000        314.876          0.653        434.738             19.785             51.470             27.321             60.357             89.859             78.399             62.709             44.839          0.000       9225.719        455.471        347.713          1.533        137.401          0.000          0.000          0.000          0.000          0.000          0.000         0          1.000          1.000         39.352
       366      1980     31/12/1980          0.000          0.000          0.000          0.000              0.020              0.120              0.132              0.133              0.159              0.181              0.194              0.202          1.671          0.000          0.000        313.205          0.651        434.991             23.020             48.346             27.131             61.669             90.582             77.757             62.032             44.454          0.000       9225.719        455.471        347.713          1.533        137.401          0.000          0.000          0.000          0.000          0.000          0.000         0          1.000          1.000         16.343
        31      1981     31/01/1981          0.000          0.000          5.900          0.000              0.033              0.120              0.132              0.135              0.160              0.180              0.192              0.201          4.693          0.000          0.000        314.412          0.656        435.102             23.248             48.234             26.969             62.946             90.976             77.165             61.443             44.120          0.000       9225.719        455.471        347.713          1.533        137.401          0.000          0.000          0.000          0.000          0.000          0.000         0          1.000          1.000         10.705
        59      1981     28/02/1981          0.000          1.000          1.700          0.000              0.020              0.120              0.131              0.137              0.161              0.180              0.191              0.199          3.114          0.000          0.000        312.998          0.660        435.183             23.436             48.142             26.879             64.062             91.148             76.684             60.977             43.856          0.000       9225.719        455.471        347.713          1.533        137.401          0.000          0.000          0.000          0.000          0.000          0.000         0          1.000          1.000         27.010
        90      1981     31/03/1981          0.000          0.000         18.300          0.000              0.115              0.121              0.131              0.139              0.162              0.179              0.190              0.198          8.621          0.000          0.000        322.677         21.202        444.933             32.765             48.507             26.857             65.250             91.220             76.210             60.524             43.598          0.000       9225.797        457.760        345.400          1.339        120.019          0.000          0.000          0.000          0.000        100.349          0.000         0          1.000          1.000         86.331
       120      1981     30/04/1981          0.000          0.000         25.500          1.266              0.101              0.124              0.131              0.141              0.163              0.178              0.189              0.197         25.201          0.000          0.000        321.709        126.872        455.739             43.235             48.722             26.918             66.344             91.214             75.796             60.135             43.374          0.000       9225.940        463.016        328.888          1.248        111.882          0.110          0.000         91.162          8.101        116.623          0.414         0          1.000          0.521        112.807
       151      1981     31/05/1981          0.000          0.000          4.200          0.101              0.020              0.120              0.131              0.143              0.163              0.178              0.188              0.196         13.054          0.000          0.000        312.755        126.894        456.162             44.657             47.433             27.024             67.486             91.190             75.419             59.780             43.171          0.000       9225.940        463.016        333.041          1.248        111.882          0.005          0.000         97.061          7.140        133.934          0.414         0          1.000          0.034        158.508
       181      1981     30/06/1981          0.000          0.000         49.500          0.068              0.161              0.135              0.132              0.144              0.163              0.178              0.188              0.195         32.449          0.000          0.000        329.737         37.833        546.477            123.617             58.277             27.214             68.616             91.178             75.101             59.477             42.998          0.000       9226.587        480.824        282.755          0.659         59.095          0.002          6.903         99.926          6.150        171.204          0.441         0          1.000          0.346        133.135
       210      1981     29/07/1981          2.000          0.000        102.900          0.154              0.216              0.224              0.224              0.167              0.164              0.177              0.187              0.195         41.897         12.237          0.000        378.349          2.021        592.768             63.330            104.399             75.391             80.859             91.769             74.897             59.251             42.873          0.200       9223.570        493.425        167.061          0.283         25.361          0.002         22.356        106.539          5.344        604.531          0.463       208          1.000          1.000        141.486
       212      1981     31/07/1981          0.000          0.000          2.100          0.000              0.210              0.220              0.220              0.170              0.165              0.177              0.187              0.194          3.420          0.000          0.000        377.029          2.060        594.751             65.882            103.098             74.412             82.392             91.985             74.889             59.232             42.862          0.000       9222.926        493.311        171.750          0.218          5.477          0.000          0.000          0.000          0.000          0.000          0.000         0          1.000          1.000         16.517
       243      1981     31/08/1981          0.000          0.000         71.900          0.000              0.243              0.245              0.238              0.213              0.175              0.178              0.186              0.194         42.409          1.801          0.000        404.719          2.396        610.339             42.332             96.707             88.610            108.104             97.607             75.146             59.069             42.765          0.147       9216.580        480.052        105.409          0.084          2.105          0.000          0.000          0.000          0.000          0.000          0.000         0          1.000          1.000        120.804
       273      1981     30/09/1981          0.000          0.000         59.400          0.000              0.221              0.229              0.232              0.230              0.221              0.197              0.189              0.193         38.839          1.791          0.000        423.489          2.444        620.330             36.752             70.002             83.425            120.009            121.006             86.135             60.205             42.796          0.325       9212.160        467.250         84.048          0.052          1.298          0.000          0.000          0.000          0.000          0.000          0.000         0          1.000          1.000         83.697
       304      1981     31/10/1981          0.000          0.000          3.200          0.000              0.189              0.204              0.215              0.219              0.216              0.208              0.198              0.196         12.881          0.000          0.000        413.808          2.605        624.915             47.843             64.389             78.151            114.591            118.096             93.427             64.609             43.810          0.000       9210.365        461.885         77.744          0.052          1.298          0.000          0.000          0.000          0.000          0.000          0.000         0          1.000          1.000         59.966
       334      1981     30/11/1981          0.000          0.000          7.300          0.000              0.189              0.198              0.208              0.212              0.212              0.209              0.203              0.202          9.531          0.000          0.000        411.576          2.649        626.307             50.694             63.863             75.754            111.506            115.846             95.017             67.911             45.715          0.000       9210.019        460.845         76.634          0.051          1.281          0.000          0.000          0.000          0.000          0.000          0.000         0          1.000          1.000         24.244
       365      1981     31/12/1981          0.000          0.000          4.100          0.000              0.179              0.195              0.203              0.207              0.209              0.208              0.207              0.208          6.469          0.000          0.000        409.207          2.652        626.420             51.973             64.087             74.013            109.099            114.075             95.558             70.022             47.593          0.000       9210.019        460.845         76.634          0.051          1.281          0.000          0.000          0.000          0.000          0.000          0.000         0          1.000          1.000          8.610
        31      1982     31/01/1982          0.000          0.000          2.100          0.000              0.174              0.184              0.197              0.204              0.207              0.208              0.209              0.212          6.040          0.000          0.000        405.267          2.655        626.571             57.704             60.666             71.864            107.240            112.791             95.862             71.466             48.978          0.000       9210.009        460.817         76.605          0.051          1.281          0.000          0.000          0.000          0.000          0.000          0.000         0          1.000          1.000         16.450
        59      1982     28/02/1982          0.000          1.000          6.200          0.000              0.166              0.179              0.193              0.201              0.205              0.207              0.210              0.214          9.189          0.000          0.000        402.277          2.647        626.655             61.089             59.446             70.342            105.716            111.816             96.027             72.385             49.833          0.000       9209.987        460.758         76.543          0.051          1.281          0.000          0.000          0.000          0.000          0.000          0.000         0          1.000          1.000         19.818
        90      1982     31/03/1982          0.000          0.000         15.300          0.000              0.175              0.189              0.193              0.199              0.204              0.207              0.211              0.216         12.807          0.000          0.000        404.771         24.167        636.114             64.722             65.552             70.472            104.694            111.009             96.124             73.078             50.463          0.000       9209.380        458.939         74.729          0.045          1.126          0.000          0.000          0.000          0.000        115.930          0.000         0          1.000          1.000         59.380
       120      1982     30/04/1982          0.000          0.000         21.600         14.180              0.131              0.154              0.188              0.198              0.203              0.207              0.212              0.217         19.686          0.000          0.000        392.505        122.864        598.908             52.916             51.236             58.934            104.546            110.660             96.233             73.526             50.857          0.000       9207.556        453.582         74.567          0.039          0.991          1.592          0.000       1046.023         75.215        362.140          4.778         0          1.000          0.977        108.583
       151      1982     31/05/1982          0.000          0.000         14.700         33.952              0.095              0.122              0.136              0.164              0.199              0.207              0.212              0.218         12.360          0.000          0.000        360.893         21.264        678.567            139.228             54.471             54.981            100.113            108.731             96.098             73.818             51.127          0.000       9206.473        450.804         90.715          0.029          0.734          1.015          0.000       2809.107        125.728        849.760          5.952         0          1.000          0.461        148.583
       181      1982     30/06/1982          0.000          0.000         17.600         35.943              0.130              0.120              0.130              0.126              0.147              0.187              0.209              0.217         13.631          0.000          0.000        328.919         14.572        675.499            143.895             54.756             55.110            101.629            106.796             89.659             72.600             51.054          0.000       9206.245        450.502        108.479          0.024          0.614          0.507         95.222       4504.955        134.206       1438.060          6.775         0          1.000          0.773        138.260
       212      1982     31/07/1982          0.000          0.000         25.500         30.931              0.190              0.127              0.130              0.116              0.127              0.159              0.186              0.207         14.809          0.000          0.000        308.680          1.043        654.756            139.654             66.141             55.022             99.471            102.133             80.948             63.511             47.877          0.000       9204.229        447.837        106.816          0.008          0.211          0.002       2007.707       5655.604        114.891       1997.323         10.333       211          1.000          0.912        151.058
       213      1982     01/08/1982          2.000          0.000              ?              ?              0.190              0.127              0.130              0.116              0.127              0.159              0.186              0.207              ?              ?              ?        308.680          1.043        654.756            139.654             66.141             55.022             99.471            102.133             80.948             63.511             47.877              ?       9204.229        447.837        106.816          0.008          0.211          0.002       2007.707       5655.604        114.891       1997.323         10.333       211              ?              ?              ?
       243      1982     31/08/1982          0.000          0.000         35.900          0.000              0.200              0.142              0.130              0.116              0.130              0.162              0.186              0.200         31.725          0.000          0.000        312.855          0.706        660.053            120.953             89.220             55.205            100.189            103.325             81.559             63.166             46.437          0.000       9201.097        462.880        122.818          1.286         99.024          0.000          0.000          0.000          0.000          0.000          0.000         0          1.000          1.000        148.582
       273      1982     30/09/1982          0.000          0.000         64.600          0.000              0.167              0.207              0.155              0.118              0.132              0.164              0.185              0.197         49.434          0.000          0.000        328.021          1.520        664.406             67.068            129.609             71.646            101.616            104.527             81.822             62.434             45.684          0.000       9198.396        462.013         98.209          0.660         50.794          0.000          0.000          0.000          0.000          0.000          0.000         0          1.000          1.000         82.762
       304      1982     31/10/1982          0.000          0.000         34.400          0.000              0.177              0.183              0.165              0.122              0.135              0.165              0.184              0.194         35.179          0.000          0.000        327.242          1.536        669.121             75.169            115.473             79.418            104.571            105.808             81.788             61.738             45.155          0.000       9196.397        457.496         87.762          0.572         44.050          0.000          0.000          0.000          0.000          0.000          0.000         0          1.000          1.000         69.394
       334      1982     30/11/1982          0.000          0.000          5.300          0.000              0.115              0.164              0.163              0.126              0.137              0.166              0.182              0.192         14.434          0.000          0.000        318.108          1.471        670.270             84.499            104.465             79.217            107.652            107.010             81.538             61.140             44.750          0.000       9196.169        457.079         86.638          0.547         42.133          0.000          0.000          0.000          0.000          0.000          0.000         0          1.000          1.000         28.675
       365      1982     31/12/1982          0.000          0.000          2.500          0.000              0.087              0.152              0.159              0.130              0.140              0.166              0.181              0.191          7.632          0.000          0.000        312.976          1.478        670.412             92.128             96.661             77.028            110.274            108.175             81.163             60.590             44.394          0.000       9196.169        457.079         86.638          0.547         42.133          0.000          0.000          0.000          0.000          0.000          0.000         0          1.000          1.000          8.237
        31      1983     31/01/1983          0.000          0.000          4.400          0.000              0.088              0.144              0.154              0.133              0.142              0.166              0.180              0.189          6.056          0.000          0.000        311.320          1.477        670.496             97.645             91.531             74.822            112.316            109.240             80.757             60.101             44.085          0.000       9196.169        457.079         86.638          0.547         42.133          0.000          0.000          0.000          0.000          0.000          0.000         0          1.000          1.000          9.295
        59      1983     28/02/1983          0.000          1.000          0.400          0.000              0.037              0.136              0.150              0.135              0.144              0.165              0.179              0.188          7.372          0.000          0.000        304.348          1.475        670.570            103.670             86.028             73.052            113.766            110.100             80.403             59.710             43.842          0.000       9196.169        457.079         86.638          0.547         42.133          0.000          0.000          0.000          0.000          0.000          0.000         0          1.000          1.000         26.737
        90      1983     31/03/1983          0.000          0.000         19.500          0.000              0.125              0.130              0.147              0.136              0.146              0.165              0.178              0.187         12.279          0.000          0.000        311.569         30.518        671.639            109.139             82.293             71.295            115.029            110.924             80.041             59.320             43.599          0.000       9196.160        457.110         88.251          0.486         37.415          0.000          0.000          0.000          0.000        100.909          0.000         0          1.000          1.000         61.453
       120      1983     30/04/1983          0.000          0.000         54.100          7.446              0.137              0.187              0.156              0.138              0.147              0.165              0.178              0.186         31.924          0.000          0.000        326.299        125.305        664.395             69.884            107.375             77.163            116.260            111.606             79.731             58.986             43.390          0.000       9194.790        453.977         85.756          0.422         32.514          0.906          0.000        549.803         44.745        249.205          2.690         0          1.000          0.995        108.549
