Summary_file = output\dingxi_w.sum
Title = Continuous spring wheat at Dingxi
       day      year           date          event           flag           rain           w_ep              sw(1)              sw(2)              sw(3)              sw(4)              sw(5)              sw(6)              sw(7)              sw(8)             es         runoff          drain         sw_dep          nh4()        tot_no3             no3(1)             no3(2)             no3(3)             no3(4)             no3(5)             no3(6)             no3(7)             no3(8)           dnit       hum_c(1)      biom_c(1)       fom_c(1)    surfaceom_n   surfaceom_wt          w_lai        w_yield      w_biomass      w_root_wt     w_root_dep       w_biom_n     w_mat       n_stress       w_stress             eo
     (day)    (year)             ()             ()             ()           (mm)           (mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)           (mm)           (mm)           (mm)           (mm)        (kg/ha)        (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)      (m^2/m^2)        (kg/ha)        (kg/ha)        (g/m^2)           (mm)        (g/m^2)     (doy)             ()             ()           (mm)
       120      1971     30/04/1971          0.000          0.000          8.100         10.783              0.095              0.132              0.168              0.190              0.194              0.195              0.195              0.197         12.087          0.000          0.000        360.837        124.468         92.112             24.392              6.256              8.391             15.212             12.843             10.230              7.750              7.037          0.000       9479.631        284.820         61.814          0.419         38.906          0.802          0.000        673.372         47.018        443.930          1.642         0          0.927          0.841        110.454
       151      1971     31/05/1971          0.000          0.000         24.200         30.663              0.089              0.121              0.134              0.150              0.186              0.194              0.196              0.199         17.293          0.000          0.000        337.081         19.673        165.837             96.575              9.111              8.317             14.040             12.571             10.233              7.849              7.141          0.000       9477.502        284.289         63.294          0.377         34.951          0.727          0.000       2251.007         88.525        918.890          3.620         0          0.941          0.562        149.415
       181      1971     30/06/1971          0.000          0.000         57.900         33.236              0.183              0.183              0.133              0.124              0.143              0.176              0.194              0.200         28.916          0.000          0.000        332.828          3.497        169.391             62.870             49.444              9.209             13.167             10.844              8.859              7.794              7.205          0.000       9474.765        286.013         60.529          0.169         15.712          0.393        341.887       3856.064         94.274       1515.110          4.838         0          1.000          0.800        170.426
       208      1971     27/07/1971          2.000          0.000         38.400         35.805              0.129              0.156              0.141              0.119              0.133              0.162              0.182              0.198         24.740          0.000          0.000        310.684          0.534        142.277             33.657             45.823             15.421             13.281             10.773              8.641              7.531              7.150          0.000       9467.403        282.374         48.355          0.083          7.690          0.002       2143.569       5199.345         82.755       1689.565          8.308       206          1.000          1.000        158.466
       212      1971     31/07/1971          0.000          0.000          0.200          0.000              0.088              0.154              0.141              0.120              0.133              0.163              0.182              0.197          4.617          0.000          0.000        306.267          0.557        142.685             34.129             45.574             15.540             13.329             10.793              8.652              7.541              7.128          0.000       9467.391        282.384         90.036          1.621        153.173          0.000          0.000          0.000          0.000          0.000          0.000         0          1.000          1.000         29.807
       243      1971     31/08/1971          0.000          0.000         38.600          0.000              0.170              0.149              0.140              0.121              0.135              0.164              0.182              0.194         31.060          0.000          0.000        313.807          0.568        145.306             35.040             46.341             15.981             13.666             10.942              8.725              7.565              7.046          0.000       9465.479        291.542         74.177          1.009         95.307          0.000          0.000          0.000          0.000          0.000          0.000         0          1.000          1.000        150.436
       273      1971     30/09/1971          0.000          0.000        107.300          0.000              0.243              0.245              0.243              0.148              0.138              0.164              0.181              0.192         50.835          1.563          0.000        368.708          1.409        149.020             14.137             41.766             38.653             19.938             11.135              8.791              7.580              7.021          0.056       9460.392        295.322         55.034          0.532         50.234          0.000          0.000          0.000          0.000          0.000          0.000         0          1.000          1.000         73.244
       304      1971     31/10/1971          0.000          0.000         11.500          0.000              0.194              0.209              0.210              0.175              0.145              0.165              0.180              0.190         20.944          0.000          0.000        359.264          1.655        152.307             19.546             36.164             33.995             27.182             11.952              8.855              7.595              7.018          0.000       9457.233        293.387         48.001          0.482         45.552          0.000          0.000          0.000          0.000          0.000          0.000         0          1.000          1.000         61.027
       334      1971     30/11/1971          0.000          0.000          9.700          0.000              0.174              0.193              0.197              0.181              0.153              0.165              0.179              0.188         13.714          0.000          0.000        355.250          1.742        153.705             21.758             33.714             32.195             29.308             13.191              8.920              7.601              7.018          0.000       9456.306        292.641         46.255          0.476         44.941          0.000          0.000          0.000          0.000          0.000          0.000         0          1.000          1.000         32.355
       365      1971     31/12/1971          0.000          0.000          0.000          0.000              0.135              0.175              0.186              0.179              0.161              0.167              0.179              0.187          7.803          0.000          0.000        347.447          1.745        154.020             25.208             30.704             30.475             29.643             14.383              8.999              7.598              7.010          0.000       9456.270        292.611         46.194          0.476         44.941          0.000          0.000          0.000          0.000          0.000          0.000         0          1.000          1.000         16.676
