Summary_file = output\xifeng_w_n0.sum
Title = Continuous winter wheat at Xifeng with low N
       day      year           date          event           flag           rain           w_ep              sw(1)              sw(2)              sw(3)              sw(4)              sw(5)              sw(6)              sw(7)              sw(8)              sw(9)             es         runoff          drain         sw_dep          nh4()        tot_no3             no3(1)             no3(2)             no3(3)             no3(4)             no3(5)             no3(6)             no3(7)             no3(8)             no3(9)           dnit       hum_c(1)      biom_c(1)       fom_c(1)    surfaceom_n   surfaceom_wt          w_lai        w_yield      w_biomass      w_root_wt     w_root_dep       w_biom_n     w_mat       n_stress       w_stress             eo
     (day)    (year)             ()            (?)             ()           (mm)           (mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)           (mm)           (mm)           (mm)           (mm)        (kg/ha)        (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)      (m^2/m^2)        (kg/ha)        (kg/ha)        (g/m^2)           (mm)        (g/m^2)     (doy)             ()             ()           (mm)
       243      1962     31/08/1962          0.000          1.000         74.300          0.000              0.265              0.268              0.276              0.277              0.277              0.277              0.274              0.283              0.283         40.212         13.536         14.412        832.208          1.252        105.067              7.563             16.634             20.326             12.579              9.360              7.684             10.616             10.274             10.032          0.144      13912.835        239.878          9.849          0.056          1.956          0.000          0.000          0.000          0.000          0.000          0.000         0          1.000          1.000        180.552
       264      1962     21/09/1962          0.000          3.000         55.100          0.000              0.249              0.254              0.266              0.270              0.270              0.271              0.271              0.281              0.281         32.866         11.049         28.026        815.367          1.294        109.192              8.736             15.263             21.524             14.163             10.127              8.057             10.926             10.359             10.037          0.135      13898.525        233.985          8.338          0.036          1.274          0.000          0.000          0.000          0.000          0.000          0.000         0          1.000          1.000         97.981
       273      1962     30/09/1962          0.000          0.000        105.600          0.000              0.266              0.269              0.273              0.276              0.279              0.281              0.278              0.288              0.288         12.476         40.035         28.263        840.193          9.612        120.073              7.874             14.823             22.785             17.937             13.138              9.905             12.221             10.987             10.402          0.264      13895.383        232.724          8.108          0.028          0.973          0.000          0.000          0.000          0.000        113.420          0.000         0          1.000          1.000         13.654
       304      1962     31/10/1962          0.000          0.000         46.100          2.737              0.246              0.249              0.255              0.265              0.270              0.270              0.270              0.280              0.280         31.068          1.041         44.188        807.260          2.809        106.963              6.204              7.334             15.526             18.515             14.262             10.708             12.936             11.171             10.307          0.136      13889.037        230.301         10.722          0.020          0.690          0.581          0.000        331.667         27.202        409.520          1.608         0          1.000          1.000         55.830
       334      1962     30/11/1962          0.000          0.000         42.500          1.695              0.268              0.270              0.270              0.271              0.271              0.272              0.272              0.282              0.282         13.568          0.000         10.483        824.014          2.326         99.799              2.033              6.375             11.805             17.750             14.959             11.410             13.532             11.469             10.467          0.040      13887.513        229.823         16.826          0.018          0.644          0.002          0.000        524.001         34.391        496.640          2.180         0          1.000          1.000         23.638
       365      1962     31/12/1962          0.000          0.000          0.000          0.001              0.249              0.253              0.261              0.269              0.270              0.270              0.270              0.280              0.280          8.515          0.000          4.148        811.350          2.299         99.624              2.849              6.061             11.440             17.615             14.900             11.369             13.523             11.445             10.423          0.002      13887.422        229.810         23.196          0.018          0.642          0.002          0.000        524.083         29.446        508.220          2.180         0          1.000          1.000         12.700
        31      1963     31/01/1963          0.000          0.000          0.000          0.000              0.231              0.239              0.252              0.262              0.269              0.270              0.270              0.280              0.280          9.674          0.000          0.000        801.676          2.293         99.661              3.816              5.857             11.194             17.156             14.864             11.371             13.526             11.449             10.428          0.000      13887.403        229.808         28.693          0.018          0.642          0.002          0.000        524.100         25.209        510.260          2.180         0          1.000          1.000         14.396
        59      1963     28/02/1963          0.000          0.000          1.500          0.003              0.221              0.230              0.244              0.256              0.264              0.270              0.270              0.280              0.280          9.965          0.000          0.000        793.207          2.215         99.829              4.824              5.824             11.088             16.715             14.594             11.373             13.529             11.452             10.432          0.000      13887.168        229.814         32.680          0.018          0.642          0.002          0.000        524.414         21.924        529.580          2.180         0          1.000          1.000         36.106
        90      1963     31/03/1963          0.000          0.000          4.300          0.296              0.217              0.225              0.239              0.252              0.261              0.268              0.270              0.280              0.280          9.598          0.000          0.000        787.613          1.478        101.577              6.391              6.364             11.308             16.418             14.383             11.287             13.534             11.456             10.436          0.000      13883.604        229.865         32.232          0.018          0.642          0.026          0.000        541.006         19.298        722.960          2.180         0          1.000          1.000         79.648
       120      1963     30/04/1963          0.000          0.000         30.800          1.676              0.258              0.257              0.243              0.249              0.258              0.265              0.270              0.280              0.280         20.097          0.000          0.000        796.640          1.173        103.454              5.473              9.044             12.023             16.174             14.128             11.172             13.540             11.461             10.439          0.000      13876.787        229.377         28.827          0.015          0.524          0.074          0.000        667.779         20.152       1027.220          2.220         0          1.000          1.000         88.364
