Summary_file = p12-99.sum
Title = south plots
      year     month       day day_month              sw(1)              sw(2)              sw(3)              sw(4)              sw(5)              sw(6)              sw(7)              sw(8)              sw(9)             sw(10)             sw(11)             sw(12)             sw(13)             sw(14)             sw(15)             sw(16)             sw(17)             sw(18)             sw(19)             sw(20)             sw(21)             sw(22)             sw(23)             sw(24)             sw(25)             sw(26)             sw(27)             sw(28)          no3ppm(1)          no3ppm(2)          no3ppm(3)          no3ppm(4)          no3ppm(5)          no3ppm(6)          no3ppm(7)          no3ppm(8)          no3ppm(9)         no3ppm(10)         no3ppm(11)         no3ppm(12)         no3ppm(13)         no3ppm(14)         no3ppm(15)         no3ppm(16)          nh4ppm(1)          nh4ppm(2)          nh4ppm(3)          nh4ppm(4)          nh4ppm(5)          nh4ppm(6)          nh4ppm(7)          nh4ppm(8)          nh4ppm(9)         nh4ppm(10)         nh4ppm(11)         nh4ppm(12)         nh4ppm(13)         nh4ppm(14)         nh4ppm(15)         nh4ppm(16)
    (year)   (month)     (day)     (day)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)
      1997         6       163        12              0.061              0.076              0.168              0.201              0.220              0.238              0.244              0.272              0.283              0.305              0.314              0.318              0.329              0.339              0.339              0.339              0.338              0.328              0.315              0.303              0.304              0.303              0.297              0.308              0.313              0.312              0.311              0.311             26.437             23.711             38.258             26.370             15.493              7.971              5.890              4.674              3.108              1.661              0.925              0.619              0.514              0.482              0.472              0.475              4.725              3.275              2.360              2.877              0.689              0.057              0.033              0.022              0.017              0.009              0.003              0.002              0.001              0.001              0.001              0.001
      1997        10       300        27              0.054              0.056              0.061              0.102              0.130              0.189              0.189              0.200              0.205              0.219              0.247              0.269              0.312              0.329              0.331              0.333              0.333              0.323              0.311              0.300              0.301              0.300              0.295              0.306              0.312              0.312              0.312              0.312              0.639              0.481              0.401              0.516              0.674              0.156              0.060              0.014              0.002              0.000              0.000              0.016              0.456              0.467              0.457              0.460              0.039              0.258              0.265              0.165              0.073              0.014              0.005              0.000              0.000              0.000              0.000              0.000              0.001              0.001              0.001              0.001
      1997        12       344        10              0.063              0.091              0.073              0.124              0.174              0.188              0.188              0.199              0.204              0.219              0.246              0.275              0.309              0.326              0.329              0.331              0.331              0.322              0.310              0.299              0.300              0.299              0.295              0.306              0.312              0.312              0.312              0.312              0.195              0.203              0.094              0.035              0.067              0.017              0.011              0.005              0.003              0.000              0.000              0.000              0.439              0.468              0.460              0.463              0.338              0.187              0.041              0.000              0.014              0.003              0.001              0.000              0.000              0.000              0.000              0.000              0.001              0.001              0.001              0.001
      1998         6       169        18              0.159              0.205              0.219              0.233              0.242              0.246              0.245              0.238              0.205              0.219              0.249              0.286              0.306              0.322              0.325              0.326              0.327              0.319              0.307              0.296              0.297              0.296              0.293              0.304              0.310              0.310              0.310              0.311             13.848             13.985             10.938              8.858              5.402              1.903              1.089              0.233              0.001              0.000              0.000              0.001              0.390              0.476              0.480              0.484              0.021              0.174              1.122              5.510              1.372              0.092              0.037              0.000              0.000              0.000              0.000              0.000              0.001              0.001              0.001              0.001
      1998        10       280         7              0.267              0.268              0.268              0.268              0.259              0.230              0.216              0.256              0.276              0.300              0.311              0.317              0.331              0.340              0.340              0.340              0.339              0.329              0.316              0.304              0.306              0.305              0.299              0.309              0.315              0.315              0.315              0.315              0.029              0.029              0.021              0.017              0.063              0.093              0.084              0.055              0.020              0.002              0.001              0.001              0.185              0.329              0.409              0.442              0.201              0.209              0.147              0.122              0.148              0.033              0.025              0.014              0.003              0.000              0.000              0.000              0.001              0.001              0.001              0.001
      1998        12       350        16              0.322              0.323              0.324              0.327              0.313              0.284              0.283              0.305              0.297              0.251              0.270              0.301              0.318              0.331              0.334              0.335              0.334              0.325              0.313              0.301              0.303              0.302              0.297              0.307              0.313              0.313              0.313              0.313              0.115              0.113              0.078              0.133              1.399              0.655              0.228              0.061              0.015              0.006              0.003              0.002              0.184              0.317              0.391              0.425              0.483              0.494              0.355              0.224              0.099              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.001              0.001              0.001              0.001
      1999         6       175        24              0.267              0.267              0.268              0.270              0.265              0.256              0.261              0.286              0.292              0.316              0.322              0.325              0.334              0.341              0.340              0.340              0.339              0.329              0.316              0.304              0.305              0.304              0.298              0.309              0.314              0.314              0.314              0.314              0.496              0.383              0.320              0.312              0.369              0.243              0.169              0.132              0.101              0.051              0.001              0.074              0.133              0.242              0.328              0.380              0.067              0.105              0.164              0.258              0.217              0.062              0.042              0.034              0.029              0.013              0.000              0.005              0.001              0.001              0.001              0.001
      1999         9       266        23              0.065              0.112              0.185              0.208              0.223              0.236              0.245              0.275              0.288              0.312              0.319              0.322              0.334              0.343              0.343              0.341              0.339              0.329              0.316              0.304              0.305              0.304              0.298              0.309              0.314              0.314              0.314              0.314              1.442              1.819              1.573              0.705              0.311              0.103              0.057              0.043              0.031              0.165              0.013              0.088              0.117              0.202              0.283              0.339              0.438              0.359              0.475              0.548              0.227              0.062              0.049              0.039              0.032              0.011              0.000              0.005              0.001              0.001              0.001              0.001
      1999        12       342         8              0.170              0.074              0.089              0.140              0.160              0.191              0.190              0.203              0.210              0.227              0.255              0.276              0.315              0.336              0.338              0.340              0.339              0.330              0.317              0.305              0.306              0.305              0.299              0.310              0.315              0.315              0.315              0.315              1.704              1.145              1.288              1.915              0.850              0.217              0.160              0.117              0.085              0.053              0.010              0.021              0.019              0.116              0.169              0.226              0.215              0.093              0.304              0.342              0.714              0.087              0.049              0.017              0.008              0.005              0.001              0.004              0.001              0.001              0.001              0.001
      2000         6       153         1              0.305              0.305              0.306              0.309              0.297              0.270              0.273              0.243              0.185              0.216              0.243              0.262              0.273              0.286              0.288              0.289              0.292              0.299              0.300              0.292              0.294              0.295              0.292              0.305              0.311              0.311              0.312              0.312              2.254              1.870              1.804              2.788              4.881              4.393              2.852              0.879              0.011              0.023              0.000              0.000              0.000              0.000              0.002              0.077              0.649              0.562              0.572              0.748              0.530              0.087              0.006              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000
      2000         9       256        12              0.300              0.300              0.301              0.303              0.293              0.268              0.270              0.293              0.293              0.311              0.316              0.305              0.274              0.286              0.288              0.289              0.297              0.305              0.299              0.290              0.292              0.292              0.290              0.303              0.309              0.310              0.310              0.310              2.311              1.829              1.608              1.794              2.297              2.767              3.421              3.523              1.998              0.630              0.061              0.001              0.000              0.000              0.000              0.033              0.876              0.734              0.675              0.654              0.387              0.066              0.005              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000
      2000        12       347        12              0.057              0.063              0.090              0.134              0.146              0.178              0.181              0.197              0.204              0.222              0.249              0.265              0.275              0.286              0.287              0.287              0.288              0.276              0.265              0.252              0.252              0.254              0.262              0.274              0.288              0.296              0.309              0.309              4.505              3.621              4.003              5.336              2.596              0.664              0.518              0.480              0.389              0.178              0.001              0.000              0.000              0.000              0.000              0.000              0.960              0.665              0.455              0.346              0.609              0.056              0.036              0.016              0.007              0.002              0.000              0.000              0.000              0.000              0.000              0.000
      2001         4       117        27              0.215              0.220              0.225              0.232              0.233              0.186              0.148              0.168              0.184              0.215              0.242              0.261              0.271              0.284              0.284              0.284              0.284              0.271              0.260              0.248              0.248              0.250              0.258              0.271              0.284              0.284              0.285              0.288              4.102              3.468              3.388              5.979             16.366              9.150              1.402              0.482              0.273              0.138              0.000              0.000              0.000              0.000              0.000              0.000              1.097              0.964              0.887              0.810              0.552              0.029              0.003              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000
      2001         9       268        25              0.255              0.255              0.254              0.244              0.231              0.241              0.211              0.168              0.184              0.215              0.242              0.261              0.271              0.284              0.284              0.284              0.284              0.271              0.260              0.248              0.248              0.250              0.258              0.271              0.284              0.284              0.285              0.287              8.567             11.822             14.979             12.512              9.060              8.281              4.475              1.167              0.352              0.126              0.000              0.000              0.000              0.000              0.000              0.000              0.938              1.093              1.075              0.945              0.588              0.014              0.015              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000
      2001        12       338         4              0.054              0.056              0.061              0.108              0.128              0.150              0.174              0.168              0.183              0.215              0.242              0.261              0.271              0.284              0.284              0.284              0.284              0.271              0.260              0.248              0.248              0.250              0.258              0.271              0.284              0.284              0.284              0.285             13.310              9.971              8.214             10.528             11.114              8.842              4.434              1.489              0.445              0.128              0.000              0.000              0.000              0.000              0.000              0.000              1.052              0.718              0.491              0.283              0.177              0.009              0.030              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000
