ApsimVersion = 6.1
Title = stock lablab SAMPLE Simulation
           Date           rain DaysAfterSowing          stage            lai        biomass          yield     root_depth             ep         height         dlt_dm   dlt_dm_green    RootGreenWt    StemGreenWt    LeafGreenWt dlt_dm_senesced StemSenescedWt LeafSenescedWt dm_feed_on_offer() dm_feed_removed() herbage_trampling
     08/01/1989          0.000              95          3.065          0.035           33.1            0.0       1800.000          0.169          2.382           0.49           0.98          38.51           0.30           3.00            0.20           0.00           0.01             37.952            11.542 -3689348814741910
     09/01/1989          0.000              96          3.065          0.035           33.1            0.0       1800.000          0.189          2.422           0.49           0.97          37.55           0.30           3.00            0.19           0.00           0.01             37.995            11.856             0.000
     10/01/1989          0.000              97          3.064          0.035           33.3            0.0       1800.000          0.294          2.538           0.56           1.11          36.70           0.32           3.00            0.19           0.00           0.01             38.699            12.047             2.000
     11/01/1989         31.600              98          3.063          0.035           33.2            0.0       1800.000          0.199          2.487           0.47           0.94          35.74           0.31           3.00            0.19           0.00           0.01             37.984            12.358             2.000
     12/01/1989          0.000              99          3.062          0.035           33.2            0.0       1800.000          0.243          2.551           0.54           1.08          34.92           0.32           3.00            0.18           0.00           0.01             38.577            12.259             2.000
     13/01/1989          0.000             100          3.062          0.035           33.3            0.0       1800.000          0.224          2.583           0.54           1.07          34.10           0.32           3.00            0.18           0.00           0.00             38.621            12.467            -2.000
     14/01/1989          0.000             101          3.059          0.035           33.2            0.0       1800.000          0.137          2.514           0.47           0.95          33.24           0.31           3.00            0.17           0.00           0.00             38.016            12.515             0.000
     15/01/1989          0.000             102          3.059          0.035           33.2            0.0       1800.000          0.175          2.521           0.51           1.01          32.46           0.32           3.00            0.17           0.00           0.00             38.256            12.326             2.000
     16/01/1989          0.000             103          3.059          0.035           33.2            0.0       1800.000          0.172          2.524           0.51           1.01          31.71           0.32           3.00            0.16           0.00           0.00             38.253            12.353            -0.000
     17/01/1989          0.000             104          3.059          0.035           33.2            0.0       1800.000          0.204          2.545           0.52           1.04          31.00           0.32           3.00            0.16           0.00           0.00             38.394            12.381            -0.000
     18/01/1989          0.000             105          3.058          0.035           33.2            0.0       1800.000          0.262          2.585           0.54           1.08          30.34           0.32           3.00            0.16           0.00           0.00             38.623            12.472             2.000
     19/01/1989          0.000             106          3.058          0.035           33.3            0.0       1800.000          0.288          2.622           0.55           1.11          29.71           0.33           3.00            0.15           0.00           0.00             38.779            12.614            -2.000
     20/01/1989          5.000             107          3.058          0.035           33.2            0.0       1800.000          0.220          2.515           0.46           0.92          28.99           0.31           3.00            0.15           0.00           0.00             37.899            12.650             0.000
     21/01/1989          0.000             108          3.058          0.035           33.2            0.0       1800.000          0.279          2.568           0.54           1.08          28.41           0.32           3.00            0.15           0.00           0.00             38.578            12.385            -0.000
     22/01/1989          0.000             109          3.059          0.035           33.0            0.0       1800.000          0.136          2.382           0.39           0.77          27.66           0.30           3.00            0.14           0.00           0.00             37.062            12.413            -0.000
     23/01/1989          2.600             110          3.062          0.035           32.8            0.0       1800.000          0.085          2.222           0.34           0.69          26.94           0.28           3.00            0.14           0.00           0.00             36.417            11.775             0.000
     24/01/1989          0.400             111          3.061          0.035           32.7            0.0       1800.000          0.061          2.119           0.34           0.67          26.27           0.26           3.00            0.14           0.00           0.00             36.129            11.220 36893488147419103
     25/01/1989          0.000             112          3.059          0.035           32.9            0.0       1800.000          0.137          2.284           0.50           0.99          25.84           0.29           3.00            0.13           0.00           0.00             37.619            10.900 -3689348814741910
     26/01/1989          0.000             113          3.058          0.035           33.1            0.0       1800.000          0.208          2.447           0.55           1.10          25.44           0.31           3.00            0.13           0.00           0.00             38.331            11.575            -0.000
     27/01/1989          1.600             114          3.054          0.035           33.0            0.0       1800.000          0.137          2.377           0.43           0.86          24.89           0.30           3.00            0.13           0.00           0.00             37.381            12.081             2.000
     28/01/1989          0.000             115          3.052          0.035           33.1            0.0       1800.000          0.155          2.444           0.51           1.02          24.46           0.31           3.00            0.13           0.00           0.00             38.067            11.928             0.000
     29/01/1989          0.000             116          3.051          0.035           33.1            0.0       1800.000          0.184          2.492           0.52           1.03          24.04           0.31           3.00            0.12           0.00           0.00             38.228            12.159             0.000
     30/01/1989          0.000             117          3.052          0.035           33.2            0.0       1800.000          0.294          2.578           0.56           1.12          23.67           0.32           3.00            0.12           0.00           0.00             38.728            12.358             0.000
     31/01/1989          0.000             118          3.051          0.035           33.3            0.0       1800.000          0.385          2.639           0.57           1.14          23.31           0.33           3.00            0.12           0.00           0.00             38.929            12.652            -2.000
     01/02/1989          0.000             119          3.054          0.035           33.3            0.0       1800.000          0.231          2.601           0.52           1.04          22.90           0.33           3.00            0.12           0.00           0.00             38.498            12.803            -2.000
     02/02/1989          0.000             120          3.054          0.035           33.0            0.0       1800.000          0.092          2.403           0.39           0.78          22.36           0.30           3.00            0.12           0.00           0.00             37.146            12.565            -2.000
     03/02/1989          0.000             121          3.055          0.035           32.8            0.0       1800.000          0.074          2.262           0.37           0.73          21.86           0.28           3.00            0.11           0.00           0.00             36.670            11.901             0.000
     04/02/1989          1.000             122          3.052          0.035           32.4            0.0       1800.000          0.012          1.912           0.17           0.33          21.19           0.24           3.00            0.11           0.00           0.00             34.496            11.257             0.000
     05/02/1989          4.000             123          3.049          0.035           32.0            0.0       1800.000          0.006          1.625           0.11           0.22          20.54           0.20           3.00            0.11           0.00           0.00             33.465             9.929             0.000
     06/02/1989         20.900             124          3.051          0.035           32.2            0.0       1800.000          0.046          1.729           0.31           0.63          20.22           0.22           3.00            0.10           0.00           0.00             35.167             8.886             0.000
     07/02/1989          0.000             125          3.054          0.035           32.4            0.0       1800.000          0.079          1.896           0.39           0.77          19.96           0.24           3.00            0.10           0.00           0.00             36.026             9.343 -3689348814741910
     08/02/1989          0.000             126          3.060          0.035           32.7            0.0       1800.000          0.163          2.125           0.48           0.96          19.77           0.27           3.00            0.10           0.00           0.00             37.151            10.058 36893488147419103
     09/02/1989          0.000             127          3.062          0.035           32.9            0.0       1800.000          0.241          2.306           0.51           1.03          19.58           0.29           3.00            0.10           0.00           0.00             37.783            10.985            -2.000
     10/02/1989          0.000             128          3.062          0.035           33.1            0.0       1800.000          0.308          2.445           0.54           1.08          19.39           0.31           3.00            0.10           0.00           0.00             38.286            11.714             0.000
     11/02/1989          3.400             129          3.062          0.035           32.9            0.0       1800.000          0.150          2.341           0.41           0.82          19.04           0.29           3.00            0.10           0.00           0.00             37.140            12.103            -2.000
     12/02/1989          1.000             130          3.062          0.035           32.8            0.0       1800.000          0.126          2.269           0.40           0.80          18.70           0.28           3.00            0.10           0.00           0.00             36.918            11.756             2.000
     13/02/1989          0.000             131          3.063          0.035           33.0            0.0       1800.000          0.222          2.398           0.52           1.04          18.53           0.30           3.00            0.10           0.00           0.00             38.055            11.572            -2.000
     14/02/1989          0.000             132          3.061          0.035           33.1            0.0       1800.000          0.251          2.486           0.53           1.07          18.36           0.31           3.00            0.10           0.00           0.00             38.341            12.078             0.000
     15/02/1989          0.000             133          3.060          0.035           33.2            0.0       1800.000          0.250          2.532           0.53           1.07          18.17           0.32           3.00            0.09           0.00           0.00             38.435            12.365            -2.000
     16/02/1989          0.000             134          3.058          0.035           33.2            0.0       1800.000          0.249          2.556           0.53           1.06          17.99           0.32           3.00            0.09           0.00           0.00             38.483            12.519             0.000
     17/02/1989          0.000             135          3.057          0.035           33.2            0.0       1800.000          0.194          2.532           0.50           1.01          17.77           0.32           3.00            0.09           0.00           0.00             38.245            12.576             0.000
     18/02/1989          0.000             136          3.056          0.035           33.1            0.0       1800.000          0.196          2.505           0.50           0.99          17.56           0.31           3.00            0.09           0.00           0.00             38.116            12.492 36893488147419103
     19/02/1989          0.000             137          3.057          0.035           33.1            0.0       1800.000          0.225          2.507           0.51           1.01          17.38           0.31           3.00            0.09           0.00           0.00             38.200            12.418            -2.000
     20/02/1989          0.000             138          3.057          0.035           33.2            0.0       1800.000          0.247          2.519           0.52           1.03          17.21           0.31           3.00            0.09           0.00           0.00             38.291            12.434            -0.000
     21/02/1989         99.000             139          3.058          0.035           33.0            0.0       1800.000          0.163          2.396           0.40           0.79          16.94           0.30           3.00            0.09           0.00           0.00             37.110            11.893             0.000
     22/02/1989          0.000             140          3.064          0.035           33.1            0.0       1800.000          0.139          2.434           0.45           0.90          16.78           0.30           3.00            0.09           0.00           0.00             37.484            10.969 36893488147419103
     23/02/1989          0.000             141          3.065          0.035           33.1            0.0       1800.000          0.117          2.454           0.42           0.84          16.62           0.31           3.00            0.09           0.00           0.00             37.259            10.539             2.000
     24/02/1989          0.200             142          3.066          0.035           33.0            0.0       1800.000          0.091          2.394           0.35           0.69          16.40           0.30           3.00            0.08           0.00           0.00             36.525            10.013            -2.000
     25/02/1989          0.000             143          3.068          0.035           33.1            0.0       1800.000          0.133          2.511           0.45           0.91          16.32           0.31           3.00            0.08           0.00           0.00             37.538             9.878 -3689348814741910
     26/02/1989          0.000             144          3.069          0.035           33.3            0.0       1800.000          0.150          2.624           0.46           0.91          16.25           0.33           3.00            0.08           0.00           0.00             37.702             9.676 36893488147419103
     27/02/1989          0.000             145          3.071          0.036           33.4            0.0       1800.000          0.140          2.729           0.45           0.90          16.19           0.34           3.00            0.08           0.00           0.00             37.798             9.413            -0.000
     28/02/1989          0.000             146          3.067          0.035           33.3            0.0       1800.000          0.048          2.605           0.32           0.64          15.98           0.33           3.00            0.08           0.00           0.00             36.596             9.645 -3689348814741910
     01/03/1989          0.000             147          3.067          0.035           33.3            0.0       1800.000          0.097          2.615           0.38           0.76          15.86           0.33           3.00            0.08           0.00           0.00             37.069             9.337             0.000
     02/03/1989          0.000             148          3.072          0.035           33.4            0.0       1800.000          0.131          2.687           0.43           0.85          15.78           0.34           3.00            0.08           0.00           0.00             37.543             9.386             0.000
     03/03/1989          0.000             149          3.073          0.035           33.3            0.0       1800.000          0.069          2.639           0.33           0.67          15.63           0.33           3.00            0.08           0.00           0.00             36.686             8.941 -3689348814741910
