Summary_file = oryza-wnl.sum
Title = oryza Sample Simulation
       day      year          no3()             no3(1)             no3(2)             no3(3)             no3(4)             no3(5)             no3(6)             no3(7)
     (day)    (year)        (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)
         1      1992         83.395             17.807             15.705             18.843             10.724              6.479              7.825              6.013
         2      1992         85.063             16.687             17.152             19.113             10.847              6.801              8.194              6.270
         3      1992         86.537             17.423             16.893             19.229             10.967              7.060              8.477              6.489
         4      1992         87.841             17.643             17.119             19.362             11.084              7.261              8.694              6.677
         5      1992         89.026             17.815             17.360             19.529             11.201              7.424              8.860              6.837
         6      1992         90.103             17.957             17.590             19.727             11.316              7.552              8.988              6.974
         7      1992         91.099             18.424             17.570             19.850             11.425              7.653              9.086              7.091
         8      1992         92.033             18.872             17.596             19.951             11.526              7.735              9.161              7.191
         9      1992         92.923             19.316             17.645             20.045             11.618              7.803              9.220              7.276
        10      1992         93.776             19.755             17.707             20.137             11.704              7.859              9.265              7.349
        11      1992         94.605             20.194             17.779             20.231             11.782              7.907              9.300              7.412
        12      1992         95.412             20.630             17.858             20.327             11.856              7.948              9.328              7.466
        13      1992         96.202             21.064             17.943             20.425             11.924              7.984              9.350              7.512
        14      1992         96.984             21.498             18.034             20.527             11.999              8.007              9.367              7.551
        15      1992         97.764             21.935             18.131             20.635             12.066              8.030              9.381              7.585
        16      1992         98.535             22.370             18.232             20.746             12.128              8.051              9.393              7.615
        17      1992         99.295             22.801             18.336             20.858             12.187              8.071              9.402              7.640
        18      1992        100.042             23.226             18.441             20.971             12.243              8.090              9.410              7.662
        19      1992        100.767             23.639             18.545             21.082             12.296              8.108              9.417              7.681
        20      1992        101.469             24.039             18.647             21.191             12.347              8.125              9.423              7.697
        21      1992        102.149             24.427             18.747             21.298             12.395              8.142              9.428              7.712
        22      1992        102.814             24.808             18.846             21.403             12.442              8.159              9.432              7.724
        23      1992        103.467             25.182             18.944             21.507             12.487              8.176              9.437              7.735
        24      1992        104.111             25.552             19.041             21.610             12.531              8.193              9.440              7.745
        25      1992        104.750             25.919             19.137             21.712             12.574              8.210              9.444              7.753
        26      1992        105.387             26.286             19.235             21.813             12.617              8.227              9.448              7.761
        27      1992        108.145             28.771             19.333             21.916             12.659              8.246              9.451              7.767
        28      1992        108.917             29.304             19.404             22.015             12.702              8.265              9.454              7.773
        29      1992        109.652             29.797             19.479             22.111             12.744              8.284              9.458              7.779
        30      1992        110.460             30.351             19.566             22.209             12.786              8.303              9.461              7.784
        31      1992        111.261             30.917             19.638             22.304             12.829              8.321              9.464              7.788
        32      1992        112.029             31.460             19.704             22.396             12.871              8.337              9.467              7.793
        33      1992        112.787             31.983             19.784             22.488             12.912              8.352              9.471              7.797
        34      1992        113.606             32.566             19.867             22.580             12.953              8.366              9.474              7.800
        35      1992        114.514             33.248             19.942             22.670             12.993              8.380              9.477              7.804
        36      1992        115.394             33.827             20.100             22.755             13.032              8.393              9.480              7.807
        37      1992        116.316             34.450             20.261             22.836             13.070              8.407              9.483              7.810
        38      1992        117.269             35.097             20.433             22.913             13.107              8.421              9.486              7.813
        39      1992        118.078             34.218             21.751             23.216             13.153              8.435              9.489              7.816
        40      1992        119.148             33.294             23.134             23.744             13.216              8.450              9.492              7.818
        41      1992        120.166             32.242             24.394             24.437             13.309              8.467              9.495              7.821
        42      1992        121.562             33.368             24.250             24.732             13.403              8.487              9.498              7.823
        43      1992        122.442             33.919             24.299             24.898             13.490              8.509              9.501              7.826
        44      1992        123.773             32.314             26.379             25.610             13.603              8.535              9.504              7.828
        45      1992        125.139             27.708             29.173             28.470             13.877              8.573              9.507              7.831
        46      1992        127.073             29.622             28.379             28.978             14.144              8.606              9.511              7.833
        47      1992        128.954             30.672             28.805             29.113             14.390              8.624              9.514              7.835
        48      1992        130.815             31.664             29.371             29.183             14.600              8.643              9.517              7.838
        49      1992        132.374             31.140             30.819             29.595             14.800              8.660              9.520              7.840
        50      1992        133.714             31.784             31.069             29.836             14.981              8.678              9.523              7.842
        51      1992        136.424             33.045             31.576             30.601             15.136              8.694              9.526              7.844
        52      1992        137.688             24.468             33.179             38.072             15.876              8.716              9.530              7.847
        53      1992        139.788             24.847             33.508             38.775             16.482              8.787              9.538              7.850
        54      1992        142.212             25.956             33.464             39.520             16.976              8.888              9.553              7.857
        55      1992        144.416             26.921             33.650             40.042             17.361              9.003              9.572              7.867
        56      1992        146.514             27.115             34.564             40.587             17.654              9.120              9.594              7.880
        57      1992        148.524             21.855             34.020             46.240             19.495              9.383              9.631              7.900
        58      1992        151.866             18.629             32.329             49.528             22.959             10.703              9.772              7.947
        59      1992        158.509             21.204             33.014             52.121             23.245             11.020              9.895              8.011
        60      1992        164.108             23.393             34.020             53.934             23.394             11.283              9.999              8.085
        61      1992        166.812             24.437             35.197             54.028             23.419             11.487             10.081              8.163
        62      1992        171.695             26.197             36.694             55.524             23.273             11.628             10.140              8.240
        63      1992        176.061             27.342             38.400             57.107             23.019             11.708             10.176              8.310
        64      1992        180.541             28.306             40.230             58.994             22.712             11.738             10.190              8.371
        65      1992        184.823             29.344             41.868             60.844             22.427             11.735             10.184              8.421
        66      1992        193.057             32.047             44.169             64.306             22.213             11.704             10.160              8.459
        67      1992        197.763             33.872             45.653             65.946             22.029             11.658             10.122              8.483
        68      1992        201.967             35.693             46.943             67.281             21.881             11.600             10.074              8.495
        69      1992        205.975             37.525             48.156             68.484             21.764             11.533             10.018              8.496
        70      1992        214.262             40.453             50.697             71.535             21.673             11.461              9.956              8.487
        71      1992        220.356             42.903             52.678             73.450             21.579             11.386              9.892              8.469
        72      1992        226.092             45.296             54.648             75.087             21.464             11.325              9.829              8.444
        73      1992        231.200             47.426             56.609             76.377             21.326             11.279              9.768              8.414
        74      1992        237.078             36.653             63.680             86.061             21.345             11.245              9.712              8.381
        75      1992        244.708             30.583             62.757             99.530             22.608             11.221              9.662              8.347
        76      1992        246.258             25.045             56.980            110.044             24.979             11.275              9.623              8.313
        77      1992        250.520             21.847             53.393            113.520             32.095             11.755              9.623              8.285
        78      1992        257.392             25.418             52.394            115.844             33.576             12.239              9.652              8.268
        79      1992        262.513             27.025             54.456            115.950             34.444             12.679              9.700              8.260
        80      1992        267.738             28.853             56.320            116.932             34.586             13.032              9.754              8.261
        81      1992        268.687             30.108             57.036            116.035             34.158             13.276              9.805              8.268
        82      1992        270.316             31.502             57.791            115.789             33.671             13.438              9.847              8.278
        83      1992        271.408             32.758             58.390            115.279             33.294             13.521              9.877              8.289
        84      1992        276.912             34.698             60.198            117.270             33.005             13.549              9.893              8.298
        85      1992        280.474             36.328             61.724            117.937             32.747             13.539              9.896              8.304
        86      1992        283.884             38.091             63.266            118.327             32.515             13.494              9.886              8.305
        87      1992        287.075             39.694             64.996            118.507             32.294             13.418              9.865              8.301
        88      1992        288.673             40.924             66.412            117.807             32.042             13.359              9.838              8.292
        89      1992        290.176             42.293             67.484            117.208             31.790             13.315              9.807              8.279
        90      1992        292.357             43.821             68.613            117.055             31.546             13.283              9.777              8.262
        91      1992        293.976             45.129             69.483            116.809             31.303             13.261              9.747              8.244
        92      1992        296.347             46.530             70.516            117.038             31.074             13.246              9.719              8.224
        93      1992        298.363             47.574             71.585            117.234             30.846             13.226              9.694              8.204
        94      1992        300.052             35.174             76.580            126.375             30.854             13.216              9.670              8.183
        95      1992        302.577             34.038             74.487            131.872             31.153             13.216              9.648              8.163
        96      1992        306.292             33.597             74.040            136.081             31.579             13.223              9.629              8.143
        97      1992        307.755             32.141             73.701            138.858             32.085             13.232              9.613              8.125
        98      1992        312.339             33.200             73.464            142.144             32.582             13.241              9.600              8.108
        99      1992        316.827             34.232             74.136            144.646             32.879             13.252              9.590              8.092
       100      1992        321.218             35.374             75.287            146.697             32.937             13.264              9.582              8.078
       101      1992        325.711             36.766             76.685            148.411             32.930             13.277              9.575              8.066
       102      1992        330.341             38.400             78.285            149.868             32.873             13.290              9.570              8.055
       103      1992        335.158             40.196             80.082            151.193             32.771             13.304              9.567              8.046
       104      1992        338.847             41.674             81.885            151.740             32.633             13.313              9.564              8.038
       105      1992        343.048             43.369             83.627            152.655             32.488             13.316              9.562              8.031
       106      1992        346.721             44.925             85.112            153.451             32.335             13.311              9.560              8.026
       107      1992        350.719             46.495             86.649            154.511             32.183             13.301              9.560              8.021
       108      1992        354.832             47.979             88.265            155.701             32.024             13.287              9.560              8.017
       109      1992        358.192             49.193             89.728            156.576             31.852             13.268              9.560              8.014
       110      1992        361.495             50.352             91.175            157.465             31.683             13.246              9.561              8.012
       111      1992        364.452             51.409             92.520            158.212             31.517             13.221              9.562              8.010
       112      1992        367.221             52.397             93.808            158.895             31.354             13.194              9.564              8.009
       113      1992        369.781             53.305             95.035            159.508             31.194             13.165              9.566              8.008
       114      1992        372.222             54.155             96.226            160.092             31.038             13.135              9.568              8.008
       115      1992        374.613             54.957             97.402            160.676             30.896             13.104              9.570              8.008
       116      1992        375.299             55.407             98.039            160.439             30.761             13.074              9.572              8.008
       117      1992        376.010             55.874             98.670            160.197             30.643             13.043              9.574              8.009
       118      1992        376.658             56.341             99.264            159.916             30.536             13.014              9.577              8.010
       119      1992        377.241             56.793             99.835            159.598             30.439             12.989              9.576              8.011
       120      1992        379.092             57.504            100.768            159.918             30.350             12.969              9.572              8.011
       121      1992        380.715             58.128            101.617            160.181             30.259             12.951              9.567              8.013
       122      1992        382.358             58.730            102.460            160.488             30.171             12.935              9.560              8.014
       123      1992        383.754             59.265            103.214            160.700             30.087             12.920              9.552              8.015
       124      1992        384.310             59.618            103.708            160.512             30.007             12.906              9.543              8.017
       125      1992        384.841             59.948            104.209            160.306             29.933             12.892              9.534              8.018
       126      1992        385.725             60.339            104.827            160.272             29.865             12.878              9.524              8.020
       127      1992        387.174             60.896            105.555            160.522             29.801             12.865              9.513              8.022
       128      1992        387.687             61.249            105.977            160.347             29.734             12.854              9.502              8.023
       129      1992        389.188             61.795            106.708            160.654             29.672             12.843              9.491              8.025
       130      1992        390.017             62.188            107.212            160.670             29.607             12.833              9.480              8.027
       131      1992        390.861             62.583            107.715            160.697             29.546             12.823              9.470              8.028
       132      1992        392.080             63.045            108.331            160.914             29.487             12.814              9.460              8.029
       133      1992        392.981             63.374            108.901            160.995             29.427             12.804              9.451              8.029
       134      1992        396.162             41.990            110.226            183.222             30.448             12.804              9.444              8.028
       135      1992        399.351             44.365            105.132            187.814             31.761             12.814              9.438              8.027
       136      1992        402.720             47.017            102.221            190.136             33.054             12.832              9.434              8.026
       137      1992        406.097             47.131            101.182            193.024             34.436             12.867              9.432              8.024
       138      1992        441.997             79.872             99.835            195.965             35.944             12.926              9.432              8.023
       139      1992        477.368            107.811            100.689            200.477             37.918             13.016              9.434              8.022
       140      1992        514.017            143.047             98.361            202.130             39.884             13.134              9.439              8.022
       141      1992        549.891            176.961             97.697            202.764             41.724             13.275              9.448              8.022
       142      1992        585.104            209.476             98.167            203.117             43.429             13.433              9.459              8.024
       143      1992        622.367            247.506             96.159            202.684             44.918             13.602              9.474              8.026
       144      1992        659.086            284.324             95.172            202.087             46.208             13.775              9.490              8.029
       145      1992        694.875            320.146             94.462            201.453             47.324             13.950              9.509              8.033
       146      1992        730.810            356.116             93.888            200.828             48.291             14.122              9.528              8.038
       147      1992        767.584            392.932             93.406            200.232             49.132             14.290              9.549              8.044
       148      1992        803.645            429.046             92.990            199.670             49.865             14.453              9.571              8.050
       149      1992        839.312            464.774             92.627            199.146             50.507             14.608              9.592              8.058
       150      1992        874.444            499.974             92.304            198.658             51.072             14.757              9.616              8.064
       151      1992        909.202            534.805             92.017            198.203             51.570             14.898              9.644              8.066
       152      1992        942.848            568.529             91.758            197.779             52.010             15.033              9.672              8.067
       153      1992        976.726            602.489             91.525            197.384             52.400             15.161              9.699              8.069
       154      1992       1012.052            637.865             91.337            197.023             52.749             15.283              9.724              8.071
       155      1992       1049.846            675.726             91.153            196.686             53.061             15.399              9.749              8.072
       156      1992       1088.754            714.701             90.987            196.370             53.341             15.510              9.772              8.074
       157      1992       1126.621            752.639             90.836            196.073             53.591             15.633              9.774              8.075
       158      1992       1163.111            789.204             90.697            195.794             53.823             15.740              9.776              8.077
       159      1992       1198.315            824.488             90.569            195.535             54.033             15.834              9.778              8.078
       160      1992       1230.104            856.366             90.448            195.295             54.220             15.916              9.780              8.080
       161      1992       1258.800            885.161             90.332            195.073             54.384             15.987              9.782              8.081
       162      1992       1286.386            912.854             90.226            194.865             54.526             16.050              9.783              8.083
       163      1992       1312.360            938.945             90.127            194.670             54.644             16.105              9.785              8.084
