ApsimVersion = 6.0
Title = Rice Simulation
           Date           ancr           anlv           anso    cover_green      cover_tot      crop_type        cropsta            dae           dtga            dvr            dvs            eff           etae            etd           etrd           fnlv            gcr         height             hu         ldstrs         lestrs         lrstrs           nacr           nflv           pcew   plant_status           rlai         rnstrs           ssga         tnsoil            trc           wagt           wlvd           wlvg            wso            wst            zrt
            (?)             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()       (mm/day)             ()             ()             ()           (mm)             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()
     01/10/1990          0.000          0.000          0.000          0.000          0.000          0.000              0              0          0.000          0.000          0.000          0.000          0.000          4.333          0.000          0.000          0.000        500.000          0.000          1.000          1.000          1.000          0.000          0.000          1.000            out          0.000          1.000          0.000         10.052          0.000          0.000          0.000          0.000          0.000          0.000          0.000
     02/10/1990          0.000          0.000          0.000          0.000          0.000          0.000              0              0          0.000          0.000          0.000          0.000          0.000          4.796          0.000          0.000          0.000        500.000          0.000          1.000          1.000          1.000          0.000          0.000          1.000            out          0.000          1.000          0.000         10.162          0.000          0.000          0.000          0.000          0.000          0.000          0.000
     03/10/1990          0.000          0.000          0.000          0.000          0.000          0.000              0              0          0.000          0.000          0.000          0.000          0.000          4.982          0.000          0.000          0.000        500.000          0.000          1.000          1.000          1.000          0.000          0.000          1.000            out          0.000          1.000          0.000         10.278          0.000          0.000          0.000          0.000          0.000          0.000          0.000
     04/10/1990          0.000          0.000          0.000          0.000          0.000          0.000              0              0          0.000          0.000          0.000          0.000          0.000          5.211          0.000          0.000          0.000        500.000          0.000          1.000          1.000          1.000          0.000          0.000          1.000            out          0.000          1.000          0.000         10.403          0.000          0.000          0.000          0.000          0.000          0.000          0.000
     05/10/1990          0.000          0.000          0.000          0.000          0.000          0.000              0              0          0.000          0.000          0.000          0.000          0.000          2.854          0.000          0.000          0.000        500.000          0.000          1.000          1.000          1.000          0.000          0.000          1.000            out          0.000          1.000          0.000         10.529          0.000          0.000          0.000          0.000          0.000          0.000          0.000
     06/10/1990          0.000          0.000          0.000          0.000          0.000          0.000              0              0          0.000          0.000          0.000          0.000          0.000          4.890          0.000          0.000          0.000        500.000          0.000          1.000          1.000          1.000          0.000          0.000          1.000            out          0.000          1.000          0.000         10.640          0.000          0.000          0.000          0.000          0.000          0.000          0.000
     07/10/1990          0.000          0.000          0.000          0.000          0.000          0.000              0              0          0.000          0.000          0.000          0.000          0.000          4.924          0.000          0.000          0.000        500.000          0.000          1.000          1.000          1.000          0.000          0.000          1.000            out          0.000          1.000          0.000         10.745          0.000          0.000          0.000          0.000          0.000          0.000          0.000
     08/10/1990          0.000          0.000          0.000          0.000          0.000          0.000              0              0          0.000          0.000          0.000          0.000          0.000          2.508          0.000          0.000          0.000        500.000          0.000          1.000          1.000          1.000          0.000          0.000          1.000            out          0.000          1.000          0.000         10.838          0.000          0.000          0.000          0.000          0.000          0.000          0.000
     09/10/1990          0.000          0.000          0.000          0.000          0.000          0.000              0              0          0.000          0.000          0.000          0.000          0.000          4.218          0.000          0.000          0.000        500.000          0.000          1.000          1.000          1.000          0.000          0.000          1.000            out          0.000          1.000          0.000         10.916          0.000          0.000          0.000          0.000          0.000          0.000          0.000
     10/10/1990          0.000          0.000          0.000          0.000          0.000          0.000              0              0          0.000          0.000          0.000          0.000          0.000          4.410          0.000          0.000          0.000        500.000          0.000          1.000          1.000          1.000          0.000          0.000          1.000            out          0.000          1.000          0.000         10.996          0.000          0.000          0.000          0.000          0.000          0.000          0.000
     11/10/1990          0.000          0.000          0.000          0.000          0.000          0.000              0              0          0.000          0.000          0.000          0.000          0.000          4.020          0.000          0.000          0.000        500.000          0.000          1.000          1.000          1.000          0.000          0.000          1.000            out          0.000          1.000          0.000         11.078          0.000          0.000          0.000          0.000          0.000          0.000          0.000
     12/10/1990          0.000          0.000          0.000          0.000          0.000          0.000              0              0          0.000          0.000          0.000          0.000          0.000          5.074          0.000          0.000          0.000        500.000          0.000          1.000          1.000          1.000          0.000          0.000          1.000            out          0.000          1.000          0.000         11.156          0.000          0.000          0.000          0.000          0.000          0.000          0.000
     13/10/1990          0.000          0.000          0.000          0.000          0.000          0.000              0              0          0.000          0.000          0.000          0.000          0.000          5.297          0.000          0.000          0.000        500.000          0.000          1.000          1.000          1.000          0.000          0.000          1.000            out          0.000          1.000          0.000         11.236          0.000          0.000          0.000          0.000          0.000          0.000          0.000
     14/10/1990          0.000          0.000          0.000          0.000          0.000          0.000              0              0          0.000          0.000          0.000          0.000          0.000          5.292          0.000          0.000          0.000        500.000          0.000          1.000          1.000          1.000          0.000          0.000          1.000            out          0.000          1.000          0.000         11.322          0.000          0.000          0.000          0.000          0.000          0.000          0.000
     15/10/1990          0.000          0.000          0.000          0.006          0.006           rice              2              1          1.437          0.015          0.015          0.456          1.521          6.083          4.562          0.025          0.743        500.000         12.500          1.000          1.000          1.000          0.000          0.500          1.000          alive          0.011          1.000          0.000         11.414          0.000          0.392          0.000          0.233          0.000          0.159          0.010
     16/10/1990          0.000          0.000          0.000          0.006          0.006           rice              2              2          1.470          0.009          0.024          0.490          1.087          4.350          3.262          0.025          0.757        500.000          7.250          1.000          1.000          1.000          0.000          0.500          1.000          alive          0.012          1.000          0.000         11.507          0.000          0.777          0.000          0.464          0.000          0.313          0.020
     17/10/1990          0.000          0.000          0.000          0.006          0.006           rice              2              3          1.668          0.009          0.032          0.487          1.365          5.461          4.096          0.025          0.855        500.000          7.250          1.000          1.000          1.000          0.000          0.500          1.000          alive          0.012          1.000          0.000         11.605          0.000          1.216          0.000          0.728          0.000          0.489          0.030
     18/10/1990          0.000          0.000          0.000          0.007          0.007           rice              2              4          1.785          0.012          0.045          0.458          1.299          5.194          3.896          0.025          0.908        500.000         10.282          1.000          1.000          1.000          0.000          0.500          1.000          alive          0.014          1.000          0.000         11.716          0.000          1.687          0.000          1.010          0.000          0.677          0.040
     19/10/1990          0.000          0.000          0.000          0.007          0.007           rice              2              5          1.233          0.010          0.054          0.500          0.595          2.381          1.786          0.025          0.620        500.000          8.000          1.000          1.000          1.000          0.000          0.500          1.000          alive          0.014          1.000          0.000         11.819          0.000          2.014          0.000          1.206          0.000          0.807          0.050
     20/10/1990          0.000          0.000          0.000          0.007          0.007           rice              2              6          1.408          0.004          0.059          0.516          1.026          4.105          3.078          0.025          0.714        500.000          3.627          1.000          1.000          1.000          0.000          0.500          1.000          alive          0.015          1.000          0.000         11.766          0.000          2.393          0.000          1.434          0.000          0.959          0.060
     21/10/1990          0.000          0.000          0.000          0.008          0.008           rice              2              7          1.598          0.007          0.066          0.505          0.833          3.334          2.500          0.025          0.805        500.000          5.750          1.000          1.000          1.000          0.000          0.500          1.000          alive          0.016          1.000          0.000         11.835          0.000          2.823          0.000          1.692          0.000          1.131          0.070
     22/10/1990          0.000          0.000          0.000          0.008          0.008           rice              2              8          1.760          0.005          0.071          0.509          1.157          4.627          3.470          0.025          0.888        500.000          4.366          1.000          1.000          1.000          0.000          0.500          1.000          alive          0.016          1.000          0.000         11.897          0.000          3.301          0.000          1.978          0.000          1.322          0.080
     23/10/1990          0.000          0.000          0.000          0.009          0.009           rice              2              9          2.375          0.008          0.079          0.486          1.461          5.845          4.383          0.025          1.197        500.000          6.895          1.000          1.000          1.000          0.000          0.500          1.000          alive          0.017          1.000          0.000         11.960          0.000          3.949          0.000          2.367          0.000          1.582          0.090
     24/10/1990          0.000          0.000          0.000          0.009          0.009           rice              2             10          2.629          0.010          0.090          0.477          1.519          6.076          4.557          0.025          1.316        500.000          8.500          1.000          1.000          1.000          0.000          0.500          1.000          alive          0.018          1.000          0.000         12.033          0.000          4.668          0.000          2.799          0.000          1.869          0.100
     25/10/1990          0.000          0.000          0.000          0.010          0.010           rice              2             11          2.825          0.012          0.101          0.470          1.615          6.462          4.846          0.025          1.406        500.000          9.750          1.000          1.000          1.000          0.000          0.500          1.000          alive          0.020          1.000          0.000         12.122          0.000          5.444          0.000          3.264          0.000          2.179          0.110
     26/10/1990          0.000          0.000          0.000          0.011          0.011           rice              2             12          3.037          0.014          0.115          0.460          1.669          6.675          5.006          0.025          1.499        500.000         11.250          1.000          1.000          1.000          0.000          0.500          1.000          alive          0.022          1.000          0.000         12.232          0.000          6.281          0.000          3.767          0.000          2.515          0.120
     27/10/1990          0.000          0.000          0.000          0.012          0.012           rice              2             13          3.277          0.015          0.129          0.448          1.532          6.126          4.595          0.025          1.606        500.000         12.155          1.000          1.000          1.000          0.000          0.500          1.000          alive          0.024          1.000          0.000         12.369          0.000          7.192          0.000          4.313          0.000          2.879          0.130
     28/10/1990          0.000          0.000          0.000          0.013          0.013           rice              2             14          3.569          0.016          0.146          0.429          1.822          7.289          5.467          0.025          1.718        500.000         13.696          1.000          1.000          1.000          0.000          0.500          1.000          alive          0.027          1.000          0.000         12.521          0.000          8.180          0.000          4.906          0.000          3.274          0.140
     29/10/1990          0.000          0.000          0.000          0.015          0.015           rice              2             15          3.847          0.017          0.163          0.413          1.714          6.854          5.141          0.025          1.814        500.000         14.087          1.000          1.000          1.000          0.000          0.500          1.000          alive          0.030          1.000          0.000         12.680          0.000          9.241          0.000          5.543          0.000          3.698          0.150
     30/10/1990          0.000          0.000          0.000          0.017          0.017           rice              2             16          4.332          0.016          0.179          0.402          2.241          8.964          6.723          0.025          2.018        500.000         13.630          1.000          1.000          1.000          0.000          0.500          1.000          alive          0.034          1.000          0.000         16.280          0.000         10.441          0.000          6.263          0.000          4.178          0.160
     31/10/1990          0.000          0.000          0.000          0.019          0.019           rice              2             17          4.699          0.017          0.197          0.405          1.761          7.043          5.282          0.025          2.180        500.000         14.527          1.000          1.000          1.000          0.000          0.500          1.000          alive          0.038          1.000          0.000         16.487          0.000         11.758          0.000          7.053          0.000          4.705          0.170
     01/11/1990          0.000          0.000          0.000          0.021          0.021           rice              2             18          5.841          0.015          0.211          0.461          1.564          6.254          4.691          0.025          2.861        500.000         12.250          1.000          1.000          1.000          0.000          0.500          1.000          alive          0.042          1.000          0.000         16.709          0.000         13.516          0.000          8.108          0.000          5.409          0.180
     02/11/1990          0.000          0.000          0.000          0.023          0.023           rice              2             19          6.411          0.015          0.226          0.454          1.579          6.315          4.736          0.025          3.133        500.000         12.250          1.000          1.000          1.000          0.000          0.500          1.000          alive          0.046          1.000          0.000         16.941          0.000         15.468          0.000          9.279          0.000          6.189          0.190
     03/11/1990          0.000          0.000          0.000          0.025          0.025           rice              2             20          6.993          0.016          0.242          0.447          1.553          6.214          4.660          0.025          3.390        500.000         13.500          1.000          1.000          1.000          0.000          0.500          1.000          alive          0.051          1.000          0.000         17.175          0.000         17.609          0.000         10.563          0.000          7.046          0.200
     04/11/1990          0.000          0.000          0.000          0.028          0.028           rice              2             21          7.865          0.016          0.258          0.445          1.677          6.709          5.032          0.025          3.817        500.000         13.147          1.000          1.000          1.000          0.000          0.500          1.000          alive          0.057          1.000          0.000         17.408          0.000         20.056          0.000         12.031          0.000          8.024          0.210
     05/11/1990          0.000          0.000          0.000          0.032          0.032           rice              2             22          8.675          0.018          0.276          0.436          1.863          7.453          5.589          0.025          4.160        500.000         14.692          1.000          1.000          1.000          0.000          0.500          1.000          alive          0.064          1.000          0.000         17.637          0.000         22.760          0.000         13.654          0.000          9.106          0.220
     06/11/1990          0.000          0.000          0.000          0.036          0.036           rice              2             23          9.638          0.018          0.294          0.429          1.707          6.828          5.121          0.025          4.583        500.000         15.305          1.000          1.000          1.000          0.000          0.500          1.000          alive          0.073          1.000          0.000         17.867          0.000         25.787          0.000         15.470          0.000         10.317          0.230
     07/11/1990          0.000          0.000          0.000          0.040          0.040           rice              2             24          9.332          0.019          0.314          0.429          1.188          4.751          3.563          0.025          4.356        500.000         16.097          1.000          1.000          1.000          0.000          0.500          1.000          alive          0.083          1.000          0.000         18.101          0.000         28.711          0.000         17.224          0.000         11.486          0.240
     08/11/1990          0.000          0.000          0.000          0.046          0.046           rice              2             25          8.785          0.019          0.333          0.444          0.833          3.330          2.498          0.025          4.059        500.000         16.000          1.000          1.000          1.000          0.000          0.500          1.000          alive          0.094          1.000          0.000         18.336          0.000         31.480          0.000         18.886          0.000         12.594          0.250
     09/11/1990          0.000          0.000          0.000          0.050          0.050           rice              2             26         14.168          0.012          0.345          0.476          1.261          5.046          3.784          0.025          6.986        500.000         10.250          1.000          1.000          1.000          0.000          0.500          1.000          alive          0.102          1.000          0.000         18.570          0.000         36.326          0.000         21.793          0.000         14.532          0.250
     10/11/1990          0.000          0.000          0.000          0.053          0.053           rice              2             27         14.191          0.010          0.355          0.488          1.099          4.395          3.296          0.025          7.001        500.000          8.250          1.000          1.000          1.000          0.000          0.500          1.000          alive          0.109          1.000          0.000         18.794          0.000         41.231          0.000         24.737          0.000         16.495          0.250
     11/11/1990          0.000          0.000          0.000          0.056          0.056           rice              2             28         15.737          0.007          0.363          0.493          1.583          6.333          4.750          0.025          7.823        500.000          6.162          1.000          1.000          1.000          0.000          0.500          1.000          alive          0.115          1.000          0.000         18.986          0.000         46.759          0.000         28.053          0.000         18.705          0.250
     12/11/1990          0.000          0.000          0.000          0.060          0.060           rice              2             29         18.056          0.011          0.374          0.463          1.671          6.685          5.014          0.025          8.879        500.000          9.509          1.000          1.000          1.000          0.000          0.500          1.000          alive          0.124          1.000          0.000         19.166          0.000         53.070          0.000         31.840          0.000         21.230          0.250
     13/11/1990          0.000          0.000          0.000          0.066          0.066           rice              2             30         18.975          0.015          0.389          0.433          1.906          7.625          5.719          0.025          9.065        500.000         12.582          1.000          1.000          1.000          0.000          0.500          1.000          alive          0.137          1.000          0.000         19.358          0.000         59.574          0.000         35.742          0.000         23.832          0.250
     14/11/1990          0.000          0.000          0.000          0.074          0.074           rice              2             31         20.204          0.016          0.405          0.403          2.221          8.882          6.662          0.025          9.209        500.000         13.480          1.000          1.000          1.000          0.000          0.500          1.000          alive          0.153          1.000          0.000         19.571          0.000         66.262          0.000         39.755          0.000         26.507          0.250
     15/11/1990          0.000          0.000          0.000          0.082          0.082           rice              2             32         20.938          0.013          0.418          0.453          1.172          4.687          3.515          0.025          9.921        500.000         14.000          1.000          1.000          1.000          0.000          0.500          1.000          alive          0.171          1.000          0.000         19.791          0.000         73.561          0.000         44.135          0.000         29.427          0.250
     16/11/1990          0.000          0.000          0.000          0.089          0.089           rice              2             33         27.028          0.010          0.428          0.466          1.742          6.967          5.225          0.025         13.213        500.000         10.500          1.000          1.000          1.000          0.000          0.500          1.000          alive          0.187          1.000          0.000         20.018          0.000         83.381          0.000         50.027          0.000         33.354          0.250
     17/11/1990          0.000          0.000          0.000          0.096          0.096           rice              2             34         29.801          0.009          0.437          0.479          1.694          6.777          5.083          0.025         14.598        500.000          9.750          1.000          1.000          1.000          0.000          0.500          1.000          alive          0.202          1.000          0.000         20.249          0.000         94.312          0.000         56.585          0.000         37.727          0.250
     18/11/1990          0.000          0.000          0.000          0.102          0.102           rice              2             35         31.500          0.007          0.444          0.482          1.360          5.442          4.081          0.025         15.530        500.000          7.440          1.000          1.000          1.000          0.000          0.500          1.000          alive          0.215          1.000          0.000         20.477          0.000        106.006          0.000         63.602          0.000         42.404          0.250
     19/11/1990          0.000          0.000          0.000          0.110          0.110           rice              2             36         33.894          0.009          0.453          0.467          1.720          6.881          5.160          0.025         16.502        500.000          9.750          1.000          1.000          1.000          0.000          0.500          1.000          alive          0.233          1.000          0.000         20.680          0.000        118.483          0.000         71.088          0.000         47.395          0.250
     20/11/1990          0.000          0.000          0.000          0.120          0.120           rice              2             37         35.959          0.011          0.463          0.449          1.804          7.215          5.411          0.025         17.272        500.000         11.659          1.000          1.000          1.000          0.000          0.500          1.000          alive          0.256          1.000          0.000         20.888          0.000        131.609          0.000         78.963          0.000         52.646          0.250
     21/11/1990          0.000          0.000          0.000          0.133          0.133           rice              2             38         31.765          0.013          0.476          0.416          1.231          4.926          3.694          0.025         14.149        500.000         14.118          1.000          1.000          1.000          0.000          0.500          1.000          alive          0.286          1.000          0.000         21.104          0.000        142.429          0.000         85.455          0.000         56.973          0.250
     22/11/1990          0.000          0.000          0.000          0.145          0.145           rice              2             39         44.922          0.010          0.486          0.467          1.793          7.172          5.379          0.025         21.774        500.000         10.750          1.000          1.000          1.000          0.000          0.500          1.000          alive          0.313          1.000          0.000         21.322          0.000        159.203          0.000         95.520          0.000         63.683          0.250
     23/11/1990          0.000          0.000          0.000          0.155          0.155           rice              2             40         49.496          0.009          0.495          0.478          1.565          6.259          4.694          0.025         24.148        500.000          9.250          1.000          1.000          1.000          0.000          0.500          1.000          alive          0.337          1.000          0.000         21.542          0.000        177.911          0.000        106.744          0.000         71.166          0.250
     24/11/1990          0.000          0.000          0.000          0.166          0.166           rice              2             41         52.890          0.009          0.503          0.473          1.741          6.966          5.224          0.025         25.739        500.000          9.250          1.000          1.000          1.000          0.000          0.500          1.000          alive          0.364          1.000          0.000         21.763          0.000        197.947          0.000        118.766          0.000         79.181          0.250
     25/11/1990          0.000          0.000          0.000          0.179          0.179           rice              2             42         56.438          0.009          0.512          0.466          1.768          7.073          5.305          0.025         27.332        500.000          9.750          1.000          1.000          1.000          0.000          0.500          1.000          alive          0.394          1.000          0.000         21.982          0.000        219.325          0.000        131.507          0.000         87.818          0.250
     26/11/1990          0.000          0.000          0.000          0.196          0.196           rice              2             43         60.093          0.012          0.524          0.452          1.740          6.961          5.221          0.025         28.575        500.000         12.500          1.000          1.000          1.000          0.000          0.500          1.000          alive          0.436          1.000          0.000         22.195          0.000        241.788          0.000        144.653          0.000         97.135          0.250
     27/11/1990          0.000          0.000          0.000          0.215          0.215           rice              2             44         64.759          0.012          0.536          0.436          1.926          7.702          5.777          0.025         30.435        500.000         12.941          1.000          1.000          1.000          0.000          0.500          1.000          alive          0.484          1.000          0.000         22.412          0.000        265.867          0.000        158.412          0.000        107.455          0.250
     28/11/1990          0.000          0.000          0.000          0.236          0.236           rice              2             45         69.212          0.012          0.548          0.411          2.112          8.449          6.337          0.025         31.327        500.000         13.058          1.000          1.000          1.000          0.000          0.500          1.000          alive          0.537          1.000          0.000         22.639          0.000        290.815          0.000        172.311          0.000        118.503          0.250
     29/11/1990          0.000          0.000          0.000          0.258          0.258           rice              2             46         74.505          0.012          0.560          0.400          2.161          8.645          6.484          0.025         32.821        500.000         13.331          1.000          1.000          1.000          0.000          0.500          1.000          alive          0.598          1.000          0.000         22.882          0.000        317.125          0.000        186.590          0.000        130.535          0.250
     30/11/1990          0.000          0.000          0.000          0.284          0.284           rice              2             47         83.521          0.013          0.573          0.409          2.197          8.789          6.591          0.025         37.661        500.000         13.638          1.000          1.000          1.000          0.000          0.500          1.000          alive          0.667          1.000          0.000         23.147          0.000        347.518          0.000        202.638          0.000        144.881          0.250
     01/12/1990          0.000          0.000          0.000          0.313          0.313           rice              2             48         89.691          0.013          0.586          0.415          1.623          6.493          4.870          0.025         40.585        500.000         14.505          1.000          1.000          1.000          0.000          0.500          1.000          alive          0.750          1.000          0.000         23.428          0.000        380.495          0.000        219.553          0.000        160.942          0.250
     02/12/1990          0.000          0.000          0.000          0.345          0.345           rice              2             49        100.797          0.014          0.600          0.409          1.832          7.330          5.497          0.025         45.116        500.000         15.247          1.000          1.000          1.000          0.000          0.500          1.000          alive          0.847          1.000          0.000         23.721          0.000        417.416          0.000        237.900          0.000        179.516          0.250
     03/12/1990          0.000          0.000          0.000          0.081          0.345           rice              3             50        108.128          0.015          0.615          0.411          1.545          6.179          4.634          0.025         48.149        500.000         16.276          1.000          1.000          1.000          0.000          0.500          1.000          alive          0.169          1.000          0.000         24.024          0.000        123.184          0.000         66.640          0.000         56.544          0.060
     04/12/1990          4.727          3.297          0.000          0.081          0.345           rice              4             51         24.976          0.000          0.615          0.410          2.156          8.622          6.467          0.047         10.743        500.000         14.860          1.000          0.412          0.954          4.727          1.314          0.964          alive          0.169          1.000          0.000         19.716          0.890        130.377          0.048         69.916          0.000         60.413          0.070
     05/12/1990          5.039          3.496          0.000          0.081          0.345           rice              4             52         29.877          0.000          0.615          0.402          2.275          9.098          6.824          0.047         12.747        500.000         15.872          1.000          0.394          0.903          0.312          1.320          0.925          alive          0.169          1.000          0.000         15.246          0.939        138.789          0.086         73.765          0.000         64.938          0.080
     06/12/1990          5.221          3.607          0.000          0.081          0.345           rice              4             53         26.898          0.000          0.615          0.392          2.365          9.460          7.095          0.047         10.673        500.000         14.740          1.000          0.377          0.853          0.181          1.306          0.886          alive          0.169          1.000          0.000         15.194          0.977        145.723          0.127         76.930          0.000         68.667          0.090
     07/12/1990          5.299          3.653          0.000          0.081          0.345           rice              4             54         21.566          0.000          0.615          0.382          1.988          7.951          5.963          0.046          7.199        500.000         14.256          1.000          0.360          0.803          0.078          1.288          0.847          alive          0.169          1.000          0.000         15.276          0.821        150.324          0.169         79.013          0.000         71.142          0.100
     08/12/1990          5.619          3.858          0.000          0.081          0.345           rice              4             55         26.055          0.000          0.615          0.448          1.742          6.968          5.226          0.047         11.576        500.000         14.250          1.000          0.346          0.763          0.320          1.305          0.816          alive          0.169          1.000          0.000         15.462          0.719        157.616          0.212         82.340          0.000         75.064          0.110
     09/12/1990          5.831          3.990          0.000          0.081          0.345           rice              4             56         24.712          0.000          0.615          0.461          1.553          6.211          4.658          0.047         11.040        500.000         12.250          1.000          0.334          0.729          0.211          1.301          0.790          alive          0.169          1.000          0.000         15.404          0.641        164.483          0.258         85.467          0.000         78.757          0.120
     10/12/1990          5.900          4.030          0.000          0.081          0.345           rice              4             57         16.490          0.000          0.615          0.500          0.800          3.199          2.400          0.046          7.210        500.000          7.500          1.000          0.325          0.701          0.070          1.283          0.768          alive          0.169          1.000          0.000         15.440          0.330        168.916          0.305         87.469          0.000         81.142          0.130
     11/12/1990          6.207          4.226          0.000          0.081          0.345           rice              4             58         24.753          0.000          0.615          0.484          1.642          6.569          4.927          0.047         11.439        500.000          7.750          1.000          0.320          0.687          0.306          1.299          0.757          alive          0.169          1.000          0.000         15.595          0.678        175.909          0.354         90.652          0.000         84.903          0.140
     12/12/1990          6.401          4.347          0.000          0.081          0.345           rice              4             59         23.829          0.000          0.615          0.468          1.774          7.097          5.323          0.046         10.700        500.000          9.500          1.000          0.310          0.658          0.194          1.294          0.735          alive          0.169          1.000          0.000         15.471          0.733        182.370          0.404         93.587          0.000         88.378          0.150
     13/12/1990          6.584          4.461          0.000          0.081          0.345           rice              4             60         23.031          0.000          0.615          0.469          1.847          7.387          5.540          0.046         10.122        500.000         10.250          1.000          0.299          0.628          0.183          1.290          0.712          alive          0.169          1.000          0.000         15.436          0.763        188.399          0.456         96.321          0.000         91.621          0.160
     14/12/1990          6.952          4.697          0.000          0.083          0.345           rice              4             61         31.906          0.000          0.615          0.458          1.896          7.584          5.688          0.047         14.530        500.000         11.250          1.000          0.307          0.623          0.368          1.304          1.000          alive          0.174          1.000          0.000         20.634          0.783        197.137          0.510        100.306          0.000         96.321          0.170
     15/12/1990          7.233          4.873          0.000          0.086          0.345           rice              4             62         32.107          0.000          0.615          0.448          1.895          7.580          5.685          0.047         14.294        500.000         12.750          1.000          0.313          0.620          0.281          1.302          1.000          alive          0.180          1.000          0.000         20.495          0.805        205.802          0.566        104.254          0.000        100.982          0.180
     16/12/1990          7.481          5.029          0.000          0.089          0.345           rice              4             63         31.569          0.000          0.615          0.425          1.886          7.542          5.657          0.047         13.321        500.000         13.201          1.000          0.318          0.618          0.249          1.298          1.000          alive          0.187          1.000          0.000         20.439          0.827        213.926          0.624        107.950          0.000        105.351          0.190
