Summary_file = swat.sum
Title = soilwat2 reference dataset
           date             eo            eos         runoff       sw_dep()      sw_dep(1)      sw_dep(2)      sw_dep(3)      sw_dep(4)      sw_dep(5)
             ()           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)
     01/01/1977          6.216          6.216          0.000        149.302         29.551         29.775         29.888         29.944         30.144
     02/01/1977          5.989          5.989          0.000        148.643         29.234         29.561         29.752         29.948         30.148
     03/01/1977          5.794          5.794          0.000        148.017         28.984         29.368         29.658         29.903         30.103
     04/01/1977          5.707          5.707          0.000        153.399         31.767         30.713         30.308         30.206         30.406
     05/01/1977          5.384          5.384          0.000        152.423         30.652         30.480         30.343         30.374         30.574
     06/01/1977          5.373          5.373          0.000        151.546         30.028         30.185         30.280         30.427         30.627
     07/01/1977          5.535          5.535          0.000        150.744         29.605         29.942         30.185         30.406         30.606
     08/01/1977          5.685          5.685          0.000        149.999         29.301         29.743         30.074         30.340         30.540
     09/01/1977          5.888          5.888          0.000        149.301         29.073         29.574         29.957         30.248         30.448
     10/01/1977          6.123          6.123          0.000        148.642         28.894         29.425         29.837         30.143         30.343
     11/01/1977          6.046          6.046          0.000        148.016         28.747         29.292         29.717         30.030         30.230
     12/01/1977          5.386          5.386          0.000        147.419         28.621         29.169         29.600         29.915         30.115
     13/01/1977          5.789          5.789          0.000        146.846         28.509         29.054         29.484         29.800         30.000
     14/01/1977          5.948          5.948          0.000        146.296         28.406         28.945         29.372         29.686         29.886
     15/01/1977          6.062          6.062          0.000        145.766         28.311         28.842         29.264         29.575         29.775
     16/01/1977          6.051          6.051         16.283        187.252         46.285         40.709         35.142         32.458         32.658
     17/01/1977          5.828          5.828          0.000        184.298         41.853         38.564         35.511         34.085         34.285
     18/01/1977          5.804          5.804          0.000        182.694         39.306         37.409         35.747         35.016         35.216
     19/01/1977          5.385          5.385          0.000        181.446         37.634         36.690         35.853         35.534         35.734
     20/01/1977          5.594          5.594          0.000        180.389         36.533         36.193         35.864         35.799         35.999
     21/01/1977          6.136          6.136          0.000        179.454         35.796         35.830         35.815         35.907         36.107
     22/01/1977          6.455          6.455          0.000        178.608         35.290         35.552         35.729         35.918         36.118
     23/01/1977          5.849          5.849          0.000        177.828         34.931         35.330         35.624         35.871         36.071
     24/01/1977          5.702          5.702          0.000        177.102         34.668         35.146         35.509         35.790         35.990
     25/01/1977          5.341          5.341          0.000        176.420         34.466         34.987         35.389         35.689         35.889
     26/01/1977          5.504          5.504          0.000        175.774         34.303         34.846         35.268         35.578         35.778
     27/01/1977          5.472          5.472          0.000        175.159         34.167         34.718         35.148         35.463         35.663
     28/01/1977          5.429          5.429          0.000        179.696         36.611         35.879         35.671         35.667         35.867
     29/01/1977          5.317          5.317          0.000        178.828         35.711         35.691         35.679         35.773         35.973
     30/01/1977          5.641          5.641          0.000        178.033         35.203         35.441         35.607         35.790         35.990
     31/01/1977          5.729          5.729          0.000        177.293         34.853         35.230         35.510         35.750         35.950
     01/02/1977          5.685          5.685          0.000        176.600         34.595         35.052         35.401         35.676         35.876
     02/02/1977          5.691          5.691          0.000        175.945         34.396         34.899         35.287         35.581         35.781
     03/02/1977          5.411          5.411          0.000        175.322         34.236         34.762         35.172         35.476         35.676
     04/02/1977          5.319          5.319          0.000        174.728         34.102         34.637         35.056         35.366         35.566
     05/02/1977          5.326          5.326          0.000        174.158         33.984         34.520         34.943         35.255         35.455
     06/02/1977          5.383          5.383          0.000        173.610         33.878         34.411         34.833         35.144         35.344
     07/02/1977          5.360          5.360          0.000        173.081         33.780         34.307         34.725         35.035         35.235
     08/02/1977          5.240          5.240          0.000        172.570         33.688         34.207         34.621         34.928         35.128
     09/02/1977          5.208          5.208          0.000        172.075         33.600         34.110         34.519         34.823         35.023
     10/02/1977          5.273          5.273          0.000        171.595         33.515         34.017         34.420         34.722         34.922
