ApsimVersion = 6.0
Title = Wheat Lucerne Rotation
           Date       whtYield lucerneBiomass            alw  stocking_rate
            (?)        (kg/ha)        (kg/ha)           (kg)    (beasts/ha)
     01/01/1940            0.0            0.0          0.000          0.000
     01/02/1940            0.0           10.2          0.000          0.000
     01/03/1940            0.0          298.0          0.000          0.000
     01/04/1940            0.0         2573.2          0.000          0.000
     01/05/1940            0.0         1295.4        203.452          0.400
     01/06/1940            0.0          139.3        215.068          0.400
     01/07/1940            0.0           51.3        218.356          0.400
     01/08/1940            0.0           46.3        221.753          0.400
     01/09/1940            0.0           40.6        225.425          0.400
     01/10/1940            0.0           41.2        236.931          0.400
     01/11/1940            0.0           36.3        248.822          0.400
     01/12/1940            0.0           48.1        260.712          0.400
     01/01/1941            0.0          360.9        284.493          0.400
     01/02/1941            0.0          476.8        308.274          0.400
     01/03/1941            0.0          510.7        329.370          0.400
     01/04/1941            0.0          398.8        341.260          0.400
     01/05/1941            0.0          344.5        352.768          0.400
     01/06/1941            0.0          180.4        364.384          0.400
     01/07/1941            0.0          162.8        367.672          0.400
     01/08/1941            0.0          134.9        371.069          0.400
     01/09/1941            0.0           86.1        374.741          0.400
     01/10/1941            0.0           77.9        386.248          0.400
     01/11/1941            0.0           65.3        398.139          0.400
     01/12/1941            0.0           85.7        410.030          0.400
     01/01/1942            0.0            0.0          0.000          0.000
     01/02/1942            0.0            0.0          0.000          0.000
     01/03/1942            0.0            0.0          0.000          0.000
     01/04/1942            0.0            0.0          0.000          0.000
     01/05/1942            0.0            0.0          0.000          0.000
     01/06/1942            0.0            0.0          0.000          0.000
     01/07/1942            0.0            0.0          0.000          0.000
     01/08/1942            0.0            0.0          0.000          0.000
     01/09/1942            0.0            0.0          0.000          0.000
     01/10/1942         1329.5            0.0          0.000          0.000
     24/10/1942         1459.4            0.0          0.000          0.000
     01/11/1942            0.0            0.0          0.000          0.000
     01/12/1942            0.0            0.0          0.000          0.000
     01/01/1943            0.0           12.2          0.000          0.000
     01/02/1943            0.0          464.2          0.000          0.000
     01/03/1943            0.0         2460.6          0.000          0.000
     01/04/1943            0.0         1131.0        206.521          0.400
     01/05/1943            0.0          437.4        218.027          0.400
     01/06/1943            0.0          225.4        229.644          0.400
     01/07/1943            0.0           97.8        232.931          0.400
     01/08/1943            0.0           70.7        236.329          0.400
     01/09/1943            0.0           82.2        240.000          0.400
     01/10/1943            0.0          115.4        251.507          0.400
     01/11/1943            0.0          191.1        263.397          0.400
     01/12/1943            0.0          490.9        275.288          0.400
     01/01/1944            0.0          529.4        299.069          0.400
     01/02/1944            0.0          546.9        322.850          0.400
     01/03/1944            0.0          539.5        344.713          0.400
     01/04/1944            0.0          431.0        356.603          0.400
     01/05/1944            0.0          360.0        368.111          0.400
     01/06/1944            0.0          196.4        379.727          0.400
     01/07/1944            0.0          128.7        383.015          0.400
     01/08/1944            0.0           92.0        386.412          0.400
     01/09/1944            0.0          205.8        390.084          0.400
     01/10/1944            0.0          324.6        401.591          0.400
     01/11/1944            0.0          324.3        413.482          0.400
     01/12/1944            0.0            0.0          0.000          0.000
     01/01/1945            0.0            0.0          0.000          0.000
     01/02/1945            0.0            0.0          0.000          0.000
     01/03/1945            0.0            0.0          0.000          0.000
     01/04/1945            0.0            0.0          0.000          0.000
     01/05/1945            0.0            0.0          0.000          0.000
     01/06/1945            0.0            0.0          0.000          0.000
     01/07/1945            0.0            0.0          0.000          0.000
     01/08/1945            0.0            0.0          0.000          0.000
     01/09/1945            0.0            0.0          0.000          0.000
     01/10/1945         1817.7            0.0          0.000          0.000
     25/10/1945         2027.5            0.0          0.000          0.000
