Summary_file = irrigate.sum
Title = Irrigate Sample Simulation
       day      year       sw_dep()     irrigation
     (day)    (year)           (mm)           (mm)
         1      1988        775.540         59.625
         2      1988        773.773          0.000
         3      1988        772.780          0.000
         4      1988        786.873          0.000
         5      1988        784.910          0.000
         6      1988        783.895          0.000
         7      1988        783.107          0.000
         8      1988        782.431          0.000
         9      1988        781.818          0.000
        10      1988        805.963         30.000
        11      1988        804.575          0.000
        12      1988        803.510          0.000
        13      1988        802.519          0.000
        14      1988        801.520          0.000
        15      1988        825.696         30.000
        16      1988        832.428          0.000
        17      1988        834.661          0.000
        18      1988        832.078          0.000
        19      1988        829.802          0.000
        20      1988        862.900         30.000
        21      1988        856.913          0.000
        22      1988        852.683          0.000
        23      1988        847.533          0.000
        24      1988        842.628          0.000
        25      1988        837.885          0.000
        26      1988        833.279          0.000
        27      1988        828.806          0.000
        28      1988        824.471          0.000
        29      1988        820.282          0.000
        30      1988        816.251          0.000
