Summary_file = gmtb0d.sum
Title = Greenmount B0_SOILWAT
           date       dlayer()      soil_loss  erosion_cover cover_surface_runoff
             ()           (mm)         (t/ha)             ()                   ()
     01/11/1976       1500.000         15.045          0.029                0.029
     22/11/1976       1500.000          0.040          0.022                0.022
     17/01/1977       1500.000          8.156          0.019                0.019
     11/03/1977       1500.000          8.864          0.028                0.028
     12/03/1977       1500.000          0.186          0.028                0.028
     23/04/1977       1500.000          0.031          0.043                0.043
     11/05/1977       1500.000          0.685          0.050                0.050
     16/05/1977       1500.000          9.037          0.052                0.052
     04/11/1977       1500.000          0.276          0.025                0.025
     08/11/1977       1500.000          0.849          0.023                0.023
     21/11/1977       1500.000          1.850          0.020                0.020
     07/01/1978       1500.000         12.197          0.024                0.024
     21/01/1978       1500.000          0.191          0.025                0.025
     31/01/1978       1500.000          0.325          0.028                0.028
     01/02/1978       1500.000          0.078          0.028                0.028
     18/03/1978       1500.000          0.045          0.039                0.039
     29/03/1978       1500.000          0.211          0.042                0.042
     01/04/1978       1500.000          0.277          0.043                0.043
     02/04/1978       1500.000          0.502          0.043                0.043
     03/04/1978       1500.000          0.485          0.043                0.043
     03/07/1978       1500.000          3.422          0.026                0.026
     10/07/1978       1500.000          0.094          0.026                0.026
     09/08/1978       1500.000          0.014          0.026                0.026
     01/09/1978       1500.000          0.906          0.026                0.026
     06/09/1978       1500.000          0.001          0.025                0.025
     07/09/1978       1500.000          1.329          0.025                0.025
     06/11/1978       1500.000          1.112          0.024                0.024
     11/11/1978       1500.000          3.198          0.023                0.023
     18/12/1978       1500.000          0.093          0.023                0.023
     23/12/1978       1500.000          3.931          0.023                0.023
     27/12/1978       1500.000          2.233          0.023                0.023
     30/12/1978       1500.000         14.098          0.023                0.023
     19/01/1979       1500.000          1.958          0.026                0.026
     06/02/1979       1500.000          1.138          0.029                0.029
     10/02/1979       1500.000          1.002          0.030                0.030
     04/03/1979       1500.000          8.919          0.035                0.035
     05/03/1979       1500.000          0.387          0.035                0.035
     16/03/1979       1500.000         13.254          0.039                0.039
     05/05/1979       1500.000          0.034          0.053                0.053
     21/06/1979       1500.000          8.521          0.030                0.030
     30/07/1979       1500.000          0.104          0.032                0.032
     29/10/1979       1500.000          0.418          0.030                0.030
     09/11/1979       1500.000          0.035          0.028                0.028
     13/11/1979       1500.000          0.058          0.027                0.027
     17/12/1979       1500.000          0.028          0.028                0.028
     22/12/1979       1500.000          2.173          0.028                0.028
     26/01/1980       1500.000          0.121          0.032                0.032
     27/01/1980       1500.000          8.736          0.031                0.031
     05/02/1980       1500.000          0.034          0.033                0.033
     06/02/1980       1500.000         40.520          0.033                0.033
     29/05/1980       1500.000          0.079          0.062                0.062
     31/07/1980       1500.000          0.288          0.041                0.041
     25/10/1980       1500.000          0.489          0.036                0.036
     26/10/1980       1500.000          5.490          0.035                0.035
     04/12/1980       1500.000          0.059          0.032                0.032
     06/12/1980       1500.000          1.501          0.032                0.032
     15/12/1980       1500.000          0.288          0.032                0.032
     16/12/1980       1500.000          0.168          0.031                0.031
     29/12/1980       1500.000          4.618          0.033                0.033
     03/01/1981       1500.000          1.690          0.033                0.033
     04/02/1981       1500.000          0.217          0.039                0.039
     06/02/1981       1500.000         22.133          0.039                0.039
     07/02/1981       1500.000          4.730          0.039                0.039
     08/02/1981       1500.000         36.414          0.038                0.038
     10/02/1981       1500.000          0.078          0.038                0.038
     14/03/1981       1500.000          0.067          0.049                0.049
     23/03/1981       1500.000          0.025          0.052                0.052
     02/04/1981       1500.000          5.910          0.059                0.059
     06/04/1981       1500.000          0.972          0.061                0.061
     08/04/1981       1500.000          0.275          0.063                0.063
     02/06/1981       1500.000          0.045          0.057                0.057
     22/07/1981       1500.000          0.324          0.041                0.041
     21/09/1981       1500.000          3.016          0.044                0.044
     01/11/1981       1500.000          2.882          0.041                0.041
     02/11/1981       1500.000          3.607          0.040                0.040
     03/11/1981       1500.000          1.816          0.039                0.039
     04/11/1981       1500.000          0.101          0.038                0.038
     03/12/1981       1500.000          4.359          0.033                0.033
     04/12/1981       1500.000         22.455          0.033                0.033
     20/12/1981       1500.000          0.049          0.033                0.033
     21/12/1981       1500.000          0.513          0.033                0.033
     24/12/1981       1500.000          2.281          0.033                0.033
     19/01/1982       1500.000          5.037          0.037                0.037
     21/01/1982       1500.000          0.239          0.037                0.037
     25/02/1982       1500.000          1.943          0.045                0.045
     01/03/1982       1500.000          1.851          0.045                0.045
     02/03/1982       1500.000          0.072          0.046                0.046
     05/03/1982       1500.000          0.026          0.046                0.046
     08/03/1982       1500.000          0.358          0.047                0.047
     11/03/1982       1500.000          3.325          0.048                0.048
     28/04/1982       1500.000          0.375          0.075                0.075
     09/09/1982       1500.000          1.012          0.045                0.045
     11/10/1982       1500.000          7.452          0.041                0.041
     01/11/1982       1500.000          1.696          0.040                0.040
     03/12/1982       1500.000          2.076          0.041                0.041
     20/12/1982       1500.000          2.473          0.038                0.038
     30/12/1982       1500.000          0.012          0.037                0.037
     04/01/1983       1500.000          0.209          0.036                0.036
     05/01/1983       1500.000          0.243          0.036                0.036
     20/03/1983       1500.000          0.132          0.047                0.047
     21/03/1983       1500.000          1.034          0.046                0.046
