Summary_file = gmtb0a.sum
Title = Greenmount B0_SOILWAT
           date       dlayer()      soil_loss  erosion_cover cover_surface_runoff
             ()           (mm)         (t/ha)             ()                   ()
     01/11/1976       1500.000         11.395          0.029                0.029
     22/11/1976       1500.000          0.027          0.022                0.022
     17/01/1977       1500.000          5.374          0.019                0.019
     11/03/1977       1500.000          6.607          0.028                0.028
     12/03/1977       1500.000          0.139          0.028                0.028
     23/04/1977       1500.000          0.028          0.043                0.043
     11/05/1977       1500.000          0.681          0.050                0.050
     16/05/1977       1500.000          9.219          0.052                0.052
     04/11/1977       1500.000          0.197          0.025                0.025
     08/11/1977       1500.000          0.590          0.023                0.023
     21/11/1977       1500.000          1.247          0.020                0.020
     07/01/1978       1500.000          8.606          0.024                0.024
     21/01/1978       1500.000          0.138          0.025                0.025
     31/01/1978       1500.000          0.241          0.028                0.028
     01/02/1978       1500.000          0.058          0.028                0.028
     18/03/1978       1500.000          0.039          0.039                0.039
     29/03/1978       1500.000          0.189          0.042                0.042
     01/04/1978       1500.000          0.251          0.043                0.043
     02/04/1978       1500.000          0.456          0.043                0.043
     03/04/1978       1500.000          0.442          0.043                0.043
     03/07/1978       1500.000          2.490          0.026                0.026
     10/07/1978       1500.000          0.068          0.026                0.026
     09/08/1978       1500.000          0.010          0.026                0.026
     01/09/1978       1500.000          0.659          0.026                0.026
     06/09/1978       1500.000          0.001          0.025                0.025
     07/09/1978       1500.000          0.950          0.025                0.025
     06/11/1978       1500.000          0.782          0.024                0.024
     11/11/1978       1500.000          2.238          0.023                0.023
     18/12/1978       1500.000          0.065          0.023                0.023
     23/12/1978       1500.000          2.740          0.023                0.023
     27/12/1978       1500.000          1.558          0.023                0.023
     30/12/1978       1500.000          9.806          0.023                0.023
     19/01/1979       1500.000          1.413          0.026                0.026
     06/02/1979       1500.000          0.854          0.029                0.029
     10/02/1979       1500.000          0.766          0.030                0.030
     04/03/1979       1500.000          7.258          0.035                0.035
     05/03/1979       1500.000          0.315          0.035                0.035
     16/03/1979       1500.000         11.361          0.039                0.039
     05/05/1979       1500.000          0.035          0.053                0.053
     21/06/1979       1500.000          6.549          0.030                0.030
     30/07/1979       1500.000          0.081          0.032                0.032
     29/10/1979       1500.000          0.320          0.030                0.030
     09/11/1979       1500.000          0.026          0.028                0.028
     13/11/1979       1500.000          0.043          0.027                0.027
     17/12/1979       1500.000          0.021          0.028                0.028
     22/12/1979       1500.000          1.610          0.028                0.028
     26/01/1980       1500.000          0.095          0.032                0.032
     27/01/1980       1500.000          6.807          0.031                0.031
     05/02/1980       1500.000          0.027          0.033                0.033
     06/02/1980       1500.000         32.218          0.033                0.033
     29/05/1980       1500.000          0.092          0.062                0.062
     31/07/1980       1500.000          0.254          0.041                0.041
     25/10/1980       1500.000          0.404          0.036                0.036
     26/10/1980       1500.000          4.486          0.035                0.035
     04/12/1980       1500.000          0.047          0.032                0.032
     06/12/1980       1500.000          1.176          0.032                0.032
     15/12/1980       1500.000          0.225          0.032                0.032
     16/12/1980       1500.000          0.131          0.031                0.031
     29/12/1980       1500.000          3.667          0.033                0.033
     03/01/1981       1500.000          1.340          0.033                0.033
     04/02/1981       1500.000          0.187          0.039                0.039
     06/02/1981       1500.000         18.985          0.039                0.039
     07/02/1981       1500.000          4.048          0.039                0.039
     08/02/1981       1500.000         31.151          0.038                0.038
     10/02/1981       1500.000          0.067          0.038                0.038
     14/03/1981       1500.000          0.066          0.049                0.049
     23/03/1981       1500.000          0.025          0.052                0.052
     02/04/1981       1500.000          6.587          0.059                0.059
     06/04/1981       1500.000          1.118          0.061                0.061
     08/04/1981       1500.000          0.322          0.063                0.063
     02/06/1981       1500.000          0.049          0.057                0.057
     22/07/1981       1500.000          0.288          0.041                0.041
     21/09/1981       1500.000          2.779          0.044                0.044
     01/11/1981       1500.000          2.541          0.041                0.041
     02/11/1981       1500.000          3.138          0.040                0.040
     03/11/1981       1500.000          1.561          0.039                0.039
     04/11/1981       1500.000          0.086          0.038                0.038
     03/12/1981       1500.000          3.480          0.033                0.033
     04/12/1981       1500.000         17.855          0.033                0.033
     20/12/1981       1500.000          0.039          0.033                0.033
     21/12/1981       1500.000          0.409          0.033                0.033
     24/12/1981       1500.000          1.807          0.033                0.033
     19/01/1982       1500.000          4.221          0.037                0.037
     21/01/1982       1500.000          0.200          0.037                0.037
     25/02/1982       1500.000          1.811          0.045                0.045
     01/03/1982       1500.000          1.733          0.045                0.045
     02/03/1982       1500.000          0.068          0.046                0.046
     05/03/1982       1500.000          0.024          0.046                0.046
     08/03/1982       1500.000          0.341          0.047                0.047
     11/03/1982       1500.000          3.210          0.048                0.048
     28/04/1982       1500.000          0.515          0.075                0.075
     09/09/1982       1500.000          0.946          0.045                0.045
     11/10/1982       1500.000          6.605          0.041                0.041
     01/11/1982       1500.000          1.478          0.040                0.040
     03/12/1982       1500.000          1.841          0.041                0.041
     20/12/1982       1500.000          2.105          0.038                0.038
     30/12/1982       1500.000          0.010          0.037                0.037
     04/01/1983       1500.000          0.174          0.036                0.036
     05/01/1983       1500.000          0.201          0.036                0.036
     20/03/1983       1500.000          0.125          0.047                0.047
     21/03/1983       1500.000          0.974          0.046                0.046
     26/04/1983       1500.000          0.334          0.053                0.053
     28/04/1983       1500.000          1.238          0.053                0.053
     01/05/1983       1500.000         11.732          0.053                0.053
     02/05/1983       1500.000         14.076          0.053                0.053
     03/05/1983       1500.000         12.284          0.053                0.053
     28/05/1983       1500.000          8.533          0.058                0.058
     21/06/1983       1500.000          0.138          0.035                0.035
     22/06/1983       1500.000         25.453          0.035                0.035
     23/06/1983       1500.000          1.406          0.034                0.034
     29/07/1983       1500.000          1.516          0.035                0.035
     27/08/1983       1500.000          0.139          0.036                0.036
     15/09/1983       1500.000          0.003          0.034                0.034
     06/10/1983       1500.000          1.214          0.034                0.034
     11/10/1983       1500.000          0.015          0.033                0.033
     20/10/1983       1500.000          0.757          0.029                0.029
     04/11/1983       1500.000          0.065          0.030                0.030
     16/11/1983       1500.000          0.405          0.030                0.030
     15/12/1983       1500.000          0.441          0.031                0.031
     05/01/1984       1500.000          0.112          0.034                0.034
     11/01/1984       1500.000          0.291          0.036                0.036
     14/02/1984       1500.000          0.671          0.050                0.050
     16/02/1984       1500.000          2.398          0.051                0.051
     10/03/1984       1500.000          0.622          0.067                0.067
     07/04/1984       1500.000          0.910          0.086                0.086
     08/04/1984       1500.000          5.385          0.086                0.086
     09/04/1984       1500.000          5.491          0.086                0.086
     24/04/1984       1500.000          0.003          0.107                0.107
     15/07/1984       1500.000          0.038          0.056                0.056
     16/07/1984       1500.000          0.144          0.056                0.056
     25/07/1984       1500.000          0.009          0.054                0.054
     26/07/1984       1500.000          0.018          0.053                0.053
     27/07/1984       1500.000          8.067          0.053                0.053
     11/08/1984       1500.000          0.141          0.052                0.052
     05/11/1984       1500.000          4.523          0.047                0.047
     12/11/1984       1500.000          0.955          0.043                0.043
     19/12/1984       1500.000          1.908          0.043                0.043
     09/01/1985       1500.000          0.594          0.045                0.045
     25/01/1985       1500.000          0.084          0.046                0.046
     23/04/1985       1500.000          0.044          0.066                0.066
     17/05/1985       1500.000          0.278          0.074                0.074
     04/06/1985       1500.000          3.754          0.076                0.076
     09/07/1985       1500.000          0.206          0.049                0.049
     31/08/1985       1500.000          0.509          0.049                0.049
     14/10/1985       1500.000          0.046          0.045                0.045
     23/10/1985       1500.000          0.209          0.042                0.042
     08/11/1985       1500.000          1.402          0.040                0.040
     10/12/1985       1500.000          0.771          0.036                0.036
     11/12/1985       1500.000          0.004          0.036                0.036
     23/12/1985       1500.000          0.080          0.036                0.036
     10/01/1986       1500.000          0.277          0.037                0.037
     25/01/1986       1500.000          8.542          0.039                0.039
     08/02/1986       1500.000          0.400          0.043                0.043
     12/02/1986       1500.000          0.033          0.042                0.042
     14/02/1986       1500.000          0.108          0.042                0.042
     25/02/1986       1500.000          5.109          0.044                0.044
     02/05/1986       1500.000          0.376          0.057                0.057
     06/05/1986       1500.000          0.033          0.056                0.056
     05/07/1986       1500.000          0.064          0.044                0.044
     28/07/1986       1500.000          0.253          0.045                0.045
     23/10/1986       1500.000          4.997          0.039                0.039
     13/11/1986       1500.000          6.077          0.034                0.034
     01/12/1986       1500.000          0.286          0.033                0.033
     12/12/1986       1500.000          0.001          0.033                0.033
     26/12/1986       1500.000          0.249          0.033                0.033
     20/01/1987       1500.000          1.144          0.035                0.035
     28/01/1987       1500.000          0.514          0.037                0.037
     29/01/1987       1500.000          0.144          0.037                0.037
     16/05/1987       1500.000          1.106          0.068                0.068
     28/07/1987       1500.000          0.014          0.043                0.043
     03/08/1987       1500.000          0.271          0.042                0.042
     16/10/1987       1500.000          0.818          0.043                0.043
     17/10/1987       1500.000         15.329          0.041                0.041
     25/10/1987       1500.000          0.013          0.039                0.039
     26/10/1987       1500.000          0.969          0.039                0.039
     01/12/1987       1500.000          9.514          0.040                0.040
     02/12/1987       1500.000          3.232          0.039                0.039
     11/12/1987       1500.000          0.184          0.038                0.038
     06/01/1988       1500.000          0.047          0.037                0.037
     20/01/1988       1500.000          7.931          0.036                0.036
     13/02/1988       1500.000          9.186          0.037                0.037
     01/03/1988       1500.000          0.324          0.041                0.041
     01/04/1988       1500.000         45.827          0.051                0.051
     04/04/1988       1500.000         29.379          0.051                0.051
     06/04/1988       1500.000          4.848          0.051                0.051
     11/04/1988       1500.000          0.299          0.051                0.051
     12/04/1988       1500.000         13.410          0.051                0.051
     05/06/1988       1500.000          0.002          0.063                0.063
     06/06/1988       1500.000          0.987          0.063                0.063
     05/07/1988       1500.000          0.003          0.040                0.040
     06/07/1988       1500.000          0.651          0.040                0.040
     22/07/1988       1500.000          0.048          0.039                0.039
     23/08/1988       1500.000          1.775          0.039                0.039
     28/09/1988       1500.000          0.453          0.035                0.035
     12/12/1988       1500.000          0.105          0.033                0.033
     06/01/1989       1500.000          0.077          0.033                0.033
     07/01/1989       1500.000          4.899          0.032                0.032
     08/01/1989       1500.000          0.018          0.032                0.032
     09/01/1989       1500.000          0.015          0.032                0.032
