Summary_file = gmtb0d.sum
Title = Greenmount B0_SOILWAT
           date       dlayer()      soil_loss  erosion_cover cover_surface_runoff
             ()           (mm)         (t/ha)             ()                   ()
     01/11/1976       1500.000         15.045          0.029                0.029
     22/11/1976       1500.000          0.040          0.022                0.022
     17/01/1977       1500.000          8.156          0.019                0.019
     11/03/1977       1500.000          8.864          0.028                0.028
     12/03/1977       1500.000          0.186          0.028                0.028
     23/04/1977       1500.000          0.028          0.043                0.043
     11/05/1977       1500.000          0.670          0.050                0.050
     16/05/1977       1500.000          9.068          0.052                0.052
     04/11/1977       1500.000          0.260          0.025                0.025
     08/11/1977       1500.000          0.837          0.022                0.022
     21/11/1977       1500.000          1.827          0.020                0.020
     07/01/1978       1500.000         12.145          0.024                0.024
     21/01/1978       1500.000          0.189          0.025                0.025
     31/01/1978       1500.000          0.323          0.027                0.027
     01/02/1978       1500.000          0.078          0.028                0.028
     18/03/1978       1500.000          0.043          0.039                0.039
     29/03/1978       1500.000          0.211          0.041                0.041
     01/04/1978       1500.000          0.279          0.042                0.042
     02/04/1978       1500.000          0.507          0.043                0.043
     03/04/1978       1500.000          0.490          0.043                0.043
     03/07/1978       1500.000          3.398          0.026                0.026
     10/07/1978       1500.000          0.093          0.026                0.026
     09/08/1978       1500.000          0.011          0.026                0.026
     01/09/1978       1500.000          0.888          0.026                0.026
     06/09/1978       1500.000          0.001          0.025                0.025
     07/09/1978       1500.000          1.334          0.025                0.025
     06/11/1978       1500.000          1.091          0.023                0.023
     11/11/1978       1500.000          3.202          0.023                0.023
     18/12/1978       1500.000          0.088          0.023                0.023
     23/12/1978       1500.000          3.901          0.023                0.023
     27/12/1978       1500.000          2.240          0.023                0.023
     30/12/1978       1500.000         14.147          0.023                0.023
     19/01/1979       1500.000          1.956          0.025                0.025
     06/02/1979       1500.000          1.132          0.028                0.028
     10/02/1979       1500.000          1.005          0.030                0.030
     04/03/1979       1500.000          8.932          0.034                0.034
     05/03/1979       1500.000          0.389          0.035                0.035
     16/03/1979       1500.000         13.310          0.038                0.038
     05/05/1979       1500.000          0.032          0.053                0.053
     21/06/1979       1500.000          8.396          0.030                0.030
     30/07/1979       1500.000          0.096          0.032                0.032
     29/10/1979       1500.000          0.394          0.030                0.030
     09/11/1979       1500.000          0.026          0.028                0.028
     13/11/1979       1500.000          0.057          0.027                0.027
     17/12/1979       1500.000          0.025          0.027                0.027
     22/12/1979       1500.000          2.163          0.027                0.027
     26/01/1980       1500.000          0.115          0.031                0.031
     27/01/1980       1500.000          8.719          0.031                0.031
     05/02/1980       1500.000          0.034          0.033                0.033
     06/02/1980       1500.000         40.722          0.033                0.033
     29/05/1980       1500.000          0.077          0.061                0.061
     31/07/1980       1500.000          0.278          0.040                0.040
     25/10/1980       1500.000          0.466          0.035                0.035
     26/10/1980       1500.000          5.495          0.035                0.035
     04/12/1980       1500.000          0.055          0.032                0.032
     06/12/1980       1500.000          1.482          0.031                0.031
     15/12/1980       1500.000          0.288          0.031                0.031
     16/12/1980       1500.000          0.169          0.031                0.031
     29/12/1980       1500.000          4.644          0.032                0.032
     03/01/1981       1500.000          1.703          0.032                0.032
     04/02/1981       1500.000          0.214          0.039                0.039
     06/02/1981       1500.000         22.282          0.038                0.038
     07/02/1981       1500.000          4.769          0.038                0.038
     08/02/1981       1500.000         36.700          0.038                0.038
     10/02/1981       1500.000          0.079          0.038                0.038
     14/03/1981       1500.000          0.066          0.048                0.048
     23/03/1981       1500.000          0.023          0.051                0.051
     02/04/1981       1500.000          5.964          0.058                0.058
     06/04/1981       1500.000          0.987          0.060                0.060
     08/04/1981       1500.000          0.279          0.062                0.062
     02/06/1981       1500.000          0.043          0.056                0.056
     22/07/1981       1500.000          0.303          0.041                0.041
     21/09/1981       1500.000          2.927          0.044                0.044
     01/11/1981       1500.000          2.844          0.040                0.040
     02/11/1981       1500.000          3.630          0.039                0.039
     03/11/1981       1500.000          1.832          0.038                0.038
     04/11/1981       1500.000          0.102          0.038                0.038
     03/12/1981       1500.000          4.377          0.033                0.033
     04/12/1981       1500.000         22.602          0.033                0.033
     20/12/1981       1500.000          0.049          0.033                0.033
     21/12/1981       1500.000          0.517          0.033                0.033
     24/12/1981       1500.000          2.296          0.032                0.032
     19/01/1982       1500.000          5.050          0.037                0.037
     21/01/1982       1500.000          0.241          0.036                0.036
     25/02/1982       1500.000          1.941          0.045                0.045
     01/03/1982       1500.000          1.863          0.045                0.045
     02/03/1982       1500.000          0.073          0.045                0.045
     05/03/1982       1500.000          0.026          0.045                0.045
     08/03/1982       1500.000          0.362          0.046                0.046
     11/03/1982       1500.000          3.352          0.047                0.047
     28/04/1982       1500.000          0.376          0.074                0.074
     09/09/1982       1500.000          0.938          0.045                0.045
     11/10/1982       1500.000          7.346          0.041                0.041
     01/11/1982       1500.000          1.686          0.039                0.039
     03/12/1982       1500.000          2.052          0.041                0.041
     20/12/1982       1500.000          2.469          0.038                0.038
     30/12/1982       1500.000          0.012          0.037                0.037
     04/01/1983       1500.000          0.210          0.036                0.036
     05/01/1983       1500.000          0.244          0.036                0.036
     20/03/1983       1500.000          0.130          0.046                0.046
     21/03/1983       1500.000          1.033          0.045                0.045
