Summary_file = fieldS113.sum
Title = south plots field
      year     month       day day_month             brA(1)             brA(2)             brA(3)             brA(4)             brA(5)             brA(6)             brA(7)             brA(8)             brA(9)            brA(10)            brA(11)            brA(12)            brA(13)            brA(14)            brA(15)            brA(16)            brA(17)            brA(18)            brA(19)            brA(20)      leach_brA             brB(1)             brB(2)             brB(3)             brB(4)             brB(5)             brB(6)             brB(7)             brB(8)             brB(9)            brB(10)            brB(11)            brB(12)            brB(13)            brB(14)            brB(15)            brB(16)            brB(17)            brB(18)            brB(19)            brB(20)      leach_brB             brC(1)             brC(2)             brC(3)             brC(4)             brC(5)             brC(6)             brC(7)             brC(8)             brC(9)            brC(10)            brC(11)            brC(12)            brC(13)            brC(14)            brC(15)            brC(16)            brC(17)            brC(18)            brC(19)            brC(20)      leach_brC             brD(1)             brD(2)             brD(3)             brD(4)             brD(5)             brD(6)             brD(7)             brD(8)             brD(9)            brD(10)            brD(11)            brD(12)            brD(13)            brD(14)            brD(15)            brD(16)            brD(17)            brD(18)            brD(19)            brD(20)      leach_brD     uptake_brA     uptake_brB     uptake_brC     uptake_brD
    (year)   (month)     (day)     (day)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)        (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)        (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)        (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)        (kg/ha)             ()             ()             ()             ()
      1993         7       202        21              4.724             17.332             28.743             36.846             81.507             83.531             41.262             17.120              6.382              1.351              0.179              0.020              0.002              0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000              0.650              3.822             20.937            288.342              5.239              0.011              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000          0.000          0.000
      1993         8       238        26              2.228              5.027              7.783             13.070             32.606             70.054             71.042             55.952             41.199             15.597              3.546              0.734              0.137              0.022              0.003              0.000              0.000              0.000              0.000              0.000          0.000              4.628             10.430             16.067             26.039             59.736             89.884             60.037             32.044             15.660              3.765              0.600              0.093              0.013              0.002              0.000              0.000              0.000              0.000              0.000              0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000          0.000          0.000
      1993        10       279         6              0.005              0.010              0.025              0.130              1.190              7.285             19.681             40.998             86.521             98.389             46.312             14.145              3.442              0.714              0.127              0.021              0.004              0.001              0.000              0.000          0.000              0.010              0.019              0.047              0.243              2.193             12.447             30.035             54.131             92.558             84.616             32.569              8.174              1.632              0.278              0.040              0.006              0.001              0.000              0.000              0.000          0.000              1.366              4.735             24.608            280.612              7.649              0.029              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000          0.000          0.000
      1993        11       312         8              0.008              0.021              0.048              0.206              1.334              8.534             20.186             40.403             85.633             97.171             46.285             14.376              3.663              0.893              0.193              0.038              0.007              0.001              0.000              0.000          0.000              0.014              0.039              0.087              0.372              2.367             14.169             29.989             52.131             92.101             84.032             32.954              8.487              1.805              0.373              0.069              0.012              0.002              0.000              0.000              0.000          0.000              3.033              8.550             17.989             60.193            174.836             51.575              2.725              0.097              0.003              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000          0.000          0.000
      1993        12       342         8              0.017              0.029              0.094              0.286              1.435              9.605             20.727             40.121             83.265             96.118             46.991             15.299              3.785              0.958              0.216              0.045              0.009              0.002              0.000              0.000          0.000              0.030              0.051              0.165              0.499              2.458             15.607             30.174             50.952             89.899             83.640             33.893              9.220              1.904              0.411              0.080              0.014              0.002              0.000              0.000              0.000          0.000              2.905              4.891             15.349             38.496            128.300            116.258             11.977              0.782              0.042              0.001              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000              0.161              0.766              8.951            303.501              5.606              0.015              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000          0.000          0.000
      1994         5       123         3              0.001              0.002              0.008              0.014              0.036              0.168              0.632              2.441             11.735             48.163             71.979             71.655             54.391             32.299             15.561              6.449              2.359              0.774              0.237              0.069          0.000              0.002              0.004              0.013              0.022              0.058              0.261              0.937              3.376             15.090             55.042             75.539             70.099             50.038             28.097             12.843              5.056              1.757              0.547              0.159              0.044          0.000              0.050              0.086              0.287              0.456              1.111              4.226             10.536             22.414             54.589             87.006             67.080             39.602             19.513              8.027              2.811              0.876              0.247              0.063              0.015              0.004          0.000              0.080              0.135              0.454              0.715              1.705              6.206             14.297             27.704             60.845             86.159             61.283             34.034             15.991              6.338              2.156              0.656              0.181              0.046              0.011              0.003          0.000          0.000          0.000          0.000          0.000
      1998        10       296        23              0.835              1.406              2.773              9.226             39.363             49.670             20.064              4.063              0.568              0.032              0.001              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000          0.000          0.000
      1999        12       343         9              0.001              0.003              0.009              0.048              0.334              2.148              6.655             14.404             33.024             35.344             20.148             10.059              3.803              1.409              0.445              0.125              0.032              0.007              0.001              0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000          0.000          0.000
      2000        12       348        13              0.009              0.015              0.043              0.160              0.792              4.960             12.255             23.006             41.151             29.158             11.542              3.702              0.974              0.186              0.039              0.008              0.001              0.000              0.000              0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000          0.000          0.000
