Summary_file = output\dingxi_w.sum
Title = Continuous spring wheat at Dingxi
       day      year           date          event           flag           rain           w_ep              sw(1)              sw(2)              sw(3)              sw(4)              sw(5)              sw(6)              sw(7)              sw(8)             es         runoff          drain         sw_dep          nh4()        tot_no3             no3(1)             no3(2)             no3(3)             no3(4)             no3(5)             no3(6)             no3(7)             no3(8)           dnit       hum_c(1)      biom_c(1)       fom_c(1)    surfaceom_n   surfaceom_wt          w_lai        w_yield      w_biomass      w_root_wt     w_root_dep       w_biom_n     w_mat       n_stress       w_stress             eo
     (day)    (year)             ()             ()             ()           (mm)           (mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)           (mm)           (mm)           (mm)           (mm)        (kg/ha)        (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)      (m^2/m^2)        (kg/ha)        (kg/ha)        (g/m^2)           (mm)        (g/m^2)     (doy)             ()             ()           (mm)
        90      1970     31/03/1970          0.000          0.000         18.500          0.000              0.151              0.167              0.173              0.176              0.172              0.171              0.177              0.193         14.276          0.000          0.000        350.224         35.504         50.110             10.684              7.311              4.892              5.196              5.362              5.907              5.538              5.220          0.000       9514.252        213.818         66.129          0.399         89.880          0.000          0.000          0.000          0.000        108.420          0.000         0          1.000          1.000         48.500
       120      1970     30/04/1970          0.000          0.000         76.200          4.329              0.243              0.243              0.198              0.176              0.173              0.173              0.180              0.190         41.872          0.000          0.000        380.223        129.986         55.753             10.413              8.897              6.891              5.830              5.850              6.407              5.973              5.493          0.000       9512.718        216.719         59.272          0.360         81.012          0.559          0.000        335.075         28.973        279.990          1.635         0          1.000          1.000        102.386
       151      1970     31/05/1970          0.000          0.000         35.300         44.438              0.203              0.133              0.140              0.159              0.173              0.175              0.181              0.189         32.847          0.000          0.000        338.238         13.330         90.362             43.416              9.041              5.606              6.142              6.594              7.166              6.521              5.876          0.000       9509.005        223.723         60.763          0.214         48.169          2.197          0.000       3581.200        150.763        795.750          7.396         0          1.000          0.718        139.814
       181      1970     30/06/1970          0.000          0.000         44.600         39.888              0.159              0.124              0.131              0.125              0.140              0.169              0.181              0.189         34.754          0.000          0.000        308.196          1.191         89.083             34.030             16.086              5.671              6.361              6.703              7.372              6.779              6.081          0.000       9505.050        229.809         73.250          0.109         24.431          0.776          0.000       6048.633        178.296       1319.850          7.999         0          1.000          0.652        150.419
       212      1970     31/07/1970          0.000          0.000        101.600         30.783              0.245              0.246              0.228              0.119              0.125              0.150              0.172              0.187         33.265          0.405          0.000        345.343          0.409         58.749              4.063             12.571             10.735              6.457              6.344              6.433              5.932              6.216          0.032       9498.310        236.002         73.828          0.050         11.358          0.348       2430.261       7551.557        153.441       1665.097         11.166         0          1.000          0.748        176.458
       218      1970     06/08/1970          2.000          0.000         24.000          0.780              0.265              0.268              0.267              0.134              0.125              0.150              0.172              0.186          4.849          0.000          0.000        363.714          0.425         54.667              2.466              9.685             10.394              7.309              6.327              6.379              5.878              6.228          0.017       9496.622        237.057         71.263          0.042          9.432          0.002       2447.281       7598.975        149.644       1668.741         11.599       216          1.000          1.000         17.811
       243      1970     31/08/1970          0.000          0.000         89.300          0.000              0.266              0.269              0.265              0.214              0.132              0.151              0.172              0.184         53.515         10.172          0.000        389.327          1.099         59.316              3.080              8.505             10.145             12.229              6.680              6.461              5.950              6.267          0.029       9493.247        294.357        137.075          0.882         93.045          0.000          0.000          0.000          0.000          0.000          0.000         0          1.000          1.000        117.856
       273      1970     30/09/1970          0.000          0.000         76.000          0.000              0.245              0.248              0.251              0.244              0.194              0.156              0.171              0.182         49.783          6.617          0.000        408.927          1.418         65.152              3.794              8.007              9.606             14.325             10.404              6.749              5.991              6.276          0.019       9487.326        302.772         93.121          0.563         59.379          0.000          0.000          0.000          0.000          0.000          0.000         0          1.000          1.000        100.874
       304      1970     31/10/1970          0.000          0.000         23.400          0.000              0.225              0.232              0.232              0.225              0.213              0.179              0.173              0.181         25.486          0.000          0.000        406.842          1.608         68.721              4.883              8.701              9.414             13.573             11.687              8.045              6.123              6.295          0.000       9484.072        302.617         78.788          0.520         54.887          0.000          0.000          0.000          0.000          0.000          0.000         0          1.000          1.000         64.312
