ApsimVersion = 6.0
Title = jambincerealonly1995
           Date           year            esw         runoff          drain        no3_tot      nw_grainn    nw_anthesis   nw_tops_biom       nw_yield      nw_status         nw_lai  sor_flower_wt        sor_das        sor_lai      sor_yield sor_flowerdate           rain   sw_mm_lay(1)   sw_mm_lay(2)   sw_mm_lay(3)   sw_mm_lay(4)   sw_mm_lay(5)  dul_mm_lay(1)  dul_mm_lay(2)  dul_mm_lay(3)  dul_mm_lay(4)  dul_mm_lay(5) ll15_mm_lay(1) ll15_mm_lay(2) ll15_mm_lay(3) ll15_mm_lay(4) ll15_mm_lay(5)   crop_current        crop_in      next_crop
             ()         (year)           (mm)           (mm)           (mm)        (kg/ha)        (g/m^2)          (doy)        (kg/ha)        (kg/ha)             ()      (m^2/m^2)         (g/m2)         (days)        (m2/m2)        (kg/ha)          (doy)           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)            (?)            (?)            (?)
     01/01/1940           1940         97.904          0.000          0.000          100.6           0.00              0            0.0            0.0          0.000          0.000          0.000              0          0.000            0.0              0          0.000         31.198         38.896         80.923         47.387         54.000         37.500         39.000         81.000         84.000         84.000         15.000         16.500         33.000         36.000         54.000         fallow          0.000          wheat
     02/01/1940           1940         94.787          0.000          0.000          101.9           0.00              0            0.0            0.0          0.000          0.000          0.000              0          0.000            0.0              0          0.000         28.203         38.788         80.833         47.463         54.000         37.500         39.000         81.000         84.000         84.000         15.000         16.500         33.000         36.000         54.000         fallow          0.000          wheat
     03/01/1940           1940         93.344          0.000          0.000          103.1           0.00              0            0.0            0.0          0.000          0.000          0.000              0          0.000            0.0              0          0.000         26.886         38.676         80.742         47.539         54.000         37.500         39.000         81.000         84.000         84.000         15.000         16.500         33.000         36.000         54.000         fallow          0.000          wheat
     04/01/1940           1940         92.234          0.000          0.000          104.1           0.00              0            0.0            0.0          0.000          0.000          0.000              0          0.000            0.0              0          0.000         25.905         38.564         80.651         47.614         54.000         37.500         39.000         81.000         84.000         84.000         15.000         16.500         33.000         36.000         54.000         fallow          0.000          wheat
     05/01/1940           1940         91.298          0.000          0.000          105.0           0.00              0            0.0            0.0          0.000          0.000          0.000              0          0.000            0.0              0          0.000         25.098         38.451         80.559         47.690         54.000         37.500         39.000         81.000         84.000         84.000         15.000         16.500         33.000         36.000         54.000         fallow          0.000          wheat
     06/01/1940           1940         90.473          0.000          0.000          105.8           0.00              0            0.0            0.0          0.000          0.000          0.000              0          0.000            0.0              0          0.000         24.402         38.340         80.467         47.764         54.000         37.500         39.000         81.000         84.000         84.000         15.000         16.500         33.000         36.000         54.000         fallow          0.000          wheat
     07/01/1940           1940         89.727          0.000          0.000          106.6           0.00              0            0.0            0.0          0.000          0.000          0.000              0          0.000            0.0              0          0.000         23.785         38.229         80.375         47.839         54.000         37.500         39.000         81.000         84.000         84.000         15.000         16.500         33.000         36.000         54.000         fallow          0.000          wheat
     08/01/1940           1940         89.041          0.000          0.000          107.3           0.00              0            0.0            0.0          0.000          0.000          0.000              0          0.000            0.0              0          0.000         23.227         38.120         80.282         47.913         54.000         37.500         39.000         81.000         84.000         84.000         15.000         16.500         33.000         36.000         54.000         fallow          0.000          wheat
     09/01/1940           1940         88.402          0.000          0.000          108.1           0.00              0            0.0            0.0          0.000          0.000          0.000              0          0.000            0.0              0          0.000         22.715         38.012         80.189         47.986         54.000         37.500         39.000         81.000         84.000         84.000         15.000         16.500         33.000         36.000         54.000         fallow          0.000          wheat
     10/01/1940           1940         87.802          0.000          0.000          108.7           0.00              0            0.0            0.0          0.000          0.000          0.000              0          0.000            0.0              0          0.000         22.242         37.905         80.096         48.059         54.000         37.500         39.000         81.000         84.000         84.000         15.000         16.500         33.000         36.000         54.000         fallow          0.000          wheat
