Summary_file = report.sum
Title = Report Instantiation Sample Simulation
            day           year           rain         runoff          drain      sw_dep(1)      sw_dep(2)      sw_dep(3)      sw_dep(4)      sw_dep(5)      sw_dep(6)      sw_dep(7)
          (day)         (year)           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)
              5           1988          2.000          0.000          0.000         63.049         62.811        124.330        124.813        123.687        123.000        123.000
             10           1988          0.000          0.000          0.000         60.618         61.208        123.881        124.439        124.966        123.000        123.000
             15           1988          0.000          0.000          0.000         59.821         60.484        122.833        124.277        125.536        123.000        123.000
             20           1988         99.000         64.704          0.000         68.650         74.850        135.938        127.055        126.000        123.000        123.000
             25           1988          0.000          0.000          0.000         67.500         68.054        134.694        132.000        126.000        123.000        123.000
             30           1988          0.000          0.000          0.000         66.138         66.696        134.946        132.000        126.000        123.000        123.000
             35           1988          0.000          0.000          0.000         66.410         66.918        135.000        132.000        126.000        123.000        123.000
             40           1988          0.000          0.000          0.010         67.500         73.065        140.931        134.169        126.631        123.165        123.041
             45           1988         31.000         12.999          0.194         69.124         74.850        149.400        145.923        130.819        124.904        123.776
             50           1988          0.000          0.000          0.927         67.500         68.356        140.894        142.200        135.451        129.465        126.708
             55           1988          0.000          0.000          1.583         66.897         67.464        136.488        137.049        133.502        130.726        129.332
             60           1988         10.200          0.580          1.649         71.669         69.201        135.401        134.092        130.385        129.112        129.597
             65           1988          0.400          0.000          1.407         67.500         71.171        142.286        137.870        130.738        127.947        128.626
             70           1988          0.000          0.000          1.386         67.500         69.046        141.482        139.810        132.865        128.872        128.543
             75           1988          0.000          0.000          1.510         67.009         67.588        136.759        136.556        132.042        129.292        129.042
             80           1988          0.000          0.000          1.427         66.243         66.832        135.340        134.007        129.796        128.091        128.710
             85           1988          2.800          0.000          1.120         65.723         66.404        134.638        132.697        127.937        126.326        127.478
             90           1988          0.000          0.000          0.751         65.415         66.049        133.951        132.228        126.863        124.862        126.002
             95           1988         48.400         27.178          0.614         70.303         74.850        149.400        147.600        138.034        126.736        125.458
            100           1988          0.400          0.000          2.501         67.500         71.692        144.584        145.267        141.444        138.055        133.005
