Summary_file = canola.sum
Title = canola Sample Simulation
       day      year            lai        biomass  green_biomass            pai
     (day)    (year)      (m^2/m^2)        (kg/ha)        (kg/ha)      (m^2/m^2)
       130      1988          0.000          0.000          0.000          0.000
       131      1988          0.000          0.000          0.000          0.000
       132      1988          0.000          0.000          0.000          0.000
       133      1988          0.000          0.000          0.000          0.000
       134      1988          0.000          0.000          0.000          0.000
       135      1988          0.000          0.000          0.000          0.000
       136      1988          0.000          0.000          0.000          0.000
       137      1988          0.000          0.000          0.000          0.000
       138      1988          0.004         12.000         12.000          0.000
       139      1988          0.005         12.315         12.315          0.000
       140      1988          0.007         12.881         12.881          0.000
       141      1988          0.009         13.464         13.464          0.000
       142      1988          0.011         14.140         14.140          0.000
       143      1988          0.014         15.254         15.254          0.000
       144      1988          0.019         16.718         16.718          0.000
       145      1988          0.024         18.478         18.478          0.000
       146      1988          0.028         20.950         20.950          0.000
       147      1988          0.032         23.871         23.871          0.000
       148      1988          0.036         27.236         27.236          0.000
       149      1988          0.040         30.763         30.763          0.000
       150      1988          0.043         34.903         34.903          0.000
       151      1988          0.047         39.703         39.703          0.000
       152      1988          0.051         44.326         44.326          0.000
       153      1988          0.056         48.076         48.076          0.000
       154      1988          0.061         52.714         52.714          0.000
       155      1988          0.067         57.693         57.693          0.000
       156      1988          0.074         60.347         60.347          0.000
       157      1988          0.082         64.519         64.519          0.000
       158      1988          0.090         70.560         70.560          0.000
       159      1988          0.096         79.614         79.614          0.000
       160      1988          0.101         89.742         89.742          0.000
       161      1988          0.107         99.909         99.909          0.000
       162      1988          0.114        110.597        110.597          0.000
       163      1988          0.120        122.143        122.143          0.000
       164      1988          0.126        134.254        134.254          0.000
       165      1988          0.132        148.015        148.015          0.000
       166      1988          0.139        162.594        162.594          0.000
       167      1988          0.148        177.593        177.593          0.000
       168      1988          0.158        190.795        190.795          0.000
       169      1988          0.171        205.285        205.285          0.000
       170      1988          0.186        221.644        221.644          0.000
       171      1988          0.199        240.571        240.571          0.000
       172      1988          0.214        260.833        260.833          0.000
       173      1988          0.232        282.579        282.579          0.000
       174      1988          0.249        305.593        305.593          0.000
       175      1988          0.267        330.755        330.755          0.000
       176      1988          0.288        356.012        356.012          0.000
       177      1988          0.313        382.028        382.028          0.000
       178      1988          0.341        409.212        409.212          0.000
       179      1988          0.371        443.324        443.324          0.000
       180      1988          0.400        480.582        480.582          0.000
       181      1988          0.427        519.107        519.107          0.000
       182      1988          0.453        561.881        561.881          0.000
       183      1988          0.485        604.748        604.748          0.000
       184      1988          0.520        637.704        637.704          0.000
       185      1988          0.566        658.307        658.307          0.000
       186      1988          0.617        682.264        682.264          0.000
       187      1988          0.683        712.050        712.050          0.000
       188      1988          0.745        767.109        767.109          0.000
       189      1988          0.794        824.451        824.451          0.000
       190      1988          0.847        887.612        887.612          0.000
       191      1988          0.902        958.922        958.922          0.000
       192      1988          0.965       1016.069       1016.069          0.000
       193      1988          1.018       1053.873       1053.873          0.000
       194      1988          1.085       1101.885       1101.885          0.000
       195      1988          1.189       1176.249       1176.249          0.000
       196      1988          1.307       1260.547       1260.547          0.000
       197      1988          1.439       1354.341       1354.341          0.000
       198      1988          1.573       1449.885       1449.885          0.000
       199      1988          1.723       1557.401       1557.401          0.000
       200      1988          1.892       1678.402       1678.402          0.000
       201      1988          2.083       1814.286       1814.286          0.000
       202      1988          2.264       1943.434       1943.434          0.000
       203      1988          2.410       2047.731       2047.731          0.000
       204      1988          2.534       2136.687       2136.687          0.000
       205      1988          2.734       2279.832       2279.832          0.000
       206      1988          2.939       2425.891       2425.891          0.000
       207      1988          3.171       2591.879       2591.879          0.000
       208      1988          3.422       2770.953       2770.953          0.000
       209      1988          3.655       2937.348       2937.348          0.000
       210      1988          3.914       3122.290       3122.290          0.000
       211      1988          4.137       3282.001       3282.001          0.000
       212      1988          4.133       3452.120       3450.349          0.102
       213      1988          4.129       3643.225       3639.743          0.217
       214      1988          4.124       3828.806       3823.672          0.328
       215      1988          4.119       3999.533       3992.339          0.431
       216      1988          4.112       4193.927       4183.983          0.547
       217      1988          4.105       4382.478       4369.713          0.660
       218      1988          4.097       4560.830       4545.146          0.767
       219      1988          4.089       4719.526       4700.750          0.863
       220      1988          4.085       4887.917       4867.330          0.964
       221      1988          4.080       5047.935       5025.661          1.060
       222      1988          4.075       5212.269       5187.848          1.158
       223      1988          4.068       5413.995       5387.052          1.279
       224      1988          4.060       5629.196       5598.914          1.408
       225      1988          4.051       5835.525       5801.808          1.532
       226      1988          4.041       6047.200       6009.580          1.659
       227      1988          4.030       6258.113       6216.375          1.786
       228      1988          4.019       6432.030       6385.980          1.799
       229      1988          4.004       6618.422       6566.451          1.812
       230      1988          3.987       6803.524       6744.964          1.826
       231      1988          3.967       6966.232       6900.076          1.841
       232      1988          3.942       7129.948       7054.055          1.857
       233      1988          3.889       7295.091       7198.566          1.873
       234      1988          3.884       7466.977       7368.460          1.890
       235      1988          3.858       7559.857       7450.961          1.906
       236      1988          3.813       7676.123       7549.727          1.923
       237      1988          3.781       7802.818       7664.012          1.941
       238      1988          3.749       7971.492       7820.169          1.960
       239      1988          3.710       8127.064       7960.731          1.980
       240      1988          3.659       8216.139       8030.116          1.996
       241      1988          3.602       8319.136       8110.650          2.014
       242      1988          3.558       8473.740       8248.354          2.035
       243      1988          3.511       8615.953       8372.311          2.057
       244      1988          3.457       8670.304       8405.517          2.069
       245      1988          3.392       8714.580       8424.553          2.079
       246      1988          3.320       8802.381       8484.396          2.096
       247      1988          3.254       8908.993       8565.346          2.115
       248      1988          3.188       8984.326       8614.910          2.130
       249      1988          3.120       9016.172       8620.345          2.139
       250      1988          3.095       9064.842       8659.069          2.151
       251      1988          3.069       9098.154       8682.406          2.160
       252      1988          3.047       9172.488       8748.097          2.176
       253      1988          3.024       9227.699       8794.518          2.188
       254      1988          2.997       9272.618       8828.653          2.200
       255      1988          2.964       9308.981       8852.416          2.210
       256      1988          2.927       9319.842       8848.829          2.217
       257      1988          2.899       9351.752       8869.742          2.227
       258      1988          2.877       9375.693       8885.042          2.228
       259      1988          2.845       9431.514       8928.356          2.232
       260      1988          2.811       9487.866       8971.510          2.235
       261      1988          2.780       9557.875       9029.583          2.239
       262      1988          2.749       9625.119       9084.873          2.243
       263      1988          2.718       9684.918       9132.313          2.247
       264      1988          2.688       9739.557       9175.606          2.250
       265      1988          2.658       9796.050       9220.252          2.253
       266      1988          2.626       9849.910       9261.828          2.257
       267      1988          2.592       9899.544       9298.265          2.260
       268      1988          2.557       9946.225       9331.028          2.262
       269      1988          2.523       9992.893       9364.458          2.265
       270      1988          2.488      10036.089       9394.307          2.268
       271      1988          2.448      10067.648       9409.981          2.270
       272      1988          2.403      10105.440       9430.561          2.272
       273      1988          2.365      10149.742       9459.872          2.275
       274      1988          2.332      10193.152       9490.611          2.277
       275      1988          2.285      10227.762       9506.745          2.279
       276      1988          2.241      10267.578       9529.598          2.279
       277      1988          2.203      10307.132       9554.434          2.279
       278      1988          0.002      10307.132       8697.755          2.279
       279      1988          0.000          0.000          0.000          0.000
       280      1988          0.000          0.000          0.000          0.000
       281      1988          0.000          0.000          0.000          0.000
       282      1988          0.000          0.000          0.000          0.000
       283      1988          0.000          0.000          0.000          0.000
       284      1988          0.000          0.000          0.000          0.000
       285      1988          0.000          0.000          0.000          0.000
       286      1988          0.000          0.000          0.000          0.000
       287      1988          0.000          0.000          0.000          0.000
       288      1988          0.000          0.000          0.000          0.000
       289      1988          0.000          0.000          0.000          0.000
       290      1988          0.000          0.000          0.000          0.000
       291      1988          0.000          0.000          0.000          0.000
       292      1988          0.000          0.000          0.000          0.000
       293      1988          0.000          0.000          0.000          0.000
       294      1988          0.000          0.000          0.000          0.000
       295      1988          0.000          0.000          0.000          0.000
       296      1988          0.000          0.000          0.000          0.000
       297      1988          0.000          0.000          0.000          0.000
       298      1988          0.000          0.000          0.000          0.000
       299      1988          0.000          0.000          0.000          0.000
       300      1988          0.000          0.000          0.000          0.000
