Summary_file = co2.sum
Title = Rising CO2 levels
           Date          yield            co2
             ()        (kg/ha)             ()
     25/10/1940       4524.020        350.000
     31/10/1941       2112.748        357.000
     26/10/1942       1520.073        364.000
     05/11/1943       2699.614        371.000
     30/10/1944       3016.353        378.000
     02/11/1945       2659.931        385.000
     03/11/1946       2721.663        392.000
     05/11/1947       2829.710        399.000
     04/11/1948       2332.437        406.000
     02/11/1949       2401.072        413.000
     30/10/1950       2168.474        420.000
     04/11/1951       2241.212        427.000
     03/11/1952       2336.097        434.000
     04/11/1953       1886.218        441.000
     28/10/1954       2238.778        448.000
     31/10/1955       2020.118        455.000
     12/11/1956       1859.489        462.000
     31/10/1957       2176.436        469.000
     04/11/1958       2337.050        476.000
     03/11/1959       1845.673        483.000
     05/11/1960       2088.915        490.000
     02/11/1961       1938.306        497.000
     01/11/1962       1472.852        504.000
     03/11/1963       1650.048        511.000
     05/11/1964       1595.048        518.000
     29/10/1965       1794.417        525.000
     08/11/1966       1866.534        532.000
     31/10/1967       1616.254        539.000
     06/11/1968       1772.567        546.000
     03/11/1969       1861.505        553.000
     05/11/1970       1360.519        560.000
     04/11/1971       1192.792        567.000
     30/10/1972       1359.604        574.000
     22/10/1973       1373.961        581.000
     06/11/1974       1593.107        588.000
     30/10/1975       1139.176        595.000
     06/11/1976       1206.853        602.000
     01/11/1977       1102.350        609.000
     10/11/1978       1281.735        616.000
     30/10/1979        977.265        623.000
     24/10/1980       1285.334        630.000
     02/11/1981       1187.294        637.000
     03/11/1982        966.201        644.000
     30/10/1983        801.072        651.000
     07/11/1984        800.927        658.000
     05/11/1985        946.170        665.000
     04/11/1986       1015.400        672.000
     01/11/1987        963.126        679.000
     27/10/1988        646.030        686.000
     06/11/1989        973.790        693.000
