Summary_file = g2_00_w0.sum
Title = Ghab2_W0_9900
           year            day            das tt_since_emerg          stage            lai     biomass_wt       grain_wt        leaf_wt        stem_wt      biomass_n        grain_n         leaf_n         stem_n            cep    sw(1-10)(1)    sw(1-10)(2)    sw(1-10)(3)    sw(1-10)(4)    sw(1-10)(5)    sw(1-10)(6)    sw(1-10)(7)    sw(1-10)(8)    sw(1-10)(9)   sw(1-10)(10) no3ppm(1-6)(1) no3ppm(1-6)(2) no3ppm(1-6)(3) no3ppm(1-6)(4) no3ppm(1-6)(5) no3ppm(1-6)(6) nh4ppm(1-6)(1) nh4ppm(1-6)(2) nh4ppm(1-6)(3) nh4ppm(1-6)(4) nh4ppm(1-6)(5) nh4ppm(1-6)(6)    n_conc_leaf    n_conc_stem   n_conc_grain
         (year)          (day)            (d)            (?)             ()      (m^2/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)           (mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mg/kg)        (mg/kg)        (mg/kg)        (mg/kg)        (mg/kg)        (mg/kg)        (mg/kg)        (mg/kg)        (mg/kg)        (mg/kg)        (mg/kg)        (mg/kg)            (%)            (%)            (%)
           2000             69             79        299.762          3.425          0.031         11.125          0.000          9.504          0.675          0.607          0.000          0.548          0.045          0.221          0.211          0.236          0.245          0.248          0.246          0.260          0.275          0.287          0.294          0.299          7.077          7.918          8.373          7.394          5.632          5.508          0.565          0.874          0.420          0.069          0.007          0.001          5.763          6.703          0.000
           2000             70             80        308.262          3.438          0.033         11.202          0.000          9.535          0.721          0.607          0.000          0.548          0.045          0.240          0.209          0.235          0.245          0.248          0.246          0.260          0.275          0.287          0.294          0.299          7.184          7.942          8.375          7.393          5.638          5.508          0.547          0.854          0.406          0.068          0.007          0.001          5.744          6.269          0.000
           2000             71             81        319.012          3.453          0.036         11.314          0.000          9.580          0.788          0.607          0.000          0.548          0.045          0.271          0.222          0.235          0.244          0.248          0.246          0.260          0.275          0.287          0.294          0.299          7.259          7.991          8.379          7.392          5.644          5.507          0.533          0.835          0.394          0.066          0.007          0.001          5.717          5.737          0.000
           2000             72             82        331.412          3.471          0.038         11.420          0.000          9.623          0.852          0.607          0.000          0.548          0.045          0.286          0.212          0.234          0.243          0.248          0.247          0.260          0.275          0.287          0.294          0.299          7.358          8.023          8.385          7.391          5.650          5.507          0.517          0.816          0.381          0.065          0.007          0.001          5.692          5.316          0.000
           2000             73             83        341.612          3.485          0.041         11.538          0.000          9.670          0.923          0.609          0.000          0.548          0.047          0.313          0.246          0.237          0.243          0.248          0.247          0.260          0.275          0.287          0.294          0.299          7.324          8.169          8.402          7.388          5.654          5.506          0.512          0.797          0.368          0.064          0.007          0.001          5.664          5.135          0.000
           2000             74             84        351.562          3.499          0.044         11.694          0.000          9.732          1.016          0.613          0.000          0.548          0.051          0.345          0.229          0.236          0.243          0.248          0.247          0.260          0.275          0.287          0.294          0.299          7.382          8.223          8.416          7.384          5.658          5.505          0.501          0.779          0.355          0.062          0.007          0.001          5.628          5.006          0.000
           2000             75             85        359.312          3.511          0.047         11.871          0.000          9.803          1.123          0.617          0.000          0.548          0.055          0.386          0.225          0.236          0.242          0.247          0.247          0.260          0.275          0.286          0.294          0.299          7.453          8.263          8.426          7.378          5.662          5.503          0.490          0.762          0.344          0.061          0.007          0.001          5.587          4.938          0.000
           2000             76             86        368.812          3.524          0.050         12.096          0.000          9.893          1.258          0.623          0.000          0.548          0.061          0.445          0.222          0.235          0.242          0.247          0.247          0.260          0.275          0.286          0.294          0.299          7.528          8.292          8.432          7.371          5.664          5.500          0.479          0.745          0.333          0.060          0.007          0.001          5.536          4.880          0.000
           2000             77             87        379.812          3.540          0.054         12.347          0.000          9.993          1.408          0.630          0.000          0.548          0.068          0.528          0.219          0.234          0.241          0.247          0.247          0.261          0.275          0.286          0.294          0.299          7.609          8.318          8.435          7.362          5.666          5.497          0.466          0.729          0.322          0.058          0.007          0.001          5.481          4.861          0.000
           2000             78             88        392.662          3.558          0.058         12.568          0.000         10.082          1.541          0.637          0.000          0.548          0.075          0.582          0.216          0.233          0.241          0.247          0.248          0.261          0.275          0.286          0.294          0.298          7.697          8.347          8.440          7.355          5.668          5.494          0.453          0.712          0.311          0.057          0.007          0.001          5.433          4.861          0.000
           2000             79             89        403.862          3.574          0.061         12.858          0.000         10.198          1.715          0.645          0.000          0.548          0.083          0.651          0.213          0.232          0.240          0.246          0.248          0.261          0.275          0.286          0.294          0.298          7.786          8.374          8.441          7.346          5.669          5.489          0.439          0.695          0.301          0.056          0.007          0.001          5.371          4.817          0.000
           2000             80             90        417.212          3.593          0.066         13.201          0.000         10.335          1.920          0.654          0.000          0.548          0.092          0.728          0.211          0.231          0.240          0.246          0.248          0.261          0.275          0.286          0.294          0.298          7.876          8.401          8.440          7.335          5.669          5.484          0.425          0.677          0.291          0.055          0.007          0.001          5.300          4.771          0.000
           2000             81             91        427.412          3.608          0.069         13.489          0.000         10.450          2.093          0.662          0.000          0.548          0.100          0.795          0.209          0.230          0.239          0.246          0.248          0.261          0.275          0.286          0.294          0.298          7.966          8.427          8.438          7.325          5.669          5.479          0.411          0.661          0.282          0.054          0.007          0.001          5.241          4.785          0.000
           2000             82             92        439.612          3.625          0.073         13.890          0.000         10.611          2.334          0.673          0.000          0.548          0.111          0.907          0.207          0.229          0.239          0.245          0.248          0.261          0.275          0.286          0.294          0.298          8.051          8.446          8.430          7.312          5.669          5.474          0.398          0.646          0.273          0.053          0.007          0.001          5.162          4.751          0.000
           2000             83             93        450.312          3.641          0.077         14.251          0.000         10.755          2.550          0.683          0.000          0.548          0.121          1.006          0.296          0.275          0.249          0.246          0.248          0.261          0.275          0.286          0.293          0.298          6.792          9.222          8.849          7.319          5.669          5.469          0.408          0.645          0.268          0.052          0.007          0.001          5.093          4.748          0.000
           2000             84             94        461.962          3.657          0.080         14.650          0.000         10.915          2.790          0.695          0.000          0.549          0.132          1.078          0.276          0.271          0.255          0.246          0.248          0.261          0.274          0.286          0.293          0.298          6.736          9.095          9.062          7.340          5.668          5.463          0.418          0.644          0.265          0.051          0.007          0.001          5.030          4.716          0.000
           2000             85             95        475.662          3.677          0.085         15.225          0.000         11.144          3.135          0.714          0.000          0.554          0.146          1.219          0.259          0.264          0.257          0.247          0.248          0.261          0.274          0.286          0.293          0.298          6.899          8.891          9.115          7.358          5.666          5.455          0.426          0.642          0.263          0.051          0.007          0.001          4.974          4.647          0.000
           2000             86             96        487.112          3.693          0.089         15.750          0.000         11.355          3.450          0.735          0.000          0.561          0.160          1.377          0.251          0.259          0.257          0.248          0.249          0.261          0.274          0.286          0.293          0.298          7.032          8.779          9.111          7.372          5.664          5.446          0.435          0.641          0.261          0.050          0.007          0.001          4.939          4.644          0.000
           2000             87             97        500.262          3.712          0.103         16.368          0.000         11.602          3.821          0.760          0.000          0.569          0.177          1.598          0.245          0.256          0.257          0.248          0.249          0.261          0.274          0.286          0.293          0.298          7.153          8.700          9.077          7.378          5.660          5.436          0.440          0.639          0.258          0.050          0.007          0.001          4.905          4.627          0.000
           2000             88             98        512.962          3.730          0.119         17.051          0.000         11.875          4.231          0.788          0.000          0.579          0.195          1.876          0.240          0.253          0.256          0.249          0.249          0.261          0.274          0.286          0.293          0.298          7.269          8.644          9.029          7.378          5.656          5.425          0.442          0.636          0.255          0.049          0.007          0.001          4.873          4.613          0.000
           2000             89             99        526.262          3.749          0.137         17.820          0.000         12.182          4.692          0.819          0.000          0.590          0.215          2.186          0.236          0.250          0.254          0.249          0.249          0.261          0.274          0.286          0.293          0.298          7.385          8.604          8.975          7.370          5.651          5.412          0.440          0.632          0.252          0.049          0.007          0.001          4.839          4.590          0.000
           2000             90            100        541.612          3.771          0.164         18.944          0.000         12.632          5.366          0.862          0.000          0.605          0.243          2.671          0.232          0.247          0.252          0.249          0.249          0.260          0.274          0.286          0.293          0.298          7.484          8.558          8.899          7.347          5.641          5.396          0.435          0.625          0.247          0.048          0.007          0.001          4.791          4.523          0.000
           2000             91            101        557.412          3.794          0.194         20.256          0.000         13.157          6.153          0.914          0.000          0.624          0.276          3.313          0.228          0.245          0.251          0.249          0.249          0.260          0.274          0.286          0.293          0.298          7.571          8.510          8.811          7.310          5.629          5.375          0.426          0.615          0.242          0.048          0.007          0.001          4.746          4.484          0.000
           2000             92            102        573.312          3.816          0.227         21.654          0.000         13.716          6.992          0.970          0.000          0.645          0.311          3.898          0.224          0.242          0.249          0.248          0.249          0.260          0.274          0.286          0.293          0.298          7.652          8.467          8.721          7.267          5.615          5.353          0.414          0.602          0.237          0.047          0.007          0.001          4.703          4.450          0.000
           2000             93            103        592.962          3.844          0.263         23.222          0.000         14.343          7.933          1.034          0.000          0.669          0.351          4.607          0.221          0.239          0.247          0.247          0.249          0.260          0.274          0.286          0.293          0.298          7.722          8.420          8.622          7.215          5.597          5.328          0.401          0.587          0.230          0.047          0.007          0.001          4.661          4.426          0.000
           2000             94            104        614.712          3.875          0.305         25.051          0.000         15.075          9.031          1.103          0.000          0.694          0.394          5.197          0.217          0.237          0.245          0.247          0.249          0.260          0.274          0.286          0.293          0.298          7.785          8.375          8.520          7.155          5.577          5.299          0.385          0.569          0.224          0.046          0.007          0.001          4.604          4.367          0.000
           2000             95            105        635.962          3.906          0.350         27.052          0.000         15.875         10.231          1.183          0.000          0.724          0.445          6.119          0.214          0.234          0.243          0.246          0.249          0.260          0.274          0.286          0.293          0.298          7.827          8.311          8.399          7.082          5.553          5.267          0.367          0.551          0.217          0.045          0.007          0.001          4.559          4.349          0.000
           2000             96            106        655.712          3.934          0.403         29.421          0.000         16.823         11.652          1.274          0.000          0.758          0.502          7.195          0.210          0.232          0.241          0.245          0.248          0.260          0.274          0.286          0.293          0.298          7.845          8.227          8.261          6.997          5.524          5.230          0.350          0.532          0.210          0.044          0.007          0.001          4.504          4.309          0.000
           2000             97            107        678.157          3.966          0.471         32.441          0.000         18.031         13.465          1.390          0.000          0.802          0.574          8.767          0.205          0.228          0.238          0.243          0.248          0.259          0.274          0.286          0.293          0.297          7.821          8.101          8.083          6.885          5.486          5.185          0.330          0.510          0.202          0.043          0.007          0.001          4.446          4.264          0.000
           2000             98            108        695.307          3.991          0.554         36.235          0.000         19.549         15.741          1.517          0.000          0.850          0.653          9.630          0.202          0.226          0.236          0.242          0.248          0.259          0.274          0.285          0.293          0.297          7.770          7.951          7.894          6.766          5.441          5.127          0.312          0.491          0.195          0.042          0.007          0.001          4.349          4.145          0.000
           2000             99            109        707.807          4.000          0.598         38.245          0.000         20.352         16.947          1.631          0.000          0.894          0.724         10.144          0.202          0.224          0.234          0.241          0.247          0.259          0.273          0.285          0.293          0.297          7.740          7.849          7.754          6.675          5.405          5.082          0.303          0.478          0.190          0.042          0.007          0.001          4.390          4.270          0.000
           2000            100            110        718.457          4.072          0.637         40.071          0.000         21.083         18.043          1.725          0.000          0.929          0.782         10.510          0.270          0.238          0.235          0.241          0.247          0.259          0.273          0.285          0.293          0.297          7.250          8.145          7.704          6.618          5.382          5.051          0.340          0.484          0.188          0.041          0.007          0.001          4.405          4.334          0.000
           2000            101            111        729.307          4.120          0.706         43.317          0.000         22.381         19.990          1.842          0.000          0.974          0.854         11.170          0.249          0.239          0.235          0.240          0.247          0.259          0.273          0.285          0.293          0.297          7.036          8.074          7.614          6.539          5.351          5.012          0.369          0.492          0.187          0.041          0.007          0.001          4.350          4.273          0.000
           2000            102            112        739.057          4.165          0.759         45.829          0.000         23.386         21.498          1.949          0.000          1.014          0.920         11.863          0.237          0.238          0.235          0.240          0.247          0.259          0.273          0.285          0.293          0.297          6.916          7.937          7.523          6.468          5.322          4.977          0.383          0.499          0.187          0.041          0.007          0.001          4.337          4.282          0.000
           2000            103            113        756.307          4.245          0.829         49.174          0.000         24.724         23.504          2.069          0.000          1.061          0.995         12.548          0.229          0.235          0.234          0.239          0.247          0.258          0.273          0.285          0.292          0.297          6.810          7.753          7.404          6.387          5.289          4.935          0.391          0.503          0.186          0.041          0.007          0.001          4.290          4.231          0.000
           2000            104            114        774.657          4.332          0.898         52.559          0.000         26.078         25.535          2.195          0.000          1.108          1.073         13.775          0.221          0.232          0.233          0.238          0.246          0.258          0.273          0.285          0.292          0.297          6.711          7.550          7.265          6.297          5.254          4.893          0.394          0.505          0.186          0.041          0.007          0.001          4.249          4.202          0.000
           2000            105            115        792.057          4.417          1.012         58.181          0.000         28.327         28.909          2.364          0.000          1.172          1.177         15.085          0.214          0.228          0.231          0.236          0.246          0.258          0.273          0.285          0.292          0.297          6.562          7.277          7.058          6.171          5.202          4.830          0.392          0.504          0.185          0.040          0.007          0.001          4.138          4.072          0.000
           2000            106            116        808.957          4.502          1.159         65.603          0.000         31.296         33.362          2.608          0.000          1.267          1.327         18.102          0.205          0.222          0.226          0.233          0.245          0.257          0.273          0.285          0.292          0.297          6.302          6.859          6.725          5.974          5.123          4.738          0.383          0.499          0.182          0.040          0.007          0.000          4.047          3.978          0.000
           2000            107            117        826.557          4.592          1.244         71.877          0.000         33.200         37.126          2.875          0.000          1.346          1.506         21.525          0.196          0.214          0.221          0.230          0.244          0.256          0.272          0.285          0.292          0.297          6.026          6.426          6.359          5.757          5.032          4.632          0.363          0.485          0.178          0.039          0.006          0.000          4.053          4.057          0.000
           2000            108            118        847.600          4.702          1.312         77.128          0.000         34.503         40.277          3.080          0.000          1.396          1.649         24.637          0.188          0.208          0.216          0.227          0.243          0.255          0.272          0.285          0.292          0.297          5.856          6.131          6.089          5.590          4.961          4.549          0.334          0.462          0.171          0.037          0.006          0.000          4.045          4.094          0.000
           2000            109            119        869.450          4.818          1.400         81.847          0.000         36.391         43.108          3.177          0.000          1.438          1.703         26.080          0.183          0.205          0.214          0.225          0.242          0.254          0.272          0.285          0.292          0.297          5.839          6.050          5.982          5.515          4.926          4.509          0.302          0.436          0.162          0.036          0.006          0.000          3.952          3.951          0.000
           2000            110            120        891.350          4.938          1.484         86.477          0.000         38.243         45.886          3.283          0.000          1.478          1.770         27.514          0.177          0.202          0.211          0.224          0.241          0.254          0.272          0.285          0.292          0.297          5.820          5.961          5.869          5.437          4.890          4.466          0.269          0.410          0.154          0.034          0.006          0.000          3.865          3.856          0.000
           2000            111            121        907.350          5.000          1.602         93.136          0.000         40.906         49.881          3.469          0.000          1.548          1.886         29.900          0.179          0.197          0.208          0.221          0.240          0.253          0.271          0.285          0.292          0.297          5.704          5.776          5.683          5.318          4.834          4.400          0.248          0.387          0.146          0.032          0.006          0.000          3.785          3.781          0.000
           2000            112            122        920.550          5.532          1.669         97.047          0.000         42.471         52.228          3.482          0.000          1.548          1.898         30.741          0.188          0.195          0.206          0.220          0.240          0.253          0.271          0.285          0.292          0.297          5.707          5.786          5.652          5.290          4.820          4.385          0.242          0.369          0.140          0.031          0.006          0.000          3.645          3.634          0.000
           2000            113            123        935.050          5.946          1.796        104.861          0.000         45.597         56.917          3.491          0.000          1.548          1.907         32.812          0.189          0.192          0.203          0.218          0.239          0.252          0.271          0.285          0.292          0.297          5.625          5.715          5.564          5.230          4.795          4.359          0.242          0.356          0.135          0.030          0.005          0.000          3.396          3.351          0.000
           2000            114            124        949.500          6.000          1.788        110.627          0.000         46.079         60.006          3.516          0.000          1.496          1.957         35.101          0.176          0.188          0.200          0.216          0.238          0.251          0.271          0.285          0.292          0.297          5.579          5.647          5.488          5.179          4.775          4.343          0.233          0.344          0.131          0.029          0.005          0.000          3.246          3.262          0.000
           2000            115            125        965.250          6.123          1.861        117.887          0.000         48.275         63.896          3.557          0.000          1.479          1.979         37.117          0.165          0.184          0.197          0.214          0.237          0.250          0.270          0.285          0.292          0.297          5.553          5.580          5.417          5.132          4.756          4.327          0.217          0.332          0.126          0.028          0.005          0.000          3.063          3.097          0.000
           2000            116            126        980.950          6.191          1.800        122.395          0.000         47.310         66.311          3.595          0.000          1.412          2.026         38.938          0.160          0.180          0.194          0.212          0.236          0.250          0.270          0.284          0.292          0.297          5.531          5.506          5.342          5.083          4.734          4.307          0.200          0.319          0.121          0.027          0.005          0.000          2.985          3.056          0.000
           2000            117            127        998.150          6.266          1.699        125.675          0.000         45.202         68.069          3.631          0.000          1.338          2.077         40.584          0.155          0.177          0.191          0.210          0.235          0.249          0.270          0.284          0.292          0.296          5.518          5.452          5.282          5.041          4.716          4.290          0.188          0.302          0.115          0.025          0.005          0.000          2.960          3.052          0.000
           2000            118            128       1018.715          6.356          1.612        128.038          0.000         42.934         69.335          3.676          0.000          1.263          2.149         42.069          0.150          0.174          0.189          0.209          0.234          0.248          0.269          0.284          0.292          0.296          5.510          5.418          5.232          5.005          4.699          4.275          0.182          0.282          0.108          0.024          0.005          0.000          2.942          3.099          0.000
           2000            119            129       1038.715          6.442          1.680        131.973          0.000         44.524         71.443          3.713          0.000          1.282          2.165         43.258          0.149          0.172          0.187          0.207          0.234          0.247          0.269          0.284          0.292          0.296          5.507          5.399          5.196          4.977          4.686          4.264          0.179          0.262          0.101          0.023          0.004          0.000          2.879          3.031          0.000
           2000            120            130       1053.715          6.508          1.692        137.079          0.000         45.006         74.179          3.747          0.000          1.252          2.202         45.011          0.184          0.170          0.184          0.206          0.233          0.247          0.269          0.284          0.292          0.296          5.437          5.385          5.155          4.947          4.671          4.250          0.185          0.242          0.095          0.021          0.004          0.000          2.782          2.969          0.000
           2000            121            131       1068.565          6.572          1.688        142.181          0.000         45.234         76.913          3.768          0.000          1.209          2.233         46.535          0.172          0.167          0.183          0.205          0.232          0.246          0.268          0.284          0.292          0.296          5.393          5.364          5.117          4.919          4.657          4.237          0.178          0.226          0.088          0.020          0.004          0.000          2.672          2.904          0.000
           2000            122            132       1086.115          6.649          1.578        144.763          0.000         42.757         78.296          3.777          0.000          1.115          2.275         47.807          0.159          0.165          0.181          0.204          0.232          0.245          0.268          0.284          0.292          0.296          5.371          5.339          5.080          4.893          4.643          4.224          0.168          0.210          0.083          0.018          0.004          0.000          2.607          2.905          0.000
           2000            123            133       1105.665          6.734          1.465        146.636          0.000         40.013         79.300          3.808          0.000          1.040          2.327         48.924          0.152          0.163          0.179          0.203          0.231          0.245          0.268          0.284          0.291          0.296          5.356          5.315          5.048          4.869          4.631          4.211          0.164          0.196          0.077          0.017          0.004          0.000          2.600          2.934          0.000
           2000            124            134       1126.365          6.824          1.367        148.466          0.000         37.553         80.280          3.838          0.000          0.976          2.372         49.918          0.148          0.161          0.178          0.202          0.230          0.244          0.267          0.284          0.291          0.296          5.347          5.295          5.018          4.847          4.619          4.199          0.162          0.181          0.072          0.017          0.004          0.000          2.599          2.954          0.000
           2000            125            135       1148.415          6.919          1.324        150.682          0.000         36.160         81.467          3.865          0.000          0.941          2.397         50.798          0.144          0.160          0.176          0.201          0.230          0.243          0.267          0.284          0.291          0.296          5.344          5.274          4.990          4.826          4.607          4.188          0.162          0.171          0.068          0.016          0.003          0.000          2.603          2.942          0.000
           2000            126            136       1168.165          7.000          1.234        152.972          1.530         33.670         81.671          3.889          0.055          0.868          2.386         51.577          0.140          0.158          0.175          0.200          0.229          0.243          0.267          0.284          0.291          0.296          5.347          5.253          4.963          4.808          4.596          4.177          0.162          0.165          0.066          0.016          0.003          0.000          2.577          2.922          3.600
           2000            127            137       1184.065          7.043          1.137        154.752          3.095         31.000         81.456          3.910          0.111          0.793          2.374         52.304          0.136          0.157          0.174          0.199          0.229          0.242          0.267          0.284          0.291          0.296          5.351          5.231          4.939          4.790          4.586          4.166          0.162          0.160          0.064          0.015          0.003          0.000          2.559          2.915          3.600
           2000            128            138       1199.965          7.083          1.045        156.323          4.690         28.500         80.993          3.931          0.169          0.727          2.358         52.984          0.133          0.155          0.173          0.198          0.228          0.242          0.266          0.283          0.291          0.296          5.355          5.210          4.916          4.774          4.576          4.155          0.162          0.155          0.062          0.015          0.003          0.000          2.551          2.911          3.600
           2000            129            139       1218.165          7.128          0.964        158.078          6.323         26.293         80.666          3.950          0.228          0.668          2.337         53.619          0.130          0.154          0.172          0.198          0.228          0.241          0.266          0.283          0.291          0.296          5.359          5.189          4.894          4.759          4.566          4.145          0.162          0.150          0.060          0.015          0.003          0.000          2.539          2.897          3.600
           2000            130            140       1236.815          7.175          0.883        159.449          7.972         24.095         79.934          3.967          0.287          0.607          2.314         54.214          0.127          0.153          0.171          0.197          0.227          0.241          0.266          0.283          0.291          0.296          5.364          5.168          4.874          4.745          4.557          4.135          0.162          0.147          0.059          0.014          0.003          0.000          2.520          2.895          3.600
           2000            131            141       1253.815          7.217          0.806        160.442          9.627         21.990         78.818          3.984          0.347          0.551          2.290         54.770          0.124          0.152          0.170          0.196          0.227          0.240          0.266          0.283          0.291          0.296          5.368          5.148          4.855          4.733          4.549          4.125          0.162          0.144          0.058          0.014          0.003          0.000          2.504          2.905          3.600
           2000            132            142       1272.159          7.263          0.734        161.158         11.281         20.009         77.425          3.999          0.406          0.497          2.263         55.291          0.121          0.151          0.169          0.196          0.226          0.240          0.265          0.283          0.291          0.296          5.373          5.129          4.838          4.721          4.541          4.116          0.162          0.143          0.057          0.014          0.003          0.000          2.486          2.922          3.600
           2000            133            143       1290.627          7.309          0.667        161.789         12.943         18.198         75.936          4.014          0.466          0.449          2.233         55.779          0.118          0.150          0.169          0.196          0.226          0.239          0.265          0.283          0.291          0.296          5.379          5.111          4.822          4.710          4.533          4.107          0.162          0.144          0.057          0.014          0.003          0.000          2.467          2.940          3.600
           2000            134            144       1309.579          7.357          0.607        162.411         14.617         16.563         74.424          4.027          0.526          0.405          2.200         56.236          0.115          0.149          0.168          0.195          0.226          0.239          0.265          0.283          0.291          0.296          5.384          5.094          4.807          4.700          4.526          4.098          0.162          0.145          0.057          0.014          0.003          0.000          2.447          2.956          3.600
           2000            135            145       1330.512          7.409          0.554        163.048         16.305         15.097         72.909          4.039          0.587          0.366          2.164         56.665          0.113          0.148          0.167          0.195          0.225          0.238          0.265          0.283          0.291          0.296          5.390          5.078          4.793          4.691          4.519          4.089          0.162          0.148          0.058          0.014          0.003          0.000          2.424          2.968          3.600
           2000            136            146       1353.293          7.466          0.506        163.772         18.015         13.804         71.452          4.051          0.649          0.331          2.125         57.068          0.110          0.148          0.167          0.194          0.225          0.238          0.264          0.283          0.291          0.296          5.396          5.063          4.781          4.682          4.512          4.081          0.162          0.150          0.058          0.014          0.003          0.000          2.398          2.973          3.600
           2000            137            147       1375.939          7.522          0.463        164.476         19.737         12.638         69.961          4.062          0.711          0.299          2.083         57.445          0.107          0.147          0.166          0.194          0.225          0.238          0.264          0.283          0.291          0.296          5.403          5.049          4.769          4.674          4.506          4.073          0.162          0.152          0.059          0.014          0.003          0.000          2.366          2.977          3.600
           2000            138            148       1398.289          7.578          0.427        165.355         21.496         11.660         68.597          4.072          0.774          0.272          2.038         57.800          0.105          0.146          0.166          0.194          0.224          0.237          0.264          0.283          0.291          0.295          5.409          5.036          4.759          4.667          4.500          4.065          0.162          0.154          0.059          0.014          0.003          0.000          2.329          2.971          3.600
           2000            139            149       1419.089          7.630          0.392        165.940         23.232         10.680         66.969          4.081          0.836          0.244          1.993         58.134          0.102          0.146          0.165          0.193          0.224          0.237          0.264          0.282          0.291          0.295          5.416          5.023          4.749          4.660          4.494          4.057          0.162          0.155          0.059          0.014          0.003          0.000          2.283          2.975          3.600
           2000            140            150       1441.474          7.686          0.358        166.447         24.967          9.756         65.264          4.091          0.899          0.217          1.946         58.447          0.100          0.145          0.165          0.193          0.224          0.236          0.263          0.282          0.291          0.295          5.423          5.011          4.740          4.654          4.489          4.049          0.162          0.155          0.059          0.014          0.003          0.000          2.226          2.982          3.600
           2000            141            151       1461.974          7.738          0.327        166.966         26.715          8.921         65.174          4.102          0.962          0.193          1.898         58.742          0.098          0.145          0.165          0.193          0.224          0.236          0.263          0.282          0.290          0.295          5.430          4.999          4.731          4.648          4.483          4.041          0.162          0.156          0.059          0.014          0.003          0.000          2.169          2.912          3.600
           2000            142            152       1483.798          7.792          0.299        167.446         28.460          8.158         65.174          4.109          1.025          0.176          1.849         59.020          0.095          0.144          0.164          0.193          0.223          0.236          0.263          0.282          0.290          0.295          5.438          4.988          4.723          4.642          4.479          4.034          0.162          0.156          0.059          0.014          0.003          0.000          2.153          2.837          3.600
           2000            143            153       1503.499          7.841          0.273        167.809         29.122          7.437         65.174          4.116          1.048          0.163          1.833         59.281          0.093          0.144          0.164          0.192          0.223          0.235          0.263          0.282          0.290          0.295          5.445          4.977          4.716          4.637          4.474          4.027          0.162          0.157          0.059          0.014          0.003          0.000          2.191          2.813          3.600
           2000            144            154       1524.503          7.894          0.249        168.204         29.574          6.798         65.174          4.123          1.065          0.153          1.824         59.527          0.091          0.143          0.164          0.192          0.223          0.235          0.263          0.282          0.290          0.295          5.453          4.967          4.709          4.633          4.469          4.020          0.162          0.158          0.059          0.014          0.003          0.000          2.245          2.798          3.600
           2000            145            155       1545.803          7.947          0.229        168.684         30.048          6.245         65.174          4.129          1.082          0.144          1.813         59.760          0.089          0.143          0.163          0.192          0.223          0.235          0.262          0.282          0.290          0.295          5.461          4.958          4.703          4.629          4.465          4.013          0.162          0.158          0.059          0.014          0.003          0.000          2.300          2.782          3.600
           2000            146            156       1567.753          8.000          0.211        169.189         30.502          5.752         65.174          4.135          1.098          0.135          1.803         59.978          0.087          0.143          0.163          0.192          0.222          0.234          0.262          0.282          0.290          0.295          5.470          4.948          4.698          4.625          4.461          4.007          0.162          0.159          0.059          0.014          0.003          0.000          2.344          2.767          3.600
           2000            147            157       1587.253          8.338          0.194        169.635         30.950          5.295         65.174          4.140          1.114          0.126          1.793         60.185          0.085          0.142          0.163          0.192          0.222          0.234          0.262          0.282          0.290          0.295          5.478          4.939          4.692          4.621          4.457          4.001          0.162          0.159          0.059          0.014          0.003          0.000          2.387          2.752          3.600
           2000            148            158       1608.503          8.693          0.178        169.998         31.338          4.858         65.174          4.145          1.128          0.118          1.785         60.380          0.083          0.142          0.163          0.192          0.222          0.234          0.262          0.282          0.290          0.295          5.487          4.931          4.688          4.617          4.454          3.995          0.162          0.159          0.059          0.014          0.003          0.000          2.433          2.739          3.600
           2000            149            159       1630.844          9.000          0.163        170.299         31.338          4.449         65.475          4.150          1.128          0.113          1.789         60.564          0.081          0.142          0.163          0.192          0.222          0.234          0.262          0.282          0.290          0.295          5.496          4.922          4.683          4.614          4.450          3.989          0.162          0.159          0.059          0.014          0.003          0.000          2.538          2.732          3.600
           2000            150            160       1653.318          9.659          0.148        170.472         31.338          4.049         65.647          4.150          1.128          0.103          1.793         60.737          0.080          0.141          0.162          0.191          0.222          0.233          0.261          0.281          0.290          0.295          5.505          4.918          4.685          4.614          4.449          3.990          0.162          0.159          0.059          0.014          0.003          0.000          2.538          2.732          3.600
           2000            151              0       1674.117          0.000          0.005          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000         60.902          0.080          0.141          0.162          0.191          0.222          0.233          0.261          0.281          0.290          0.295          5.514          4.914          4.687          4.614          4.447          3.991          0.162          0.159          0.059          0.014          0.003          0.000          0.000          0.000          0.000
           2000            152              0          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.080          0.141          0.162          0.191          0.222          0.233          0.261          0.281          0.290          0.295          5.523          4.909          4.688          4.614          4.446          3.992          0.162          0.159          0.059          0.014          0.003          0.000          0.000          0.000          0.000
           2000            153              0          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.080          0.141          0.162          0.191          0.221          0.233          0.261          0.281          0.290          0.295          5.532          4.904          4.690          4.614          4.444          3.992          0.162          0.160          0.059          0.014          0.003          0.000          0.000          0.000          0.000
