Summary_file = canopy.sum
Title = Canopy Sample Simulation
       day      year       sw_dep()      lai_maize     biom_maize     lai_cowpea    biom_cowpea
     (day)    (year)           (mm)      (m^2/m^2)        (kg/ha)      (m^2/m^2)        (kg/ha)
         1      1988        720.433          0.000          0.000          0.000          0.000
         2      1988        720.268          0.000          0.000          0.000          0.000
         3      1988        720.105          0.000          0.000          0.000          0.000
         4      1988        746.655          0.000          0.000          0.000          0.000
         5      1988        744.691          0.000          0.000          0.000          0.000
         6      1988        743.677          0.000          0.000          0.000          0.000
         7      1988        742.892          0.000          0.000          0.000          0.000
         8      1988        742.228          0.000          0.000          0.000          0.000
         9      1988        741.641          0.000          0.000          0.000          0.000
        10      1988        741.111          0.000          0.000          0.000          0.000
        11      1988        740.622          0.000          0.000          0.000          0.000
        12      1988        740.167          0.004          2.000          0.000          0.000
        13      1988        739.730          0.004          2.563          0.000          0.000
        14      1988        739.310          0.005          3.288          0.000          0.000
        15      1988        738.908          0.006          4.106          0.000          0.000
        16      1988        747.934          0.007          4.665          0.020          7.500
        17      1988        751.393          0.008          5.679          0.024          9.836
        18      1988        749.612          0.010          7.146          0.030         13.167
        19      1988        748.511          0.013          8.500          0.036         16.315
        20      1988        779.221          0.016         10.146          0.043         19.963
        21      1988        777.026          0.020         12.696          0.053         25.362
        22      1988        777.022          0.024         15.117          0.062         30.450
        23      1988        775.704          0.030         18.251          0.073         36.793
        24      1988        774.338          0.038         22.945          0.090         45.933
        25      1988        773.178          0.047         28.424          0.109         56.425
        26      1988        772.090          0.056         35.124          0.132         69.173
        27      1988        770.852          0.065         43.262          0.161         84.934
        28      1988        769.590          0.077         51.946          0.193        102.525
        29      1988        768.440          0.092         61.786          0.230        123.011
        30      1988        766.611          0.109         74.361          0.278        149.511
        31      1988        768.887          0.130         86.007          0.325        175.037
        32      1988        766.463          0.155        101.805          0.387        209.319
        33      1988        764.435          0.184        119.050          0.457        247.377
        34      1988        762.829          0.213        135.020          0.522        283.224
        35      1988        760.084          0.243        159.484          0.622        338.642
        36      1988        756.237          0.278        187.617          0.739        407.040
        37      1988        751.479          0.320        216.863          0.862        483.567
        38      1988        750.430          0.364        234.751          0.938        532.870
        39      1988        784.899          0.402        261.437          1.043        603.783
        40      1988        778.135          0.448        298.022          1.193        706.886
        41      1988        770.408          0.503        335.889          1.356        821.504
        42      1988        763.691          0.569        372.897          1.523        940.964
        43      1988        756.163          0.649        412.078          1.706       1073.760
        44      1988        800.228          0.706        441.712          1.847       1178.696
        45      1988        821.545          0.761        472.438          1.997       1292.262
        46      1988        818.620          0.822        508.346          2.179       1432.174
        47      1988        811.860          0.880        544.724          2.377       1584.153
        48      1988        805.331          0.929        579.482          2.582       1741.858
        49      1988        799.009          0.967        608.198          2.768       1884.755
        50      1988        789.384          1.010        642.073          3.007       2068.708
        51      1988        776.012          1.048        675.349          3.270       2271.246
        52      1988        767.627          1.076        702.235          3.512       2457.193
        53      1988        758.337          1.100        727.554          3.768       2654.484
        54      1988        747.440          1.121        751.970          4.049       2870.453
        55      1988        736.879          1.137        772.612          4.320       3080.231
        56      1988        732.690          1.143        783.338          4.471       3204.919
        57      1988        730.731          1.141        790.304          4.543       3292.577
        58      1988        727.109          1.141        801.251          4.669       3436.525
        59      1988        721.835          1.140        812.767          4.808       3599.172
        60      1988        730.727          1.136        817.618          4.852       3673.352
        61      1988        748.433          1.133        824.769          4.933       3786.614
        62      1988        752.402          1.130        830.308          4.990       3879.125
        63      1988        752.819          1.127        840.678          5.133       4059.864
        64      1988        744.598          1.125        851.390          5.292       4263.288
        65      1988        739.154          1.120        859.512          5.328       4433.067
        66      1988        760.699          1.114        867.727          5.364       4611.342
        67      1988        752.982          1.106        877.204          5.425       4825.165
        68      1988        745.398          1.098        885.971          5.467       5033.902
        69      1988        736.232          1.088        894.797          5.461       5254.008
        70      1988        725.530          1.072        903.623          5.409       5482.938
        71      1988        710.961          1.055        912.568          5.337       5723.049
        72      1988        706.431          1.042        919.771          5.256       5922.775
        73      1988        698.050          1.031        928.184          4.523       6114.427
        74      1988        689.284          1.019        937.127          4.557       6313.205
        75      1988        680.340          1.006        945.228          4.590       6520.040
        76      1988        673.560          0.990        952.655          4.605       6716.124
        77      1988        666.658          0.970        960.090          4.617       6917.806
        78      1988        659.502          0.950        967.366          4.613       7121.188
        79      1988        652.822          0.930        974.332          4.480       7320.847
        80      1988        645.961          0.910        981.225          4.334       7517.039
        81      1988        639.744          0.889        988.047          4.173       7708.863
        82      1988        632.620          0.869        994.990          4.013       7900.484
        83      1988        626.387          0.847       1001.827          3.840       8085.693
        84      1988        619.866          0.826       1008.645          3.675       8266.353
        85      1988        618.202          0.806       1014.232          3.511       8411.323
        86      1988        611.700          0.786       1021.271          3.367       8580.951
        87      1988        605.561          0.767       1028.171          3.219       8749.226
        88      1988        598.683          0.749       1035.306          3.064       8923.064
        89      1988        591.759          0.731       1042.456          2.900       9092.746
        90      1988        585.606          0.711       1049.411          2.724       9158.280
        91      1988        585.339          0.696       1052.613          2.599       9182.313
        92      1988        621.020          0.677       1056.309          2.418       9219.786
        93      1988        638.375          0.656       1060.324          0.000       9219.786
        94      1988        656.759          0.637       1064.884          0.000          0.000
        95      1988        683.703          0.618       1106.057          0.000          0.000
        96      1988        688.997          0.602       1130.614          0.000          0.000
        97      1988        711.290          0.581       1174.574          0.000          0.000
        98      1988        708.870          0.562       1215.371          0.000          0.000
        99      1988        712.353          0.545       1245.033          0.000          0.000
       100      1988        711.058          0.531       1275.461          0.000          0.000
       101      1988        709.114          0.519       1311.324          0.000          0.000
       102      1988        733.658          0.510       1326.131          0.000          0.000
       103      1988        753.114          0.497       1355.716          0.000          0.000
       104      1988        752.794          0.483       1387.848          0.000          0.000
       105      1988        750.209          0.469       1428.405          0.000          0.000
       106      1988        748.122          0.455       1468.348          0.000          0.000
       107      1988        745.922          0.442       1505.659          0.000          0.000
       108      1988        744.594          0.430       1537.713          0.000          0.000
       109      1988        743.455          0.419       1570.512          0.000          0.000
       110      1988        744.636          0.409       1591.839          0.000          0.000
       111      1988        743.481          0.398       1611.939          0.000          0.000
       112      1988        741.949          0.387       1644.344          0.000          0.000
       113      1988        740.885          0.376       1673.203          0.000          0.000
       114      1988        739.759          0.364       1705.676          0.000          0.000
       115      1988        738.865          0.352       1731.384          0.000          0.000
       116      1988        737.943          0.341       1760.879          0.000          0.000
       117      1988        737.063          0.330       1789.477          0.000          0.000
       118      1988        736.172          0.319       1816.690          0.000          0.000
       119      1988        735.655          0.309       1831.627          0.000          0.000
       120      1988        739.762          0.300       1844.498          0.000          0.000
       121      1988        738.023          0.288       1864.895          0.000          0.000
       122      1988        736.012          0.279       1884.263          0.000          0.000
       123      1988        735.442          0.270       1900.577          0.000          0.000
       124      1988        734.759          0.262       1920.930          0.000          0.000
       125      1988        734.034          0.253       1941.885          0.000          0.000
       126      1988        733.270          0.245       1963.318          0.000          0.000
       127      1988        732.590          0.238       1983.192          0.000          0.000
       128      1988        731.892          0.230       2002.972          0.000          0.000
       129      1988        731.304          0.223       2021.591          0.000          0.000
       130      1988        730.724          0.216       2039.840          0.000          0.000
       131      1988        730.179          0.211       2057.634          0.000          0.000
       132      1988        729.642          0.205       2073.943          0.000          0.000
       133      1988        729.097          0.199       2090.905          0.000          0.000
       134      1988        728.605          0.193       2106.570          0.000          0.000
       135      1988        728.099          0.189       2121.373          0.000          0.000
       136      1988        727.655          0.184       2135.114          0.000          0.000
       137      1988        727.181          0.178       2148.332          0.000          0.000
       138      1988        726.873          0.173       2155.209          0.000          0.000
       139      1988        748.308          0.169       2164.329          0.000          0.000
       140      1988        746.505          0.165       2175.865          0.000          0.000
       141      1988        745.254          0.161       2182.919          0.000          0.000
       142      1988        744.489          0.158       2189.371          0.000          0.000
       143      1988        742.909          0.155       2197.792          0.000          0.000
       144      1988        741.407          0.150       2208.496          0.000          0.000
       145      1988        740.566          0.146       2217.996          0.000          0.000
       146      1988        739.830          0.143       2224.627          0.000          0.000
       147      1988        739.106          0.139       2234.877          0.000          0.000
       148      1988        738.450          0.134       2244.919          0.000          0.000
       149      1988        737.888          0.131       2252.380          0.000          0.000
       150      1988        737.366          0.127       2259.440          0.000          0.000
       151      1988        736.866          0.125       2264.961          0.000          0.000
       152      1988        736.368          0.123       2272.012          0.000          0.000
       153      1988        735.940          0.121       2278.235          0.000          0.000
       154      1988        735.515          0.118       2285.115          0.000          0.000
       155      1988        735.085          0.115       2291.713          0.000          0.000
       156      1988        734.733          0.113       2294.872          0.000          0.000
       157      1988        754.913          0.109       2299.282          0.000          0.000
       158      1988        756.706          0.107       2304.874          0.000          0.000
       159      1988        755.160          0.104       2310.544          0.000          0.000
       160      1988        753.672          0.103       2314.224          0.000          0.000
       161      1988        752.126          0.101       2319.021          0.000          0.000
       162      1988        750.504          0.098       2326.058          0.000          0.000
       163      1988        749.242          0.096       2330.438          0.000          0.000
       164      1988        748.553          0.095       2332.483          0.000          0.000
       165      1988        747.929          0.080       2335.042          0.000          0.000
       166      1988        747.356          0.072       2337.790          0.000          0.000
       167      1988        746.813          0.069       2340.960          0.000          0.000
       168      1988        746.327          0.069       2344.156          0.000          0.000
       169      1988        745.858          0.069       2347.350          0.000          0.000
       170      1988        745.409          0.069       2351.622          0.000          0.000
       171      1988        745.023          0.004       2351.622          0.000          0.000
       172      1988        744.655          0.000          0.000          0.000          0.000
       173      1988        744.301          0.000          0.000          0.000          0.000
       174      1988        743.961          0.000          0.000          0.000          0.000
       175      1988        743.632          0.000          0.000          0.000          0.000
       176      1988        743.315          0.000          0.000          0.000          0.000
       177      1988        743.007          0.000          0.000          0.000          0.000
       178      1988        742.708          0.000          0.000          0.000          0.000
       179      1988        742.418          0.000          0.000          0.000          0.000
       180      1988        742.135          0.000          0.000          0.000          0.000
       181      1988        741.859          0.000          0.000          0.000          0.000
       182      1988        741.589          0.000          0.000          0.000          0.000
       183      1988        741.325          0.000          0.000          0.000          0.000
       184      1988        741.068          0.000          0.000          0.000          0.000
       185      1988        740.815          0.000          0.000          0.000          0.000
       186      1988        740.629          0.000          0.000          0.000          0.000
       187      1988        761.482          0.000          0.000          0.000          0.000
       188      1988        778.634          0.000          0.000          0.000          0.000
       189      1988        776.647          0.000          0.000          0.000          0.000
       190      1988        774.666          0.000          0.000          0.000          0.000
       191      1988        773.650          0.000          0.000          0.000          0.000
       192      1988        772.865          0.000          0.000          0.000          0.000
       193      1988        784.174          0.000          0.000          0.000          0.000
       194      1988        783.350          0.000          0.000          0.000          0.000
       195      1988        781.143          0.000          0.000          0.000          0.000
       196      1988        778.950          0.000          0.000          0.000          0.000
       197      1988        777.915          0.000          0.000          0.000          0.000
       198      1988        777.112          0.000          0.000          0.000          0.000
       199      1988        776.424          0.000          0.000          0.000          0.000
       200      1988        775.807          0.000          0.000          0.000          0.000
       201      1988        775.234          0.000          0.000          0.000          0.000
       202      1988        774.693          0.000          0.000          0.000          0.000
       203      1988        774.174          0.000          0.000          0.000          0.000
       204      1988        780.567          0.000          0.000          0.000          0.000
       205      1988        777.854          0.000          0.000          0.000          0.000
