Summary_file=sample.sum
Title =
    day           scon             rr
  (day)           (/h)           (cm)
      1          3.839          3.839
      2          3.742          3.742
      3          3.594          3.594
      4          3.374          3.374
      5          3.067          3.067
      6          2.669          2.669
      7          2.201          2.201
      8          1.710          1.710
      9          1.254          1.254
     10          3.839          3.839
     11          3.742          3.742
     12          3.594          3.594
     13          3.374          3.374
     14          3.067          3.067
     15          2.669          2.669
     16          2.201          2.201
     17          1.710          1.710
     18          1.254          1.254
     19          0.875          0.875
     20          3.839          3.839
     21          3.742          3.742
     22          3.594          3.594
     23          3.374          3.374
     24          3.067          3.067
     25          2.669          2.669
     26          2.201          2.201
     27          1.710          1.710
     28          1.254          1.254
     29          0.875          0.875
     30          0.588          0.588
     31          0.386          0.386
