ApsimVersion = 6.0
Title = Grass growth.
           year            day      sw_dep(1)      sw_dep(2)      sw_dep(3)      sw_dep(4)      sw_dep(5)      sw_dep(6)      sw_dep(7)            eos             es  soilwat_cover     green_pool      dead_pool  growth_transp   growth_photo growth_regrowth         growth          death        n_index      rad_index       sw_index     temp_index   growth_index     basal_area      cover_tot   surfaceom_wt surfaceom_cover
         (year)          (day)           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)             ()        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)         (kg/ha)        (kg/ha)        (kg/ha)             ()             ()             ()             ()             ()       (m^2/ha)             ()        (kg/ha)       (m^2/m^2)
           1988              1         42.861         56.610        126.100        127.678        121.186        122.998        123.000          4.592          0.366          0.330            1.4            0.0            0.0            0.0             1.4            1.4            0.0          1.000          0.901          1.000          1.000          0.901          0.500          0.001         1852.3           0.310
           1988              2         44.272         57.206        124.138        126.563        122.082        123.000        123.000          5.503          0.165          0.310            1.3            0.0            0.0            0.0             0.0            0.0            0.0          0.000          0.927          1.000          1.000          0.927          0.500          0.001         1763.8           0.297
           1988              3         45.984         57.123        122.606        125.625        122.750        123.000        123.000          5.478          0.164          0.298            2.7            0.0            0.0            0.3             1.4            1.4            0.0          1.000          0.930          1.000          1.000          0.930          0.500          0.002         1725.2           0.292
           1988              4         66.268         64.376        124.143        125.140        123.274        123.000        123.000          4.296          4.178          0.293            4.1            0.0            0.1            0.4             1.3            1.3            0.0          1.000          0.882          1.000          1.000          0.882          0.500          0.003         1562.0           0.268
           1988              5         64.225         63.682        124.907        124.907        123.703        123.000        123.000          3.766          3.766          0.270            5.3            0.0            0.1            0.6             1.2            1.2            0.0          1.000          0.852          1.000          0.970          0.826          0.500          0.004         1427.2           0.248
           1988              6         63.097         63.039        125.174        124.802        124.066        123.000        123.000          5.045          1.223          0.251            6.6            0.0            0.1            0.9             1.3            1.3            0.0          1.000          0.921          1.000          0.940          0.865          0.500          0.005         1338.2           0.235
           1988              7         62.381         62.585        125.179        124.761        124.378        123.000        123.000          4.987          0.868          0.238            7.8            0.0            0.2            1.1             1.3            1.3            0.0          1.000          0.918          1.000          0.910          0.836          0.500          0.005         1286.3           0.227
           1988              8         61.865         62.230        125.043        124.749        124.649        123.000        123.000          5.753          0.712          0.231            9.2            0.1            0.2            1.6             1.4            1.4            0.0          1.000          0.940          1.000          1.000          0.940          0.500          0.006         1271.3           0.225
           1988              9         61.469         61.935        124.835        124.746        124.887        123.000        123.000          6.171          0.618          0.229           10.6            0.1            0.2            2.0             1.4            1.4            0.0          1.000          0.946          1.000          1.000          0.946          0.500          0.007         1271.3           0.225
           1988             10         61.152         61.684        124.592        124.743        125.094        123.000        123.000          6.176          0.554          0.230           12.0            0.1            0.2            2.3             1.4            1.4            0.0          1.000          0.943          1.000          1.000          0.943          0.500          0.008         1271.3           0.225
           1988             11         60.891         61.465        124.339        124.735        125.275        123.000        123.000          5.361          0.506          0.231           13.4            0.1            0.3            2.3             1.4            1.4            0.0          1.000          0.922          1.000          1.000          0.922          0.500          0.009         1271.3           0.225
           1988             12         60.668         61.272        124.089        124.721        125.431        123.000        123.000          4.989          0.469          0.232           14.7            0.1            0.4            2.4             1.4            1.4            0.0          1.000          0.913          1.000          1.000          0.913          0.500          0.010         1271.3           0.225
           1988             13         60.472         61.095        123.842        124.700        125.565        123.000        123.000          5.501          0.439          0.232           16.1            0.2            0.4            3.0             1.4            1.4            0.0          1.000          0.934          1.000          1.000          0.934          0.500          0.011         1271.3           0.225
           1988             14         60.295         60.933        123.605        124.672        125.679        123.000        123.000          5.725          0.414          0.233           17.4            0.2            0.4            3.2             1.3            1.3            0.0          1.000          0.943          1.000          0.930          0.877          0.500          0.012         1271.3           0.225
           1988             15         60.136         60.785        123.379        124.638        125.775        123.000        123.000          5.424          0.393          0.234           18.6            0.2            0.4            3.3             1.3            1.3            0.0          1.000          0.934          1.000          0.940          0.878          0.500          0.013         1271.3           0.225
           1988             16         65.487         63.906        124.392        124.735        125.870        123.000        123.000          3.270          3.270          0.234           19.7            0.3            0.5            2.0             1.1            1.1            0.0          1.000          0.813          1.000          0.870          0.708          0.500          0.014         1151.1           0.206
           1988             17         66.661         65.189        125.587        124.953        125.981        123.000        123.000          5.553          4.932          0.216           21.0            0.3            0.3            3.8             1.4            1.4            0.0          1.000          0.926          1.000          1.000          0.926          0.500          0.014         1042.2           0.188
           1988             18         64.804         64.300        126.110        125.301        126.000        123.000        123.000          7.379          1.736          0.200           22.4            0.4            0.4            4.8             1.4            1.4            0.0          1.000          0.953          1.000          1.000          0.953          0.500          0.015          979.9           0.178
           1988             19         63.803         63.693        126.294        125.647        126.000        123.000        123.000          5.076          1.988          0.191           23.7            0.4            0.5            3.9             1.4            1.4            0.0          1.000          0.902          1.000          1.000          0.902          0.500          0.016          940.3           0.171
           1988             20         68.967         74.823        141.377        129.660        126.000        123.000        123.000          4.843          4.506          0.185           25.0            0.5            0.4            4.0             1.3            1.3            0.0          1.000          0.896          1.000          1.000          0.896          0.500          0.017          851.4           0.157
           1988             21         67.463         72.954        140.252        131.991        126.000        123.000        123.000          6.339          2.045          0.171           26.4            0.5            0.5            5.2             1.4            1.4            0.1          1.000          0.941          1.000          1.000          0.941          0.500          0.018          796.3           0.147
           1988             22         67.471         72.329        139.995        132.990        126.199        123.040        123.008          4.732          4.732          0.163           27.6            0.6            0.5            4.2             1.3            1.3            0.1          1.000          0.887          1.000          1.000          0.887          0.500          0.019          721.0           0.134
           1988             23         67.468         70.400        139.520        133.694        126.500        123.132        123.033          5.022          1.171          0.151           28.9            0.6            0.7            4.7             1.4            1.4            0.1          1.000          0.901          1.000          1.000          0.901          0.500          0.020          669.9           0.125
