ApsimVersion = 6.1
Title = populneaW60
           Date            day            lai        stem_wt        leaf_wt             fw             fn           rain     irrigation             es          sw(1)          sw(2)          sw(3)          sw(4)          sw(5)          sw(6)          sw(7)          sw(8)          sw(9)         sw(10)         sw(11)         sw(12)       sw_dep()             ft      plantleaf      plantstem        plantla   plantbiomass           swsi         plants           slai          no3()          nh4()     root_depth         rlv(1)         rlv(2)         rlv(3)         rlv(4)         rlv(5)         rlv(6)         rlv(7)         rlv(8)         rlv(9)        rlv(10)        rlv(11)        rlv(12)             ep             eo            rtr          sw150           petr           peta          ffasw         height       ftcanopy      sw_demand      sw_supply         runoff     cum_stress            esw       fwcanopy             ga        biomass           fvpd
             ()          (day)        (m2/m2)        (kg/ha)        (kg/ha)          (0-1)          (0-1)           (mm)           (mm)           (mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)           (mm)          (0-1)            (?)            (?)            (?)            (?)            (?)          (/ha)        (m2/m2)        (kg/ha)        (kg/ha)             ()       (mm/mm3)       (mm/mm3)       (mm/mm3)       (mm/mm3)       (mm/mm3)       (mm/mm3)       (mm/mm3)       (mm/mm3)       (mm/mm3)       (mm/mm3)       (mm/mm3)       (mm/mm3)           (mm)           (mm)            (?)            (?)             ()             ()          (0-1)           (mm)          (0-1)           (mm)           (mm)           (mm)            (d)           (mm)          (0-1)             ()        (kg/ha)          (0-1)
     21/08/1898            233          0.122          123.1          197.5          0.000          1.000          0.000          0.000          0.000          0.190          0.320          0.380          0.300          0.250          0.280          0.300          0.300          0.300          0.302          0.398          0.400       1289.500          1.000          0.000          0.000          0.000          0.000          0.000      53499.824          0.001          292.9           53.1        301.074          0.019          0.010          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          3.401          0.000          0.000          0.005          0.108          1.000        361.815          0.675          0.113          0.000          0.000         81.439        100.000          0.000          0.039          328.3          1.000
     21/08/1899            233          0.389          264.2          626.9          0.128          1.000          2.300          0.000          0.443          0.198          0.327          0.380          0.300          0.250          0.280          0.300          0.300          0.300          0.302          0.398          0.400       1291.788          1.000          0.000          0.000          0.000          0.000          0.000      62499.273          0.002          293.0           56.9        302.069          0.045          0.035          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.040          3.539          0.000          0.000          0.042          0.272          1.000        414.251          0.675          0.314          0.040          0.000         12.726        102.288          0.000          0.041          894.6          1.000
     21/08/1900            233          0.604          378.4          974.5          0.860          1.000          0.000          0.000          1.155          0.316          0.361          0.380          0.300          0.252          0.280          0.300          0.300          0.300          0.302          0.398          0.400       1315.226          1.000          0.000          0.000          0.000          0.000          0.000      62498.512          0.001          269.2           60.4        319.344          0.053          0.051          0.003          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.414          3.557          0.000          0.000          0.083          0.399          1.000        443.514          0.275          0.482          0.414          0.000          0.910        125.726          0.000          0.043         1354.0          1.000
     21/08/1901            233          0.934          576.7         1506.0          1.000          0.989          0.000          0.000          1.949          0.483          0.457          0.417          0.302          0.252          0.280          0.300          0.300          0.300          0.302          0.398          0.400       1366.411          1.000          0.000          0.000          0.000          0.000          0.000      62496.547          0.000          256.8           64.3        678.599          0.028          0.032          0.034          0.002          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.707          3.651          0.000          0.000          0.184          0.523          1.000        478.878          0.975          0.707          1.538          0.000          0.497        176.911          1.000          0.044         2083.2          1.000
     21/08/1902            233          0.111          110.8          178.9          0.000          1.000          5.300          0.000          0.100          0.190          0.320          0.380          0.300          0.250          0.280          0.300          0.300          0.300          0.302          0.398          0.400       1289.500          1.000          0.000          0.000          0.000          0.000          0.000      48299.863          0.001          308.2           65.8        300.327          0.019          0.007          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          3.725          0.000          0.000          0.005          0.102          1.000        356.903          0.800          0.107          0.000          0.000         86.053        100.000          0.000          0.039          300.6          1.000
     21/08/1903            233          0.873          539.3         1408.2          1.000          0.995          0.000          0.000          1.332          0.433          0.501          0.397          0.301          0.252          0.280          0.300          0.300          0.300          0.302          0.398          0.400       1359.099          1.000          0.000          0.000          0.000          0.000          0.000      62496.980          0.000          296.2           69.9        639.601          0.035          0.044          0.020          0.001          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.510          2.426          0.000          0.000          0.092          0.418          1.000        473.687          0.675          0.510          1.302          0.000          0.000        169.599          1.000          0.044         1947.9          1.000
     21/08/1904            234          0.817          505.5         1317.8          1.000          0.997          0.000          0.000          0.581          0.343          0.443          0.417          0.303          0.252          0.280          0.300          0.300          0.300          0.302          0.398          0.400       1343.649          1.000          0.000          0.000          0.000          0.000          0.000      62497.348          0.000          300.3           84.5        733.955          0.023          0.028          0.030          0.003          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.792          3.681          0.000          0.000          0.152          0.640          1.000        468.122          0.400          0.792          1.191          0.000          0.679        154.149          0.504          0.043         1823.7          1.000
     21/08/1905            233          0.618          419.5          996.0          0.184          1.000          0.000          0.000          0.366          0.195          0.356          0.380          0.301          0.252          0.280          0.300          0.300          0.300          0.302          0.398          0.400       1296.651          1.000          0.000          0.000          0.000          0.000          0.000      62498.172          0.003          317.3           85.1        645.496          0.038          0.041          0.015          0.001          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.129          3.837          0.000          0.000          0.110          0.588          1.000        452.280          0.800          0.699          0.129          0.000         14.744        107.151          0.000          0.043         1420.7          1.000
     21/08/1906            233          0.569          395.7          917.2          0.852          1.000          0.000          0.000          2.432          0.324          0.340          0.380          0.301          0.252          0.280          0.300          0.300          0.300          0.302          0.398          0.400       1313.517          1.000          0.000          0.000          0.000          0.000          0.000      62498.375          0.001          315.3           86.9        654.209          0.046          0.034          0.013          0.001          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.370          3.736          0.000          0.000          0.087          0.347          1.000        447.300          0.700          0.434          0.370          0.000         18.517        124.017          0.000          0.043         1314.0          1.000
     21/08/1907            233          0.540          351.6          871.2          0.469          1.000          0.000          0.000          0.548          0.258          0.347          0.380          0.300          0.251          0.280          0.300          0.300          0.300          0.302          0.398          0.400       1304.254          1.000          0.000          0.000          0.000          0.000          0.000      62498.715          0.002          324.7           88.8        313.277          0.054          0.051          0.002          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.239          3.836          0.000          0.000          0.086          0.424          1.000        437.370          0.800          0.510          0.239          0.000          7.332        114.754          0.000          0.042         1225.9          1.000
