"Change in Total Rainfall (mm) , in AUSTRALIA for the year 2030, Sep"
"Model: GFDL CM2.1. Emission Scenario: SRES marker scenario A1FI, Climate Sensitivity: high"
"Created on 2/14/2008 4:13:09 PM using OzClim OzClimWebService Date: 2007-10-19 14:21:20 +1000 (Fri, 19 Oct 2007) Revision: 865 "
"www.csiro.au/ozclim"
"latitude","longitude","value"
       -10,       112,-9999.0
       -10,    112.25,-9999.0
       -10,     112.5,-9999.0
       -10,    112.75,-9999.0
       -10,       113,-9999.0
       -10,    113.25,-9999.0
       -10,     113.5,-9999.0
       -10,    113.75,-9999.0
       -10,       114,-9999.0
       -10,    114.25,-9999.0
       -10,     114.5,-9999.0
       -10,    114.75,-9999.0
       -10,       115,-9999.0
       -10,    115.25,-9999.0
       -10,     115.5,-9999.0
       -10,    115.75,-9999.0
       -10,       116,-9999.0
       -10,    116.25,-9999.0
       -10,     116.5,-9999.0
       -10,    116.75,-9999.0
       -10,       117,-9999.0
       -10,    117.25,-9999.0
       -10,     117.5,-9999.0
       -10,    117.75,-9999.0
       -10,       118,-9999.0
       -10,    118.25,-9999.0
       -10,     118.5,-9999.0
       -10,    118.75,-9999.0
       -10,       119,-9999.0
       -10,    119.25,-9999.0
       -10,     119.5,-9999.0
       -10,    119.75,-9999.0
       -10,       120,-9999.0
       -10,    120.25,-9999.0
       -10,     120.5,-9999.0
       -10,    120.75,-9999.0
       -10,       121,-9999.0
       -10,    121.25,-9999.0
       -10,     121.5,-9999.0
       -10,    121.75,-9999.0
       -10,       122,-9999.0
       -10,    122.25,-9999.0
       -10,     122.5,-9999.0
       -10,    122.75,-9999.0
       -10,       123,-9999.0
       -10,    123.25,-9999.0
       -10,     123.5,-9999.0
       -10,    123.75,-9999.0
       -10,       124,-9999.0
       -10,    124.25,-9999.0
       -10,     124.5,-9999.0
       -10,    124.75,-9999.0
       -10,       125,-9999.0
       -10,    125.25,-9999.0
       -10,     125.5,-9999.0
       -10,    125.75,-9999.0
       -10,       126,-9999.0
       -10,    126.25,-9999.0
       -10,     126.5,-9999.0
       -10,    126.75,-9999.0
       -10,       127,-9999.0
       -10,    127.25,-9999.0
       -10,     127.5,-9999.0
       -10,    127.75,-9999.0
       -10,       128,-9999.0
       -10,    128.25,-9999.0
       -10,     128.5,-9999.0
       -10,    128.75,-9999.0
       -10,       129,-9999.0
       -10,    129.25,-9999.0
       -10,     129.5,-9999.0
       -10,    129.75,-9999.0
       -10,       130,-9999.0
       -10,    130.25,-9999.0
       -10,     130.5,-9999.0
       -10,    130.75,-9999.0
       -10,       131,-9999.0
       -10,    131.25,-9999.0
       -10,     131.5,-9999.0
       -10,    131.75,-9999.0
       -10,       132,-9999.0
       -10,    132.25,-9999.0
       -10,     132.5,-9999.0
       -10,    132.75,-9999.0
       -10,       133,-9999.0
       -10,    133.25,-9999.0
       -10,     133.5,-9999.0
       -10,    133.75,-9999.0
       -10,       134,-9999.0
       -10,    134.25,-9999.0
       -10,     134.5,-9999.0
       -10,    134.75,-9999.0
       -10,       135,-9999.0
       -10,    135.25,-9999.0
       -10,     135.5,-9999.0
       -10,    135.75,-9999.0
       -10,       136,-9999.0
       -10,    136.25,-9999.0
       -10,     136.5,-9999.0
       -10,    136.75,-9999.0
       -10,       137,-9999.0
       -10,    137.25,-9999.0
       -10,     137.5,-9999.0
       -10,    137.75,-9999.0
       -10,       138,-9999.0
       -10,    138.25,-9999.0
       -10,     138.5,-9999.0
       -10,    138.75,-9999.0
       -10,       139,-9999.0
       -10,    139.25,-9999.0
       -10,     139.5,-9999.0
       -10,    139.75,-9999.0
       -10,       140,-9999.0
       -10,    140.25,-9999.0
       -10,     140.5,-9999.0
       -10,    140.75,-9999.0
       -10,       141,-9999.0
       -10,    141.25,-9999.0
       -10,     141.5,-9999.0
       -10,    141.75,-9999.0
       -10,       142,-9999.0
       -10,    142.25,-9999.0
       -10,     142.5,-9999.0
       -10,    142.75,-9999.0
       -10,       143,-9999.0
       -10,    143.25,-9999.0
       -10,     143.5,-9999.0
       -10,    143.75,-9999.0
       -10,       144,-9999.0
       -10,    144.25,-9999.0
       -10,     144.5,-9999.0
       -10,    144.75,-9999.0
       -10,       145,-9999.0
       -10,    145.25,-9999.0
       -10,     145.5,-9999.0
       -10,    145.75,-9999.0
       -10,       146,-9999.0
       -10,    146.25,-9999.0
       -10,     146.5,-9999.0
       -10,    146.75,-9999.0
       -10,       147,-9999.0
       -10,    147.25,-9999.0
       -10,     147.5,-9999.0
       -10,    147.75,-9999.0
       -10,       148,-9999.0
       -10,    148.25,-9999.0
       -10,     148.5,-9999.0
       -10,    148.75,-9999.0
       -10,       149,-9999.0
       -10,    149.25,-9999.0
       -10,     149.5,-9999.0
       -10,    149.75,-9999.0
       -10,       150,-9999.0
       -10,    150.25,-9999.0
       -10,     150.5,-9999.0
       -10,    150.75,-9999.0
       -10,       151,-9999.0
       -10,    151.25,-9999.0
       -10,     151.5,-9999.0
       -10,    151.75,-9999.0
       -10,       152,-9999.0
       -10,    152.25,-9999.0
       -10,     152.5,-9999.0
       -10,    152.75,-9999.0
       -10,       153,-9999.0
       -10,    153.25,-9999.0
       -10,     153.5,-9999.0
       -10,    153.75,-9999.0
       -10,       154,-9999.0
    -10.25,       112,-9999.0
    -10.25,    112.25,-9999.0
    -10.25,     112.5,-9999.0
    -10.25,    112.75,-9999.0
    -10.25,       113,-9999.0
    -10.25,    113.25,-9999.0
    -10.25,     113.5,-9999.0
    -10.25,    113.75,-9999.0
    -10.25,       114,-9999.0
    -10.25,    114.25,-9999.0
