Summary_file = referenc.sum
Title = 
      year       day             no3(1)             no3(2)             no3(3)          sw_dep(1)          sw_dep(2)          sw_dep(3)       tt_tot()            lai        biomass     root_length(1)     root_length(2)     root_length(3)     root_depth avg_swdef_photo avg_nfact_photo   plant_status      dm_dead()          yield         height     residue_wt      residue_n        fom_c()        fom_n()        leaf_no
    (year)     (day)            (kg/ha)            (kg/ha)            (kg/ha)               (mm)               (mm)               (mm)           (oC)      (m^2/m^2)        (kg/ha)           (mm/mm2)           (mm/mm2)           (mm/mm2)           (mm)              ()              ()             ()        (g/m^2)        (kg/ha)           (mm)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)             ()
      1993         7              3.306              7.948              7.268             26.932             78.774             80.000          0.000          0.000          0.000              0.000              0.000              0.000          0.000           0.000           0.000            out          0.000          0.000          0.000        473.522          2.368        307.403          6.831          0.000
      1993        10            201.000              1.000              1.000             30.000             60.000             40.000          0.000          0.000          0.000              0.000              0.000              0.000          0.000           0.000           0.000          alive          0.000          0.000          0.000          0.000          0.000        286.553          6.368          0.000
      1993        17             81.238             88.931             35.574             30.966             80.458             74.152        136.419          0.008          5.401              0.044              0.000              0.000        120.000           0.625           0.500          alive          0.000          0.000          0.257          0.000          0.000        208.506          4.633          1.552
      1993        24             73.516             93.476             40.560             34.735             80.086             78.529        267.875          0.036         23.789              0.199              0.028              0.000        223.169           1.000           1.000          alive          0.000          0.000          0.619          0.000          0.000        158.211          3.516          3.574
      1993        31             71.771             95.279             41.536             31.879             79.335             79.390        400.525          0.151         86.231              0.510              0.098              0.000        436.169           1.000           1.000          alive          0.000          0.000          3.991          0.000          0.000        122.528          2.723          5.615
      1993        38             67.053             97.401             41.873             32.620             77.519             79.686        529.402          0.414        283.555              1.091              0.152              0.004        634.169           1.000           1.000          alive          0.000          0.000         20.496          0.000          0.000         95.722          2.129          7.598
      1993        45             54.607             98.099             41.757             35.423             76.481             79.321        652.102          1.136        803.294              2.555              0.342              0.039        749.669           1.000           1.000          alive          0.000          0.000         73.163          0.000          0.000         79.025          1.759          9.928
      1993        52             36.953             94.773             40.398             39.014             76.641             77.654        764.019          2.074       1657.385              4.229              1.376              0.093        865.169           0.924           1.000          alive          0.000          0.000        183.697          0.000          0.000         67.631          1.510         13.037
      1993        59             22.555             89.003             38.430             41.915             78.526             74.676        897.948          2.571       2639.039              5.229              3.474              0.137        980.669           0.816           1.000          alive          0.000          0.000        349.624          0.000          0.000         58.690          1.318         16.757
      1993        66             12.378             71.346             34.787             37.534             76.948             72.282       1010.516          2.945       3984.101              6.602              6.316              0.212       1000.000           0.824           1.000          alive          0.000          0.000        576.666          0.000          0.000         53.590          1.214         19.781
      1993        73              6.220             51.616             30.484             41.035             78.595             72.287       1122.321          2.765       5340.347              7.960              9.128              0.312       1000.000           0.822           1.000          alive          0.000          0.000        839.470          0.000          0.000         51.874          1.189         19.781
      1993        80              3.359             30.493             21.719             37.348             77.041             72.274       1242.030          2.673       6852.517              8.459             10.220              0.360       1000.000           0.965           1.000          alive          0.000          0.000       1165.623          0.000          0.000         52.445          1.216         19.781
      1993        87              1.892             17.139             14.441             41.102             78.612             72.137       1345.711          2.420       8181.917              8.562             10.520              0.375       1000.000           0.940           1.000          alive          0.000        511.553       1376.829          0.000          0.000         53.598          1.256         19.781
      1993        94              1.537             10.156              9.487             38.090             78.253             71.875       1449.681          2.184       9403.229              8.442             10.373              0.370       1000.000           0.988           1.000          alive          0.000       1732.314       1380.857          0.000          0.000         53.843          1.271         19.781
      1993       101              1.688              7.184              6.753             37.399             78.112             72.716       1554.468          1.951      10358.319              8.325             10.229              0.365       1000.000           0.932           1.000          alive          0.000       2904.574       1380.857          0.000          0.000         53.701          1.275         19.781
      1993       108              1.925              6.343              5.527             37.000             78.260             73.602       1648.545          1.746      11150.916              8.209             10.087              0.360       1000.000           1.000           1.000          alive          0.000       4121.590       1380.857          0.000          0.000         55.067          1.314         19.781
      1993       115              2.291              6.610              5.199             36.335             77.441             73.633       1735.567          1.560      11932.001              8.095              9.946              0.355       1000.000           1.000           1.000          alive          0.000       5265.630       1380.857          0.000          0.000         56.278          1.349         19.781
      1993       122              2.421              6.699              4.837             36.151             77.732             74.442       1816.876          1.350      12589.868              7.982              9.808              0.350       1000.000           1.000           1.000          alive          0.000       6040.363       1380.857          0.000          0.000         57.388          1.380         19.781
      1993       129              1.779              4.636              3.022             38.645             79.243             75.158       1896.634          1.175      13127.922              7.871              9.671              0.345       1000.000           1.000           1.000          alive          0.000       6578.417       1380.857          0.000          0.000         58.702          1.416         19.781
      1993       136              1.555              3.205              1.747             36.222             78.259             75.280       1981.858          1.084      13591.992              7.762              9.537              0.340       1000.000           1.000           1.000          alive          0.000       7042.488       1380.857          0.000          0.000         59.494          1.439         19.781
      1993       143              0.774              1.422              0.592             39.364             79.754             76.265       2052.029          1.000      14029.704              7.654              9.404              0.335       1000.000           1.000           1.000          alive          0.000       7480.199       1380.857          0.000          0.000         61.325          1.487         19.781
      1993       150              0.417              0.538              0.103             38.200             79.303             76.672       2125.560          0.902      14376.596              7.547              9.273              0.331       1000.000           1.000           1.000          alive          0.000       7757.324       1380.857          0.000          0.000         62.503          1.518         19.781
      1993       151              0.526              0.654              0.105             37.370             79.168             76.764       2136.454          0.004       6619.271              7.532              9.255              0.330       1000.000           1.000           0.000           dead          0.000          0.000       1380.857          0.000          0.000         62.725          1.524         19.781
      1993       152              0.637              0.772              0.107             36.705             79.018             76.852          0.000          0.000          0.000              0.000              0.000              0.000          0.000           1.000           0.000            out          0.000          0.000          0.000       6619.271        110.967        747.593         19.811          0.000
      1993       159              0.034              0.780              0.084             38.823             79.971             77.877          0.000          0.000          0.000              0.000              0.000              0.000          0.000           0.000           0.000            out          0.000          0.000          0.000       6127.841        102.729        652.216         17.273          0.000
      1993       160            101.000              1.000              1.000             30.000             60.000             40.000          0.000          0.000          0.000              0.000              0.000              0.000          0.000               ?               ?          alive          0.000          0.000          0.000          0.000          0.000        652.216         17.273          0.000
      1993       167             41.603             44.266             18.699             35.741             80.235             73.708         79.478          0.003          1.297              0.008              0.000              0.000        110.000           0.625           0.250          alive          0.000          0.000          0.250          0.000          0.000        534.948         14.154          0.837
      1993       174             38.524             45.489             20.870             32.755             79.767             77.351        160.155          0.013          5.496              0.046              0.004              0.000        215.000           1.000           1.000          alive          0.000          0.000          0.312          0.000          0.000        444.200         11.742          2.078
      1993       181             37.281             46.047             21.736             31.258             79.366             78.834        233.220          0.037         17.119              0.094              0.042              0.000        356.000           1.000           1.000          alive          0.000          0.000          0.821          0.000          0.000        382.887         10.113          3.329
      1993       188             36.390             46.589             22.050             34.479             79.359             79.371        298.231          0.118         47.383              0.160              0.074              0.000        587.000           1.000           1.000          alive          0.000          0.000          3.327          0.000          0.000        336.312          8.876          5.017
      1993       195             35.957             46.497             22.231             34.046             78.980             79.738        368.468          0.253         94.047              0.282              0.097              0.005        719.000           1.000           1.000          alive          0.000          0.000         10.192          0.000          0.000        299.473          7.898          6.968
      1993       202             33.423             45.632             21.981             37.718             78.803             79.831        435.113          0.618        272.148              0.780              0.167              0.017        834.500           1.000           1.000          alive          0.000          0.000         43.290          0.000          0.000        267.161          7.041          8.819
      1993       209             29.572             41.990             20.645             34.178             77.021             79.296        506.941          1.158        639.348              1.566              0.548              0.041        950.000           1.000           1.000          alive          0.000          0.000        134.966          0.000          0.000        239.971          6.318         10.814
      1993       216             21.516             37.392             17.566             37.176             77.830             78.017        570.522          1.649       1251.355              2.211              1.854              0.067       1000.000           1.000           1.000          alive          0.000          0.000        302.378          0.000          0.000        216.379          5.691         12.580
      1993       223             13.251             28.843             13.267             38.104             77.186             76.007        639.028          1.999       2138.162              3.133              3.733              0.119       1000.000           1.000           1.000          alive          0.000          0.000        565.398          0.000          0.000        198.414          5.211         14.411
      1993       230              6.029             16.328              7.610             36.021             76.605             74.055        709.309          1.986       3187.989              3.978              5.459              0.187       1000.000           1.000           1.000          alive          0.000          0.000        989.659          0.000          0.000        181.233          4.751         14.411
