ApsimVersion = 5.4
Title = Canopy Sample Simulation
            day           year stage_sunflower  lai_sunflower biom_sunflower   stage_cowpea     lai_cowpea    biom_cowpea       sw_dep()
          (day)         (year)              ()      (m^2/m^2)        (kg/ha)             ()      (m^2/m^2)        (kg/ha)           (mm)
             73           1988           5.638          1.882         3165.1          7.349          1.599         1288.8        761.047
             74           1988           5.656          1.892         3255.9          7.378          1.359         1303.9        755.415
             75           1988           5.676          1.903         3357.9          7.410          1.359         1318.3        749.312
             76           1988           5.699          1.916         3459.1          7.448          1.359         1333.0        743.347
             77           1988           5.725          1.930         3558.0          7.492          1.359         1346.6        738.942
             78           1988           5.749          1.941         3661.5          7.530          1.359         1360.4        734.315
             79           1988           5.773          1.952         3767.2          7.567          1.359         1374.1        729.515
             80           1988           5.797          1.961         3871.7          7.603          1.359         1387.2        725.018
             81           1988           5.821          1.969         3976.3          7.640          1.359         1400.1        720.366
             82           1988           5.846          1.977         4080.7          7.678          1.359         1412.6        716.083
             83           1988           5.872          1.984         4187.5          7.715          1.328         1425.2        711.124
             84           1988           5.898          1.989         4293.5          7.756          1.287         1437.0        706.689
             85           1988           5.925          1.994         4400.3          7.795          1.247         1448.4        701.955
             86           1988           5.952          1.998         4488.8          7.834          1.208         1457.4        701.288
             87           1988           5.977          2.000         4602.1          7.868          1.171         1467.6        695.967
             88           1988           6.000          1.992         4714.6          7.903          1.121         1477.7        690.942
             89           1988           7.000          1.983         4833.1          7.940          1.068         1487.9        685.306
             90           1988           7.411          1.970         4951.3          7.979          1.013         1497.8        679.602
             91           1988           7.627          1.954         5066.9          8.000          0.953         1501.5        674.383
             92           1988           7.810          1.941         5120.4          8.698          0.911         1502.9        673.591
             93           1988           8.000          1.922         5181.3          9.000          0.850         1504.9        707.856
             94           1988           8.045          1.902         5248.8          0.000          0.020            0.0        722.889
             95           1988           8.082          1.881         5301.0          0.000          0.000            0.0        738.937
             96           1988           8.120          1.859         5369.9          0.000          0.000            0.0        761.963
             97           1988           8.154          1.837         5410.3          0.000          0.000            0.0        767.484
             98           1988           8.193          1.810         5489.8          0.000          0.000            0.0        785.809
             99           1988           8.234          1.779         5565.2          0.000          0.000            0.0        782.754
            100           1988           8.275          1.746         5619.2          0.000          0.000            0.0        786.040
            101           1988           8.313          1.713         5676.6          0.000          0.000            0.0        784.691
            102           1988           8.345          1.684         5748.9          0.000          0.000            0.0        782.478
            103           1988           8.374          1.658         5777.0          0.000          0.000            0.0        802.901
            104           1988           8.407          1.624         5837.6          0.000          0.000            0.0        818.550
            105           1988           8.444          1.583         5905.2          0.000          0.000            0.0        817.986
            106           1988           8.481          1.539         5995.5          0.000          0.000            0.0        813.902
            107           1988           8.517          1.493         6085.9          0.000          0.000            0.0        809.439
            108           1988           8.552          1.447         6171.5          0.000          0.000            0.0        805.302
            109           1988           8.584          1.401         6244.2          0.000          0.000            0.0        802.082
            110           1988           8.617          1.352         6319.9          0.000          0.000            0.0        798.570
            111           1988           8.647          1.305         6367.5          0.000          0.000            0.0        798.587
            112           1988           8.681          1.248         6414.5          0.000          0.000            0.0        796.395
            113           1988           8.716          1.184         6492.7          0.000          0.000            0.0        791.757
            114           1988           8.751          1.116         6562.0          0.000          0.000            0.0        787.821
            115           1988           8.785          1.044         6642.3          0.000          0.000            0.0        782.240
            116           1988           8.821          0.963         6704.2          0.000          0.000            0.0        778.744
            117           1988           8.856          0.880         6775.7          0.000          0.000            0.0        773.979
            118           1988           8.889          0.797         6843.9          0.000          0.000            0.0        769.394
            119           1988           8.922          0.709         6906.7          0.000          0.000            0.0        764.777
            120           1988           8.953          0.621         6938.2          0.000          0.000            0.0        762.665
            121           1988           8.984          0.531         6963.1          0.000          0.000            0.0        766.157
            122           1988           9.000          0.413         7005.3          0.000          0.000            0.0        763.152
            123           1988           9.913          0.286         7039.8          0.000          0.000            0.0        760.549
            124           1988          10.000          0.147         7067.0          0.000          0.000            0.0        758.808
