Summary_file = fieldS113.sum
Title = south plots field
      year     month       day day_month             brA(1)             brA(2)             brA(3)             brA(4)             brA(5)             brA(6)             brA(7)             brA(8)             brA(9)            brA(10)            brA(11)            brA(12)            brA(13)            brA(14)            brA(15)            brA(16)            brA(17)            brA(18)            brA(19)            brA(20)      leach_brA             brB(1)             brB(2)             brB(3)             brB(4)             brB(5)             brB(6)             brB(7)             brB(8)             brB(9)            brB(10)            brB(11)            brB(12)            brB(13)            brB(14)            brB(15)            brB(16)            brB(17)            brB(18)            brB(19)            brB(20)      leach_brB             brC(1)             brC(2)             brC(3)             brC(4)             brC(5)             brC(6)             brC(7)             brC(8)             brC(9)            brC(10)            brC(11)            brC(12)            brC(13)            brC(14)            brC(15)            brC(16)            brC(17)            brC(18)            brC(19)            brC(20)      leach_brC             brD(1)             brD(2)             brD(3)             brD(4)             brD(5)             brD(6)             brD(7)             brD(8)             brD(9)            brD(10)            brD(11)            brD(12)            brD(13)            brD(14)            brD(15)            brD(16)            brD(17)            brD(18)            brD(19)            brD(20)      leach_brD     uptake_brA     uptake_brB     uptake_brC     uptake_brD
    (year)   (month)     (day)     (day)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)        (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)        (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)        (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)        (kg/ha)             ()             ()             ()             ()
      1993         7       202        21              4.999             17.031             26.666             35.829             81.619             84.568             42.271             17.698              6.667              1.434              0.194              0.022              0.002              0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000              0.820              4.371             22.171            286.441              5.186              0.011              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000          0.000          0.000
      1993         8       238        26              2.331              3.694              6.098             11.541             30.965             69.203             72.390             58.087             43.142             16.615              3.926              0.825              0.155              0.025              0.004              0.000              0.000              0.000              0.000              0.000          0.000              5.027              7.950             13.043             23.804             58.760             91.534             63.047             34.153             16.770              4.105              0.682              0.107              0.015              0.002              0.000              0.000              0.000              0.000              0.000              0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000          0.000          0.000
      1993        10       279         6              0.005              0.010              0.024              0.120              0.989              5.592             14.907             31.725             71.710             94.134             58.271             26.952             10.226              3.221              0.859              0.203              0.043              0.008              0.001              0.000          0.000              0.010              0.019              0.046              0.230              1.873              9.876             23.671             43.960             81.467             87.203             45.185             17.719              5.744              1.552              0.356              0.072              0.013              0.002              0.000              0.000          0.000              1.684              5.471             26.514            278.186              7.124              0.021              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000          0.000          0.000
      1993        11       312         8              0.020              0.034              0.067              0.202              1.015              6.583             15.358             32.083             72.979             92.333             55.646             26.593             10.724              3.784              1.157              0.319              0.080              0.019              0.004              0.001          0.000              0.038              0.064              0.125              0.375              1.853             11.312             23.726             43.240             82.833             85.527             43.365             17.750              6.203              1.915              0.516              0.125              0.028              0.006              0.001              0.000          0.000              7.930             13.192             24.686             58.745            151.245             60.304              2.807              0.089              0.002              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000          0.000          0.000
      1993        12       342         8              0.029              0.058              0.179              0.300              0.941              4.450             13.528             32.014             74.358             94.078             55.891             26.663             10.861              3.932              1.242              0.354              0.093              0.023              0.005              0.001          0.000              0.053              0.105              0.322              0.533              1.647              7.511             20.861             43.490             85.661             87.868             43.874             17.951              6.355              2.021              0.564              0.143              0.033              0.007              0.001              0.000          0.000              4.366              8.592             25.907             35.914             75.123            101.355             49.937             15.229              2.493              0.083              0.001              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000              0.223              1.019             12.305            299.791              5.647              0.015              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000          0.000          0.000
      1994         5       123         3              0.003              0.005              0.016              0.029              0.072              0.279              0.905              3.076             12.976             46.930             66.937             66.884             53.199             34.343             18.523              8.802              3.759              1.456              0.529              0.185          0.000              0.005              0.009              0.027              0.049              0.118              0.449              1.383              4.379             17.197             55.235             71.814             66.027             48.515             28.993             14.500              6.394              2.536              0.914              0.310              0.101          0.000              0.140              0.233              0.728              1.258              2.838              8.938             18.600             33.204             66.830             84.893             55.040             27.964             12.044              4.390              1.379              0.390              0.101              0.024              0.005              0.001          0.000              0.246              0.410              1.282              2.197              4.841             14.439             27.224             42.872             74.119             77.636             43.352             19.417              7.504              2.491              0.721              0.190              0.046              0.010              0.002              0.000          0.000          0.000          0.000          0.000          0.000
      1998        10       296        23              0.814              1.395              2.703              7.887             24.919             42.558             30.204             13.238              3.890              0.376              0.014              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000          0.000          0.000
      1999        12       343         9              0.002              0.006              0.018              0.074              0.349              2.052              5.780             12.105             26.595             37.291             22.615             12.046              5.541              2.316              0.835              0.269              0.079              0.021              0.005              0.001          0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000          0.000          0.000
      2000        12       348        13              0.006              0.010              0.034              0.097              0.530              3.548              9.573             19.486             39.419             34.553             14.079              4.885              1.401              0.295              0.067              0.014              0.003              0.001              0.000              0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000          0.000          0.000
